App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:03:07 AM","17 sec","Trepn_2018.10.21_100306.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
48,3,47,255,48,2578202,1350292,48,320000,52,0,42,1512000,43,1512000,45,1512000,47,0,43,100,45,100,46,100,47,0,
152,3,148,255,152,2701327,1473417,153,320000,154,0,142,1512000,144,1512000,146,1512000,148,1512000,144,80,145,100,147,100,150,38,
250,3,248,255,250,2667126,1439216,250,320000,251,0,242,1512000,244,1512000,246,1512000,248,1512000,244,72,246,81,248,100,250,60,
350,3,348,255,350,1894173,666263,351,320000,352,0,343,1512000,345,1512000,346,1512000,349,1512000,344,33,346,37,348,100,350,30,
451,3,449,255,451,2304590,1076680,451,320000,452,0,443,1512000,445,1512000,447,1512000,449,1512000,445,60,447,50,448,100,451,50,
551,3,549,255,551,1511117,283207,551,320000,552,0,544,1512000,546,1512000,547,1512000,550,0,545,16,547,28,549,100,550,0,
669,3,663,255,668,2174625,946715,670,320000,671,0,644,1512000,647,1512000,653,1512000,667,0,646,80,652,81,663,80,668,0,
753,3,752,255,752,2578202,1350292,758,320000,759,0,745,1512000,747,1512000,749,1512000,752,0,747,100,749,100,751,100,752,0,
857,3,854,255,857,2673966,1446056,858,320000,859,0,848,1512000,850,1512000,852,1512000,856,1512000,850,90,852,100,854,100,857,24,
958,3,955,255,957,1804687,576777,958,200000,959,0,949,1512000,951,1512000,953,1512000,956,1026000,951,81,952,37,954,54,957,28,
1058,3,1056,255,1058,1395949,168039,1058,128000,1059,0,1049,1512000,1051,1512000,1053,1512000,1056,1026000,1051,37,1053,30,1055,25,1057,66,
1158,3,1157,255,1158,749489,0,1159,128000,1160,0,1150,1512000,1153,1026000,1155,1026000,1158,0,1152,22,1154,0,1156,20,1158,0,
1209,3,1207,255,1208,1025171,0,1209,128000,1210,0,1200,1512000,1203,1026000,1205,1026000,1207,0,1202,33,1204,25,1206,50,1208,0,
1391,3,1384,255,1391,747440,0,1393,128000,1396,0,1353,918000,1358,1026000,1376,0,1388,0,1357,33,1370,33,1380,0,1390,0,
1417,3,1415,255,1416,1967060,739150,1418,128000,1418,0,1403,1512000,1410,1512000,1412,1026000,1415,0,1409,100,1411,100,1414,20,1416,0,
1508,3,1507,255,1508,1511003,283093,1509,128000,1509,0,1502,1512000,1504,1512000,1506,1026000,1508,0,1503,62,1505,66,1507,30,1508,0,
1609,3,1608,255,1609,1423873,195963,1609,128000,1610,0,1603,1512000,1605,1512000,1606,1026000,1608,0,1604,75,1606,36,1607,38,1608,0,
1720,3,1718,255,1720,664601,0,1721,128000,1722,24,1704,1026000,1714,1026000,1717,0,1719,0,1713,27,1716,11,1718,0,1720,0,
1813,3,1812,255,1813,1025509,0,1814,128000,1815,24,1804,1026000,1808,1026000,1810,0,1812,0,1807,42,1810,55,1811,0,1813,0,
1950,3,1943,255,1950,847552,0,1951,128000,1951,24,1907,384000,1914,1026000,1942,0,1946,0,1912,30,1940,41,1943,0,1949,0,
2011,3,2010,255,2011,1444959,217049,2011,128000,2012,24,2005,1512000,2007,1512000,2009,0,2010,0,2007,63,2008,50,2009,0,2010,0,
2116,3,2114,255,2116,712094,0,2117,128000,2118,24,2106,1026000,2110,1026000,2112,0,2114,0,2109,11,2112,0,2113,0,2115,0,
2215,3,2214,255,2215,1014576,0,2216,128000,2217,24,2206,1026000,2210,1026000,2213,0,2214,0,2209,50,2212,44,2213,0,2215,0,
2337,3,2331,255,2337,712939,0,2339,128000,2340,24,2308,384000,2314,384000,2322,0,2333,0,2313,36,2320,11,2323,0,2334,0,
2420,3,2418,255,2420,1074567,0,2421,128000,2422,24,2408,918000,2413,1026000,2416,0,2418,0,2411,66,2415,55,2417,0,2419,0,
2518,3,2516,255,2517,854224,0,2518,128000,2519,24,2509,1026000,2512,1026000,2515,0,2517,0,2512,28,2514,22,2516,0,2517,0,
2621,3,2619,255,2621,881495,0,2622,128000,2623,24,2610,486000,2614,1026000,2617,0,2620,0,2613,50,2617,41,2618,0,2621,0,
2719,3,2717,255,2719,903988,0,2720,128000,2720,18,2710,918000,2714,1026000,2716,0,2718,0,2713,46,2716,25,2717,0,2718,0,
2843,3,2836,255,2843,744449,0,2844,128000,2846,18,2811,384000,2818,1026000,2831,0,2839,0,2817,33,2830,22,2835,0,2842,0,
