App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:42:35 AM","17 sec","Trepn_2018.10.21_104233.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
93,3,92,255,93,2441396,1184671,94,320000,95,0,48,1512000,81,1512000,90,1512000,92,0,80,100,82,100,91,80,93,0,
156,3,154,255,156,2745842,1489117,157,320000,160,0,148,1512000,150,1512000,152,1512000,154,1026000,150,100,151,100,153,100,155,46,
257,3,254,255,256,2974939,1718214,257,320000,258,0,248,1512000,250,1512000,252,1512000,255,1512000,250,83,252,75,254,100,256,100,
358,3,355,255,357,2188305,931580,359,320000,359,0,349,1512000,351,1512000,353,1512000,355,1512000,350,28,352,60,354,55,357,100,
472,3,455,255,472,2058340,801615,473,320000,474,0,449,1512000,451,1512000,453,1512000,455,1512000,451,33,453,36,455,55,471,100,
558,3,556,255,558,1983097,726372,559,320000,559,0,550,1512000,552,1512000,554,1512000,556,1512000,551,60,553,28,555,25,558,100,
657,3,655,255,657,1716326,459601,658,320000,658,0,650,1512000,652,1512000,654,1512000,656,1512000,652,30,653,33,655,11,657,100,
758,3,756,255,758,1969416,712691,758,320000,759,0,751,1512000,752,1512000,754,1512000,756,1512000,752,44,754,45,755,45,758,77,
866,3,856,255,866,2243637,986912,866,320000,867,0,851,1134000,853,1512000,855,1026000,858,1512000,853,100,854,80,856,80,865,66,
961,3,959,255,961,2619080,1362355,961,320000,964,0,951,1134000,955,1512000,957,1512000,959,1512000,953,72,957,80,958,81,961,100,
1060,3,1057,255,1059,2235162,978437,1060,320000,1061,0,1052,1134000,1054,1512000,1055,1512000,1057,1512000,1053,75,1055,60,1057,66,1059,77,
1159,3,1157,255,1159,1256062,0,1159,320000,1160,0,1152,1026000,1154,1512000,1156,1512000,1157,1512000,1154,37,1155,45,1157,12,1159,30,
1264,3,1262,255,1264,810375,0,1265,320000,1266,0,1253,1026000,1256,1026000,1259,1026000,1263,0,1255,22,1258,20,1261,36,1264,0,
1374,3,1370,255,1373,615886,0,1375,320000,1377,0,1354,486000,1361,384000,1366,0,1371,0,1359,45,1364,41,1369,0,1373,0,
1463,3,1462,255,1463,970172,0,1463,320000,1464,0,1455,1512000,1457,1026000,1460,0,1462,0,1456,50,1459,28,1461,0,1463,0,
1561,3,1560,255,1561,794118,0,1562,320000,1562,0,1555,1512000,1558,1026000,1559,0,1560,0,1557,20,1559,36,1560,0,1561,0,
1670,3,1668,255,1669,872389,0,1671,200000,1672,0,1659,918000,1664,1026000,1667,0,1668,0,1661,50,1666,53,1667,0,1669,0,
1772,3,1768,255,1771,703859,0,1773,200000,1774,18,1759,1026000,1763,594000,1766,0,1769,0,1762,33,1766,36,1767,0,1771,0,
1869,3,1868,255,1869,1031486,0,1869,128000,1870,18,1860,1026000,1864,1026000,1867,0,1868,0,1863,44,1866,37,1867,0,1868,0,
1966,3,1965,255,1966,1433377,176652,1967,128000,1967,18,1961,1026000,1963,1512000,1965,0,1966,0,1962,50,1964,90,1965,0,1966,0,
2066,3,2065,255,2066,1971230,714505,2067,128000,2067,18,2061,1512000,2062,1512000,2064,486000,2066,0,2062,100,2063,90,2065,30,2066,0,
2168,3,2167,255,2168,1600014,343289,2168,128000,2169,18,2161,1512000,2163,1512000,2165,1512000,2167,0,2162,30,2164,11,2166,100,2167,0,
2268,3,2267,255,2268,1137060,0,2269,128000,2269,18,2261,1512000,2264,1026000,2265,1512000,2267,0,2263,27,2265,25,2267,33,2268,0,
2368,3,2367,255,2368,1086878,0,2368,128000,2369,18,2362,1512000,2364,1026000,2365,1512000,2367,0,2363,20,2365,30,2366,30,2368,0,
2474,3,2473,255,2474,761733,0,2475,128000,2476,18,2463,384000,2468,1026000,2470,1026000,2473,0,2467,11,2470,10,2472,22,2474,0,
2573,3,2571,255,2573,912504,0,2573,128000,2574,18,2563,1026000,2567,1026000,2569,1026000,2572,0,2566,14,2568,40,2571,22,2573,0,
2675,3,2673,255,2675,861483,0,2676,128000,2677,18,2664,1026000,2667,1026000,2671,1026000,2674,0,2667,30,2670,10,2673,22,2675,0,
2774,3,2773,255,2774,806818,0,2775,128000,2776,18,2765,1026000,2769,1026000,2772,0,2773,0,2768,22,2771,25,2772,0,2774,0,
2883,3,2880,255,2883,989036,0,2886,128000,2887,18,2865,1026000,2870,1026000,2879,0,2882,0,2868,60,2878,37,2880,0,2883,0,
2975,3,2974,255,2975,1200408,0,2977,128000,2978,18,2966,1026000,2970,1026000,2973,0,2974,0,2969,72,2972,83,2973,0,2975,0,
3074,3,3073,255,3073,1162236,0,3074,128000,3074,18,3066,1512000,3068,1512000,3072,0,3073,0,3068,37,3070,40,3072,0,3073,0,
3172,3,3171,255,3172,772339,0,3173,128000,3173,18,3167,1512000,3169,1512000,3171,0,3172,0,3169,10,3170,10,3171,0,3172,0,
3288,3,3286,255,3288,705714,0,3289,128000,3290,18,3269,1026000,3276,384000,3283,0,3286,0,3274,14,3281,22,3284,0,3288,0,
