App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 04:05:02 PM","17 sec","Trepn_2018.10.21_160501.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
0,3,68,255,77,2407195,1227786,1,320000,2,0,62,1512000,64,1512000,65,1512000,68,0,63,100,65,100,67,75,76,0,
77,3,168,255,170,2646605,1467196,78,320000,78,0,162,1512000,164,1512000,166,1512000,168,1512000,164,100,165,100,167,100,169,10,
170,3,218,255,221,2988619,1809210,170,320000,171,0,212,1512000,214,1512000,216,1512000,219,1512000,214,80,216,100,218,100,220,80,
221,3,319,255,323,3091224,1911815,222,320000,222,0,313,1512000,315,1512000,317,1512000,320,1512000,314,100,316,75,318,100,322,100,
323,3,419,255,421,2605563,1426154,324,320000,324,0,413,1512000,415,1512000,417,1512000,419,1512000,415,80,417,70,419,54,421,100,
421,3,519,255,521,1953096,773687,421,320000,422,0,514,1512000,515,1512000,518,1134000,520,1512000,515,55,517,33,519,33,521,100,
521,3,621,255,623,2135180,955771,522,320000,522,0,614,1512000,616,1512000,618,1134000,621,1512000,616,50,617,54,621,50,623,100,
623,3,720,255,721,1100700,0,623,320000,624,0,714,1512000,716,1512000,718,1026000,720,0,716,40,718,44,719,0,721,0,
721,3,835,255,838,1735273,555864,721,320000,722,0,815,1512000,817,1512000,830,1026000,835,0,817,60,819,88,833,54,838,0,
839,3,924,255,930,3022821,1843412,839,320000,840,0,916,1512000,919,1512000,921,1512000,927,1512000,918,90,920,83,924,100,930,92,
930,3,1025,255,1029,3091224,1911815,931,400000,932,0,1020,1512000,1022,1512000,1023,1512000,1025,1512000,1021,100,1023,100,1025,100,1029,75,
1029,3,1128,255,1130,1699783,520374,1030,400000,1030,0,1120,1512000,1124,1512000,1126,1512000,1128,1026000,1123,63,1125,58,1127,33,1130,33,
1131,3,1227,255,1229,1431887,252478,1131,400000,1132,0,1221,1512000,1223,1512000,1225,1026000,1228,1026000,1222,60,1224,25,1226,44,1229,45,
1230,3,1327,255,1328,795129,0,1230,400000,1231,0,1321,1512000,1324,1512000,1325,1026000,1328,0,1323,11,1325,23,1327,10,1328,0,
1328,3,1429,255,1430,766643,0,1329,400000,1329,0,1422,1026000,1425,1026000,1428,0,1430,0,1425,44,1427,22,1428,0,1430,0,
1431,3,1540,255,1542,675119,0,1431,320000,1432,0,1523,1026000,1531,384000,1537,0,1541,0,1528,33,1535,33,1538,0,1542,0,
1543,3,1629,255,1631,879618,0,1544,200000,1547,0,1623,1026000,1626,1026000,1628,0,1630,0,1625,37,1628,60,1629,0,1631,0,
1631,3,1734,255,1736,905128,0,1632,128000,1633,0,1723,1026000,1728,1026000,1732,0,1735,0,1726,54,1731,50,1733,0,1736,0,
1737,3,1829,255,1831,2087829,908420,1737,128000,1739,0,1824,1512000,1826,1512000,1828,1512000,1830,1026000,1826,77,1827,90,1829,40,1831,40,
1832,3,1930,255,1932,1589608,410199,1832,128000,1833,19,1924,1512000,1927,1512000,1928,1512000,1931,1026000,1926,9,1928,100,1930,20,1932,18,
1932,3,2031,255,2033,1922874,743465,1933,128000,1933,19,2025,1512000,2027,1512000,2029,1512000,2031,1026000,2026,100,2029,30,2030,36,2032,40,
2033,3,2130,255,2132,1168315,0,2034,128000,2035,19,2125,1512000,2127,1512000,2129,1512000,2131,0,2127,0,2129,36,2130,41,2131,0,
2132,3,2239,255,2245,714500,0,2132,128000,2133,19,2226,1026000,2230,1026000,2234,0,2243,0,2229,10,2232,10,2237,0,2244,0,
2245,3,2334,255,2335,1037896,0,2247,128000,2248,19,2327,1026000,2330,918000,2333,0,2335,0,2330,60,2332,58,2334,0,2335,0,
2335,3,2454,255,2457,772394,0,2336,128000,2338,19,2428,384000,2447,1026000,2452,0,2456,0,2436,33,2451,28,2453,0,2457,0,
2458,3,2535,255,2537,1063712,0,2458,128000,2459,19,2528,918000,2531,1026000,2533,0,2536,0,2530,70,2533,57,2534,0,2537,0,
2538,3,2641,255,2643,914939,0,2539,128000,2540,19,2629,1026000,2632,1026000,2635,0,2642,0,2632,50,2634,25,2636,0,2643,0,
2643,3,2740,255,2744,756625,0,2644,128000,2645,19,2729,1026000,2734,384000,2738,0,2741,0,2733,22,2737,40,2739,0,2743,0,
2744,3,2833,255,2836,1321437,142028,2745,128000,2747,19,2829,1512000,2831,918000,2832,0,2833,0,2831,77,2832,50,2833,0,2834,0,
2837,3,2934,255,2934,766261,0,2837,128000,2839,17,2930,1512000,2931,1026000,2933,0,2934,0,2931,20,2933,0,2933,0,2934,0,
2934,3,3040,255,3048,1450970,271561,2935,128000,2935,17,3032,1134000,3035,1512000,3037,0,3041,0,3034,77,3037,72,3039,0,3047,0,
3048,3,3136,255,3137,1197199,17790,3050,128000,3051,17,3133,1512000,3134,1512000,3136,0,3137,0,3134,46,3135,37,3136,0,3137,0,
3137,3,3244,255,3245,848117,0,3138,128000,3138,17,3234,1026000,3237,1026000,3243,0,3244,0,3236,30,3240,30,3243,0,3245,0,
3245,3,3340,255,3341,884560,0,3246,128000,3250,17,3334,1026000,3337,1026000,3339,0,3341,0,3336,45,3339,25,3340,0,3341,0,
3342,3,3453,255,3455,802580,0,3342,128000,3343,17,3435,486000,3443,1026000,3448,0,3454,0,3442,44,3447,33,3451,0,3455,0,
3456,3,3540,255,3540,990026,0,3457,128000,3458,17,3535,1512000,3537,1026000,3539,0,3540,0,3537,33,3538,37,3539,0,3540,0,
3541,3,3648,255,3649,812176,0,3541,128000,3542,17,3638,702000,3641,1026000,3646,0,3648,0,3641,36,3645,30,3647,0,3649,0,
3649,3,3745,255,3746,940602,0,3650,128000,3651,17,3739,918000,3741,1026000,3744,0,3745,0,3741,54,3743,40,3744,0,3746,0,
3747,3,3845,255,3846,1320488,141079,3747,128000,3748,17,3839,1026000,3842,1512000,3844,0,3845,0,3841,77,3843,60,3844,0,3846,0,
3846,3,3946,255,3950,1304359,124950,3849,128000,3850,20,3940,1512000,3942,1512000,3944,0,3949,0,3941,46,3943,50,3944,0,3950,0,
3950,3,4053,255,4062,1530769,351360,3951,128000,3952,20,4040,1134000,4042,1512000,4050,0,4059,0,4042,77,4044,81,4051,0,4061,0,
4062,3,4148,255,4151,2138874,959465,4064,128000,4067,20,4141,1512000,4143,1512000,4144,1512000,4149,1512000,4142,66,4144,80,4147,50,4151,22,
4151,3,4246,255,4248,1922113,742704,4152,128000,4152,20,4241,1512000,4243,1512000,4244,1512000,4247,1026000,4242,45,4244,40,4246,80,4248,40,
4248,3,4349,255,4350,722935,0,4248,128000,4249,20,4341,1512000,4343,1512000,4345,1026000,4350,0,4343,11,4344,0,4346,0,4350,0,
4351,3,4452,255,4454,953817,0,4351,128000,4352,20,4442,1026000,4447,1026000,4450,0,4452,0,4447,44,4449,40,4451,0,4453,0,
4454,3,4548,255,4549,1383972,204563,4455,128000,4456,20,4542,1512000,4545,1026000,4547,0,4548,0,4544,81,4546,50,4547,0,4549,0,
4550,3,4652,255,4653,993685,0,4550,128000,4551,20,4643,1512000,4649,1026000,4651,0,4652,0,4648,33,4650,33,4652,0,4653,0,
4654,3,4750,255,4751,1190259,10850,4654,128000,4656,20,4743,1512000,4747,1026000,4749,0,4750,0,4746,66,4748,25,4749,0,4750,0,
