App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 04:08:16 PM","17 sec","Trepn_2018.10.21_160815.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
90,3,87,255,89,1894173,624615,92,320000,95,0,98,1512000,84,1512000,85,0,88,0,83,100,85,100,86,0,88,0,
138,3,126,255,138,1894173,624615,139,320000,140,0,200,1512000,110,1512000,121,0,129,0,107,100,119,100,124,0,137,11,
219,3,211,255,218,3193828,1924270,221,320000,223,0,300,1512000,204,1512000,206,1512000,213,1512000,204,100,205,100,209,90,217,100,
314,3,310,255,313,3262231,1992673,315,320000,316,0,401,1512000,302,1512000,304,1512000,311,1512000,302,100,304,100,308,100,313,100,
410,3,406,255,409,3125425,1855867,410,320000,411,0,501,1512000,403,1512000,404,1512000,406,1512000,402,100,404,80,405,100,409,100,
508,3,506,255,508,2585042,1315484,509,320000,509,0,604,1512000,503,1512000,505,1512000,507,1512000,502,81,504,50,506,70,508,100,
615,3,613,255,615,2366153,1096595,618,320000,618,0,705,1512000,606,1512000,609,1512000,613,1512000,606,66,608,37,612,66,614,100,
715,3,712,255,715,3111744,1842186,715,320000,716,0,810,1512000,707,1512000,709,1512000,713,1512000,706,90,708,88,712,100,714,100,
819,3,816,255,819,2824452,1554894,819,320000,820,0,911,1512000,812,1512000,814,1512000,816,1512000,811,81,813,80,815,75,818,100,
931,3,923,255,931,3050182,1780624,931,320000,932,0,1012,1512000,913,1512000,915,1512000,927,1512000,913,100,915,100,923,88,931,81,
1024,3,1021,255,1024,3262231,1992673,1025,320000,1026,0,1112,1512000,1014,1512000,1019,1512000,1022,1512000,1013,100,1018,100,1021,100,1023,100,
1126,3,1123,255,1126,3180147,1910589,1127,320000,1128,0,1213,1512000,1114,1512000,1121,1512000,1124,1512000,1114,100,1120,88,1123,100,1126,100,
1224,3,1220,255,1224,2776570,1507012,1225,320000,1225,0,1313,1512000,1215,1512000,1216,1512000,1221,1512000,1214,69,1216,90,1218,100,1224,70,
1325,3,1322,255,1325,2906536,1636978,1326,320000,1327,0,1413,1512000,1316,1512000,1320,1512000,1323,1512000,1315,90,1319,75,1322,100,1325,83,
1421,3,1419,255,1421,2728688,1459130,1421,320000,1422,0,1515,1512000,1415,1512000,1417,1512000,1419,1512000,1415,63,1417,72,1418,100,1420,87,
1524,3,1521,255,1524,1757367,487809,1524,320000,1525,0,1615,1512000,1518,1512000,1519,1512000,1522,1512000,1517,25,1519,25,1521,100,1523,30,
1623,3,1620,255,1622,2304590,1035032,1623,320000,1624,0,1716,1512000,1617,1512000,1619,1512000,1621,1512000,1617,55,1618,60,1620,100,1622,45,
1725,3,1723,255,1725,1894173,624615,1725,320000,1726,0,1816,1512000,1718,1512000,1721,1512000,1723,1512000,1718,44,1719,30,1722,90,1724,36,
1824,3,1822,255,1824,1470075,200517,1824,320000,1825,0,1917,1026000,1818,1512000,1820,1512000,1822,1512000,1818,36,1820,50,1821,41,1823,11,
1929,3,1926,255,1929,905128,0,1930,200000,1931,0,2018,1026000,1921,1026000,1923,1026000,1927,1026000,1920,33,1923,33,1925,18,1929,20,
2029,3,2026,255,2029,1502802,233244,2030,200000,2031,0,2118,1026000,2021,1026000,2023,1026000,2026,1026000,2020,63,2023,60,2025,70,2028,75,
2129,3,2126,255,2129,959793,0,2131,128000,2131,0,2219,1026000,2121,1026000,2124,1026000,2127,1026000,2120,36,2123,37,2126,10,2129,36,
