App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 04:45:21 PM","17 sec","Trepn_2018.10.21_164520.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
83,3,81,255,83,1832611,672557,83,320000,88,0,42,1512000,74,1512000,80,0,82,0,73,100,75,91,80,0,82,0,
151,3,149,255,151,2369178,1209124,151,320000,152,0,143,1512000,145,1512000,146,1026000,149,1512000,144,100,146,100,148,44,150,46,
252,3,250,255,252,2728688,1568634,253,320000,255,0,243,1512000,245,1512000,247,1512000,250,1512000,245,100,247,100,249,50,252,72,
351,3,349,255,351,2715008,1554954,351,320000,352,0,344,1512000,345,1512000,347,1512000,349,1512000,345,100,347,100,348,57,351,63,
451,3,449,255,451,2578202,1418148,451,320000,452,0,444,1512000,446,1512000,448,1512000,450,1512000,445,100,447,100,449,50,451,50,
552,3,550,255,552,2147264,987210,552,320000,553,0,544,1512000,546,1512000,548,1512000,550,1512000,546,50,548,100,549,33,551,54,
653,3,650,255,652,2021277,861223,653,320000,654,0,645,1512000,647,1512000,649,1512000,651,1026000,646,46,648,100,650,55,652,33,
753,3,751,255,753,1792800,632746,753,320000,754,0,745,1512000,747,1512000,749,1512000,751,1026000,747,25,748,100,750,41,753,36,
856,3,853,255,856,1846397,686343,857,320000,858,0,846,1512000,848,1512000,850,1026000,854,1026000,848,54,849,90,853,55,856,37,
971,3,964,255,970,3125425,1965371,971,400000,972,0,949,1512000,961,1512000,963,1512000,965,1512000,950,100,962,90,964,90,967,100,
1056,3,1054,255,1056,2489278,1329224,1056,400000,1057,0,1049,1512000,1051,1512000,1052,1512000,1054,1512000,1050,72,1052,55,1053,100,1056,60,
1158,3,1156,255,1158,1798409,638355,1159,400000,1161,0,1149,1512000,1151,1512000,1154,1512000,1156,1512000,1151,62,1153,40,1156,62,1158,22,
1259,3,1256,255,1258,912303,0,1259,400000,1260,0,1250,1134000,1252,1026000,1254,1134000,1257,1026000,1252,30,1254,33,1256,22,1258,12,
1360,3,1359,255,1360,752700,0,1361,400000,1362,0,1351,1134000,1355,1026000,1357,0,1359,0,1354,30,1356,27,1358,0,1360,0,
1459,3,1456,255,1458,747011,0,1460,400000,1460,0,1451,918000,1453,1026000,1455,0,1457,0,1453,40,1455,27,1456,0,1458,0,
1559,3,1558,255,1559,792153,0,1560,400000,1561,0,1552,1026000,1555,1026000,1557,0,1559,0,1554,33,1556,40,1558,0,1559,0,
1664,3,1662,255,1664,619497,0,1665,400000,1666,0,1652,702000,1656,384000,1660,0,1663,0,1655,30,1659,37,1661,0,1664,0,
1760,3,1759,255,1760,925032,0,1761,400000,1762,0,1753,918000,1756,1026000,1758,0,1759,0,1755,66,1757,54,1759,0,1760,0,
1863,3,1860,255,1862,832241,0,1864,400000,1865,17,1853,1026000,1856,1026000,1858,0,1861,0,1855,44,1858,40,1859,0,1862,0,
1959,3,1958,255,1958,2031779,871725,1959,320000,1960,17,1954,1512000,1956,1512000,1957,0,1958,0,1955,72,1957,60,1957,0,1958,0,
2060,3,2059,255,2060,1127162,0,2061,200000,2062,17,2054,1512000,2056,1026000,2058,0,2060,0,2056,27,2058,0,2059,0,2060,0,
2161,3,2160,255,2161,1431181,271127,2161,200000,2162,17,2155,1512000,2157,1026000,2159,0,2160,0,2156,66,2158,70,2159,0,2161,0,
2268,3,2265,255,2267,1613855,453801,2269,128000,2270,17,2256,1512000,2260,1512000,2263,0,2265,0,2259,30,2262,100,2265,0,2267,0,
2361,3,2360,255,2361,1505012,344958,2361,128000,2362,17,2356,1512000,2358,1512000,2359,0,2360,0,2357,62,2359,66,2360,0,2361,0,
2463,3,2462,255,2463,831914,0,2463,128000,2464,17,2456,1134000,2459,1026000,2461,0,2462,0,2458,38,2460,11,2461,0,2462,0,
2579,3,2577,255,2579,727049,0,2581,128000,2582,17,2561,1026000,2569,384000,2575,0,2578,0,2567,22,2574,20,2576,0,2579,0,
2662,3,2661,255,2662,1028320,0,2663,128000,2663,17,2657,1026000,2659,1512000,2661,0,2662,0,2659,40,2660,37,2661,0,2662,0,
2778,3,2773,255,2778,854231,0,2780,128000,2784,17,2758,1026000,2763,1512000,2771,0,2775,0,2762,11,2770,27,2772,0,2776,0,
2867,3,2865,255,2867,891849,0,2868,128000,2869,15,2859,1026000,2862,1026000,2864,0,2866,0,2861,44,2864,28,2865,0,2866,0,
2981,3,2978,255,2981,708899,0,2982,128000,2984,15,2960,384000,2969,486000,2976,0,2978,0,2968,50,2974,40,2977,0,2979,0,
3069,3,3067,255,3068,928138,0,3070,128000,3071,15,3060,918000,3064,1026000,3066,0,3068,0,3063,42,3065,50,3066,0,3068,0,
3182,3,3179,255,3182,763688,0,3183,128000,3185,15,3161,384000,3169,1026000,3177,0,3180,0,3167,30,3174,33,3178,0,3181,0,
3269,3,3268,255,3269,1123862,0,3271,128000,3273,15,3261,1026000,3264,1026000,3266,0,3268,0,3263,77,3266,62,3267,0,3269,0,
3371,3,3370,255,3371,883335,0,3372,128000,3373,15,3361,1026000,3365,1026000,3368,0,3370,0,3364,40,3367,33,3369,0,3371,0,
3484,3,3477,255,3483,742387,0,3486,128000,3491,15,3463,702000,3468,384000,3475,0,3479,0,3467,40,3474,50,3476,0,3482,0,
3571,3,3569,255,3570,981733,0,3571,128000,3572,15,3563,1026000,3566,1026000,3568,0,3570,0,3566,60,3568,40,3569,0,3570,0,
3674,3,3671,255,3674,707924,0,3676,128000,3677,15,3664,1026000,3667,384000,3670,0,3672,0,3667,22,3669,12,3670,0,3674,0,
3772,3,3771,255,3772,974444,0,3773,128000,3773,15,3764,1026000,3768,1026000,3770,0,3771,0,3767,44,3769,54,3770,0,3772,0,
3876,3,3871,255,3875,1426914,266860,3876,128000,3877,17,3865,1512000,3867,1026000,3870,0,3872,0,3866,80,3869,72,3871,0,3875,0,
3971,3,3970,255,3971,2011194,851140,3972,128000,3972,17,3965,1512000,3967,1512000,3968,1512000,3970,1512000,3966,55,3968,55,3969,38,3971,54,
4077,3,4074,255,4077,837184,0,4078,128000,4079,17,4066,1026000,4069,1026000,4071,1026000,4075,1026000,4068,0,4071,20,4073,27,4076,10,
4180,3,4177,255,4180,774400,0,4181,128000,4182,17,4166,1026000,4170,1026000,4174,594000,4179,0,4169,14,4173,10,4177,36,4180,0,
4280,3,4277,255,4280,776339,0,4281,128000,4282,17,4267,918000,4270,384000,4275,0,4279,0,4269,40,4274,28,4276,0,4280,0,
4377,3,4375,255,4377,1070422,0,4378,128000,4379,17,4367,1026000,4370,1026000,4372,0,4376,0,4370,66,4372,55,4375,0,4377,0,
4482,3,4478,255,4482,854125,0,4483,128000,4484,17,4468,1026000,4472,594000,4476,0,4480,0,4471,45,4475,38,4477,0,4481,0,
4579,3,4578,255,4579,942929,0,4580,128000,4581,17,4569,1026000,4572,918000,4574,0,4579,0,4571,44,4574,50,4577,0,4579,0,
4682,3,4679,255,4681,652970,0,4683,128000,4684,17,4670,1026000,4672,384000,4677,0,4680,0,4672,0,4676,27,4678,0,4681,0,
4780,3,4779,255,4780,984640,0,4781,128000,4781,17,4770,1026000,4773,918000,4778,0,4779,0,4772,42,4774,66,4778,0,4780,0,
4902,3,4898,255,4902,688703,0,4903,128000,4904,20,4872,384000,4879,1026000,4894,0,4901,0,4877,22,4886,11,4896,0,4902,0,
4999,3,4983,255,4987,1075763,0,5006,128000,5008,20,4972,918000,4975,1026000,4981,0,4984,0,4974,66,4980,62,4982,0,4986,0,
5081,3,5080,255,5081,1673735,513681,5082,128000,5086,20,5072,1512000,5074,1512000,5078,0,5080,0,5074,100,5078,50,5079,0,5081,0,
5179,3,5177,255,5178,1831061,671007,5180,320000,5182,20,5172,1512000,5174,1512000,5176,0,5178,0,5174,90,5176,83,5176,0,5178,0,
5278,3,5277,255,5278,2698660,1538606,5279,320000,5279,20,5272,1512000,5274,1512000,5276,1512000,5278,0,5274,90,5275,90,5277,66,5278,0,
5380,3,5378,255,5380,1600961,440907,5380,320000,5381,20,5373,1512000,5375,1512000,5376,1512000,5378,1026000,5374,22,5376,10,5378,45,5380,16,
5486,3,5481,255,5485,1427761,267707,5487,200000,5488,20,5474,1026000,5477,1026000,5479,1026000,5482,1026000,5476,30,5479,14,5481,33,5485,36,
5585,3,5582,255,5585,1415630,255576,5586,200000,5586,20,5574,1026000,5577,1026000,5580,1026000,5583,1026000,5577,63,5579,40,5582,40,5584,37,
5685,3,5683,255,5685,1244345,84291,5686,200000,5687,20,5675,1026000,5678,1026000,5681,1026000,5683,1026000,5678,33,5680,37,5682,33,5685,30,
5804,3,5800,255,5804,1272649,112595,5805,200000,5805,20,5776,1026000,5780,702000,5790,1026000,5802,0,5780,60,5785,55,5796,50,5804,0,
5883,3,5882,255,5882,1522221,362167,5883,200000,5883,37,5876,1026000,5878,1512000,5880,1026000,5882,0,5878,54,5880,63,5881,37,5882,0,
5984,3,5983,255,5984,1306271,146217,5986,200000,5986,37,5978,1026000,5980,1512000,5981,1026000,5984,0,5980,33,5981,12,5982,40,5984,0,
6087,3,6086,255,6087,2414789,1254735,6088,200000,6089,37,6079,1512000,6081,1512000,6083,1026000,6086,0,6081,80,6082,85,6085,90,6087,0,
6190,3,6187,255,6190,2421971,1261917,6190,200000,6191,37,6180,1512000,6184,1512000,6186,1512000,6188,1512000,6183,72,6185,54,6187,70,6189,18,
6288,3,6286,255,6288,1967872,807818,6288,200000,6289,37,6281,1512000,6283,1512000,6285,1512000,6287,1134000,6283,33,6284,50,6286,44,6288,33,
6390,3,6388,255,6390,1419922,259868,6390,200000,6391,37,6381,1512000,6384,1512000,6386,1512000,6388,1026000,6384,12,6385,20,6388,11,6390,46,
6498,3,6496,255,6497,1406405,246351,6498,200000,6499,37,6482,1026000,6488,1026000,6494,1026000,6497,0,6487,45,6493,45,6495,33,6497,0,
6601,3,6599,255,6601,1181684,21630,6605,200000,6606,37,6583,384000,6593,594000,6596,594000,6600,0,6592,55,6595,60,6599,50,6600,0,
6697,3,6696,255,6697,1549329,389275,6698,200000,6698,37,6683,1026000,6686,1026000,6693,918000,6696,0,6686,50,6692,66,6695,55,6697,0,
6803,3,6801,255,6803,1533957,373903,6804,200000,6805,37,6784,1026000,6787,1026000,6798,1026000,6802,0,6786,54,6798,50,6800,54,6803,0,
6900,3,6896,255,6898,1676087,516033,6900,200000,6901,49,6885,1026000,6889,1026000,6893,1026000,6897,0,6887,66,6891,77,6895,54,6898,0,
6994,3,6990,255,6994,1773770,613716,6994,200000,6995,49,6985,1026000,6987,1512000,6988,1026000,6992,0,6987,44,6988,54,6989,40,6993,0,
7098,3,7096,255,7098,1459059,299005,7099,200000,7100,49,7086,1026000,7089,1026000,7091,1026000,7097,0,7088,37,7090,25,7095,37,7098,0,
7198,3,7195,255,7198,1480925,320871,7199,200000,7201,49,7186,1026000,7189,1026000,7192,1026000,7195,0,7189,33,7191,22,7193,50,7198,0,
7300,3,7298,255,7300,1710303,550249,7301,200000,7302,49,7287,918000,7290,1026000,7292,1026000,7298,0,7289,63,7292,55,7294,60,7300,0,
7401,3,7396,255,7401,1735814,575760,7402,200000,7403,49,7388,918000,7391,1026000,7393,1026000,7400,0,7390,63,7393,72,7395,50,7401,0,
7498,3,7496,255,7498,1608478,448424,7499,200000,7501,49,7488,1026000,7491,1026000,7493,1026000,7497,0,7490,60,7493,40,7496,40,7498,0,
7594,3,7593,255,7594,2541569,1381515,7594,200000,7595,49,7588,1512000,7590,1512000,7592,1512000,7593,0,7590,62,7591,77,7593,72,7594,0,
7700,3,7698,255,7700,1466348,306294,7705,200000,7707,49,7690,1026000,7692,1026000,7695,1026000,7699,0,7692,40,7695,25,7698,36,7699,0,
7806,3,7802,255,7806,1739674,579620,7807,200000,7811,49,7790,1026000,7797,1026000,7799,1026000,7805,0,7796,50,7798,66,7801,60,7805,0,
7901,3,7899,255,7900,1593900,433846,7901,200000,7902,52,7891,1026000,7894,1026000,7896,1026000,7899,0,7893,55,7896,44,7898,37,7900,0,
8003,3,8002,255,8003,1734617,574563,8004,200000,8006,52,7993,1026000,7996,1026000,7999,1026000,8002,0,7995,50,7998,70,8001,45,8003,0,
8102,3,8100,255,8101,1705462,545408,8102,200000,8103,52,8092,1026000,8096,1026000,8098,1026000,8101,0,8095,57,8097,50,8100,50,8101,0,
8205,3,8203,255,8205,1617997,457943,8206,200000,8206,52,8194,1026000,8197,1026000,8200,1026000,8204,0,8196,36,8199,53,8202,44,8204,0,
8305,3,8303,255,8305,1727328,567274,8305,200000,8307,52,8296,1026000,8299,1026000,8301,1026000,8304,0,8298,66,8301,42,8303,55,8304,0,
8410,3,8408,255,8410,1386072,226018,8411,200000,8413,52,8397,1026000,8402,702000,8405,702000,8409,0,8401,33,8404,40,8408,25,8410,0,
8508,3,8506,255,8507,1745180,585126,8508,200000,8509,52,8498,1026000,8501,918000,8504,1026000,8507,0,8500,50,8503,57,8505,70,8507,0,
8610,3,8608,255,8610,1541466,381412,8611,200000,8612,52,8600,1026000,8604,1026000,8606,1026000,8609,0,8603,37,8605,45,8608,30,8610,0,
8743,3,8735,255,8743,1825725,665671,8747,200000,8755,52,8700,1026000,8707,1026000,8727,1026000,8739,0,8704,55,8712,60,8730,75,8741,0,
8811,3,8809,255,8811,2777707,1617653,8812,200000,8812,52,8803,1512000,8805,1512000,8807,1026000,8810,1026000,8805,77,8807,100,8809,77,8811,42,
8913,3,8911,255,8913,2252130,1092076,8914,200000,8914,53,8905,1512000,8907,1512000,8909,1026000,8911,1026000,8907,30,8909,100,8911,30,8913,33,
9013,3,9011,255,9013,2457968,1297914,9013,200000,9014,53,9004,1512000,9007,1512000,9009,1026000,9011,1026000,9006,44,9008,100,9010,50,9012,40,
9117,3,9115,255,9116,2167928,1007874,9118,200000,9119,53,9106,1026000,9110,1512000,9113,1026000,9115,0,9109,53,9112,100,9114,40,9116,0,
9214,3,9213,255,9214,2439860,1279806,9214,200000,9215,53,9208,1512000,9210,1512000,9212,1026000,9214,0,9210,80,9211,80,9213,55,9214,0,
9322,3,9320,255,9321,2193439,1033385,9322,200000,9323,53,9310,1026000,9315,1512000,9318,1026000,9321,0,9315,50,9317,100,9319,50,9321,0,
9420,3,9418,255,9420,2375656,1215602,9421,200000,9421,53,9413,1026000,9415,1512000,9417,1026000,9419,1026000,9414,55,9416,100,9418,55,9420,40,
9523,3,9521,255,9523,2226238,1066184,9524,200000,9524,53,9514,1026000,9517,1512000,9519,1026000,9522,1026000,9516,33,9519,100,9521,40,9523,36,
9623,3,9621,255,9622,2324635,1164581,9623,200000,9624,53,9614,1026000,9617,1512000,9619,1026000,9621,1026000,9616,50,9618,100,9620,44,9622,42,
9728,3,9725,255,9728,2182505,1022451,9728,200000,9729,53,9715,1026000,9721,1512000,9723,1026000,9725,1026000,9720,45,9723,100,9724,22,9727,30,
9827,3,9824,255,9826,2193439,1033385,9827,200000,9828,53,9817,1026000,9821,1512000,9823,1026000,9825,1026000,9820,44,9822,100,9824,40,9826,16,
9928,3,9926,255,9928,2277259,1117205,9929,200000,9930,45,9919,1026000,9922,1512000,9924,1026000,9927,1026000,9922,36,9924,100,9926,37,9928,50,
10028,3,10026,255,10028,2231223,1071169,10029,200000,10030,45,10020,1026000,10022,1512000,10025,1026000,10027,1026000,10022,50,10024,100,10026,41,10028,45,
10130,3,10128,255,10130,1997985,837931,10130,200000,10131,45,10121,1026000,10124,1512000,10126,1026000,10128,1026000,10123,33,10126,100,10127,14,10130,25,
10233,3,10230,255,10233,2253089,1093035,10233,200000,10234,45,10224,1026000,10226,1512000,10229,1026000,10231,1026000,10226,44,10228,100,10230,58,10232,40,
10331,3,10329,255,10330,2227579,1067525,10331,200000,10332,45,10322,1026000,10324,1512000,10327,1026000,10329,1026000,10324,50,10326,100,10328,60,10330,25,
10435,3,10433,255,10435,2092738,932684,10436,200000,10437,45,10422,1026000,10426,1512000,10431,1026000,10434,1026000,10425,40,10431,100,10433,36,10435,22,
10535,3,10532,255,10535,2161980,1001926,10535,200000,10536,45,10523,1026000,10528,1512000,10531,1026000,10533,1026000,10527,40,10530,100,10532,40,10535,37,
10635,3,10633,255,10635,2220290,1060236,10635,200000,10636,45,10623,1026000,10625,1512000,10631,1026000,10633,1026000,10625,33,10630,100,10632,50,10635,50,
10735,3,10732,255,10735,2132826,972772,10735,200000,10736,45,10724,1026000,10726,1512000,10730,1026000,10733,1026000,10725,40,10729,100,10732,33,10734,36,
10837,3,10835,255,10837,2158336,998282,10838,200000,10838,45,10824,1026000,10826,1512000,10828,1026000,10836,0,10826,66,10828,100,10835,50,10837,0,
