App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 04:52:38 PM","17 sec","Trepn_2018.10.21_165237.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
66,3,64,255,66,2920216,1740332,67,320000,6,0,58,1512000,60,1512000,62,1512000,64,1512000,60,100,62,100,64,100,66,50,
166,3,164,255,166,2988619,1808735,167,320000,67,0,159,1512000,161,1512000,162,1512000,164,1512000,160,88,162,72,164,100,166,100,
267,3,265,255,267,2598723,1418839,268,320000,167,0,260,1512000,262,1512000,263,1512000,266,1512000,261,63,263,40,265,100,267,100,
368,3,366,255,367,2133583,953699,368,320000,268,0,360,1512000,362,1512000,364,1512000,366,1512000,362,100,363,36,365,66,367,33,
470,3,467,255,470,1771048,591164,470,320000,369,0,461,1512000,463,1512000,465,1512000,469,0,462,60,464,22,466,100,470,0,
567,3,567,255,567,2113062,933178,568,320000,471,0,561,1512000,563,1512000,565,1512000,567,0,563,77,564,55,566,100,567,0,
669,3,667,255,668,1709485,529601,669,320000,568,0,661,1512000,663,1512000,665,1512000,667,0,663,33,665,90,666,50,668,0,
769,3,767,255,769,2626084,1446200,770,320000,670,0,762,1512000,764,1512000,766,1512000,768,1512000,763,100,765,90,767,77,769,40,
876,3,870,255,876,2927057,1747173,878,320000,771,0,864,1512000,867,1512000,869,1512000,871,1512000,866,90,868,90,870,90,876,81,
972,3,970,255,972,2439527,1259643,972,320000,879,0,965,1512000,967,1512000,968,1512000,970,1134000,966,70,968,66,969,100,972,70,
1072,3,1071,255,1072,1662720,482836,1073,320000,973,0,1065,1512000,1067,1512000,1069,1512000,1071,1026000,1067,44,1069,41,1070,46,1072,66,
1173,3,1171,255,1173,886865,0,1173,320000,1074,0,1166,1512000,1168,1134000,1170,1026000,1171,1026000,1168,20,1169,20,1171,18,1173,20,
1273,3,1272,255,1273,790474,0,1274,320000,1174,0,1266,1512000,1268,1026000,1270,1026000,1272,1026000,1268,20,1270,10,1271,0,1273,25,
1398,3,1392,255,1398,621916,0,1400,320000,1274,0,1369,384000,1376,384000,1388,0,1396,0,1373,60,1386,50,1390,0,1398,0,
1474,3,1473,255,1474,1237505,57621,1474,200000,1403,0,1468,1512000,1470,1512000,1472,0,1473,0,1470,60,1472,44,1472,0,1473,0,
1578,3,1576,255,1577,1223825,43941,1578,128000,1475,0,1569,1512000,1572,1512000,1575,0,1576,0,1571,22,1574,80,1575,0,1577,0,
1630,3,1625,255,1629,1661603,481719,1630,128000,1579,0,1619,1512000,1621,1512000,1622,0,1627,0,1620,66,1622,100,1624,0,1628,0,
1725,3,1723,255,1725,1723166,543282,1725,128000,1632,0,1719,1512000,1721,1512000,1722,0,1724,0,1721,75,1722,100,1723,0,1724,0,
1827,3,1826,255,1827,939859,0,1828,128000,1726,20,1820,1512000,1822,1512000,1824,1026000,1826,0,1821,12,1823,11,1825,37,1827,0,
1930,3,1928,255,1930,720579,0,1931,128000,1829,20,1920,1026000,1923,1026000,1926,1026000,1929,0,1923,0,1925,0,1928,20,1930,0,
2027,3,2025,255,2027,1242234,62350,2027,128000,1931,20,2021,1512000,2023,1026000,2024,0,2025,0,2022,72,2024,28,2025,0,2026,0,
2128,3,2127,255,2128,882895,0,2128,128000,2028,20,2121,1512000,2124,1026000,2126,0,2127,0,2123,20,2125,27,2126,0,2128,0,
2227,3,2226,255,2227,951298,0,2227,128000,2129,20,2221,1512000,2223,1026000,2225,0,2226,0,2223,30,2225,27,2226,0,2227,0,
2334,3,2332,255,2334,759801,0,2335,128000,2228,20,2322,594000,2327,1026000,2330,0,2332,0,2326,20,2329,22,2331,0,2334,0,
