App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 05:03:06 PM","17 sec","Trepn_2018.10.21_170305.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
17,3,16,255,17,2085701,925698,17,320000,18,0,11,1512000,13,1512000,14,1512000,16,0,12,100,14,100,16,28,17,0,
122,3,117,255,122,2222507,1062504,122,320000,123,0,112,1512000,114,1512000,115,1512000,118,1512000,113,62,115,90,117,60,121,36,
220,3,218,255,220,2756049,1596046,221,320000,221,0,212,1512000,214,1512000,217,1512000,219,1512000,214,66,216,60,218,100,220,100,
322,3,319,255,322,2578202,1418199,323,320000,323,0,313,1512000,315,1512000,317,1512000,320,1512000,314,63,316,37,319,100,322,100,
421,3,419,255,421,2263549,1103546,421,320000,422,0,413,1512000,415,1512000,417,1512000,419,1512000,415,60,416,61,418,33,420,100,
521,3,519,255,521,1862605,702602,521,320000,522,0,514,1512000,516,1512000,517,1026000,519,1512000,515,70,517,11,518,27,520,100,
624,3,622,255,624,1821115,661112,625,320000,626,0,614,1512000,617,1512000,620,1026000,623,1512000,616,36,619,40,622,25,624,100,
722,3,721,255,722,1275833,115830,723,320000,724,0,715,1134000,717,1026000,719,1512000,722,0,716,22,718,11,720,90,722,0,
836,3,830,255,836,2448236,1288233,837,320000,837,0,820,1512000,823,1512000,825,1512000,830,0,823,91,825,100,827,90,836,20,
932,3,928,255,932,3193828,2033825,933,400000,934,0,921,1512000,923,1512000,925,1512000,929,1512000,923,100,925,90,927,100,931,100,
1029,3,1026,255,1028,2108293,948290,1029,400000,1030,0,1022,1512000,1023,1512000,1025,1512000,1027,1026000,1023,55,1024,72,1026,75,1028,55,
1129,3,1127,255,1129,1716326,556323,1130,320000,1130,0,1122,1512000,1124,1512000,1126,1512000,1128,1512000,1124,44,1125,37,1127,33,1129,60,
1229,3,1228,255,1229,902331,0,1229,320000,1230,0,1223,1512000,1225,1512000,1226,1512000,1228,0,1224,22,1226,11,1227,22,1229,0,
1351,3,1349,255,1351,655544,0,1352,320000,1353,0,1325,384000,1341,1026000,1347,0,1349,0,1339,44,1344,25,1348,0,1350,0,
1432,3,1430,255,1432,962150,0,1433,320000,1433,0,1424,1026000,1427,1026000,1429,1512000,1431,0,1426,55,1428,44,1430,11,1431,0,
1538,3,1537,255,1538,761003,0,1539,320000,1540,0,1525,1026000,1530,384000,1534,1026000,1537,0,1528,20,1533,27,1536,38,1538,0,
1645,3,1644,255,1645,762905,0,1645,320000,1647,0,1626,1026000,1630,918000,1643,0,1644,0,1629,28,1640,44,1643,0,1645,0,
1742,3,1740,255,1742,761754,0,1743,200000,1744,0,1728,594000,1735,1026000,1738,0,1740,0,1734,54,1737,41,1739,0,1741,0,
1834,3,1833,255,1834,1593200,433197,1835,200000,1835,0,1827,1512000,1829,1512000,1831,1512000,1833,0,1828,55,1830,75,1833,26,1834,0,
1969,3,1955,255,1969,1490596,330593,1969,128000,1970,0,1928,1512000,1936,1512000,1944,1512000,1956,0,1933,0,1941,41,1950,100,1968,0,
2034,3,2033,255,2034,1771048,611045,2035,128000,2035,0,2028,1512000,2030,1512000,2032,1512000,2034,0,2030,55,2031,72,2033,55,2034,0,
2137,3,2135,255,2136,741246,0,2137,128000,2138,14,2128,1026000,2131,1026000,2133,1512000,2136,0,2130,9,2133,20,2135,16,2136,0,
2237,3,2235,255,2236,868679,0,2237,128000,2238,14,2229,1026000,2231,1026000,2233,1512000,2236,0,2231,12,2233,38,2235,11,2236,0,
2345,3,2343,255,2344,742322,0,2347,128000,2348,14,2330,1026000,2336,384000,2342,0,2344,0,2335,30,2341,25,2343,0,2344,0,
2442,3,2441,255,2442,945824,0,2443,128000,2444,14,2432,1026000,2437,918000,2439,0,2441,0,2435,54,2439,45,2440,0,2442,0,
2543,3,2541,255,2543,884545,0,2544,128000,2545,14,2533,1026000,2537,1026000,2540,0,2542,0,2535,45,2539,30,2540,0,2543,0,
2651,3,2649,255,2651,815638,0,2652,128000,2653,14,2633,918000,2636,1026000,2640,0,2650,0,2635,37,2639,25,2641,0,2651,0,
2743,3,2741,255,2742,877256,0,2744,128000,2744,14,2733,1026000,2737,1026000,2740,0,2741,0,2736,40,2739,33,2740,0,2742,0,
2845,3,2842,255,2844,928337,0,2846,128000,2847,14,2834,918000,2838,1026000,2841,0,2843,0,2837,50,2840,45,2842,0,2844,0,
2948,3,2944,255,2945,972009,0,2957,128000,2957,14,2934,1026000,2938,1026000,2942,0,2944,0,2937,33,2940,66,2943,0,2945,0,
3041,3,3040,255,3040,1134105,0,3041,128000,3042,14,3034,1026000,3037,1512000,3039,0,3040,0,3036,44,3038,53,3039,0,3040,0,
3140,3,3140,255,3140,881968,0,3141,128000,3142,14,3135,1026000,3137,1512000,3139,0,3140,0,3136,33,3138,22,3139,0,3140,0,
3244,3,3240,255,3243,935346,0,3245,128000,3246,17,3235,1026000,3238,1512000,3240,0,3241,0,3237,27,3239,33,3240,0,3243,0,
3347,3,3346,255,3347,811717,0,3348,128000,3349,17,3336,486000,3342,918000,3344,0,3346,0,3340,37,3344,45,3345,0,3347,0,
3445,3,3444,255,3445,928352,0,3446,128000,3450,17,3437,918000,3440,1026000,3443,0,3444,0,3439,50,3442,40,3443,0,3445,0,
3547,3,3545,255,3546,766334,0,3548,128000,3549,17,3537,384000,3541,1026000,3544,0,3546,0,3540,40,3543,28,3545,0,3546,0,
3649,3,3646,255,3648,960416,0,3650,128000,3651,17,3638,918000,3641,1026000,3644,0,3647,0,3641,45,3643,53,3644,0,3648,0,
3752,3,3748,255,3752,691714,0,3753,128000,3757,17,3739,384000,3742,486000,3746,0,3749,0,3741,37,3745,25,3747,0,3751,0,
3845,3,3844,255,3845,1450290,290287,3846,128000,3847,17,3839,1512000,3841,1512000,3843,0,3844,0,3840,60,3842,60,3843,0,3845,0,
3945,3,3944,255,3945,854231,0,3945,128000,3946,17,3939,1512000,3942,1026000,3943,0,3944,0,3941,27,3943,11,3944,0,3945,0,
4052,3,4051,255,4052,900205,0,4053,128000,4054,17,4040,1512000,4045,1026000,4049,0,4051,0,4041,22,4048,33,4050,0,4052,0,
4172,3,4156,255,4169,713553,0,4181,128000,4188,17,4141,486000,4147,486000,4151,0,4159,0,4145,50,4150,20,4153,0,4167,0,
4248,3,4247,255,4248,1792304,632301,4248,128000,4249,18,4241,1512000,4243,1512000,4246,0,4247,0,4243,80,4245,90,4247,0,4248,0,
4347,3,4346,255,4347,943346,0,4348,128000,4348,18,4341,1512000,4344,1512000,4345,0,4346,0,4343,20,4345,25,4346,0,4347,0,
4453,3,4452,255,4453,877129,0,4454,128000,4455,18,4442,1512000,4445,1026000,4451,0,4452,0,4445,22,4450,25,4452,0,4453,0,
4560,3,4557,255,4559,809472,0,4562,128000,4566,18,4544,918000,4550,384000,4555,0,4558,0,4548,44,4554,45,4556,0,4559,0,
4657,3,4655,255,4656,970814,0,4657,128000,4659,18,4645,1026000,4650,1026000,4653,0,4655,0,4647,50,4653,42,4654,0,4656,0,
4754,3,4753,255,4754,777663,0,4755,128000,4756,18,4745,1026000,4749,1026000,4752,0,4753,0,4749,25,4751,14,4753,0,4754,0,
4858,3,4855,255,4857,923404,0,4858,128000,4859,18,4846,918000,4849,918000,4854,0,4856,0,4849,54,4853,40,4855,0,4857,0,
