App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 05:53:05 PM","17 sec","Trepn_2018.10.21_175304.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
73,3,71,255,72,1730006,565849,73,320000,74,0,46,1512000,65,1512000,67,1512000,72,0,65,66,67,100,70,10,72,0,
154,3,153,255,154,2578202,1414045,154,320000,155,0,146,1512000,149,1512000,151,1512000,153,0,149,100,151,100,152,100,154,0,
253,3,252,255,253,2352472,1188315,254,320000,254,0,247,1512000,249,1512000,250,1512000,253,0,248,90,250,77,252,100,253,0,
354,3,352,255,354,2578202,1414045,354,320000,355,0,347,1512000,349,1512000,351,1512000,352,1512000,349,80,350,100,352,100,354,20,
455,3,453,255,455,2407195,1243038,455,320000,456,0,448,1512000,450,1512000,451,1512000,453,1512000,449,50,451,80,453,100,455,45,
556,3,554,255,556,1962576,798419,556,320000,557,0,548,1512000,550,1512000,552,1512000,554,1512000,550,25,551,30,553,100,555,55,
655,3,654,255,655,2133583,969426,656,320000,656,0,649,1512000,651,1512000,652,1512000,655,0,650,77,652,58,654,100,655,0,
762,3,761,255,762,2003618,839461,763,320000,763,0,749,1512000,755,1512000,758,1512000,761,0,754,60,756,90,760,66,762,0,
859,3,856,255,858,2783411,1619254,859,320000,860,0,850,1512000,852,1512000,854,1512000,856,1512000,851,90,853,100,855,90,858,50,
962,3,957,255,962,2886015,1721858,963,400000,964,0,951,1512000,953,1512000,955,1512000,960,1512000,953,100,954,81,956,81,962,83,
1057,3,1055,255,1057,2017298,853141,1058,400000,1058,0,1051,1512000,1053,1512000,1054,1512000,1056,1512000,1052,40,1054,75,1055,37,1057,66,
1159,3,1157,255,1159,1587420,423263,1160,320000,1160,0,1152,1512000,1154,1512000,1156,1512000,1157,1026000,1153,37,1155,50,1157,25,1159,81,
1258,3,1257,255,1258,779206,0,1259,320000,1260,0,1252,1512000,1254,1512000,1255,1512000,1257,0,1253,14,1255,11,1256,12,1258,0,
1360,3,1359,255,1360,868685,0,1361,320000,1361,0,1352,1026000,1355,1026000,1358,0,1359,0,1355,50,1357,44,1358,0,1360,0,
