App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 05:44:13 PM","17 sec","Trepn_2018.10.21_174412.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
42,3,41,255,42,2578202,1331947,43,320000,43,0,36,1512000,38,1512000,40,1512000,42,0,38,100,39,100,41,100,42,0,
148,3,143,255,148,2582686,1336431,148,320000,149,0,137,1512000,139,1512000,141,1512000,143,1026000,139,90,141,100,142,100,144,20,
245,3,243,255,244,2783411,1537156,245,320000,246,0,237,1512000,239,1512000,241,1512000,243,1512000,239,70,241,100,242,100,244,60,
345,3,343,255,345,2188305,942050,345,320000,346,0,338,1512000,340,1512000,341,1512000,343,1512000,339,58,341,30,342,100,344,55,
446,3,444,255,446,1784728,538473,447,320000,447,0,438,1512000,440,1512000,442,1512000,444,1512000,440,50,441,12,443,100,446,22,
551,3,547,255,550,2085701,839446,552,320000,553,0,539,1512000,541,1512000,543,1512000,550,0,541,57,542,90,546,81,550,0,
652,3,650,255,652,2653445,1407190,654,320000,655,0,644,1512000,647,1512000,648,1512000,651,1512000,646,70,648,90,650,80,652,71,
704,3,701,255,704,2735529,1489274,704,320000,705,0,695,1512000,697,1512000,699,1512000,701,1512000,696,100,698,60,701,80,703,83,
833,3,809,255,817,2995459,1749204,834,400000,835,0,795,1512000,797,1512000,799,1512000,810,1512000,797,81,798,90,800,100,814,90,
903,3,901,255,903,2844973,1598718,903,400000,904,0,895,1512000,897,1512000,899,1512000,901,1512000,897,88,899,80,900,90,902,81,
1003,3,1001,255,1003,1661041,414786,1003,400000,1004,0,996,1512000,998,1512000,1000,1512000,1001,1026000,998,54,999,60,1001,37,1003,28,
1102,3,1101,255,1102,858485,0,1103,400000,1103,0,1096,1512000,1098,1512000,1099,1512000,1101,1026000,1098,11,1099,18,1100,10,1102,18,
1218,3,1216,255,1218,625130,0,1220,400000,1223,0,1198,1026000,1203,384000,1215,0,1217,0,1202,20,1213,30,1215,0,1218,0,
1304,3,1303,255,1304,1399088,152833,1305,320000,1306,0,1298,1026000,1300,1512000,1302,0,1303,0,1300,80,1302,85,1303,0,1304,0,
1404,3,1403,255,1404,758685,0,1405,320000,1408,0,1398,1512000,1400,1512000,1402,0,1403,0,1400,22,1401,12,1402,0,1404,0,
1503,3,1502,255,1503,881810,0,1503,200000,1504,0,1498,1512000,1500,1512000,1502,0,1502,0,1500,22,1501,30,1502,0,1503,0,
1625,3,1616,255,1625,645964,0,1626,200000,1632,0,1599,1026000,1603,384000,1611,0,1620,0,1602,25,1606,33,1615,0,1624,0,
1709,3,1707,255,1709,1112856,0,1710,128000,1710,19,1700,1026000,1704,1026000,1706,0,1708,0,1703,80,1706,81,1707,0,1708,0,
1805,3,1804,255,1805,1701857,455602,1806,128000,1806,19,1800,1512000,1802,1512000,1804,0,1805,0,1802,55,1803,100,1804,0,1805,0,
1909,3,1907,255,1909,1503489,257234,1910,128000,1911,19,1901,1512000,1905,1512000,1906,0,1908,0,1904,90,1906,36,1907,0,1908,0,
2007,3,2006,255,2007,963106,0,2008,128000,2008,19,2001,1512000,2003,1512000,2005,0,2006,0,2003,25,2004,22,2005,0,2007,0,
2107,3,2106,255,2107,1106752,0,2108,128000,2108,19,2101,1512000,2103,1512000,2105,0,2106,0,2103,41,2104,27,2105,0,2107,0,
2212,3,2211,255,2212,798937,0,2213,128000,2214,19,2202,1026000,2207,384000,2210,0,2211,0,2205,36,2209,30,2210,0,2212,0,
2311,3,2310,255,2311,914969,0,2312,128000,2313,19,2303,1026000,2306,918000,2308,0,2310,0,2305,54,2307,25,2309,0,2311,0,
