App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 05:18:24 PM","17 sec","Trepn_2018.10.21_171823.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
46,3,35,255,46,2195146,971892,47,320000,48,0,8,1512000,31,1512000,33,1512000,35,0,31,72,33,72,34,100,46,0,
117,3,114,255,117,2731265,1508011,117,320000,118,0,108,1512000,110,1512000,112,1512000,115,1026000,110,100,112,100,114,100,116,42,
217,3,214,255,217,2783411,1560157,217,320000,218,0,209,1512000,211,1512000,213,1512000,214,1512000,211,70,212,60,214,100,216,100,
317,3,315,255,317,2188305,965051,317,320000,318,0,309,1512000,311,1512000,313,1512000,315,1512000,311,50,313,33,314,100,317,60,
417,3,415,255,417,2037819,814565,418,320000,418,0,410,1512000,412,1512000,414,1512000,416,1512000,411,77,413,22,415,100,417,22,
518,3,516,255,518,1962576,739322,519,320000,519,0,510,1512000,512,1512000,514,1512000,517,0,512,44,513,66,516,100,518,0,
618,3,617,255,618,1894173,670919,618,320000,619,0,610,1512000,613,1512000,615,1512000,617,0,612,50,614,50,616,100,618,0,
718,3,717,255,718,1661603,438349,718,320000,719,0,711,1512000,713,1512000,715,1512000,717,0,713,45,714,88,716,33,718,0,
827,3,823,255,827,2509799,1286545,830,320000,832,0,812,1512000,814,1512000,820,1512000,826,0,813,100,819,100,822,90,827,0,
925,3,920,255,925,2475598,1252344,925,320000,926,0,912,1512000,914,1512000,916,1512000,920,1512000,913,81,915,80,919,88,925,36,
