App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 05:27:17 PM","17 sec","Trepn_2018.10.21_172716.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
37,3,36,255,37,2379834,1271200,38,320000,39,0,24,1512000,31,1512000,33,1512000,36,0,30,88,33,100,35,83,37,0,
134,3,131,255,134,2858654,1750020,135,320000,135,0,125,1512000,128,1512000,129,1512000,131,1512000,127,81,129,100,131,100,134,60,
235,3,233,255,235,2803931,1695297,236,320000,236,0,225,1512000,229,1512000,231,1512000,234,1512000,227,63,231,100,233,100,235,70,
333,3,331,255,333,2502959,1394325,334,320000,335,0,325,1512000,327,1512000,329,1512000,331,1512000,327,62,329,100,331,77,333,50,
434,3,432,255,434,1894173,785539,434,320000,435,0,426,1512000,428,1512000,430,1512000,432,1512000,427,55,430,100,431,0,434,45,
535,3,533,255,535,2195146,1086512,536,320000,537,0,526,1512000,528,1512000,530,1512000,534,0,528,72,529,100,533,72,535,0,
633,3,632,255,633,2051500,942866,633,320000,634,0,626,1512000,628,1512000,630,1512000,632,0,628,60,629,100,632,63,633,0,
733,3,732,255,733,1641082,532448,733,320000,734,0,727,1512000,729,1512000,730,1512000,732,0,728,27,730,100,732,36,733,0,
895,3,892,255,895,3022821,1914187,896,320000,896,0,885,1512000,887,1512000,889,1512000,893,1512000,887,100,889,93,891,100,894,72,
943,3,940,255,943,3125425,2016791,944,320000,944,0,935,1512000,937,1512000,939,1512000,941,1512000,937,100,938,80,940,100,942,100,
1043,3,1041,255,1043,2290910,1182276,1043,320000,1044,0,1035,1512000,1037,1512000,1039,1512000,1041,1512000,1037,58,1038,90,1040,60,1043,50,
1143,3,1141,255,1143,1914694,806060,1143,320000,1144,0,1136,1512000,1138,1512000,1140,1512000,1141,1512000,1138,63,1139,50,1141,50,1143,40,
1246,3,1243,255,1246,839530,0,1247,320000,1247,0,1237,1026000,1239,1026000,1241,1026000,1244,1026000,1239,25,1241,20,1243,11,1246,30,
1358,3,1353,255,1358,714818,0,1359,320000,1361,0,1338,1026000,1343,1026000,1348,1026000,1354,384000,1342,20,1346,18,1352,9,1357,20,
1454,3,1449,255,1453,659365,0,1455,320000,1456,0,1438,594000,1442,384000,1446,384000,1450,384000,1441,30,1445,33,1448,20,1453,45,
1551,3,1548,255,1550,800059,0,1551,320000,1552,0,1539,1026000,1542,384000,1545,1026000,1549,0,1541,28,1544,30,1547,40,1550,0,
1666,3,1664,255,1666,613207,0,1667,200000,1670,0,1648,384000,1655,384000,1662,0,1665,0,1653,50,1661,50,1663,0,1665,0,
1746,3,1745,255,1746,1743687,635053,1747,128000,1762,19,1741,1512000,1743,1512000,1744,0,1746,0,1742,90,1744,88,1745,0,1746,0,
1846,3,1845,255,1846,1804461,695827,1847,128000,1847,19,1841,1512000,1843,1512000,1845,0,1846,0,1843,70,1844,100,1845,0,1846,0,
1947,3,1946,255,1947,1325641,217007,1947,128000,1949,19,1941,1512000,1944,1512000,1945,0,1946,0,1943,25,1945,75,1945,0,1946,0,
2047,3,2046,255,2047,1086141,0,2047,128000,2048,19,2042,1134000,2044,1512000,2045,0,2046,0,2043,40,2045,40,2046,0,2047,0,
2148,3,2147,255,2147,935631,0,2148,128000,2149,19,2142,1026000,2144,1512000,2146,0,2147,0,2144,30,2146,27,2146,0,2147,0,
2253,3,2252,255,2253,812897,0,2254,128000,2255,19,2244,1026000,2248,1026000,2251,0,2252,0,2247,20,2250,27,2251,0,2253,0,
2354,3,2352,255,2354,1006048,0,2355,128000,2357,19,2344,1026000,2347,1026000,2350,0,2353,0,2346,50,2349,50,2351,0,2354,0,
2454,3,2452,255,2454,791031,0,2455,128000,2456,19,2445,1026000,2448,1026000,2450,0,2453,0,2447,11,2450,30,2451,0,2453,0,
2558,3,2557,255,2558,1031558,0,2559,128000,2560,19,2545,1026000,2553,1026000,2556,0,2557,0,2548,54,2555,53,2557,0,2558,0,
2664,3,2663,255,2664,882140,0,2665,128000,2666,19,2646,1026000,2656,1026000,2662,0,2663,0,2653,33,2661,33,2662,0,2664,0,
2756,3,2755,255,2756,1100801,0,2757,128000,2758,19,2746,1026000,2750,1026000,2754,0,2755,0,2749,69,2753,57,2754,0,2756,0,
2856,3,2853,255,2856,842052,0,2863,128000,2867,19,2846,1026000,2850,1026000,2852,0,2854,0,2849,22,2852,33,2853,0,2855,0,
2952,3,2951,255,2951,1790781,682147,2952,128000,2953,19,2946,1512000,2948,1512000,2950,0,2951,0,2948,88,2949,80,2950,0,2951,0,
3052,3,3051,255,3052,1257238,148604,3052,128000,3053,19,3047,1512000,3049,1512000,3050,0,3051,0,3048,50,3050,40,3051,0,3052,0,
3153,3,3152,255,3152,894703,0,3153,128000,3153,19,3147,1512000,3149,1512000,3151,0,3152,0,3149,12,3151,25,3151,0,3152,0,
3282,3,3279,255,3282,947738,0,3283,128000,3284,19,3248,1026000,3255,1026000,3271,0,3280,0,3252,44,3270,40,3276,0,3282,0,
3359,3,3355,255,3359,1908297,799663,3359,128000,3360,19,3348,1512000,3351,1512000,3353,1026000,3355,384000,3350,100,3352,66,3354,36,3357,0,
3456,3,3454,255,3456,2251208,1142574,3457,128000,3457,19,3449,1512000,3450,1512000,3452,1512000,3454,1026000,3450,90,3452,58,3454,66,3456,40,
3557,3,3555,255,3557,1701857,593223,3558,128000,3558,19,3549,1512000,3551,1512000,3552,1512000,3555,1026000,3550,100,3552,30,3555,25,3557,0,
3657,3,3655,255,3657,1505435,396801,3658,128000,3659,19,3650,1512000,3652,1026000,3654,1134000,3656,1026000,3651,90,3653,22,3655,18,3657,25,
3759,3,3757,255,3759,1173468,64834,3760,128000,3761,19,3751,1512000,3754,1026000,3756,1026000,3758,0,3753,33,3755,54,3757,30,3759,0,
3858,3,3857,255,3858,1220510,111876,3858,128000,3859,21,3851,1512000,3853,1026000,3855,1026000,3857,0,3852,50,3854,25,3856,40,3858,0,
3959,3,3958,255,3959,959619,0,3959,128000,3960,21,3951,1512000,3953,1026000,3956,1026000,3958,0,3953,25,3955,10,3957,27,3959,0,
4066,3,4064,255,4066,1163980,55346,4067,128000,4068,21,4052,1026000,4057,1026000,4061,1026000,4065,0,4056,50,4060,50,4063,40,4066,0,
4159,3,4158,255,4159,1023929,0,4160,200000,4161,21,4152,1512000,4155,1026000,4156,1026000,4159,0,4154,36,4156,12,4158,22,4159,0,
4271,3,4265,255,4270,1036044,0,4271,200000,4272,21,4254,594000,4259,1026000,4262,1026000,4265,0,4257,22,4261,22,4264,41,4266,0,
4366,3,4363,255,4366,1596629,487995,4367,200000,4368,21,4353,918000,4357,1026000,4360,1026000,4364,1026000,4356,66,4360,54,4363,77,4366,40,
4466,3,4463,255,4466,1088382,0,4467,200000,4467,21,4454,1026000,4457,1026000,4460,1026000,4463,1026000,4456,11,4459,30,4462,36,4465,10,
4567,3,4564,255,4567,1194842,86208,4568,200000,4569,21,4555,384000,4558,702000,4561,1026000,4564,1026000,4557,44,4560,37,4563,41,4566,44,
4666,3,4664,255,4666,1179827,71193,4667,128000,4667,21,4656,918000,4659,1026000,4662,1026000,4665,0,4658,37,4661,45,4663,36,4665,0,
4777,3,4772,255,4777,895252,0,4778,128000,4780,21,4756,384000,4761,1026000,4764,702000,4774,0,4760,33,4763,36,4771,40,4776,0,
4872,3,4869,255,4871,1307728,199094,4873,128000,4873,20,4856,918000,4862,1026000,4865,918000,4870,0,4861,75,4864,66,4868,60,4871,0,
4966,3,4964,255,4965,1674289,565655,4966,128000,4967,20,4958,1026000,4960,1026000,4962,1512000,4965,0,4960,44,4962,50,4964,100,4965,0,
5080,3,5079,255,5080,2426166,1317532,5081,200000,5082,20,5061,1512000,5065,1512000,5068,1512000,5080,0,5064,90,5067,90,5078,80,5080,0,
5167,3,5166,255,5167,2086662,978028,5168,200000,5169,20,5159,1512000,5162,1512000,5164,1512000,5166,0,5161,54,5163,90,5166,50,5167,0,
5268,3,5266,255,5268,2038780,930146,5269,400000,5270,20,5259,1512000,5261,1512000,5264,1512000,5266,0,5260,77,5263,60,5265,50,5268,0,
5367,3,5366,255,5367,2069743,961109,5367,400000,5368,20,5359,1512000,5361,1512000,5364,1512000,5366,0,5361,40,5364,45,5366,37,5367,0,
5470,3,5467,255,5470,1731707,623073,5471,400000,5472,20,5460,1512000,5462,1026000,5464,1512000,5468,0,5461,28,5463,33,5466,27,5469,0,
5571,3,5569,255,5570,1888080,779446,5572,400000,5573,20,5560,1512000,5563,1026000,5567,0,5569,0,5562,72,5564,44,5568,0,5570,0,
5677,3,5675,255,5677,1845130,736496,5677,400000,5678,20,5661,1512000,5663,1026000,5673,0,5676,0,5662,54,5671,66,5674,0,5677,0,
5787,3,5780,255,5786,2077643,969009,5788,400000,5789,47,5761,1512000,5763,1026000,5779,0,5783,0,5763,80,5778,81,5780,0,5784,0,
5880,3,5878,255,5880,3943642,2835008,5884,400000,5886,47,5862,1512000,5866,1512000,5876,1512000,5879,0,5863,90,5875,100,5877,66,5880,0,
