Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.467,20.467,screen bright,18.4536120892
0,20.467,20.467,wifi running,0.27558324292
0,20.467,20.467,phone_scanning,10.6989089372
0.0,11.506516,11.506516,core 0 cpu_idle start,0.171602426366
11.506516,12.116471,0.609955000007,core 0 cpu_idle,0.00909656389261
12.116471,12.122208,0.0057369999995,core 0 cpu_frequency,0.00423638036773
12.122208,12.166458,0.0442500000063,core 0 cpu_idle,0.000659922375094
12.166458,12.167069,0.000610999995843,core 0 cpu_frequency,0.00045118152123
12.167069,12.216568,0.0494990000007,core 0 cpu_idle,0.00073820333651
12.216568,12.217484,0.000916000004509,core 0 cpu_frequency,0.000463685431082
12.217484,12.270218,0.0527339999971,core 0 cpu_idle,0.000786448508957
12.270218,12.273758,0.00353999999061,core 0 cpu_frequency,0.00261404679506
12.273758,12.367203,0.0934450000059,core 0 cpu_idle,0.00139359200759
12.367203,12.367264,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
12.367264,12.416397,0.0491329999932,core 0 cpu_idle,0.000732744995398
12.416397,12.419785,0.00338800001191,core 0 cpu_frequency,0.00250180525319
12.419785,12.46669,0.0469049999956,core 0 cpu_idle,0.000699517717434
12.46669,12.467545,0.000855000005686,core 0 cpu_frequency,0.000395646635631
12.467545,12.517441,0.0498959999968,core 0 cpu_idle,0.000744123995952
12.517441,12.517472,3.10000032187e-05,core 0 cpu_frequency,1.75813139254e-05
12.517472,12.572434,0.0549619999947,core 0 cpu_idle,0.000819675786921
12.572434,12.75615,0.183716,core 0 cpu_frequency,0.187640486077
12.75615,12.919541,0.163390999995,core 0 cpu_idle,0.00243673167842
12.919541,12.919602,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
12.919602,12.967118,0.047516000006,core 0 cpu_idle,0.000708629866089
12.967118,12.967209,9.0999994427e-05,core 0 cpu_frequency,3.59057404011e-05
12.967209,13.016953,0.0497440000036,core 0 cpu_idle,0.000741857144053
13.016953,13.056198,0.0392450000072,core 0 cpu_frequency,0.0222573739836
13.056198,13.071152,0.0149539999984,core 0 cpu_idle,0.000223016478976
13.071152,13.071183,3.10000032187e-05,core 0 cpu_frequency,3.16622159874e-05
13.071183,13.322922,0.251738999999,core 0 cpu_idle,0.00375430957649
13.322922,13.322983,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
13.322983,13.367081,0.0440979999985,core 0 cpu_idle,0.000657655522977
13.367081,13.367142,6.09999988228e-05,core 0 cpu_frequency,2.40686841355e-05
13.367142,13.417038,0.0498959999968,core 0 cpu_idle,0.000744123995952
13.417038,13.430954,0.0139159999962,core 0 cpu_frequency,0.00789230771347
13.430954,13.516678,0.0857240000041,core 0 cpu_idle,0.00127844487406
13.516678,13.517319,0.000641000005999,core 0 cpu_frequency,0.00047333446773
13.517319,13.566391,0.0490719999943,core 0 cpu_idle,0.000731835271916
13.566391,13.567063,0.000671999994665,core 0 cpu_frequency,0.000496225829661
13.567063,13.616715,0.0496520000015,core 0 cpu_idle,0.000740485102023
13.616715,13.617935,0.00122000000556,core 0 cpu_frequency,0.000617572298815
13.617935,13.666855,0.0489200000011,core 0 cpu_idle,0.000729568420016
13.666855,13.667557,0.000702000004821,core 0 cpu_frequency,0.000398131650934
13.667557,13.767166,0.0996089999971,core 0 cpu_idle,0.00148551882146
13.767166,13.767258,9.20000020415e-05,core 0 cpu_frequency,3.63003120055e-05
13.767258,13.866867,0.0996089999971,core 0 cpu_idle,0.00148551882146
13.866867,13.867691,0.000824000002467,core 0 cpu_frequency,0.000467322619799
13.867691,14.016678,0.148986999993,core 0 cpu_idle,0.0022219176244
14.016678,14.01738,0.000702000004821,core 0 cpu_frequency,0.00051837877616
14.01738,14.067368,0.0499879999988,core 0 cpu_idle,0.000745496037983
14.067368,14.067459,9.0999994427e-05,core 0 cpu_frequency,3.59057404011e-05
14.067459,14.116928,0.049469000005,core 0 cpu_idle,0.000737755931575
14.116928,14.116989,6.09999988228e-05,core 0 cpu_frequency,3.45954844324e-05
14.116989,14.217179,0.100189999997,core 0 cpu_idle,0.00149418356496
14.217179,14.21724,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
14.21724,14.266403,0.0491630000033,core 0 cpu_idle,0.000733192400549
14.266403,14.266922,0.000518999993801,core 0 cpu_frequency,0.000383245840123
14.266922,14.316971,0.0500490000122,core 0 cpu_idle,0.000746405761682
14.316971,14.317032,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
14.317032,14.426438,0.109405999989,core 0 cpu_idle,0.00163162638083
14.426438,14.429703,0.00326500000665,core 0 cpu_frequency,0.00241097819941
14.429703,14.46666,0.0369570000039,core 0 cpu_idle,0.000551158219558
14.46666,14.467606,0.000946000000113,core 0 cpu_frequency,0.000698556009883
14.467606,14.516526,0.0489200000011,core 0 cpu_idle,0.000729568420016
14.516526,14.517594,0.00106799999776,core 0 cpu_frequency,0.000540628861265
14.517594,14.566696,0.0491019999899,core 0 cpu_idle,0.00073228267685
14.566696,14.570816,0.00412000001234,core 0 cpu_frequency,0.002336613099
14.570816,14.617539,0.0467229999922,core 0 cpu_idle,0.000696803460384
14.617539,14.6176,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
14.6176,14.666916,0.0493160000042,core 0 cpu_idle,0.000735474166062
14.666916,14.667008,9.20000020415e-05,core 0 cpu_frequency,6.79356811075e-05
14.667008,14.716995,0.0499869999912,core 0 cpu_idle,0.000745481124369
14.716995,14.717057,6.20000064373e-05,core 0 cpu_frequency,4.57827453535e-05
14.717057,14.866776,0.149718999994,core 0 cpu_idle,0.00223283430641
14.866776,14.866806,3.00000101561e-05,core 0 cpu_frequency,2.21529464996e-05
14.866806,14.916367,0.0495609999925,core 0 cpu_idle,0.000739127973389
14.916367,14.916916,0.000549000003957,core 0 cpu_frequency,0.000405398786622
14.916916,15.116959,0.200043000004,core 0 cpu_idle,0.00298334128057
15.116959,15.167893,0.050933999999,core 0 cpu_frequency,0.0520220368267
15.167893,15.316544,0.148650999996,core 0 cpu_idle,0.00221690668844
15.316544,15.316971,0.000427000006312,core 0 cpu_frequency,0.000381174152134
15.316971,15.52034,0.203368999995,core 0 cpu_idle,0.00303294358143
15.52034,15.520432,9.20000020415e-05,core 0 cpu_frequency,6.79356811075e-05
15.520432,15.62648,0.106048000001,core 0 cpu_idle,0.00158154684802
15.62648,15.626541,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
15.626541,15.666641,0.0400999999983,core 0 cpu_idle,0.000598031349975
15.666641,15.667588,0.000946999993175,core 0 cpu_frequency,0.000373656461507
15.667588,15.771744,0.104156000001,core 0 cpu_idle,0.00155333050602
15.771744,15.773056,0.0013120000076,core 0 cpu_frequency,0.00134002655816
15.773056,15.919724,0.146668000001,core 0 cpu_idle,0.00218733321802
15.919724,15.919785,6.09999988228e-05,core 0 cpu_frequency,4.50443084307e-05
15.919785,16.11641,0.196624999997,core 0 cpu_idle,0.00293236693745
16.11641,16.116654,0.000243999995291,core 0 cpu_frequency,0.000180177233723
16.116654,16.220383,0.103729000009,core 0 cpu_idle,0.00154696244164
16.220383,16.220413,2.99999956042e-05,core 0 cpu_frequency,3.06408465103e-05
16.220413,16.520066,0.299652999995,core 0 cpu_idle,0.00446887501542
16.520066,16.520096,3.00000101561e-05,core 0 cpu_frequency,2.21529464996e-05
16.520096,16.666489,0.146392999988,core 0 cpu_idle,0.00218323200532
16.666489,16.667099,0.00061000000278,core 0 cpu_frequency,0.000315544095438
16.667099,16.716965,0.0498660000012,core 0 cpu_idle,0.000743676591018
16.716965,16.717942,0.000977000003331,core 0 cpu_frequency,0.000385493523514
16.717942,16.770706,0.0527639999927,core 0 cpu_idle,0.000786895913892
16.770706,16.784165,0.0134590000089,core 0 cpu_frequency,0.00993854687326
16.784165,16.86705,0.0828849999962,core 0 cpu_idle,0.00123610544744
16.86705,16.880997,0.0139469999995,core 0 cpu_frequency,0.0142449316294
16.880997,17.116471,0.235474000001,core 0 cpu_idle,0.00351174149901
17.116471,17.117173,0.000702000004821,core 0 cpu_frequency,0.00051837877616
17.117173,17.316544,0.199370999995,core 0 cpu_idle,0.00297331940843
17.316544,17.317124,0.000579999992624,core 0 cpu_frequency,0.000428290148553
17.317124,17.366501,0.049377000003,core 0 cpu_idle,0.000736383889545
17.366501,17.367386,0.00088500000129,core 0 cpu_frequency,0.000447993018653
17.367386,17.416733,0.0493470000074,core 0 cpu_idle,0.00073593648461
17.416733,17.417893,0.0011599999998,core 0 cpu_frequency,0.000457699575921
17.417893,17.466995,0.0491019999899,core 0 cpu_idle,0.00073228267685
17.466995,17.467758,0.000763000003644,core 0 cpu_frequency,0.000563423084591
17.467758,17.616623,0.148864999996,core 0 cpu_idle,0.00222009817743
17.616623,17.617661,0.00103800000215,core 0 cpu_frequency,0.00040956220765
