App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 09:59:54 AM","17 sec","Trepn_2018.10.21_095953.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
36,3,25,255,35,2229347,864773,36,320000,37,0,94,1512000,21,1512000,23,1512000,34,0,21,100,23,100,25,49,35,0,
108,3,105,255,107,2496118,1131544,108,320000,110,0,194,1512000,96,1512000,99,1512000,106,0,96,100,98,88,105,100,107,0,
206,3,202,255,205,2325111,960537,206,320000,207,9,295,1512000,197,1512000,199,1512000,203,1512000,196,66,198,55,201,100,205,42,
302,3,300,255,302,3024356,1659782,302,320000,303,0,395,1512000,297,1512000,299,1512000,301,1512000,296,80,298,63,300,100,302,90,
403,3,401,255,403,1877631,513057,403,320000,404,0,496,1512000,397,1512000,399,1512000,401,1026000,397,44,398,36,400,100,403,33,
503,3,501,255,503,1797455,432881,504,320000,508,0,596,1512000,497,1512000,500,1512000,502,1026000,497,25,499,55,501,100,503,11,
603,3,602,255,603,2215667,851093,603,320000,604,0,697,1512000,598,1512000,600,1512000,602,0,597,66,599,81,601,100,602,0,
721,3,714,255,721,1818930,454356,722,320000,723,0,799,1512000,701,1512000,707,1512000,714,0,700,44,706,45,713,100,718,0,
807,3,805,255,807,2407195,1042621,808,320000,808,0,900,1512000,800,1512000,802,1512000,806,0,800,88,802,100,804,87,806,0,
908,3,906,255,908,3125425,1760851,909,400000,910,0,1000,1512000,902,1512000,904,1512000,906,1512000,902,100,903,90,905,90,908,100,
1007,3,1005,255,1007,1969416,604842,1008,400000,1008,0,1101,1134000,1002,1512000,1004,1512000,1006,1512000,1002,33,1003,62,1005,36,1007,80,
1115,3,1112,255,1114,1831235,466661,1115,400000,1116,0,1201,1026000,1103,1512000,1106,1026000,1113,1512000,1103,55,1106,50,1109,44,1114,83,
1208,3,1206,255,1208,2210897,846323,1209,400000,1211,0,1302,1026000,1203,1512000,1205,1512000,1207,1512000,1203,55,1205,80,1206,77,1208,60,
1308,3,1306,255,1308,1244175,0,1308,400000,1309,0,1402,1026000,1303,1512000,1305,1512000,1307,1512000,1303,45,1305,27,1306,36,1308,18,
1412,3,1409,255,1411,724484,0,1413,320000,1415,0,1503,1026000,1404,1512000,1407,1512000,1411,0,1404,0,1406,9,1408,20,1411,0,
1512,3,1510,255,1512,868685,0,1512,320000,1513,0,1604,384000,1506,1026000,1509,0,1511,0,1506,57,1508,37,1509,0,1511,0,
