Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.352,20.352,screen bright,17.4757088256
0,20.352,20.352,wifi running,0.26097939456
0,20.352,20.352,phone_scanning,10.1319468749
0.0,11.458885,11.458885,core 0 cpu_idle start,0.162750543655
11.458885,11.583397,0.124512000009,core 0 cpu_idle,0.00176844393613
11.583397,11.587212,0.00381500000367,core 0 cpu_frequency,0.00268290409358
11.587212,11.633507,0.0462950000074,core 0 cpu_idle,0.000657527885105
11.633507,11.716545,0.0830379999825,core 0 cpu_frequency,0.0807712784818
11.716545,11.983482,0.266937000008,core 0 cpu_idle,0.00379130621111
11.983482,11.983513,3.10000032187e-05,core 0 cpu_frequency,2.18007956635e-05
11.983513,12.083092,0.0995790000015,core 0 cpu_idle,0.00141432053702
12.083092,12.083122,2.99999956042e-05,core 0 cpu_frequency,2.10975389086e-05
12.083122,12.133232,0.050110000011,core 0 cpu_idle,0.000711712330157
12.133232,12.134392,0.00115999998525,core 0 cpu_frequency,0.000626538960032
12.134392,12.183189,0.0487969999958,core 0 cpu_idle,0.000693063790941
12.183189,12.183281,9.20000020415e-05,core 0 cpu_frequency,3.45709143671e-05
12.183281,12.28466,0.101379,core 0 cpu_idle,0.001439885937
12.28466,12.285423,0.000763000018196,core 0 cpu_frequency,0.000412111417228
12.285423,12.433647,0.148223999975,core 0 cpu_idle,0.00210522547165
12.433647,12.435112,0.00146500000847,core 0 cpu_frequency,0.00103026330695
12.435112,12.483116,0.0480040000111,core 0 cpu_idle,0.000681800812158
12.483116,12.483177,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
12.483177,12.533318,0.0501409999852,core 0 cpu_idle,0.000712152622789
12.533318,12.534264,0.000946000014665,core 0 cpu_frequency,0.000510953338721
12.534264,12.583305,0.0490409999911,core 0 cpu_idle,0.000696529322874
12.583305,12.583336,3.10000032187e-05,core 0 cpu_frequency,2.18007956635e-05
12.583336,12.683098,0.099761999998,core 0 cpu_idle,0.00141691968597
12.683098,12.683159,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
12.683159,12.733269,0.050110000011,core 0 cpu_idle,0.000711712330157
12.733269,12.737755,0.00448599999072,core 0 cpu_frequency,0.00231739312761
12.737755,12.783379,0.0456239999912,core 0 cpu_idle,0.000647997671875
12.783379,12.78347,9.10000235308e-05,core 0 cpu_frequency,4.91509145094e-05
12.78347,12.93325,0.149779999978,core 0 cpu_idle,0.00212732533969
12.93325,12.93914,0.00589000000036,core 0 cpu_frequency,0.00414215074626
12.93914,12.983177,0.0440370000142,core 0 cpu_idle,0.000625457511202
12.983177,13.035942,0.0527650000004,core 0 cpu_frequency,0.0371070601213
13.035942,13.038902,0.00295999998343,core 0 cpu_frequency,0.00287919967988
13.038902,13.383324,0.344422000024,core 0 cpu_idle,0.00489182566634
13.383324,13.383965,0.000640999991447,core 0 cpu_frequency,0.000544946783728
13.383965,13.435753,0.0517879999825,core 0 cpu_idle,0.000735544963751
13.435753,13.435814,6.10000279266e-05,core 0 cpu_frequency,4.28983550394e-05
13.435814,13.483116,0.0473019999918,core 0 cpu_idle,0.000671830305883
13.483116,13.483177,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
13.483177,13.633232,0.150055000006,core 0 cpu_idle,0.00213123116508
13.633232,13.633293,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
13.633293,13.683342,0.0500489999831,core 0 cpu_idle,0.00071084594676
13.683342,13.683403,6.09999988228e-05,core 0 cpu_frequency,2.68826262812e-05
13.683403,13.733208,0.0498050000169,core 0 cpu_idle,0.00070738041524
13.733208,13.733299,9.0999994427e-05,core 0 cpu_frequency,3.41951407058e-05
13.733299,13.783379,0.0500799999863,core 0 cpu_idle,0.000711286239806
13.783379,13.78344,6.09999988228e-05,core 0 cpu_frequency,3.29473071642e-05
13.78344,14.133232,0.349792000023,core 0 cpu_idle,0.00496809577632
14.133232,14.149742,0.0165099999867,core 0 cpu_frequency,0.0116106806047
14.149742,14.183281,0.0335389999964,core 0 cpu_idle,0.000476354416949
14.183281,14.183372,9.0999994427e-05,core 0 cpu_frequency,4.38702237133e-05
14.183372,14.233269,0.049897000019,core 0 cpu_idle,0.000708687091269
14.233269,14.233421,0.00015199999325,core 0 cpu_frequency,8.20982059541e-05
14.233421,14.333305,0.0998839999957,core 0 cpu_idle,0.00141865245194
14.333305,14.333366,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
14.333366,14.383263,0.049897000019,core 0 cpu_idle,0.000708687091269
14.383263,14.383324,6.09999988228e-05,core 0 cpu_frequency,2.94075138325e-05
14.383324,14.433311,0.0499869999767,core 0 cpu_idle,0.000709965360669
14.433311,14.433372,6.09999988228e-05,core 0 cpu_frequency,2.68826262812e-05
14.433372,14.483391,0.0500190000166,core 0 cpu_idle,0.000710419857236
14.483391,14.483421,2.99999956042e-05,core 0 cpu_frequency,1.62035916257e-05
14.483421,14.583366,0.0999449999945,core 0 cpu_idle,0.00141951883492
14.583366,14.583427,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
14.583427,14.633171,0.0497440000181,core 0 cpu_idle,0.000706514032257
14.633171,14.633202,3.09999741148e-05,core 0 cpu_frequency,2.18007751962e-05
14.633202,14.783134,0.149932,core 0 cpu_idle,0.002129484196
14.783134,14.783195,6.10000279266e-05,core 0 cpu_frequency,4.28983550394e-05
14.783195,14.833336,0.0501409999852,core 0 cpu_idle,0.000712152622789
14.833336,14.833488,0.00015199999325,core 0 cpu_frequency,6.69862146252e-05
14.833488,14.883324,0.0498360000202,core 0 cpu_idle,0.000707820708286
14.883324,14.883385,6.09999988228e-05,core 0 cpu_frequency,4.28983345721e-05
14.883385,15.033104,0.149718999979,core 0 cpu_idle,0.0021264589567
15.033104,15.033134,2.99999956042e-05,core 0 cpu_frequency,2.10975389086e-05
15.033134,15.083092,0.0499580000178,core 0 cpu_idle,0.000709553474253
15.083092,15.083122,2.99999956042e-05,core 0 cpu_frequency,2.10975389086e-05
15.083122,15.13311,0.0499880000134,core 0 cpu_idle,0.00070997956419
15.13311,15.133141,3.09999741148e-05,core 0 cpu_frequency,2.18007751962e-05
15.133141,15.233177,0.100036000018,core 0 cpu_idle,0.00142081130826
15.233177,15.233238,6.09999988228e-05,core 0 cpu_frequency,2.29220183576e-05
15.233238,15.283318,0.0500799999863,core 0 cpu_idle,0.000711286239806
15.283318,15.283348,2.99999956042e-05,core 0 cpu_frequency,1.62035916257e-05
15.283348,15.38549,0.102142000018,core 0 cpu_idle,0.00145072282625
