App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 04:29:14 PM","17 sec","Trepn_2018.10.21_162913.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
22,3,20,255,22,2653445,1489939,22,320000,23,0,9,1512000,16,1512000,18,1512000,20,1512000,15,100,17,100,19,60,22,51,
119,3,117,255,119,3180147,2016641,121,320000,121,0,110,1512000,112,1512000,113,1512000,117,1512000,111,100,113,100,114,100,119,88,
218,3,216,255,218,2694487,1530981,219,320000,219,0,210,1512000,212,1512000,214,1512000,216,1512000,212,57,213,100,215,100,218,60,
318,3,316,255,318,2290910,1127404,319,320000,319,0,310,1512000,313,1512000,315,1512000,317,1512000,312,33,314,100,316,63,318,62,
418,3,416,255,418,1953828,790322,418,320000,419,0,411,1512000,413,1512000,414,1512000,416,1026000,412,53,414,100,416,44,418,22,
519,3,518,255,519,1805249,641743,520,320000,520,0,511,1512000,514,1512000,516,1512000,519,0,513,37,515,100,518,50,519,0,
619,3,618,255,619,1387992,224486,619,320000,620,0,612,1512000,613,1512000,615,1512000,618,0,613,36,615,90,617,0,618,0,
731,3,729,255,731,1624932,461426,731,320000,734,0,712,1512000,717,1512000,721,1026000,730,0,716,90,719,44,728,50,730,0,
830,3,826,255,830,3043341,1879835,831,400000,831,0,813,1512000,818,1512000,822,1512000,827,1512000,817,100,820,100,824,88,829,80,
921,3,919,255,921,3125425,1961919,922,400000,922,0,914,1512000,916,1512000,918,1512000,920,1512000,916,100,917,90,919,100,921,90,
1023,3,1020,255,1022,2927057,1763551,1023,400000,1024,0,1014,1512000,1016,1512000,1018,1512000,1021,1512000,1016,81,1018,90,1020,80,1022,100,
