App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 04:38:05 PM","17 sec","Trepn_2018.10.21_163804.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
51,3,50,255,51,1839451,573981,52,320000,53,0,8,1512000,47,1512000,49,0,50,0,46,100,48,92,49,0,51,0,
122,3,114,255,121,2112834,847364,123,320000,125,0,109,1512000,111,1512000,112,1026000,114,1026000,110,100,112,100,114,20,120,40,
218,3,215,255,218,2728688,1463218,218,320000,219,0,209,1512000,211,1512000,213,1512000,215,1512000,210,90,212,70,214,62,217,100,
317,3,315,255,317,2420875,1155405,318,320000,318,0,309,1512000,311,1512000,313,1512000,315,1512000,311,100,313,33,315,44,317,100,
418,3,416,255,418,1989937,724467,419,320000,419,0,410,1512000,412,1512000,414,1512000,416,1512000,412,72,413,14,415,28,418,100,
518,3,516,255,518,2229347,963877,518,320000,519,0,511,1512000,513,1512000,515,1512000,517,1512000,513,50,514,63,516,36,518,100,
618,3,617,255,618,2024139,758669,619,320000,619,0,612,1512000,614,1512000,615,1512000,617,0,613,60,615,69,616,90,618,0,
719,3,717,255,719,1456395,190925,719,320000,720,0,712,1512000,714,1512000,716,1512000,718,0,713,25,715,11,717,100,718,0,
837,3,835,255,837,1574580,309110,838,320000,839,0,813,1026000,816,1026000,825,1512000,836,0,815,50,821,50,834,100,837,0,
920,3,919,255,920,2496118,1230648,921,320000,925,0,914,1512000,916,1512000,917,1512000,919,0,915,100,917,100,918,88,919,0,
1023,3,1021,255,1022,2920216,1654746,1023,320000,1024,0,1014,1512000,1016,1512000,1019,1512000,1021,1512000,1016,90,1018,83,1020,90,1022,87,
1122,3,1120,255,1122,2060354,794884,1122,320000,1123,0,1115,1512000,1117,1512000,1118,1512000,1120,1026000,1116,54,1118,80,1119,53,1122,70,
1223,3,1221,255,1222,1671896,406426,1223,320000,1224,0,1215,1134000,1217,1512000,1219,1512000,1221,1026000,1217,46,1218,50,1220,60,1222,54,
1322,3,1321,255,1322,1008075,0,1323,320000,1323,0,1316,1026000,1318,1512000,1319,1512000,1322,0,1317,14,1319,30,1321,33,1322,0,
1428,3,1427,255,1428,690111,0,1429,320000,1430,0,1416,1026000,1420,1026000,1423,1026000,1427,0,1419,0,1423,27,1426,18,1428,0,
1529,3,1525,255,1528,806731,0,1530,320000,1532,0,1517,1026000,1520,1026000,1523,0,1525,0,1520,40,1522,37,1524,0,1528,0,
1627,3,1625,255,1627,777576,0,1628,320000,1629,0,1617,1026000,1621,1026000,1624,0,1625,0,1620,36,1623,33,1625,0,1626,0,
1726,3,1724,255,1725,1273721,8251,1726,320000,1728,0,1718,1512000,1720,1026000,1722,0,1724,0,1720,72,1722,70,1723,0,1725,0,
1826,3,1825,255,1826,1323959,58489,1827,320000,1828,0,1818,1512000,1821,1026000,1824,0,1825,0,1820,90,1823,50,1824,0,1826,0,
1926,3,1923,255,1926,1634242,368772,1927,200000,1928,0,1919,1512000,1921,1512000,1922,0,1925,0,1920,90,1922,72,1923,0,1926,0,
2025,3,2023,255,2025,901263,0,2025,128000,2026,0,2019,1512000,2021,1026000,2023,0,2024,0,2021,33,2022,41,2023,0,2024,0,
2126,3,2124,255,2126,1106978,0,2126,128000,2128,0,2120,1512000,2122,1026000,2123,0,2125,0,2121,70,2123,28,2124,0,2125,0,
2226,3,2225,255,2226,1123349,0,2227,128000,2227,0,2220,1512000,2222,1026000,2224,0,2225,0,2222,66,2224,40,2224,0,2226,0,
2331,3,2330,255,2331,721622,0,2331,128000,2332,13,2321,1512000,2325,1026000,2329,0,2330,0,2322,11,2328,33,2329,0,2330,0,
2428,3,2427,255,2428,850963,0,2429,128000,2430,13,2421,918000,2424,1026000,2426,0,2427,0,2423,41,2425,33,2426,0,2428,0,
2552,3,2550,255,2552,671329,0,2553,128000,2554,13,2523,384000,2539,384000,2549,0,2551,0,2528,40,2548,36,2550,0,2552,0,
2635,3,2633,255,2635,926697,0,2636,128000,2637,13,2623,918000,2628,918000,2631,0,2634,0,2627,55,2630,50,2632,0,2634,0,
2734,3,2732,255,2733,933131,0,2734,128000,2735,13,2723,1026000,2728,1026000,2731,0,2733,0,2727,50,2731,40,2732,0,2733,0,
2839,3,2837,255,2839,760240,0,2840,128000,2843,13,2824,384000,2829,1026000,2834,0,2838,0,2828,40,2833,33,2835,0,2839,0,
2930,3,2929,255,2930,1209547,0,2931,128000,2931,13,2924,1026000,2927,1512000,2929,0,2930,0,2926,72,2928,50,2929,0,2930,0,
3035,3,3031,255,3035,769135,0,3036,128000,3037,13,3025,1026000,3028,1026000,3030,0,3032,0,3027,27,3030,18,3031,0,3034,0,
3136,3,3135,255,3136,1060038,0,3137,128000,3138,13,3126,918000,3129,1026000,3133,0,3135,0,3129,70,3132,66,3134,0,3136,0,
3233,3,3232,255,3233,858834,0,3234,128000,3235,13,3226,918000,3229,1026000,3231,0,3232,0,3228,40,3230,36,3231,0,3233,0,
3364,3,3358,255,3364,770621,0,3370,128000,3373,18,3328,594000,3335,486000,3352,0,3359,0,3333,60,3352,58,3357,0,3362,0,
3434,3,3433,255,3434,2051245,785775,3435,128000,3435,18,3428,1512000,3430,1512000,3431,1026000,3433,1026000,3429,88,3431,87,3432,33,3434,27,
3535,3,3533,255,3535,940990,0,3536,128000,3536,18,3528,1512000,3530,1512000,3532,1026000,3534,1026000,3530,18,3531,16,3533,0,3535,20,
3640,3,3637,255,3639,930726,0,3640,128000,3641,18,3629,1026000,3633,1026000,3635,1026000,3638,1026000,3632,30,3634,30,3637,10,3639,11,
3756,3,3754,255,3756,710432,0,3757,128000,3758,18,3731,384000,3742,384000,3752,0,3755,0,3740,50,3748,36,3753,0,3756,0,
3840,3,3838,255,3839,998007,0,3840,128000,3841,18,3831,918000,3835,1026000,3837,0,3839,0,3833,66,3836,44,3838,0,3839,0,
3942,3,3940,255,3942,854195,0,3943,128000,3944,18,3933,1026000,3936,1026000,3938,0,3940,0,3935,30,3938,30,3939,0,3941,0,
4041,3,4039,255,4041,1016075,0,4042,128000,4042,18,4032,918000,4036,1026000,4038,0,4040,0,4035,60,4038,54,4039,0,4040,0,
4143,3,4141,255,4142,806818,0,4144,128000,4145,18,4133,1026000,4136,1026000,4139,0,4141,0,4135,22,4138,25,4140,0,4142,0,
4242,3,4241,255,4242,997701,0,4243,128000,4244,18,4233,1026000,4237,918000,4239,0,4241,0,4236,54,4239,54,4240,0,4242,0,
4347,3,4345,255,4347,854195,0,4348,128000,4349,20,4336,1026000,4340,1026000,4344,0,4346,0,4339,30,4343,30,4344,0,4347,0,
4442,3,4441,255,4442,1265439,0,4443,128000,4443,20,4437,1512000,4439,918000,4441,0,4442,0,4438,63,4440,61,4441,0,4442,0,
4543,3,4542,255,4543,1132675,0,4544,128000,4544,20,4537,1512000,4539,1026000,4541,1026000,4543,0,4539,40,4540,44,4542,14,4543,0,
4653,3,4649,255,4652,797821,0,4653,128000,4655,20,4638,918000,4643,486000,4646,594000,4650,0,4642,22,4645,33,4649,27,4652,0,
4766,3,4760,255,4765,817276,0,4767,128000,4772,20,4746,918000,4752,384000,4758,0,4763,0,4750,44,4756,40,4759,0,4764,0,
4878,3,4873,255,4878,1050100,0,4882,128000,4885,20,4845,1026000,4848,918000,4865,0,4875,0,4848,60,4851,60,4866,0,4877,0,
4952,3,4951,255,4952,1510913,245443,4952,128000,4953,20,4945,1512000,4947,1512000,4949,1026000,4951,0,4947,66,4948,57,4950,6,4951,0,
5067,3,5064,255,5067,728552,0,5068,128000,5070,20,5046,384000,5049,1026000,5059,384000,5065,0,5048,18,5056,10,5063,33,5066,0,
5157,3,5156,255,5157,945547,0,5158,128000,5159,20,5147,918000,5150,1026000,5154,0,5156,0,5149,33,5152,54,5155,0,5157,0,
5257,3,5256,255,5257,706939,0,5258,128000,5259,20,5248,384000,5251,1026000,5255,0,5256,0,5250,22,5254,11,5255,0,5257,0,
5358,3,5357,255,5358,1793886,528416,5359,128000,5360,18,5347,1512000,5349,1512000,5355,918000,5357,0,5349,81,5354,70,5357,37,5358,0,
5455,3,5454,255,5455,1084522,0,5455,128000,5456,18,5448,1512000,5450,1512000,5452,1026000,5454,0,5449,12,5451,27,5453,50,5454,0,
5556,3,5555,255,5556,870345,0,5556,128000,5557,18,5548,1512000,5550,1512000,5553,1026000,5555,0,5550,11,5552,18,5554,10,5555,0,
5660,3,5658,255,5659,777570,0,5660,128000,5661,18,5650,1026000,5654,384000,5657,0,5659,0,5654,33,5656,25,5658,0,5659,0,
5758,3,5756,255,5758,892872,0,5759,128000,5760,18,5750,1026000,5753,918000,5755,0,5757,0,5752,37,5755,40,5756,0,5757,0,
5863,3,5861,255,5863,1036412,0,5863,128000,5864,18,5852,1026000,5856,1026000,5859,0,5862,0,5855,60,5859,50,5861,0,5862,0,
5965,3,5962,255,5964,802772,0,5967,128000,5968,18,5953,1026000,5957,486000,5961,0,5963,0,5956,36,5960,30,5962,0,5964,0,
6066,3,6064,255,6066,1109299,0,6067,128000,6072,18,6053,1026000,6057,1026000,6060,0,6065,0,6056,60,6059,70,6064,0,6065,0,
6160,3,6158,255,6159,1408706,143236,6160,128000,6161,18,6154,1026000,6156,1512000,6158,0,6159,0,6155,62,6157,80,6158,0,6159,0,
6259,3,6258,255,6259,1682098,416628,6259,128000,6260,18,6254,1512000,6256,1512000,6257,0,6258,0,6255,66,6257,87,6258,0,6259,0,
6361,3,6360,255,6360,977548,0,6361,128000,6362,18,6354,1512000,6356,1512000,6359,0,6360,0,6356,30,6358,20,6359,0,6360,0,
6463,3,6462,255,6463,901571,0,6464,128000,6464,18,6455,1026000,6458,1026000,6460,0,6462,0,6457,40,6460,33,6461,0,6463,0,
6600,3,6573,255,6599,728935,0,6600,128000,6601,18,6558,702000,6565,384000,6569,0,6596,0,6564,33,6568,30,6571,0,6599,0,
6663,3,6662,255,6663,1353764,88294,6663,128000,6664,18,6658,1512000,6660,1512000,6661,0,6662,0,6659,55,6661,50,6662,0,6663,0,
6762,3,6760,255,6762,909145,0,6762,128000,6763,18,6756,1512000,6758,1512000,6760,0,6761,0,6758,18,6759,22,6760,0,6761,0,
6862,3,6861,255,6862,1275545,10075,6862,128000,6863,18,6857,1512000,6859,1026000,6860,0,6861,0,6858,60,6860,63,6861,0,6862,0,
6962,3,6961,255,6962,861263,0,6963,128000,6963,18,6957,1512000,6959,1026000,6961,0,6962,0,6959,33,6960,0,6961,0,6962,0,
7092,3,7087,255,7091,696497,0,7095,128000,7096,18,7068,384000,7076,384000,7084,0,7089,0,7074,40,7082,30,7086,0,7090,0,
7166,3,7165,255,7166,1401646,136176,7166,128000,7167,18,7161,1512000,7163,1512000,7164,0,7165,0,7162,55,7164,57,7165,0,7166,0,
7266,3,7265,255,7266,957027,0,7266,128000,7267,18,7261,1512000,7263,1512000,7264,0,7265,0,7263,22,7264,25,7265,0,7266,0,
7367,3,7367,255,7367,991228,0,7368,128000,7369,18,7362,1512000,7364,1512000,7366,0,7367,0,7364,30,7366,22,7366,0,7367,0,
7482,3,7478,255,7481,788503,0,7483,128000,7486,18,7464,384000,7470,1026000,7475,0,7479,0,7469,25,7474,36,7477,0,7480,0,
7575,3,7572,255,7574,1027615,0,7575,128000,7577,18,7564,1512000,7569,1026000,7571,0,7573,0,7567,44,7570,25,7572,0,7574,0,
7672,3,7671,255,7671,926804,0,7672,128000,7673,18,7664,1512000,7667,1026000,7670,0,7671,0,7666,25,7669,33,7670,0,7671,0,
7772,3,7770,255,7772,848814,0,7773,128000,7774,18,7764,1512000,7767,1026000,7769,0,7771,0,7766,12,7768,36,7770,0,7771,0,
7895,3,7891,255,7895,924935,0,7895,128000,7896,18,7865,1026000,7879,594000,7883,0,7892,0,7871,54,7882,58,7883,0,7895,0,
7973,3,7972,255,7973,1900987,635517,7974,128000,7975,18,7966,1512000,7968,1512000,7970,1512000,7973,0,7968,63,7969,62,7972,60,7973,0,
8075,3,8074,255,8075,975078,0,8075,128000,8076,18,8067,1512000,8069,1512000,8072,1026000,8074,0,8069,12,8071,11,8073,50,8075,0,
8174,3,8172,255,8174,1048079,0,8174,128000,8175,18,8167,1512000,8169,1512000,8171,1026000,8173,0,8168,12,8170,27,8172,40,8173,0,
8284,3,8282,255,8284,741837,0,8286,128000,8287,18,8268,384000,8274,1026000,8279,0,8283,0,8273,30,8277,22,8280,0,8284,0,
8380,3,8377,255,8379,1046700,0,8381,128000,8383,19,8368,918000,8371,1026000,8375,0,8378,0,8371,70,8374,54,8376,0,8379,0,
8478,3,8476,255,8477,958671,0,8479,128000,8480,19,8469,1026000,8472,1026000,8475,0,8477,0,8472,33,8474,54,8475,0,8477,0,
8583,3,8581,255,8583,1035203,0,8583,128000,8585,19,8569,1026000,8575,1026000,8580,0,8582,0,8573,50,8580,58,8581,0,8582,0,
8690,3,8687,255,8689,779683,0,8692,128000,8693,19,8671,384000,8678,1026000,8684,0,8687,0,8676,33,8683,30,8686,0,8689,0,
8783,3,8781,255,8783,1044021,0,8783,128000,8784,19,8771,918000,8774,1026000,8780,0,8782,0,8774,60,8777,60,8781,0,8782,0,
8881,3,8879,255,8880,844893,0,8881,128000,8882,19,8872,486000,8875,1026000,8878,0,8879,0,8874,60,8877,36,8879,0,8880,0,
8981,3,8979,255,8980,878525,0,8982,128000,8984,19,8972,918000,8976,1026000,8978,0,8980,0,8975,25,8978,44,8979,0,8980,0,
9084,3,9082,255,9084,706086,0,9085,128000,9086,19,9073,1026000,9076,384000,9079,0,9083,0,9075,11,9078,28,9080,0,9083,0,
9186,3,9180,255,9185,1084261,0,9186,128000,9187,19,9174,1026000,9176,918000,9179,0,9184,0,9176,66,9178,66,9180,0,9185,0,
9281,3,9280,255,9281,896717,0,9282,128000,9283,19,9274,1026000,9276,1026000,9279,0,9280,0,9276,25,9278,45,9279,0,9281,0,
9399,3,9392,255,9398,833934,0,9399,128000,9403,17,9375,384000,9379,1026000,9386,0,9396,0,9378,66,9381,37,9388,0,9396,0,
9480,3,9479,255,9480,1614457,348987,9480,128000,9481,17,9475,1512000,9477,1512000,9478,1026000,9479,0,9476,72,9478,72,9479,0,9480,0,
9582,3,9580,255,9582,893871,0,9582,128000,9583,17,9575,1512000,9577,1512000,9579,1026000,9581,0,9577,18,9578,10,9580,20,9581,0,
9683,3,9682,255,9683,1656053,390583,9683,128000,9684,17,9676,1026000,9678,1512000,9680,1026000,9682,0,9677,44,9679,100,9681,50,9682,0,
9782,3,9781,255,9782,923865,0,9783,128000,9783,17,9776,1026000,9778,1512000,9780,1026000,9781,0,9778,22,9779,18,9781,25,9782,0,
9886,3,9884,255,9886,972054,0,9887,128000,9888,17,9877,1026000,9880,918000,9882,1026000,9885,0,9879,40,9882,25,9884,33,9886,0,
9997,3,9995,255,9996,949972,0,9997,128000,9998,17,9979,1026000,9986,384000,9992,1026000,9995,0,9985,38,9990,50,9994,38,9996,0,
