App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 04:56:39 PM","17 sec","Trepn_2018.10.21_165638.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
77,3,67,255,76,2039947,914868,77,320000,83,0,41,1512000,63,1512000,65,1026000,68,0,63,100,65,100,67,40,76,0,
153,3,150,255,152,2407195,1282116,154,320000,155,0,142,1512000,143,1512000,145,1512000,151,0,143,100,145,75,148,100,152,0,
256,3,253,255,255,2386674,1261595,260,320000,265,0,242,1512000,244,1512000,249,1512000,254,0,243,72,246,100,253,100,255,0,
350,3,348,255,350,2701327,1576248,351,320000,352,0,342,1512000,344,1512000,346,1512000,349,1512000,344,75,346,100,348,100,350,43,
450,3,448,255,450,2441396,1316317,451,320000,451,0,443,1512000,445,1512000,446,1512000,449,1512000,444,77,446,70,448,100,450,33,
550,3,548,255,550,2188305,1063226,551,320000,551,0,543,1512000,545,1512000,547,1512000,549,1512000,545,62,546,41,548,100,550,40,
651,3,649,255,651,2263549,1138470,651,320000,652,0,644,1512000,645,1512000,647,1512000,649,1512000,645,60,647,40,648,100,650,54,
752,3,750,255,752,1210144,85065,752,320000,752,0,744,1512000,747,1512000,748,1512000,751,0,746,0,748,0,750,100,751,0,
871,3,864,255,870,1262560,137481,876,320000,878,0,845,1026000,849,1026000,851,1512000,865,0,848,90,850,37,864,40,870,0,
970,3,967,255,969,3180147,2055068,970,320000,971,0,945,1512000,947,1512000,952,1512000,967,1512000,947,100,951,88,966,100,969,100,
1054,3,1052,255,1054,3193828,2068749,1054,320000,1055,0,1046,1512000,1048,1512000,1050,1512000,1052,1512000,1048,90,1050,100,1051,100,1054,100,
1155,3,1153,255,1155,1794594,669515,1156,400000,1156,0,1147,1512000,1149,1512000,1151,1512000,1153,1026000,1148,37,1150,44,1152,81,1155,44,
1254,3,1252,255,1254,1545975,420896,1255,400000,1256,0,1247,1134000,1249,1512000,1251,1512000,1253,1026000,1249,37,1250,77,1252,33,1254,30,
1356,3,1355,255,1356,634606,0,1356,400000,1357,0,1349,1026000,1352,1512000,1354,0,1355,0,1351,11,1353,10,1354,0,1356,0,
1458,3,1456,255,1458,558049,0,1458,400000,1460,0,1450,1026000,1453,594000,1455,0,1457,0,1452,0,1455,20,1456,0,1457,0,
1558,3,1557,255,1558,879677,0,1559,400000,1560,0,1550,1026000,1553,918000,1556,0,1557,0,1553,55,1555,50,1556,0,1558,0,
1662,3,1660,255,1661,650640,0,1662,400000,1664,0,1651,384000,1654,1026000,1658,0,1660,0,1654,30,1657,27,1659,0,1661,0,
1759,3,1758,255,1759,901267,0,1760,400000,1761,0,1752,918000,1755,1026000,1757,0,1758,0,1754,63,1756,50,1757,0,1759,0,
1857,3,1857,255,1857,1208180,83101,1858,400000,1858,0,1852,1026000,1854,1512000,1856,0,1857,0,1854,37,1856,80,1856,0,1857,0,
1958,3,1957,255,1958,1723166,598087,1958,400000,1959,17,1953,1512000,1955,1512000,1956,0,1957,0,1954,100,1956,75,1957,0,1958,0,
2064,3,2058,255,2064,1867612,742533,2064,320000,2065,17,2054,1512000,2056,1512000,2057,0,2062,0,2055,81,2057,27,2058,0,2064,0,
2160,3,2159,255,2160,1585462,460383,2161,320000,2161,17,2154,1512000,2156,1512000,2158,0,2159,0,2155,44,2157,50,2158,0,2160,0,
2263,3,2261,255,2262,1267336,142257,2263,200000,2264,17,2254,1134000,2257,1026000,2260,0,2261,0,2257,53,2259,27,2260,0,2262,0,
