App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 05:08:45 PM","17 sec","Trepn_2018.10.21_170844.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
59,3,57,255,58,1850384,501807,59,320000,63,0,9,1512000,46,1512000,54,1026000,57,0,43,92,50,100,56,3,58,0,
119,3,117,255,119,2886015,1537438,120,320000,121,0,110,1512000,112,1512000,114,1512000,117,1512000,111,100,114,100,116,100,119,45,
221,3,219,255,221,2762890,1414313,221,320000,225,0,210,1512000,213,1512000,215,1512000,219,1512000,212,72,214,55,218,100,221,100,
317,3,315,255,317,2858654,1510077,317,320000,318,0,310,1512000,312,1512000,314,1512000,316,1512000,312,75,313,66,315,100,317,100,
418,3,416,255,418,2222507,873930,418,320000,419,0,411,1512000,413,1512000,414,1512000,416,1512000,412,44,414,50,416,54,418,100,
519,3,516,255,519,2290910,942333,519,320000,520,0,511,1512000,513,1512000,515,1512000,517,1512000,513,45,514,33,516,80,518,100,
619,3,617,255,619,1948895,600318,619,320000,620,0,612,1512000,613,1512000,615,1512000,617,1512000,613,50,615,33,617,45,618,80,
721,3,718,255,721,1955736,607159,722,320000,723,0,713,1512000,715,1512000,716,1512000,718,1512000,714,90,716,50,718,33,721,36,
827,3,824,255,826,3111744,1763167,827,400000,829,0,818,1512000,820,1512000,822,1512000,825,1512000,820,90,822,100,823,100,826,88,
926,3,924,255,926,2639764,1291187,927,400000,927,0,918,1512000,921,1512000,923,1512000,925,1512000,920,66,922,80,924,83,926,80,
1026,3,1024,255,1026,1551242,202665,1027,400000,1027,0,1019,1512000,1021,1512000,1022,1512000,1024,1134000,1020,63,1022,33,1024,37,1026,27,
1125,3,1124,255,1125,1504163,155586,1126,400000,1126,0,1119,1512000,1121,1512000,1122,1512000,1124,1026000,1121,54,1122,33,1123,40,1125,30,
1229,3,1227,255,1229,875973,0,1230,400000,1231,0,1220,1026000,1223,1026000,1225,1026000,1228,0,1222,30,1225,30,1227,36,1229,0,
1338,3,1335,255,1338,676472,0,1342,400000,1343,0,1321,384000,1326,1026000,1333,0,1336,0,1325,22,1331,36,1334,0,1337,0,
1436,3,1429,255,1435,900838,0,1437,400000,1437,0,1421,918000,1424,1026000,1427,0,1430,0,1424,70,1426,44,1428,0,1434,0,
1529,3,1528,255,1529,850463,0,1529,400000,1530,0,1522,1026000,1525,1026000,1527,0,1528,0,1524,44,1526,45,1527,0,1528,0,
