App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 01:01:49 AM","17 sec","Trepn_2018.10.22_010148.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
8,3,7,255,8,1894173,698480,9,320000,10,0,58,1512000,64,1512000,6,0,7,0,59,100,6,100,7,0,8,0,
74,3,72,255,74,2538767,1343074,74,320000,75,0,158,1512000,160,1512000,68,918000,72,1512000,160,88,67,100,72,72,74,62,
166,3,164,255,166,2790251,1594558,166,320000,167,0,259,1512000,261,1512000,162,1512000,164,1512000,260,90,162,77,163,66,165,100,
266,3,264,255,266,3063862,1868169,267,320000,267,0,359,1512000,361,1512000,262,1512000,265,1512000,361,100,262,100,264,81,266,100,
367,3,365,255,367,3262231,2066538,368,320000,368,0,460,1512000,463,1512000,363,1512000,365,1512000,461,100,362,100,364,100,367,100,
484,3,477,255,483,2974939,1779246,484,320000,487,0,560,1512000,563,1512000,471,1512000,478,1512000,562,69,469,87,475,71,481,100,
570,3,567,255,570,2646605,1450912,574,320000,575,0,661,1512000,663,1512000,565,1512000,568,1512000,663,66,565,66,567,75,569,100,
670,3,667,255,670,2509799,1314106,670,320000,672,0,762,1512000,765,1512000,665,1512000,667,1512000,764,66,664,70,666,54,670,100,
771,3,769,255,771,2311431,1115738,772,320000,772,0,862,1512000,864,1512000,767,1512000,769,1512000,864,60,766,55,769,90,771,50,
871,3,868,255,871,2420875,1225182,871,320000,872,0,963,1512000,965,1512000,866,1512000,869,1512000,964,100,866,70,868,75,871,72,
971,3,969,255,971,2585042,1389349,971,400000,972,0,1063,1512000,1067,1512000,967,1512000,969,1512000,1067,50,966,66,968,63,970,72,
1072,3,1070,255,1072,1812090,616397,1073,400000,1074,0,1163,1512000,1165,1512000,1069,1512000,1071,1512000,1165,90,1068,36,1070,25,1072,77,
1171,3,1169,255,1170,2420875,1225182,1171,400000,1172,0,1214,1512000,1216,1512000,1167,1512000,1169,1512000,1215,100,1167,77,1168,55,1170,55,
1222,3,1220,255,1222,1492724,297031,1223,400000,1224,0,1314,1512000,1316,1134000,1218,1512000,1221,1026000,1316,100,1218,20,1220,0,1222,40,
1323,3,1320,255,1323,1719738,524045,1324,320000,1324,0,1415,1512000,1419,1134000,1318,1026000,1321,1026000,1419,60,1318,57,1320,36,1322,37,
1424,3,1423,255,1424,1327876,132183,1425,200000,1426,30,1515,1512000,1517,1512000,1421,1026000,1423,0,1517,62,1421,66,1422,30,1424,0,
1523,3,1521,255,1523,2463359,1267666,1524,128000,1524,30,1615,1512000,1618,1512000,1519,1512000,1522,0,1617,90,1518,100,1521,70,1523,0,
1629,3,1626,255,1629,2418552,1222859,1630,128000,1630,30,1716,1512000,1719,1512000,1621,1512000,1626,0,1718,88,1619,90,1623,70,1628,0,
1730,3,1726,255,1730,2716549,1520856,1730,200000,1731,30,1816,1512000,1819,1512000,1722,1512000,1727,1026000,1818,100,1721,72,1725,100,1729,63,
1834,3,1827,255,1834,3202110,2006417,1836,200000,1836,30,1917,1512000,1919,1512000,1823,1512000,1829,1512000,1918,83,1821,88,1827,80,1834,72,
1925,3,1923,255,1925,3427840,2232147,1925,200000,1926,30,2017,1512000,2019,1512000,1921,1512000,1923,1512000,2019,50,1920,100,1922,90,1925,100,
2025,3,2023,255,2025,2825895,1630202,2026,200000,2026,30,2118,1512000,2120,1512000,2021,1512000,2023,1512000,2119,57,2020,100,2022,72,2025,63,
2126,3,2124,255,2126,2996902,1801209,2127,200000,2127,30,2218,1512000,2220,1512000,2122,1512000,2124,1512000,2220,44,2121,100,2123,81,2126,72,
2228,3,2224,255,2227,2819054,1623361,2228,200000,2229,30,2319,1512000,2321,1512000,2222,1512000,2225,1512000,2320,62,2222,100,2224,80,2227,60,
2328,3,2325,255,2328,3031103,1835410,2329,200000,2329,30,2419,1512000,2421,1512000,2323,1512000,2326,1512000,2420,30,2323,100,2325,90,2328,63,
2428,3,2425,255,2428,2996902,1801209,2429,200000,2429,23,2519,1512000,2521,1512000,2423,1512000,2426,1512000,2521,37,2423,100,2425,100,2427,80,
2526,3,2524,255,2526,2285859,1090166,2527,200000,2527,23,2620,1512000,2622,1512000,2523,1512000,2524,1512000,2621,0,2522,100,2524,40,2526,41,
2627,3,2625,255,2627,1478705,283012,2627,200000,2628,23,2722,1026000,2729,1512000,2623,1512000,2625,1512000,2728,12,2623,100,2625,0,2627,0,
