Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.161,20.161,screen bright,18.1393194352
0,20.161,20.161,wifi running,0.27088964752
0,20.161,20.161,phone_scanning,10.516690493
0.0,31.073143,31.073143,core 0 cpu_idle start,0.462430514126
31.073143,31.857292,0.784148999985,core 0 cpu_idle,0.0116697054178
31.857292,31.857536,0.000244000024395,core 0 cpu_frequency,0.000179796688376
31.857536,31.907219,0.0496829999902,core 0 cpu_idle,0.000739382405854
31.907219,31.908134,0.000914999982342,core 0 cpu_frequency,0.000932572008003
31.908134,32.056907,0.148773000023,core 0 cpu_idle,0.00221403978634
32.056907,32.056968,6.09999988228e-05,core 0 cpu_frequency,5.43384329514e-05
32.056968,32.156944,0.0999759999977,core 0 cpu_idle,0.00148784283197
32.156944,32.15728,0.000335999997333,core 0 cpu_frequency,0.000247588855635
32.15728,32.30706,0.149780000007,core 0 cpu_idle,0.0022290259601
32.30706,32.30709,2.99999956042e-05,core 0 cpu_frequency,3.05761275197e-05
32.30709,32.456901,0.149810999981,core 0 cpu_idle,0.00222948730172
32.456901,32.457756,0.000855000020238,core 0 cpu_frequency,0.000630025232913
32.457756,32.606834,0.149077999988,core 0 cpu_idle,0.00221857879582
32.606834,32.606895,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
32.606895,32.70681,0.0999149999989,core 0 cpu_idle,0.00148693502998
32.70681,32.70684,2.99999956042e-05,core 0 cpu_frequency,2.21061447608e-05
32.70684,32.757164,0.0503240000107,core 0 cpu_idle,0.00074892176816
32.757164,32.759849,0.00268500001403,core 0 cpu_frequency,0.00197850025634
32.759849,32.806816,0.046967000002,core 0 cpu_idle,0.00069896289403
32.806816,32.808921,0.0021049999923,core 0 cpu_frequency,0.00155111471232
32.808921,32.906822,0.097901000001,core 0 cpu_idle,0.00145696268201
32.906822,32.906883,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
32.906883,32.95681,0.0499269999855,core 0 cpu_idle,0.000743013613784
32.95681,32.984275,0.027465000021,core 0 cpu_frequency,0.0202381785095
32.984275,33.007072,0.0227969999833,core 0 cpu_idle,0.000339264953751
33.007072,33.009391,0.00231899999199,core 0 cpu_frequency,0.00236353499543
33.009391,34.656944,1.64755300002,core 0 cpu_idle,0.0245188837463
34.656944,34.657005,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
34.657005,34.756828,0.0998229999968,core 0 cpu_idle,0.00148556588595
34.756828,34.808036,0.0512079999899,core 0 cpu_frequency,0.0377337208853
34.808036,34.824485,0.016449000017,core 0 cpu_frequency,0.0167648931929
34.824485,35.456901,0.632415999979,core 0 cpu_idle,0.00941161491168
35.456901,35.456962,6.10000279266e-05,core 0 cpu_frequency,4.49491881783e-05
35.456962,35.507103,0.0501409999852,core 0 cpu_idle,0.000746198361779
35.507103,35.50753,0.00042699999176,core 0 cpu_frequency,0.000314644167128
35.50753,35.606804,0.0992740000074,core 0 cpu_idle,0.00147739566811
35.606804,35.614586,0.00778200000059,core 0 cpu_frequency,0.00573433479163
35.614586,35.656913,0.0423270000028,core 0 cpu_idle,0.000629910414042
35.656913,35.656944,3.10000032187e-05,core 0 cpu_frequency,2.28430219717e-05
35.656944,35.756797,0.0998529999924,core 0 cpu_idle,0.00148601234589
35.756797,35.756828,3.10000032187e-05,core 0 cpu_frequency,2.28430219717e-05
35.756828,35.809288,0.0524600000062,core 0 cpu_idle,0.000780709720093
35.809288,35.809349,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
35.809349,35.95684,0.147490999982,core 0 cpu_idle,0.00219496106173
35.95684,35.956871,3.10000032187e-05,core 0 cpu_frequency,2.28430219717e-05
35.956871,36.009117,0.0522460000066,core 0 cpu_idle,0.000777524972098
36.009117,36.037071,0.0279539999901,core 0 cpu_frequency,0.0205985086991
36.037071,36.057029,0.019958000019,core 0 cpu_idle,0.000297014956282
36.057029,36.05706,3.10000032187e-05,core 0 cpu_frequency,3.15953396805e-05
36.05706,36.656913,0.599852999992,core 0 cpu_idle,0.00892701234589
36.656913,36.656944,3.10000032187e-05,core 0 cpu_frequency,2.28430219717e-05
36.656944,36.70684,0.0498959999823,core 0 cpu_idle,0.000742552271736
36.70684,36.706871,3.10000032187e-05,core 0 cpu_frequency,2.28430219717e-05
36.706871,36.756797,0.049926000007,core 0 cpu_idle,0.000742998732104
36.756797,36.756828,3.10000032187e-05,core 0 cpu_frequency,2.28430219717e-05
36.756828,36.806816,0.0499880000134,core 0 cpu_idle,0.000743921416199
36.806816,36.80767,0.000853999983519,core 0 cpu_frequency,0.000629288334256
36.80767,36.956871,0.149200999993,core 0 cpu_idle,0.00222040928189
36.956871,36.956962,9.10000235308e-05,core 0 cpu_frequency,3.58299124649e-05
36.956962,37.007194,0.0502319999796,core 0 cpu_idle,0.000747552623696
37.007194,37.007225,3.10000032187e-05,core 0 cpu_frequency,1.75441790216e-05
37.007225,37.056968,0.0497430000105,core 0 cpu_idle,0.000740275326156
37.056968,37.056999,3.10000032187e-05,core 0 cpu_frequency,2.28430219717e-05
37.056999,37.106895,0.0498959999823,core 0 cpu_idle,0.000742552271736
37.106895,37.106956,6.09999988228e-05,core 0 cpu_frequency,2.40178467365e-05
37.106956,37.208488,0.101532000001,core 0 cpu_idle,0.00151099922401
37.208488,37.243797,0.035308999999,core 0 cpu_frequency,0.0199828178302
37.243797,37.306968,0.0631710000162,core 0 cpu_idle,0.00094011082224
37.306968,37.307029,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
37.307029,37.356834,0.0498049999878,core 0 cpu_idle,0.000741198009819
37.356834,37.356895,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
37.356895,37.45684,0.0999449999945,core 0 cpu_idle,0.00148738148992
37.45684,37.456901,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
37.456901,37.506797,0.0498960000114,core 0 cpu_idle,0.000742552272169
37.506797,37.507225,0.000427999999374,core 0 cpu_frequency,0.000315381044339
37.507225,37.556877,0.0496520000161,core 0 cpu_idle,0.000738921064239
37.556877,37.557365,0.000487999990582,core 0 cpu_frequency,0.00035959333386
37.557365,37.706871,0.149505999987,core 0 cpu_idle,0.00222494829181
37.706871,37.706932,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
37.706932,37.756828,0.0498960000114,core 0 cpu_idle,0.000742552272169
37.756828,37.75692,9.20000020415e-05,core 0 cpu_frequency,3.62236392038e-05
37.75692,37.807029,0.0501090000034,core 0 cpu_idle,0.000745722138051
37.807029,37.809623,0.00259399999049,core 0 cpu_frequency,0.00146805146742
37.809623,37.907005,0.0973820000072,core 0 cpu_idle,0.00144923892411
37.907005,37.907035,2.99999956042e-05,core 0 cpu_frequency,2.21061447608e-05
37.907035,37.95681,0.0497749999922,core 0 cpu_idle,0.000740751549884
37.95681,37.956871,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
37.956871,38.156852,0.199981000012,core 0 cpu_idle,0.00297611724219
38.156852,38.156913,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
38.156913,38.359581,0.202667999984,core 0 cpu_idle,0.00301610517575
38.359581,38.368736,0.00915500000701,core 0 cpu_frequency,0.00933081628915
38.368736,38.659904,0.291167999996,core 0 cpu_idle,0.00433316217594
38.659904,38.659965,6.09999988228e-05,core 0 cpu_frequency,2.40178467365e-05
38.659965,38.757072,0.0971070000087,core 0 cpu_idle,0.00144514637413
38.757072,38.757133,6.09999988228e-05,core 0 cpu_frequency,3.45224125338e-05
38.757133,38.906974,0.149841000006,core 0 cpu_idle,0.00222993376209
38.906974,38.907035,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
38.907035,38.956871,0.049835999991,core 0 cpu_idle,0.000741659351867
38.956871,38.957115,0.000243999995291,core 0 cpu_frequency,9.6071386946e-05
38.957115,39.007072,0.0499570000102,core 0 cpu_idle,0.000743460074152
39.007072,39.007164,9.20000020415e-05,core 0 cpu_frequency,5.20665915553e-05
39.007164,39.106865,0.0997009999992,core 0 cpu_idle,0.00148375028199
39.106865,39.106926,6.09999988228e-05,core 0 cpu_frequency,2.40178467365e-05
39.106926,39.209892,0.102966000006,core 0 cpu_idle,0.00153234001209
39.209892,39.209983,9.0999994427e-05,core 0 cpu_frequency,6.70553114934e-05
39.209983,39.30767,0.0976870000013,core 0 cpu_idle,0.00145377793402
39.30767,39.307731,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
39.307731,39.356804,0.049073000002,core 0 cpu_idle,0.000730304386029
39.356804,39.356865,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
39.356865,39.556846,0.199981000012,core 0 cpu_idle,0.00297611724219
39.556846,39.556999,0.000153000000864,core 0 cpu_frequency,0.000112741355437
39.556999,40.106834,0.549834999983,core 0 cpu_idle,0.00818264446975
40.106834,40.107292,0.000457999994978,core 0 cpu_frequency,0.0003374871891
40.107292,40.156852,0.049560000014,core 0 cpu_idle,0.000737551920209
40.156852,40.156974,0.000121999997646,core 0 cpu_frequency,8.98983334651e-05
40.156974,40.308128,0.151153999992,core 0 cpu_idle,0.00224947382788
40.308128,40.360099,0.0519710000081,core 0 cpu_frequency,0.0204628120824
40.360099,40.365257,0.00515799998539,core 0 cpu_frequency,0.00525705628031
40.365257,40.557335,0.192078000022,core 0 cpu_idle,0.00285850479633
40.557335,40.557396,6.09999988228e-05,core 0 cpu_frequency,5.61540369163e-05
40.557396,40.661796,0.104399999982,core 0 cpu_idle,0.00155368079973
40.661796,40.661888,9.20000020415e-05,core 0 cpu_frequency,3.62236392038e-05
40.661888,40.760337,0.0984490000119,core 0 cpu_idle,0.00146511801818
40.760337,40.765342,0.00500499998452,core 0 cpu_frequency,0.00510111800622
40.765342,40.96743,0.20208800002,core 0 cpu_idle,0.0030074736163
40.96743,40.96746,2.99999956042e-05,core 0 cpu_frequency,2.67238160842e-05
40.96746,41.020286,0.0528259999992,core 0 cpu_idle,0.000786156531988
41.020286,41.020347,6.09999988228e-05,core 0 cpu_frequency,3.45224125338e-05
41.020347,41.068351,0.0480040000111,core 0 cpu_idle,0.000714395528166
41.068351,41.068412,6.09999988228e-05,core 0 cpu_frequency,2.40178467365e-05
41.068412,41.170585,0.102172999992,core 0 cpu_idle,0.00152053858588
41.170585,41.229362,0.0587769999984,core 0 cpu_frequency,0.0599057770171
41.229362,41.366905,0.13754299999,core 0 cpu_idle,0.00204691492585
41.366905,41.367393,0.000488000019686,core 0 cpu_frequency,0.000434707489536
41.367393,41.409233,0.0418399999908,core 0 cpu_idle,0.000622662879863
41.409233,41.41085,0.00161700000172,core 0 cpu_frequency,0.000875249114129
41.41085,41.456962,0.0461120000109,core 0 cpu_idle,0.000686238784162
41.456962,41.457084,0.000121999997646,core 0 cpu_frequency,6.90448250676e-05
41.457084,41.506889,0.0498049999878,core 0 cpu_idle,0.000741198009819
41.506889,41.50695,6.09999988228e-05,core 0 cpu_frequency,3.45224125338e-05
41.50695,41.556999,0.0500490000122,core 0 cpu_idle,0.000744829218182
41.556999,41.55706,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
41.55706,41.606834,0.0497739999846,core 0 cpu_idle,0.000740736667771
41.606834,41.60894,0.00210599999991,core 0 cpu_frequency,0.00155185158954
41.60894,41.806968,0.198028000013,core 0 cpu_idle,0.0029470526962
41.806968,41.807121,0.000153000000864,core 0 cpu_frequency,7.06503819991e-05
41.807121,41.857139,0.0500179999799,core 0 cpu_idle,0.000744367875701
41.857139,41.857292,0.000153000000864,core 0 cpu_frequency,8.65890040891e-05
41.857292,41.956962,0.0996700000251,core 0 cpu_idle,0.00148328894037
41.956962,41.957023,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
41.957023,42.00692,0.0498969999899,core 0 cpu_idle,0.000742567153849
42.00692,42.00695,2.99999956042e-05,core 0 cpu_frequency,2.21061447608e-05
42.00695,42.106834,0.0998839999957,core 0 cpu_idle,0.00148647368794
42.106834,42.106865,3.10000032187e-05,core 0 cpu_frequency,2.28430219717e-05
42.106865,42.156822,0.0499570000102,core 0 cpu_idle,0.000743460074152
42.156822,42.156883,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
42.156883,42.207054,0.0501709999808,core 0 cpu_idle,0.000746644821714
42.207054,42.207145,9.10000235308e-05,core 0 cpu_frequency,3.58299124649e-05
42.207145,42.257011,0.0498659999867,core 0 cpu_idle,0.000742105811801
42.257011,42.257103,9.20000020415e-05,core 0 cpu_frequency,5.20665915553e-05
42.257103,42.406913,0.149810000003,core 0 cpu_idle,0.00222947242004
42.406913,42.406974,6.09999988228e-05,core 0 cpu_frequency,2.40178467365e-05
42.406974,42.507988,0.101013999985,core 0 cpu_idle,0.00150329034778
