App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 12:58:23 AM","17 sec","Trepn_2018.10.22_005822.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
49,3,45,255,49,1784728,528321,50,320000,51,0,8,1512000,39,1512000,43,0,46,0,37,84,41,100,44,0,47,0,
117,3,114,255,117,2427716,1171309,118,320000,119,0,108,1512000,110,1512000,112,1512000,115,1512000,109,100,111,100,113,30,116,48,
216,3,214,255,216,2769730,1513323,216,320000,217,0,208,1512000,210,1512000,212,1512000,214,1512000,210,75,212,90,213,63,216,100,
316,3,314,255,316,2509799,1253392,317,320000,317,0,309,1512000,311,1512000,312,1512000,315,1512000,310,54,312,70,314,66,316,100,
416,3,414,255,416,1839451,583044,417,320000,417,0,409,1512000,411,1512000,413,1512000,415,1512000,411,22,412,20,414,50,416,100,
518,3,516,255,518,1928375,671968,518,320000,519,0,510,1512000,512,1512000,514,1512000,517,0,512,60,514,70,516,75,518,0,
620,3,617,255,620,2988619,1732212,621,320000,622,0,610,1512000,612,1512000,614,1512000,618,1512000,612,90,614,90,616,90,620,90,
719,3,716,255,718,2331952,1075545,719,320000,720,0,711,1512000,713,1512000,714,1512000,717,1512000,712,70,714,100,716,50,718,44,
820,3,817,255,820,1846824,590417,821,320000,823,0,811,1512000,813,1512000,815,1026000,818,1134000,813,81,815,66,817,22,820,55,
925,3,922,255,925,2076275,819868,925,320000,926,0,913,1512000,915,1512000,920,1026000,923,1134000,915,60,920,75,922,77,924,81,
1025,3,1022,255,1025,2345290,1088883,1025,400000,1026,0,1013,1512000,1015,1512000,1017,1026000,1023,1512000,1015,72,1016,80,1019,90,1024,66,
1121,3,1119,255,1120,1894173,637766,1121,400000,1121,0,1113,1512000,1115,1512000,1117,1512000,1119,1512000,1115,36,1117,44,1118,90,1120,30,
