App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 01:12:01 AM","17 sec","Trepn_2018.10.22_011200.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
35,3,33,255,34,2032658,720316,35,320000,36,0,5,1512000,28,1512000,30,1026000,33,0,27,100,29,100,32,38,34,0,
118,3,115,255,118,2360650,1048308,119,320000,120,0,106,1512000,108,1512000,110,1026000,116,1026000,107,100,109,100,113,87,117,41,
215,3,212,255,215,2968098,1655756,215,320000,216,0,206,1512000,208,1512000,210,1512000,213,1512000,207,76,209,100,211,81,214,100,
314,3,312,255,314,2099382,787040,315,320000,316,0,306,1512000,308,1512000,310,1512000,313,1512000,308,50,310,100,312,30,314,50,
415,3,412,255,414,1743687,431345,415,320000,416,0,407,1512000,409,1512000,411,1512000,413,1512000,408,12,410,100,412,66,414,0,
532,3,522,255,532,2181465,869123,533,320000,533,0,507,1512000,509,1512000,513,1512000,522,0,509,80,510,100,519,62,532,0,
615,3,614,255,615,1935215,622873,616,320000,616,0,608,1512000,610,1512000,612,1512000,614,0,609,50,611,66,613,90,615,0,
721,3,719,255,721,2489278,1176936,722,320000,722,0,708,1512000,710,1512000,717,1512000,719,1512000,709,75,716,80,719,66,721,66,
824,3,821,255,824,2756049,1443707,824,400000,825,0,810,1512000,812,1512000,819,1512000,822,1512000,812,80,818,80,821,66,823,100,
922,3,920,255,922,2632924,1320582,923,400000,923,0,912,1512000,913,1512000,918,1512000,920,1512000,913,83,918,72,919,90,922,63,
