App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 12:42:26 AM","17 sec","Trepn_2018.10.22_004225.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
36,3,33,255,36,2886015,1080041,37,320000,37,0,14,1512000,30,1512000,32,1512000,34,1512000,30,91,32,100,33,100,35,54,
121,3,119,255,121,3159626,1353652,121,320000,122,0,114,1512000,116,1512000,117,1512000,119,1512000,115,100,117,100,119,100,121,85,
221,3,219,255,221,3002300,1196326,222,320000,222,0,214,1512000,216,1512000,218,1512000,220,1512000,216,100,217,100,219,100,221,62,
323,3,321,255,323,2708167,902193,323,320000,324,0,315,1512000,317,1512000,319,1512000,321,1512000,317,75,318,100,320,100,322,44,
427,3,421,255,427,2605563,799589,428,320000,429,0,415,1512000,417,1512000,419,1512000,422,1512000,417,88,419,100,421,54,427,62,
527,3,521,255,527,3145946,1339972,528,320000,529,0,516,1512000,518,1512000,519,1512000,522,1512000,517,100,519,100,520,100,527,83,
626,3,623,255,625,2920216,1114242,626,400000,627,0,616,1512000,618,1512000,620,1512000,623,1512000,618,90,620,100,622,83,625,77,
726,3,723,255,726,2188305,382331,727,400000,727,0,717,1512000,719,1512000,721,1512000,723,1512000,719,60,721,55,722,41,726,87,
830,3,827,255,830,2913376,1107402,830,400000,831,0,819,1512000,821,1512000,823,1512000,828,1512000,820,80,822,90,826,88,830,91,
932,3,924,255,932,2728688,922714,933,400000,934,0,919,1512000,921,1512000,922,1512000,929,1512000,920,77,922,88,924,87,931,70,
1027,3,1025,255,1027,2003618,197644,1028,400000,1029,0,1019,1512000,1021,1512000,1023,1512000,1025,1512000,1021,80,1023,33,1024,33,1027,70,
1127,3,1125,255,1126,1716326,0,1128,400000,1128,0,1120,1512000,1122,1512000,1123,1512000,1125,1512000,1121,50,1123,36,1124,22,1126,66,
1230,3,1228,255,1230,671890,0,1231,400000,1231,0,1220,1026000,1223,1026000,1226,1026000,1229,0,1223,20,1225,20,1228,0,1230,0,
1355,3,1352,255,1354,585338,0,1355,400000,1356,0,1322,384000,1331,384000,1345,0,1354,0,1329,22,1342,46,1347,0,1354,0,
1467,3,1466,255,1467,1013813,0,1491,400000,1496,0,1422,918000,1425,1026000,1464,0,1466,0,1424,70,1445,75,1465,0,1467,0,
1546,3,1539,255,1546,2058694,252720,1547,400000,1548,35,1529,1512000,1531,1512000,1533,384000,1544,1134000,1530,100,1532,100,1538,27,1546,33,
1638,3,1636,255,1638,3316251,1510277,1638,320000,1639,35,1629,1512000,1631,1512000,1633,1512000,1636,1134000,1631,42,1632,72,1634,75,1638,60,
1739,3,1737,255,1739,2665483,859509,1739,200000,1740,35,1729,1512000,1732,1512000,1735,1512000,1737,1026000,1731,30,1735,62,1736,72,1738,44,
1837,3,1835,255,1837,2740632,934658,1838,128000,1838,35,1830,1512000,1832,1512000,1834,1512000,1836,1512000,1831,50,1833,44,1835,70,1837,100,
1937,3,1935,255,1937,1634951,0,1938,128000,1938,35,1930,1512000,1932,1512000,1934,1512000,1936,1512000,1932,0,1933,33,1935,88,1937,10,
2040,3,2039,255,2040,1196056,0,2040,128000,2041,35,2031,1026000,2034,1026000,2036,1134000,2039,0,2033,12,2035,90,2038,20,2040,0,
2139,3,2138,255,2139,1579609,0,2140,128000,2140,35,2131,1026000,2134,1512000,2136,1026000,2138,0,2133,16,2135,100,2137,27,2139,0,
2269,3,2266,255,2269,1554099,0,2272,128000,2273,35,2252,1026000,2255,1512000,2262,0,2266,0,2254,36,2261,100,2264,0,2269,0,
2349,3,2340,255,2343,1935924,129950,2350,128000,2351,35,2333,1512000,2336,1512000,2339,0,2340,0,2335,75,2338,100,2339,0,2340,0,
2440,3,2439,255,2440,1901722,95748,2441,128000,2443,35,2433,1512000,2435,1512000,2437,0,2439,0,2435,70,2437,100,2438,0,2440,0,
2539,3,2538,255,2539,1874361,68387,2540,128000,2541,16,2534,1512000,2535,1512000,2537,0,2538,0,2535,66,2536,100,2537,0,2539,0,
2649,3,2648,255,2649,1842293,36319,2650,128000,2650,16,2635,1512000,2640,1512000,2643,1026000,2649,0,2636,75,2642,100,2648,6,2649,0,
2743,3,2742,255,2743,1735482,0,2743,128000,2744,16,2735,1512000,2738,1512000,2740,1026000,2742,0,2737,100,2739,45,2741,33,2743,0,
2849,3,2845,255,2848,1863597,57623,2849,128000,2850,16,2836,1512000,2837,1512000,2839,1026000,2846,0,2837,100,2839,60,2841,40,2848,0,
2943,3,2941,255,2943,1879014,73040,2943,128000,2944,16,2936,1512000,2938,1512000,2939,1026000,2942,0,2937,100,2939,50,2940,63,2942,0,
3048,3,3045,255,3048,1598585,0,3049,128000,3050,16,3037,1512000,3039,1134000,3041,1026000,3046,0,3038,100,3040,40,3044,33,3047,0,
3144,3,3143,255,3144,1617175,0,3145,128000,3145,16,3137,1512000,3139,1026000,3141,1026000,3143,0,3139,100,3141,40,3143,45,3144,0,
3249,3,3247,255,3249,1598953,0,3249,128000,3250,16,3238,1512000,3240,1026000,3244,1026000,3248,0,3240,100,3242,50,3247,30,3248,0,
3345,3,3344,255,3344,1598953,0,3345,128000,3346,16,3338,1512000,3340,1026000,3342,1026000,3344,0,3340,100,3341,40,3343,40,3344,0,
3450,3,3449,255,3450,1424025,0,3450,128000,3451,16,3438,1512000,3441,1026000,3447,1026000,3449,0,3440,100,3446,12,3448,20,3450,0,
3546,3,3545,255,3546,1530551,0,3546,128000,3547,14,3539,1512000,3541,1026000,3543,1026000,3545,0,3541,90,3542,30,3544,50,3546,0,
3646,3,3645,255,3646,1586518,0,3646,128000,3647,14,3639,1512000,3641,1512000,3643,1026000,3645,0,3641,55,3643,70,3644,33,3645,0,
3750,3,3748,255,3749,1466255,0,3750,128000,3751,14,3741,1512000,3744,1512000,3747,0,3749,0,3743,25,3746,100,3748,0,3749,0,
3848,3,3846,255,3847,1525985,0,3849,128000,3850,14,3841,1134000,3843,1512000,3845,0,3846,0,3843,54,3845,100,3845,0,3846,0,
3968,3,3963,255,3968,1404578,0,3971,128000,3977,14,3943,1026000,3947,1512000,3955,0,3965,0,3946,30,3953,100,3962,0,3968,0,
4059,3,4056,255,4059,1821949,15975,4062,128000,4070,14,4043,1512000,4045,1512000,4055,0,4058,0,4045,100,4054,77,4055,0,4059,0,
4151,3,4149,255,4151,1527817,0,4151,128000,4152,14,4144,1512000,4146,1512000,4148,0,4150,0,4145,90,4147,44,4149,0,4151,0,
4262,3,4260,255,4262,1746706,0,4263,128000,4264,14,4244,1512000,4254,1512000,4257,0,4261,0,4250,75,4256,91,4257,0,4262,0,
4355,3,4354,255,4355,1982749,176775,4356,320000,4356,14,4347,1512000,4350,1512000,4352,1026000,4355,0,4349,88,4352,88,4354,46,4355,0,
4457,3,4456,255,4457,2025007,219033,4458,320000,4458,14,4446,1512000,4448,1512000,4450,1512000,4457,0,4448,37,4450,55,4455,77,4457,0,
4553,3,4552,255,4553,2250737,444763,4560,320000,4561,19,4546,1512000,4548,1512000,4550,1512000,4552,0,4548,72,4550,60,4552,70,4553,0,
4654,3,4653,255,4654,2181668,375694,4654,320000,4655,19,4647,1512000,4649,1512000,4651,1512000,4653,0,4648,40,4651,44,4653,90,4654,0,
4763,3,4758,255,4762,2769932,963958,4763,320000,4764,19,4748,1512000,4752,1512000,4755,1512000,4759,0,4751,72,4754,88,4757,100,4762,33,
4860,3,4858,255,4860,2528558,722584,4860,320000,4861,19,4848,1512000,4850,1512000,4855,1512000,4858,1026000,4850,72,4853,100,4857,33,4860,37,
4961,3,4957,255,4961,2715373,909399,4961,320000,4962,19,4949,1512000,4951,1512000,4953,1512000,4958,1026000,4950,77,4952,72,4956,62,4960,77,
5057,3,5055,255,5057,2810974,1005000,5058,400000,5059,19,5049,1512000,5051,1512000,5053,1512000,5055,1512000,5051,44,5053,88,5054,80,5057,54,
5157,3,5155,255,5157,2403662,597688,5158,400000,5158,19,5150,1512000,5152,1512000,5153,1512000,5156,1512000,5151,80,5153,30,5155,11,5157,55,
5269,3,5264,255,5269,2093208,287234,5269,400000,5277,19,5250,1512000,5253,1026000,5256,1026000,5268,0,5252,80,5255,45,5258,50,5269,0,
5358,3,5356,255,5358,2469089,663115,5359,400000,5360,19,5351,1512000,5353,1026000,5355,1512000,5357,0,5352,72,5354,63,5356,80,5358,0,
5457,3,5456,255,5457,1588714,0,5458,400000,5458,19,5451,1512000,5453,1026000,5455,1512000,5457,0,5453,11,5454,11,5456,40,5457,0,
5559,3,5557,255,5559,1815397,9423,5560,320000,5561,0,5552,1512000,5554,1512000,5556,1512000,5558,0,5554,30,5555,42,5557,18,5558,0,
5662,3,5660,255,5661,650023,0,5663,320000,5663,0,5652,1026000,5656,1026000,5659,0,5661,0,5655,14,5658,20,5660,0,5661,0,
5778,3,5772,255,5778,541792,0,5781,320000,5784,0,5753,384000,5759,384000,5767,0,5773,0,5757,0,5766,18,5771,0,5777,0,
5859,3,5858,255,5859,959239,0,5860,320000,5860,0,5853,1026000,5855,1512000,5857,0,5858,0,5855,25,5857,50,5858,0,5859,0,
5961,3,5960,255,5961,783185,0,5962,320000,5963,0,5954,1026000,5956,1512000,5959,0,5961,0,5956,33,5959,20,5960,0,5961,0,
6067,3,6064,255,6066,988948,0,6068,320000,6069,0,6055,1026000,6059,1026000,6062,0,6064,0,6057,77,6061,50,6063,0,6065,0,
6193,3,6169,255,6187,1061835,0,6195,320000,6196,0,6155,1026000,6160,1026000,6165,0,6170,0,6159,70,6162,77,6168,0,6170,0,
6262,3,6261,255,6262,1346950,0,6262,320000,6263,0,6255,1512000,6257,1512000,6259,1512000,6261,0,6257,60,6259,60,6261,0,6262,0,
6363,3,6362,255,6363,745005,0,6363,320000,6364,0,6356,1512000,6358,1512000,6360,1512000,6362,0,6357,16,6359,16,6361,0,6362,0,
6471,3,6467,255,6471,635446,0,6472,320000,6474,0,6456,1026000,6463,1026000,6466,0,6468,0,6462,20,6465,10,6467,0,6471,0,
6578,3,6574,255,6577,617561,0,6580,320000,6582,0,6558,384000,6564,384000,6570,0,6575,0,6563,42,6569,63,6572,0,6577,0,
6668,3,6666,255,6668,832241,0,6668,320000,6669,0,6658,1026000,6662,1026000,6665,0,6667,0,6661,44,6664,40,6666,0,6667,0,
6768,3,6766,255,6767,767153,0,6769,320000,6769,0,6759,810000,6762,1026000,6765,0,6766,0,6761,55,6764,28,6765,0,6767,0,
