Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.533,20.533,screen bright,18.4740164656
0,20.533,20.533,wifi running,0.27588795856
0,20.533,20.533,phone_scanning,10.7107388469
0.0,31.685098,31.685098,core 0 cpu_idle start,0.471537628436
31.685098,33.980447,2.29534899999,core 0 cpu_idle,0.0341593838179
33.980447,33.980478,3.10000032187e-05,core 0 cpu_frequency,1.75441790216e-05
33.980478,34.077707,0.0972290000063,core 0 cpu_idle,0.00144696197809
34.077707,34.077737,2.99999956042e-05,core 0 cpu_frequency,2.21061447608e-05
34.077737,34.180612,0.102874999982,core 0 cpu_idle,0.00153098574974
34.180612,34.181955,0.00134300001082,core 0 cpu_frequency,0.00136879152023
34.181955,34.380533,0.19857800001,core 0 cpu_idle,0.00295523779616
34.380533,34.380624,9.0999994427e-05,core 0 cpu_frequency,6.70553114934e-05
34.380624,34.527506,0.146882000001,core 0 cpu_idle,0.00218589792401
34.527506,34.527567,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
34.527567,34.577432,0.0498650000081,core 0 cpu_idle,0.000742090930121
34.577432,34.579111,0.00167899997905,core 0 cpu_frequency,0.00123720740096
34.579111,34.727518,0.148407000001,core 0 cpu_idle,0.00220859297401
34.727518,34.727579,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
34.727579,34.777414,0.0498350000125,core 0 cpu_idle,0.000741644470187
34.777414,34.777475,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
34.777475,34.927438,0.149963000003,core 0 cpu_idle,0.00223174936605
34.927438,34.927469,3.10000032187e-05,core 0 cpu_frequency,2.28430219717e-05
34.927469,34.977457,0.0499879999843,core 0 cpu_idle,0.000743921415766
34.977457,34.977487,2.99999956042e-05,core 0 cpu_frequency,2.21061447608e-05
34.977487,35.081064,0.103577000002,core 0 cpu_idle,0.00154143291402
35.081064,35.081125,6.09999988228e-05,core 0 cpu_frequency,6.21714672002e-05
35.081125,35.380045,0.298920000001,core 0 cpu_idle,0.00444852744002
35.380045,35.380106,6.09999988228e-05,core 0 cpu_frequency,4.49491667326e-05
35.380106,35.42753,0.0474240000185,core 0 cpu_idle,0.000705763968275
35.42753,35.431741,0.00421099999221,core 0 cpu_frequency,0.00310296630186
35.431741,35.681314,0.249573000008,core 0 cpu_idle,0.00371414538612
35.681314,35.684396,0.00308199998108,core 0 cpu_frequency,0.00314118794151
35.684396,35.982401,0.298005000019,core 0 cpu_idle,0.00443491041028
