App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 12:17:17 AM","17 sec","Trepn_2018.10.22_001716.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
48,3,46,255,47,1894173,637129,48,320000,50,0,41,1512000,43,1512000,45,0,46,0,43,100,45,100,45,0,47,0,
149,3,147,255,149,2667126,1410082,149,320000,150,0,142,1512000,144,1512000,145,1512000,147,1512000,143,100,145,72,147,90,149,51,
249,3,247,255,249,2564521,1307477,249,320000,250,0,242,1512000,244,1512000,246,1512000,248,1512000,244,100,245,54,247,100,249,44,
350,3,348,255,350,2578202,1321158,351,320000,351,0,343,1512000,345,1512000,346,1512000,348,1512000,344,100,346,60,348,80,350,60,
451,3,448,255,450,2215667,958623,451,320000,452,0,443,1512000,445,1512000,447,1512000,449,1512000,445,100,446,50,448,44,450,53,
551,3,549,255,550,2345632,1088588,551,320000,552,0,543,1512000,546,1512000,547,1512000,549,1512000,545,100,547,60,549,46,550,60,
651,3,649,255,651,1812090,555046,651,320000,652,0,644,1512000,646,1512000,648,1512000,649,1512000,645,100,647,41,649,36,651,11,
756,3,750,255,756,2298867,1041823,757,320000,758,0,744,1512000,746,1512000,748,1026000,751,1512000,746,87,748,77,750,66,755,60,
854,3,851,255,854,2290910,1033866,855,200000,856,0,845,1512000,847,1512000,849,1512000,852,1512000,847,50,848,66,850,72,853,70,
958,3,953,255,958,2489278,1232234,958,400000,959,0,945,1512000,949,1512000,951,1512000,954,1512000,948,90,950,70,953,72,957,55,
1052,3,1051,255,1052,2160944,903900,1053,400000,1053,0,1046,1512000,1048,1512000,1049,1512000,1051,1512000,1047,37,1049,50,1050,80,1052,72,
1155,3,1153,255,1155,1948895,691851,1156,400000,1156,0,1146,1512000,1148,1512000,1151,1512000,1153,1512000,1148,54,1150,36,1152,60,1155,58,
1254,3,1252,255,1254,2393514,1136470,1255,400000,1255,0,1247,1512000,1249,1512000,1250,1512000,1252,1512000,1248,80,1250,90,1252,40,1254,63,
1353,3,1352,255,1353,1633843,376799,1354,320000,1354,0,1347,1512000,1349,1512000,1350,1026000,1352,1026000,1348,44,1350,62,1351,30,1353,75,
1458,3,1456,255,1458,2420875,1163831,1459,320000,1459,0,1449,1512000,1451,1512000,1454,1512000,1456,1512000,1451,63,1453,70,1455,72,1458,72,
1557,3,1555,255,1557,2236188,979144,1558,320000,1558,31,1550,1512000,1552,1512000,1553,1512000,1555,1512000,1551,100,1553,50,1555,25,1557,75,
1658,3,1656,255,1658,2455048,1198004,1658,320000,1659,31,1650,1512000,1653,1512000,1654,1512000,1656,1512000,1652,66,1654,25,1656,40,1657,40,
1760,3,1758,255,1760,1839080,582036,1760,200000,1761,31,1751,1512000,1754,1026000,1756,1026000,1759,0,1753,33,1755,40,1758,50,1760,0,
1863,3,1861,255,1863,1971032,713988,1864,200000,1865,31,1852,1512000,1854,1026000,1858,1026000,1862,0,1854,80,1857,66,1860,81,1862,0,
1961,3,1960,255,1961,2577641,1320597,1962,320000,1963,31,1953,1512000,1956,1512000,1958,1512000,1960,0,1955,81,1957,76,1959,90,1961,0,
2060,3,2059,255,2060,2420846,1163802,2061,320000,2061,31,2052,1512000,2056,1512000,2058,1512000,2059,0,2055,55,2057,45,2059,66,2060,0,
2163,3,2162,255,2163,1804992,547948,2164,320000,2165,31,2153,1512000,2158,1026000,2161,0,2162,0,2157,44,2159,60,2161,0,2163,0,
2264,3,2259,255,2263,2119874,862830,2264,320000,2265,31,2253,1512000,2255,1512000,2257,0,2259,0,2255,60,2257,62,2258,0,2260,0,
2364,3,2363,255,2364,1969387,712343,2365,320000,2365,31,2354,1512000,2356,1512000,2359,0,2364,0,2355,50,2357,50,2363,0,2364,0,
2469,3,2468,255,2469,1935186,678142,2469,200000,2470,31,2454,1512000,2457,1512000,2466,0,2468,0,2457,50,2462,45,2468,0,2469,0,
2559,3,2559,255,2559,1743126,486082,2560,200000,2561,31,2555,1512000,2556,1512000,2558,0,2559,0,2556,63,2558,62,2558,0,2559,0,
2661,3,2660,255,2661,1503715,246671,2667,200000,2668,31,2656,1512000,2657,1512000,2659,0,2660,0,2657,50,2659,40,2660,0,2661,0,
2762,3,2760,255,2762,2361192,1104148,2764,200000,2765,31,2755,1512000,2757,1134000,2759,1512000,2761,1512000,2757,60,2758,55,2760,81,2762,40,
2812,3,2811,255,2812,1737882,480838,2813,200000,2813,31,2806,1512000,2808,1134000,2809,1512000,2811,1512000,2808,20,2809,50,2810,40,2812,33,
