App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 12:20:46 AM","17 sec","Trepn_2018.10.22_002044.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
26,3,24,255,26,2817612,1,27,320000,29,0,16,1512000,18,1512000,21,1512000,24,1512000,17,100,20,85,23,100,26,50,
125,3,122,255,125,2735529,0,126,320000,127,0,116,1512000,118,1512000,120,1512000,122,1512000,118,80,119,55,121,100,125,88,
224,3,222,255,223,2461917,0,224,320000,225,0,216,1512000,218,1512000,220,1512000,222,1512000,218,55,220,40,221,100,223,88,
324,3,322,255,324,2099382,0,325,320000,325,0,317,1512000,319,1512000,320,1512000,322,1512000,318,40,320,40,322,100,324,50,
425,3,423,255,425,2338792,0,425,320000,426,0,417,1512000,419,1512000,421,1512000,423,1512000,419,70,420,50,422,100,425,45,
527,3,524,255,526,2523480,0,527,320000,528,0,518,1512000,520,1512000,522,1512000,525,1512000,520,72,522,90,524,70,526,60,
632,3,630,255,632,1600041,0,633,320000,633,0,618,1512000,620,1512000,628,1512000,630,1512000,620,16,627,58,629,33,632,50,
728,3,726,255,728,2742369,0,729,400000,730,0,719,1512000,721,1512000,723,1512000,726,1512000,720,80,723,72,725,87,728,85,
829,3,826,255,828,2369437,0,829,400000,830,0,819,1512000,821,1512000,824,1134000,826,1512000,821,72,823,80,825,60,828,80,
928,3,925,255,928,1848476,0,928,400000,929,0,920,1512000,922,1512000,923,1026000,925,1512000,921,70,923,60,925,25,927,50,
1029,3,1027,255,1028,1441141,0,1029,400000,1030,0,1020,1512000,1023,1512000,1025,1026000,1027,1512000,1022,12,1024,53,1026,54,1028,40,
1129,3,1127,255,1129,2010458,0,1130,400000,1131,0,1121,1512000,1122,1512000,1124,1512000,1128,0,1122,55,1124,100,1125,62,1129,0,
1229,3,1226,255,1229,2056471,0,1230,400000,1230,0,1221,1134000,1223,1512000,1224,1512000,1229,0,1222,70,1224,100,1226,80,1229,0,
1335,3,1331,255,1334,2535291,0,1335,400000,1336,0,1322,1134000,1328,1512000,1329,1512000,1332,1512000,1327,70,1329,100,1331,90,1334,60,
1430,3,1428,255,1430,2851813,34202,1430,320000,1431,0,1422,1512000,1424,1512000,1426,1512000,1428,1512000,1424,87,1425,100,1427,90,1430,63,
1530,3,1528,255,1529,1543411,0,1530,320000,1531,33,1523,1512000,1524,1512000,1526,1512000,1528,1026000,1524,12,1526,100,1527,25,1529,22,
1633,3,1629,255,1633,2506828,0,1633,320000,1634,33,1623,1026000,1626,1512000,1627,1512000,1630,1026000,1625,50,1627,66,1629,50,1632,54,
1732,3,1730,255,1731,2554938,0,1732,320000,1733,33,1724,1026000,1726,1512000,1728,1512000,1731,0,1725,44,1727,100,1730,55,1731,0,
1834,3,1831,255,1834,3322509,504898,1835,320000,1836,33,1824,1512000,1826,1512000,1829,1512000,1831,1026000,1825,100,1828,90,1830,90,1833,20,
1934,3,1931,255,1934,3584796,767185,1937,400000,1938,33,1925,1512000,1927,1512000,1929,1512000,1932,1512000,1926,72,1929,100,1931,77,1933,80,
2033,3,2031,255,2033,3563548,745937,2033,400000,2034,33,2025,1512000,2027,1512000,2028,1512000,2031,1512000,2026,71,2028,88,2031,60,2033,54,
2133,3,2131,255,2133,3392541,574930,2134,400000,2134,33,2126,1512000,2127,1512000,2129,1512000,2131,1512000,2127,100,2129,50,2131,44,2133,54,
2234,3,2231,255,2234,3768757,951146,2234,400000,2235,33,2226,1512000,2228,1512000,2230,1512000,2232,1512000,2228,100,2229,71,2231,70,2233,62,
2335,3,2333,255,2335,3098409,280798,2336,400000,2337,33,2327,1512000,2329,1512000,2331,1512000,2334,1512000,2328,100,2330,40,2333,25,2335,40,
2435,3,2433,255,2434,3269416,451805,2435,400000,2436,33,2427,1512000,2429,1512000,2431,1512000,2433,1512000,2429,100,2430,50,2432,40,2434,40,
2535,3,2533,255,2535,2913721,96110,2535,400000,2536,31,2528,1512000,2529,1512000,2531,1512000,2533,1512000,2529,100,2531,25,2532,33,2534,20,
2668,3,2656,255,2666,2338814,0,2669,400000,2675,31,2632,1512000,2636,1026000,2654,0,2659,0,2635,91,2650,25,2654,0,2666,0,
2745,3,2742,255,2745,2904372,86761,2746,400000,2746,31,2732,1512000,2734,1512000,2741,0,2743,0,2733,100,2741,87,2742,0,2744,0,
2840,3,2839,255,2840,2993296,175685,2841,400000,2845,31,2834,1512000,2836,1512000,2837,0,2839,0,2835,100,2837,100,2838,0,2840,0,
2942,3,2940,255,2942,2723158,0,2942,320000,2943,31,2934,1512000,2936,1512000,2938,1026000,2941,0,2936,66,2937,70,2939,46,2942,0,
3042,3,3041,255,3042,2612374,0,3043,200000,3043,31,3036,1512000,3037,1512000,3039,1512000,3042,0,3037,44,3039,50,3041,100,3042,0,
3145,3,3143,255,3144,2563960,0,3145,128000,3146,31,3136,1512000,3138,1512000,3140,1512000,3144,0,3137,75,3140,80,3143,90,3144,0,
3243,3,3241,255,3243,1836366,0,3244,200000,3244,31,3236,1512000,3238,1512000,3240,1512000,3242,0,3238,50,3239,44,3241,70,3243,0,
3345,3,3344,255,3345,1811528,0,3345,200000,3346,31,3338,1512000,3340,1512000,3342,1512000,3344,0,3339,40,3341,50,3344,45,3345,0,
3449,3,3447,255,3448,1189701,0,3449,320000,3450,0,3439,1134000,3444,1026000,3446,0,3448,0,3443,45,3445,30,3447,0,3448,0,
3546,3,3544,255,3546,881389,0,3547,320000,3548,0,3539,1134000,3541,1026000,3543,0,3545,0,3541,55,3543,33,3544,0,3545,0,
3663,3,3654,255,3660,1417872,0,3664,320000,3668,0,3640,1512000,3644,1026000,3650,0,3657,0,3642,100,3646,57,3652,0,3658,0,
3748,3,3745,255,3748,2084519,0,3749,320000,3749,0,3740,1512000,3742,1512000,3744,1026000,3746,1026000,3741,90,3743,100,3745,41,3748,30,
3853,3,3850,255,3852,1638726,0,3853,320000,3854,0,3840,1512000,3844,1512000,3847,1512000,3850,1026000,3843,22,3847,50,3849,80,3852,20,
3951,3,3948,255,3951,1996777,0,3951,320000,3952,0,3942,1512000,3944,1512000,3946,1512000,3949,1512000,3944,37,3946,45,3947,33,3950,100,
4052,3,4049,255,4052,837907,0,4052,320000,4053,0,4043,1026000,4045,1026000,4047,1512000,4050,1512000,4045,22,4047,11,4049,10,4051,18,
4152,3,4150,255,4152,979646,0,4153,320000,4154,0,4143,1026000,4146,1026000,4148,1512000,4151,0,4145,33,4147,22,4150,37,4152,0,
4257,3,4256,255,4257,1043613,0,4258,320000,4259,0,4244,1026000,4247,1026000,4254,0,4256,0,4247,62,4249,80,4255,0,4257,0,
4355,3,4353,255,4355,762998,0,4356,320000,4357,0,4345,1026000,4348,1026000,4351,0,4354,0,4347,28,4350,37,4352,0,4355,0,
4469,3,4467,255,4469,781618,0,4470,320000,4470,0,4448,1026000,4457,486000,4466,0,4468,0,4454,50,4465,61,4466,0,4469,0,
4556,3,4553,255,4555,2210335,0,4556,320000,4557,0,4547,1512000,4549,1512000,4551,1026000,4554,1512000,4549,100,4551,80,4553,83,4555,22,
4657,3,4655,255,4657,1764762,0,4658,320000,4660,0,4648,1512000,4650,1512000,4653,1026000,4655,1026000,4649,81,4652,50,4654,44,4657,50,
4756,3,4754,255,4756,1968455,0,4756,320000,4757,0,4748,1512000,4750,1512000,4752,1026000,4754,1026000,4750,80,4751,60,4753,71,4756,62,
4858,3,4855,255,4857,1824809,0,4858,320000,4859,0,4849,1512000,4851,1512000,4853,1026000,4856,1026000,4850,64,4852,55,4855,70,4857,63,
4959,3,4956,255,4958,1908743,0,4959,320000,4960,0,4949,1512000,4951,1512000,4954,1026000,4957,1026000,4951,75,4953,60,4956,60,4958,66,
5057,3,5055,255,5057,1798287,0,5058,320000,5059,0,5049,1512000,5052,1512000,5054,1026000,5056,1026000,5051,50,5053,55,5055,77,5057,75,
5158,3,5156,255,5158,1611023,0,5159,320000,5159,0,5150,1512000,5152,1512000,5154,1026000,5156,1026000,5152,50,5153,50,5155,50,5158,60,
5258,3,5256,255,5258,1860861,0,5259,320000,5259,0,5250,1512000,5253,1512000,5254,1026000,5257,1026000,5252,62,5254,66,5256,60,5258,66,
5361,3,5357,255,5360,1739081,0,5361,320000,5362,0,5351,1512000,5353,1512000,5355,1026000,5358,1026000,5353,63,5355,44,5357,66,5360,66,
5461,3,5458,255,5460,1594538,0,5461,320000,5462,0,5451,1512000,5454,1512000,5456,1026000,5459,1026000,5454,55,5456,33,5458,58,5460,70,
5561,3,5558,255,5561,1557084,0,5562,320000,5562,0,5552,1512000,5554,1512000,5556,1026000,5559,1026000,5554,37,5556,37,5558,72,5561,72,
5663,3,5660,255,5662,2008828,0,5663,320000,5664,0,5653,1512000,5655,1512000,5658,1512000,5660,1026000,5655,70,5657,66,5659,44,5662,69,
5762,3,5759,255,5762,2042075,0,5762,320000,5763,0,5753,1512000,5755,1512000,5757,1512000,5760,1026000,5755,66,5757,63,5759,50,5761,80,
5861,3,5859,255,5861,1937229,0,5862,320000,5862,0,5853,1512000,5856,1512000,5857,1512000,5860,1026000,5855,44,5857,70,5859,55,5861,70,
5962,3,5960,255,5962,2365868,0,5962,320000,5963,0,5954,1512000,5956,1512000,5958,1512000,5960,1026000,5955,77,5957,72,5959,80,5962,75,
6064,3,6061,255,6063,2162958,0,6064,320000,6065,0,6054,1512000,6056,1512000,6058,1512000,6061,1026000,6056,60,6058,70,6061,72,6063,70,
6164,3,6161,255,6164,2060411,0,6164,320000,6165,0,6155,1512000,6157,1512000,6159,1512000,6162,1026000,6157,72,6159,60,6161,63,6164,55,
6262,3,6261,255,6262,1846291,0,6263,320000,6263,0,6255,1512000,6257,1512000,6259,1512000,6262,0,6257,66,6259,72,6261,55,6262,0,
6363,3,6361,255,6362,1962576,0,6363,320000,6364,0,6356,1512000,6357,1512000,6359,1512000,6362,0,6357,70,6359,70,6361,70,6362,0,
6464,3,6462,255,6463,2174625,0,6464,320000,6465,0,6456,1512000,6458,1512000,6460,1512000,6463,0,6458,90,6460,70,6461,81,6463,0,
6564,3,6562,255,6563,1948895,0,6564,320000,6565,0,6557,1512000,6559,1512000,6561,1512000,6563,0,6558,66,6560,80,6562,62,6563,0,
6667,3,6665,255,6667,2407195,0,6668,320000,6669,0,6657,1512000,6659,1512000,6662,1512000,6666,0,6659,100,6661,85,6665,90,6667,0,
6768,3,6766,255,6768,2325111,0,6768,320000,6769,0,6758,1512000,6760,1512000,6763,1512000,6767,0,6759,100,6762,83,6766,80,6767,0,
6868,3,6865,255,6868,2694487,0,6869,320000,6870,0,6858,1512000,6861,1512000,6864,1512000,6866,1512000,6860,83,6862,80,6865,83,6867,71,
6967,3,6964,255,6967,2441396,0,6968,320000,6969,0,6959,1512000,6961,1512000,6962,1512000,6965,1512000,6960,75,6962,75,6964,75,6967,55,
7067,3,7065,255,7066,2632924,0,7067,320000,7068,0,7059,1512000,7061,1512000,7063,1512000,7065,1512000,7061,77,7062,80,7064,70,7066,81,
7176,3,7173,255,7176,2448236,0,7176,320000,7183,0,7160,1512000,7162,1512000,7167,1512000,7174,1512000,7162,81,7166,55,7172,70,7176,75,
7267,3,7266,255,7267,2537160,0,7268,400000,7268,0,7260,1512000,7263,1512000,7264,1512000,7266,1512000,7262,80,7264,66,7265,71,7267,77,
7368,3,7366,255,7368,2243028,0,7369,320000,7369,0,7361,1512000,7363,1512000,7364,1512000,7366,1512000,7362,54,7364,70,7366,55,7368,72,
7469,3,7467,255,7468,2010458,0,7469,320000,7470,0,7461,1512000,7463,1512000,7465,1512000,7467,1512000,7463,63,7465,55,7466,55,7468,44,
7568,3,7567,255,7568,1853131,0,7568,320000,7569,0,7562,1512000,7564,1512000,7565,1512000,7567,0,7563,62,7565,66,7566,66,7568,0,
7668,3,7667,255,7668,1880493,0,7668,320000,7669,0,7662,1512000,7664,1512000,7666,1512000,7667,0,7663,66,7665,60,7667,72,7668,0,
7772,3,7771,255,7772,1573451,0,7773,320000,7774,0,7763,1512000,7765,1134000,7768,1512000,7771,0,7765,85,7767,37,7770,45,7772,0,
7871,3,7870,255,7871,1394718,0,7871,320000,7872,0,7863,1512000,7866,1026000,7867,1512000,7870,0,7865,100,7867,30,7869,11,7870,0,
7977,3,7974,255,7977,1250232,0,7978,320000,7981,0,7964,1512000,7967,1026000,7970,1026000,7975,0,7966,100,7969,11,7974,0,7976,0,
8071,3,8070,255,8071,1552159,0,8072,320000,8073,0,8064,1512000,8066,1512000,8068,0,8070,0,8066,100,8067,50,8069,0,8071,0,
8175,3,8171,255,8174,1250232,0,8175,320000,8176,0,8164,1512000,8167,1026000,8170,0,8173,0,8166,100,8169,11,8171,0,8174,0,
8274,3,8272,255,8273,1370496,0,8274,320000,8275,0,8265,1512000,8268,1026000,8271,0,8272,0,8267,100,8270,44,8271,0,8273,0,
8387,3,8381,255,8385,1330408,0,8389,320000,8390,0,8366,1512000,8372,1026000,8378,0,8384,0,8369,100,8375,33,8381,0,8384,0,
8473,3,8471,255,8473,1497436,0,8474,320000,8475,0,8466,1512000,8469,1512000,8470,0,8472,0,8468,100,8470,42,8471,0,8473,0,
8572,3,8570,255,8572,1285387,0,8572,320000,8573,0,8566,1512000,8568,1512000,8570,0,8571,0,8568,30,8569,81,8570,0,8571,0,
8685,3,8680,255,8683,1333269,0,8685,320000,8686,0,8667,1512000,8675,1512000,8678,0,8681,0,8674,100,8677,18,8680,0,8683,0,
8775,3,8773,255,8774,1552159,0,8775,320000,8776,0,8767,1512000,8769,1512000,8771,0,8773,0,8769,100,8771,50,8772,0,8774,0,
8876,3,8874,255,8876,1319475,0,8877,320000,8878,0,8868,1512000,8870,1026000,8873,0,8875,0,8870,100,8872,30,8874,0,8876,0,
8977,3,8976,255,8977,1341341,0,8978,320000,8979,0,8969,1512000,8972,1026000,8974,0,8976,0,8971,100,8973,36,8975,0,8977,0,
9077,3,9075,255,9077,1392362,0,9078,320000,9079,0,9069,1512000,9072,1026000,9074,0,9076,0,9071,100,9073,50,9075,0,9077,0,
9180,3,9177,255,9180,1736846,0,9183,320000,9185,0,9170,1512000,9172,1512000,9175,0,9179,0,9171,100,9174,77,9177,0,9180,0,
9277,3,9276,255,9277,1654763,0,9277,320000,9278,0,9270,1512000,9272,1512000,9274,1026000,9276,0,9272,90,9274,75,9275,0,9276,0,
9377,3,9376,255,9377,1677298,0,9378,320000,9378,0,9370,1512000,9372,1512000,9374,1026000,9376,0,9372,50,9374,81,9376,70,9377,0,
9477,3,9476,255,9477,1590730,0,9478,320000,9479,0,9471,1512000,9473,1512000,9475,1026000,9477,0,9473,75,9474,54,9476,50,9477,0,
9579,3,9578,255,9579,1392503,0,9580,320000,9580,0,9571,1512000,9574,1134000,9576,1026000,9578,0,9573,63,9575,55,9577,55,9579,0,
9678,3,9677,255,9678,1469904,0,9679,320000,9679,0,9672,1512000,9674,1512000,9675,1026000,9677,0,9673,44,9675,70,9677,45,9678,0,
