App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 01:33:53 AM","17 sec","Trepn_2018.10.22_013352.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
27,3,26,255,27,2039328,681306,28,320000,28,0,91,1512000,23,1512000,25,1026000,27,0,22,77,24,100,26,83,27,0,
99,3,97,255,99,2778641,1420619,99,320000,100,0,195,1512000,93,1512000,95,1512000,97,1026000,93,100,95,100,96,100,98,55,
203,3,201,255,203,2851813,1493791,203,320000,204,0,292,1512000,197,1512000,199,1512000,201,1512000,197,70,199,70,200,100,203,100,
300,3,298,255,299,2085701,727679,300,320000,301,0,393,1512000,294,1512000,296,1512000,298,1512000,294,50,295,28,297,50,299,100,
401,3,399,255,401,2078861,720839,401,320000,402,0,493,1512000,395,1512000,397,1512000,399,1512000,394,75,396,11,398,41,400,100,
501,3,498,255,501,2154104,796082,501,320000,502,0,594,1512000,495,1512000,497,1512000,499,1512000,495,44,496,54,498,40,501,100,
600,3,599,255,600,1647923,289901,600,320000,601,0,694,1512000,596,1512000,597,1512000,599,0,595,77,597,37,598,50,600,0,
704,3,701,255,703,984415,0,704,320000,705,0,795,1512000,697,1512000,699,1512000,702,0,697,12,699,22,701,33,703,0,
819,3,812,255,818,3132265,1774243,820,320000,823,0,897,1512000,801,1512000,809,1512000,813,1512000,800,91,808,100,811,90,817,100,
904,3,902,255,904,2756049,1398027,904,400000,905,0,998,1512000,899,1512000,901,1512000,903,1512000,899,90,901,100,902,66,904,70,
1006,3,1003,255,1006,1774073,416051,1006,400000,1007,0,1098,1512000,1000,1512000,1002,1512000,1004,1026000,1000,60,1001,66,1003,33,1005,44,
1106,3,1104,255,1105,1716326,358304,1106,400000,1107,0,1199,1512000,1100,1512000,1102,1512000,1104,1512000,1100,44,1102,30,1103,30,1105,70,
1206,3,1204,255,1205,751845,0,1206,400000,1207,0,1300,1026000,1202,1512000,1203,0,1205,0,1201,22,1203,11,1204,0,1205,0,
1320,3,1316,255,1319,792153,0,1321,400000,1322,0,1401,1512000,1303,1026000,1307,0,1318,0,1302,33,1305,40,1315,0,1319,0,
1421,3,1418,255,1420,2037819,679797,1421,400000,1423,0,1501,1512000,1405,1512000,1408,1512000,1419,0,1405,81,1407,100,1418,40,1420,0,
1510,3,1507,255,1510,2044659,686637,1511,400000,1511,0,1602,1512000,1504,1512000,1505,1512000,1508,0,1503,72,1505,70,1507,80,1509,0,
1610,3,1609,255,1610,1962576,604554,1611,320000,1611,27,1702,1512000,1604,1512000,1606,1512000,1609,0,1604,55,1606,100,1608,55,1610,0,
1711,3,1710,255,1711,2083469,725447,1712,200000,1712,27,1803,1512000,1704,1512000,1706,1512000,1711,0,1704,40,1705,58,1710,33,1711,0,
1810,3,1809,255,1810,1261332,0,1810,128000,1811,27,1903,1026000,1805,1512000,1807,1026000,1809,0,1805,33,1807,22,1809,12,1810,0,
1913,3,1912,255,1913,795930,0,1914,320000,1915,0,2004,918000,1906,1026000,1909,1026000,1912,0,1906,10,1908,9,1911,10,1913,0,
2047,3,2033,255,2047,796475,0,2048,320000,2049,0,2105,1512000,2010,594000,2024,0,2035,0,2007,57,2024,60,2030,0,2037,0,
2111,3,2110,255,2111,1483756,125734,2111,320000,2112,0,2205,1512000,2107,1512000,2109,0,2110,0,2106,100,2108,40,2109,0,2110,0,
2220,3,2210,255,2219,1552159,194137,2221,320000,2222,0,2305,1512000,2207,1512000,2209,0,2217,0,2206,90,2208,60,2209,0,2218,0,
2310,3,2309,255,2310,1278547,0,2311,320000,2311,0,2406,1512000,2307,1512000,2309,0,2310,0,2307,55,2308,55,2309,0,2310,0,
2411,3,2410,255,2411,669762,0,2411,320000,2412,0,2507,1026000,2408,1512000,2409,0,2410,0,2407,10,2409,11,2409,0,2411,0,
2515,3,2514,255,2515,668245,0,2516,320000,2517,0,2607,384000,2510,1026000,2512,0,2514,0,2509,12,2512,27,2513,0,2514,0,
2617,3,2614,255,2617,594555,0,2619,320000,2620,0,2708,918000,2610,1026000,2613,0,2615,0,2610,20,2612,14,2614,0,2616,0,
2716,3,2715,255,2716,692040,0,2717,320000,2718,0,2809,1026000,2711,1026000,2714,0,2715,0,2711,28,2713,22,2714,0,2716,0,
2821,3,2820,255,2821,574912,0,2822,320000,2823,0,2909,1026000,2814,384000,2818,0,2820,0,2813,11,2817,10,2819,0,2821,0,
2918,3,2916,255,2917,737488,0,2918,320000,2919,0,3010,1026000,2913,1026000,2915,0,2917,0,2912,25,2914,33,2916,0,2917,0,
3018,3,3017,255,3018,622517,0,3019,320000,3020,0,3111,1026000,3013,384000,3016,0,3018,0,3012,20,3015,27,3016,0,3018,0,
3119,3,3118,255,3119,770287,0,3120,320000,3121,0,3212,384000,3114,1026000,3117,0,3118,0,3114,40,3116,27,3117,0,3119,0,
3225,3,3224,255,3225,665104,0,3226,320000,3227,0,3312,918000,3219,918000,3222,0,3224,0,3219,33,3222,36,3223,0,3225,0,
3321,3,3320,255,3321,782596,0,3322,320000,3323,0,3413,1026000,3316,1026000,3319,0,3320,0,3315,54,3318,25,3319,0,3321,0,
3422,3,3421,255,3422,664601,0,3423,320000,3424,0,3513,1026000,3417,1026000,3419,0,3421,0,3416,20,3419,18,3420,0,3422,0,
3522,3,3520,255,3521,577136,0,3522,320000,3523,0,3614,1026000,3517,1026000,3519,0,3521,0,3516,14,3519,0,3520,0,3521,0,
3625,3,3623,255,3625,599003,0,3625,320000,3626,0,3714,1026000,3618,1026000,3621,0,3623,0,3617,20,3620,0,3622,0,3624,0,
3731,3,3728,255,3730,755710,0,3732,320000,3733,0,3816,384000,3719,1026000,3725,0,3729,0,3718,30,3724,33,3727,0,3730,0,
3829,3,3827,255,3829,592086,0,3830,320000,3831,0,3916,918000,3821,702000,3826,0,3828,0,3820,50,3825,11,3827,0,3829,0,
3924,3,3923,255,3924,787528,0,3925,320000,3926,0,4016,1026000,3919,1026000,3922,0,3923,0,3919,33,3921,44,3922,0,3924,0,
4025,3,4023,255,4024,690570,0,4025,320000,4026,0,4117,1026000,4020,918000,4022,0,4024,0,4019,30,4021,18,4023,0,4024,0,
4126,3,4125,255,4126,809394,0,4127,320000,4129,0,4218,1026000,4121,918000,4123,0,4125,0,4120,50,4123,33,4124,0,4126,0,
4252,3,4242,255,4250,708333,0,4253,320000,4255,0,4318,1512000,4221,1026000,4234,0,4244,0,4220,20,4230,30,4240,0,4249,0,
4323,3,4322,255,4323,1278547,0,4324,320000,4324,0,4418,1026000,4320,1512000,4321,0,4323,0,4319,60,4321,50,4322,0,4323,0,
4424,3,4423,255,4424,599003,0,4425,320000,4425,0,4519,1026000,4421,1512000,4422,0,4424,0,4420,20,4422,0,4422,0,4424,0,
4525,3,4524,255,4525,674246,0,4525,320000,4526,0,4619,1026000,4521,1512000,4523,0,4524,0,4521,20,4522,11,4523,0,4525,0,
4626,3,4625,255,4626,601359,0,4626,320000,4629,0,4720,1026000,4621,1512000,4623,0,4625,0,4620,0,4622,11,4623,0,4625,0,
4729,3,4728,255,4729,660957,0,4730,320000,4731,0,4820,918000,4723,1026000,4727,0,4729,0,4723,10,4726,27,4728,0,4729,0,
4831,3,4830,255,4831,712007,0,4832,320000,4833,0,4921,1026000,4824,1026000,4828,0,4830,0,4823,25,4827,30,4829,0,4831,0,
4930,3,4928,255,4930,701044,0,4930,320000,4931,0,5022,1026000,4924,1026000,4927,0,4929,0,4924,36,4926,12,4928,0,4929,0,
5030,3,5029,255,5030,718132,0,5031,320000,5032,0,5126,384000,5025,918000,5027,0,5029,0,5024,30,5027,27,5028,0,5030,0,
5176,3,5171,255,5174,543534,0,5177,320000,5179,0,5223,1512000,5154,0,5167,0,5173,0,5137,20,5161,0,5171,0,5174,0,
5228,3,5227,255,5228,1011776,0,5229,320000,5229,0,5323,1512000,5225,0,5225,0,5227,0,5224,71,5225,0,5226,0,5228,0,
5328,3,5326,255,5328,868130,0,5329,320000,5330,0,5423,1134000,5325,0,5326,0,5327,0,5324,50,5325,0,5326,0,5328,0,
5428,3,5427,255,5428,688486,0,5428,320000,5429,0,5528,384000,5426,0,5426,0,5427,0,5425,38,5426,0,5427,0,5428,0,
5572,3,5561,255,5572,552243,0,5574,320000,5575,0,5625,1512000,5542,0,5553,0,5564,0,5533,30,5547,0,5556,0,5571,0,
5633,3,5632,255,5633,1080179,0,5634,320000,5634,0,5725,1512000,5628,0,5629,0,5632,0,5626,81,5629,0,5631,0,5633,0,
5732,3,5730,255,5731,751845,0,5732,320000,5733,0,5825,1134000,5728,0,5729,0,5731,0,5728,33,5729,0,5730,0,5731,0,
5830,3,5829,255,5830,701305,0,5830,320000,5831,0,5927,384000,5828,0,5828,0,5829,0,5827,41,5828,0,5829,0,5830,0,
5979,3,5976,255,5979,569661,0,5983,320000,5984,0,6027,1512000,5949,0,5965,0,5978,0,5945,50,5964,0,5975,0,5979,0,
6031,3,6030,255,6031,1210144,0,6031,320000,6032,0,6128,1512000,6029,0,6029,0,6030,0,6028,100,6029,0,6030,0,6031,0,
