App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 12:47:00 AM","17 sec","Trepn_2018.10.22_004658.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
42,3,39,255,41,2571076,1112298,42,320000,43,0,3,1512000,34,1512000,37,1512000,40,1026000,33,76,36,100,39,83,41,75,
116,3,113,255,116,3159626,1700848,116,320000,117,0,104,1512000,106,1512000,111,1512000,114,1512000,106,100,108,100,113,85,116,100,
212,3,210,255,212,3262231,1803453,213,320000,213,0,204,1512000,206,1512000,208,1512000,210,1512000,206,100,207,100,209,100,212,100,
312,3,310,255,312,2119903,661125,313,320000,313,0,305,1512000,307,1512000,308,1512000,310,1512000,306,12,308,55,310,100,312,66,
413,3,410,255,413,1791569,332791,414,320000,414,0,405,1512000,407,1512000,409,1512000,411,1512000,407,11,408,11,410,100,413,63,
513,3,511,255,513,2496118,1037340,518,400000,519,0,505,1512000,508,1512000,509,1512000,512,1512000,507,50,509,88,511,80,513,70,
616,3,613,255,616,1942055,483277,617,400000,617,0,606,1512000,608,1512000,610,1512000,613,1512000,608,44,610,100,612,33,615,30,
715,3,713,255,714,2331952,873174,716,400000,717,0,706,1512000,708,1512000,711,1512000,713,1512000,708,88,710,54,712,50,714,72,
822,3,818,255,822,2626084,1167306,823,400000,824,0,807,1512000,810,1512000,815,1512000,819,1512000,810,77,813,88,817,70,821,72,
916,3,914,255,916,3063862,1605084,917,400000,917,0,908,1512000,910,1512000,912,1512000,914,1512000,910,100,911,81,913,100,916,90,
1014,3,1013,255,1014,1948895,490117,1015,400000,1015,0,1008,1512000,1010,1512000,1011,1512000,1013,1512000,1009,80,1011,55,1012,40,1014,33,
1115,3,1113,255,1115,1637381,178603,1115,400000,1116,0,1108,1512000,1110,1512000,1112,1512000,1113,1026000,1110,58,1111,72,1113,25,1115,14,
1217,3,1215,255,1217,844747,0,1218,400000,1219,0,1209,1512000,1212,1512000,1213,1026000,1216,1026000,1211,11,1213,18,1215,33,1217,0,
1320,3,1317,255,1320,631802,0,1320,400000,1321,0,1310,1026000,1313,1026000,1315,1026000,1318,0,1312,11,1314,0,1317,18,1319,0,
1467,3,1466,255,1467,1928375,469597,1468,400000,1468,31,1461,1512000,1463,1512000,1465,1512000,1467,0,1463,61,1464,71,1466,73,1467,0,
1575,3,1573,255,1574,2719708,1260930,1576,400000,1576,31,1564,1134000,1567,1026000,1570,1512000,1573,0,1566,50,1569,54,1572,100,1574,0,
1671,3,1670,255,1671,3437915,1979137,1672,320000,1673,31,1663,1512000,1665,1512000,1667,1512000,1670,0,1664,77,1667,100,1669,88,1671,0,
1773,3,1771,255,1773,3139077,1680299,1774,128000,1775,31,1763,1512000,1767,1512000,1769,1512000,1772,1026000,1764,100,1768,81,1770,90,1773,0,
1875,3,1871,255,1875,2568497,1109719,1876,400000,1877,31,1863,1512000,1866,1512000,1869,1512000,1872,1026000,1865,58,1868,80,1871,100,1875,62,
