App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 12:25:24 AM","17 sec","Trepn_2018.10.22_002522.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
24,3,17,255,20,2550556,730379,25,320000,26,0,58,1512000,13,1512000,15,1512000,18,1026000,13,75,15,100,17,81,19,75,
66,3,63,255,66,2942637,1122460,66,320000,67,0,159,1512000,60,1512000,62,1512000,64,1026000,60,100,61,100,63,100,65,100,
169,3,166,255,169,2942637,1122460,170,320000,175,0,260,1512000,161,1512000,164,1512000,167,1026000,160,100,163,100,166,100,169,100,
269,3,266,255,268,3098064,1277887,269,320000,270,0,363,1512000,261,1512000,263,1512000,267,1512000,261,100,263,76,264,100,268,100,
372,3,369,255,372,2667126,846949,372,320000,373,0,460,1512000,365,1512000,367,1512000,370,1512000,364,63,366,50,368,100,371,100,
475,3,470,255,475,2605563,785386,475,320000,478,0,561,1512000,462,1512000,465,1512000,470,1512000,462,42,464,62,468,100,473,100,
577,3,567,255,576,2988619,1168442,579,320000,579,0,662,1512000,563,1512000,565,1512000,567,1512000,562,77,564,83,567,100,570,100,
671,3,669,255,671,2372993,552816,672,320000,672,0,762,1512000,664,1512000,667,1512000,669,1512000,663,75,666,50,668,70,671,75,
775,3,772,255,775,1381152,0,776,320000,777,0,866,1512000,764,1512000,770,1512000,773,1512000,764,30,769,30,771,45,774,20,
886,3,880,255,886,2927057,1106880,887,400000,888,0,966,1512000,869,1512000,877,1512000,882,1512000,868,90,876,81,880,80,885,100,
974,3,972,255,974,2735529,915352,974,400000,975,0,1067,1512000,968,1512000,970,1512000,972,1512000,968,75,970,80,971,80,973,88,
1074,3,1072,255,1074,2030979,210802,1075,400000,1075,0,1167,1512000,1068,1512000,1070,1512000,1072,1512000,1068,40,1070,37,1072,80,1074,63,
1176,3,1174,255,1176,1591404,0,1176,400000,1177,0,1268,1512000,1169,1134000,1171,1512000,1174,1512000,1168,62,1170,38,1173,30,1175,40,
1274,3,1273,255,1274,1367300,0,1274,400000,1275,0,1368,1026000,1270,1026000,1271,1512000,1273,0,1269,33,1271,45,1272,66,1274,0,
1377,3,1376,255,1377,876258,0,1378,400000,1378,0,1469,1026000,1371,1026000,1373,1512000,1376,0,1371,10,1373,11,1375,40,1377,0,
1478,3,1477,255,1478,872329,0,1479,400000,1480,0,1570,1026000,1471,1026000,1474,1026000,1477,0,1471,40,1473,33,1476,22,1478,0,
1580,3,1579,255,1580,744777,0,1581,400000,1581,31,1670,1026000,1572,1026000,1576,0,1579,0,1572,30,1574,30,1578,0,1580,0,
1678,3,1676,255,1677,2055272,235095,1679,400000,1679,31,1775,486000,1672,1026000,1675,0,1677,0,1672,58,1674,60,1675,0,1677,0,
1788,3,1786,255,1788,1826116,5939,1789,400000,1790,31,1874,1512000,1780,1026000,1784,0,1786,0,1777,58,1783,36,1785,0,1787,0,
1891,3,1881,255,1889,2527928,707751,1893,400000,1894,31,1975,1512000,1878,1026000,1879,0,1883,0,1877,100,1879,60,1880,0,1888,0,
1983,3,1982,255,1983,2835969,1015792,1984,400000,1985,31,2075,1512000,1976,1512000,1978,0,1983,0,1976,77,1978,100,1978,0,1983,0,
2081,3,2079,255,2080,2678643,858466,2081,400000,2082,31,2176,1512000,2077,1512000,2079,0,2079,0,2077,66,2078,88,2079,0,2080,0,
2192,3,2188,255,2192,2534997,714820,2193,320000,2194,31,2276,1512000,2178,1512000,2182,0,2191,0,2177,100,2180,33,2182,0,2192,0,
2282,3,2281,255,2281,2379805,559628,2283,320000,2286,31,2377,1512000,2278,1512000,2280,0,2281,0,2278,100,2279,60,2280,0,2281,0,
2382,3,2381,255,2382,2379805,559628,2383,200000,2384,31,2477,1512000,2379,1512000,2380,0,2382,0,2378,88,2380,72,2381,0,2382,0,
2483,3,2481,255,2483,1968855,148678,2483,128000,2485,31,2579,1512000,2479,1512000,2481,0,2482,0,2479,70,2480,88,2481,0,2482,0,
2602,3,2590,255,2592,1952651,132474,2603,128000,2604,11,2680,1512000,2581,1512000,2589,0,2590,0,2581,100,2588,81,2589,0,2591,0,
2688,3,2687,255,2688,2106814,286637,2689,128000,2690,11,2780,1512000,2682,1512000,2684,1026000,2687,0,2682,100,2684,100,2686,40,2688,0,
2787,3,2785,255,2786,1735083,0,2789,128000,2791,11,2881,1512000,2782,1512000,2784,1026000,2786,0,2781,81,2783,54,2785,60,2786,0,
2887,3,2886,255,2887,1653227,0,2888,128000,2889,11,2981,1026000,2883,1512000,2884,1512000,2887,0,2882,33,2884,22,2886,100,2887,0,
2990,3,2988,255,2990,1393631,0,2991,128000,2992,11,3082,1026000,2983,1026000,2985,1512000,2989,0,2983,20,2985,12,2987,100,2989,0,
3120,3,3111,255,3120,1055815,0,3122,128000,3125,11,3182,1512000,3086,1026000,3102,0,3119,0,3085,50,3098,77,3108,0,3120,0,
3188,3,3187,255,3188,2508263,688086,3189,128000,3189,11,3282,1512000,3184,1512000,3185,1512000,3187,0,3183,100,3185,100,3187,80,3188,0,
3289,3,3288,255,3289,2200450,380273,3290,128000,3290,11,3383,1512000,3284,1512000,3286,1512000,3288,0,3284,63,3286,72,3287,100,3288,0,
3393,3,3390,255,3393,1834359,14182,3394,128000,3395,11,3483,1512000,3386,1512000,3388,1134000,3391,0,3386,100,3388,44,3390,60,3393,0,
3491,3,3490,255,3491,2426180,606003,3492,128000,3493,11,3584,1512000,3485,1512000,3487,1512000,3490,0,3485,100,3487,80,3489,88,3491,0,
3591,3,3590,255,3591,2268853,448676,3592,128000,3592,22,3684,1512000,3586,1512000,3588,1512000,3590,0,3585,55,3588,90,3589,100,3591,0,
3691,3,3690,255,3691,1911622,91445,3691,128000,3692,22,3785,1026000,3686,1512000,3688,1512000,3690,0,3686,58,3688,25,3690,100,3691,0,
3795,3,3793,255,3794,1551606,0,3795,128000,3796,22,3885,1026000,3787,1026000,3790,1512000,3794,0,3787,30,3789,27,3792,100,3794,0,
3893,3,3892,255,3893,1752046,0,3894,128000,3894,22,3986,1026000,3888,1026000,3890,1512000,3892,0,3887,54,3890,58,3892,100,3893,0,
3994,3,3993,255,3994,1475075,0,3994,128000,3995,22,4086,1026000,3988,1026000,3991,1512000,3993,0,3988,14,3990,22,3992,100,3994,0,
4094,3,4093,255,4094,1686447,0,4095,128000,4095,22,4187,1026000,4089,1026000,4091,1512000,4093,0,4088,50,4090,44,4092,100,4094,0,
4196,3,4194,255,4196,1628138,0,4196,128000,4197,22,4287,1026000,4189,1026000,4192,1512000,4195,0,4189,33,4191,45,4193,100,4195,0,
4297,3,4295,255,4297,1617205,0,4297,128000,4299,22,4388,1026000,4290,1026000,4292,1512000,4295,0,4289,50,4292,25,4294,100,4296,0,
4396,3,4395,255,4396,1628138,0,4396,128000,4399,22,4488,1512000,4390,1026000,4393,1512000,4395,0,4390,45,4392,33,4394,100,4396,0,
4494,3,4493,255,4494,1717233,0,4494,128000,4495,22,4589,1026000,4490,1026000,4492,1512000,4493,0,4490,37,4491,33,4493,100,4494,0,
4597,3,4596,255,4597,1526096,0,4598,128000,4603,17,4690,1026000,4592,1026000,4594,1512000,4596,0,4591,14,4593,36,4595,100,4597,0,
4698,3,4696,255,4697,1550367,0,4698,128000,4699,17,4791,1026000,4692,1026000,4694,1512000,4697,0,4692,38,4694,27,4696,100,4697,0,
4800,3,4798,255,4800,1645120,0,4801,128000,4802,17,4892,1026000,4793,1026000,4796,1512000,4799,0,4793,37,4795,54,4797,100,4799,0,
4901,3,4899,255,4901,1524857,0,4902,128000,4903,17,4991,1026000,4895,1026000,4897,1512000,4900,0,4894,25,4897,33,4899,100,4901,0,
5004,3,5003,255,5004,1645120,0,5004,128000,5005,17,5092,1026000,4994,1026000,4997,1512000,5003,0,4994,41,4996,50,5002,100,5004,0,
5101,3,5100,255,5101,1513924,0,5102,128000,5102,17,5192,1026000,5095,1026000,5097,1512000,5100,0,5095,25,5097,30,5099,100,5101,0,
5205,3,5204,255,5205,1586811,0,5206,128000,5207,17,5293,1026000,5200,1026000,5202,1512000,5205,0,5199,30,5202,45,5204,100,5205,0,
5303,3,5302,255,5303,1626899,0,5303,128000,5304,17,5393,1026000,5297,1026000,5300,1512000,5302,0,5296,40,5299,46,5301,100,5303,0,
5405,3,5404,255,5405,1579522,0,5405,128000,5406,17,5494,1026000,5398,1026000,5401,1512000,5404,0,5396,33,5400,40,5403,100,5404,0,
5506,3,5504,255,5506,1703430,0,5507,128000,5507,17,5594,1026000,5499,1026000,5501,1512000,5505,0,5495,70,5501,37,5503,100,5505,0,
