App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 11:18:38 PM","17 sec","Trepn_2018.10.21_231837.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
60,3,58,255,59,1839451,717701,60,320000,64,0,9,1512000,55,1512000,57,0,59,0,45,92,57,100,58,0,59,0,
118,3,114,255,117,1894173,772423,119,320000,120,0,109,1512000,111,1512000,113,0,114,0,111,100,113,100,113,0,114,0,
217,3,215,255,217,2119903,998153,218,320000,218,0,210,1512000,212,1512000,213,1512000,216,1512000,211,90,213,70,215,53,217,20,
318,3,316,255,318,2721848,1600098,319,320000,319,0,310,1512000,312,1512000,314,1512000,316,1512000,312,100,313,60,315,61,318,100,
418,3,416,255,418,2721848,1600098,418,320000,419,0,410,1512000,412,1512000,414,1512000,416,1512000,412,100,414,61,416,60,418,100,
518,3,516,255,518,2434556,1312806,518,320000,519,0,511,1512000,513,1512000,514,1512000,517,1512000,512,54,514,80,516,45,518,100,
620,3,618,255,620,2872334,1750584,621,320000,621,0,611,1512000,614,1512000,616,1512000,619,1512000,613,76,616,90,618,77,620,100,
722,3,720,255,722,1757367,635617,723,320000,724,0,712,1512000,715,1512000,717,1512000,720,1512000,714,33,716,50,719,25,722,72,
826,3,823,255,826,2927057,1805307,827,320000,828,0,814,1512000,816,1512000,820,1512000,823,1512000,816,100,819,81,822,80,826,90,
927,3,924,255,927,2927057,1805307,927,400000,928,0,917,1512000,919,1512000,922,1512000,924,1512000,919,90,921,90,923,88,926,83,
1024,3,1023,255,1024,2147264,1025514,1025,400000,1026,0,1017,1512000,1019,1512000,1021,1512000,1023,1512000,1019,60,1021,81,1022,54,1024,42,
1125,3,1123,255,1125,2010458,888708,1126,400000,1126,0,1118,1512000,1120,1512000,1121,1512000,1124,1512000,1119,80,1121,44,1123,33,1125,60,
1225,3,1223,255,1225,881810,0,1226,400000,1226,0,1218,1512000,1220,1512000,1222,1512000,1224,0,1220,30,1221,10,1223,12,1224,0,
1325,3,1323,255,1324,850300,0,1325,400000,1326,0,1319,1512000,1321,1026000,1323,0,1324,0,1320,41,1322,12,1323,0,1324,0,
1436,3,1434,255,1436,874799,0,1437,400000,1437,0,1419,1512000,1422,1026000,1424,0,1435,0,1421,27,1423,45,1424,0,1436,0,
1532,3,1528,255,1531,1450672,328922,1533,400000,1535,0,1520,1026000,1522,1512000,1526,0,1529,0,1522,66,1523,100,1528,0,1531,0,
