Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.437,20.437,screen bright,17.9638450568
0,20.437,20.437,wifi running,0.26826914168
0,20.437,20.437,phone_scanning,10.4149551586
0.0,19.429312,19.429312,core 0 cpu_idle start,0.282482767168
19.429312,19.961905,0.532593000011,core 0 cpu_idle,0.00774336962716
19.961905,19.961935,2.99999956042e-05,core 0 cpu_frequency,2.61078861745e-05
19.961935,20.011893,0.0499579999887,core 0 cpu_idle,0.000726339361836
20.011893,20.012045,0.00015199999325,core 0 cpu_frequency,0.000109423001541
20.012045,20.161703,0.149658000009,core 0 cpu_idle,0.00217587766214
20.161703,20.161764,6.09999988228e-05,core 0 cpu_frequency,4.39131793526e-05
20.161764,20.211752,0.0499880000134,core 0 cpu_idle,0.000726775532195
20.211752,20.246695,0.0349429999769,core 0 cpu_frequency,0.025155053356
20.246695,20.261923,0.0152280000038,core 0 cpu_idle,0.000221399892056
20.261923,20.261984,6.09999988228e-05,core 0 cpu_frequency,6.07385406279e-05
20.261984,20.361807,0.0998229999968,core 0 cpu_idle,0.00145132659695
20.361807,20.361868,6.10000279266e-05,core 0 cpu_frequency,4.39132003041e-05
20.361868,20.411734,0.0498659999867,core 0 cpu_idle,0.000725001773806
20.411734,20.457053,0.0453189999971,core 0 cpu_frequency,0.0326246133337
20.457053,20.461935,0.00488200000837,core 0 cpu_idle,7.09793981216e-05
20.461935,20.462454,0.000518999993801,core 0 cpu_frequency,0.000516775456028
20.462454,21.561911,1.099457,core 0 cpu_idle,0.0159850053231
21.561911,21.561972,6.09999988228e-05,core 0 cpu_frequency,5.30860419755e-05
21.561972,21.611838,0.0498659999867,core 0 cpu_idle,0.000725001773806
21.611838,21.611868,3.0000024708e-05,core 0 cpu_frequency,2.1596663787e-05
21.611868,21.661703,0.0498349999834,core 0 cpu_idle,0.000724551064759
21.661703,21.661734,3.10000032187e-05,core 0 cpu_frequency,2.23165365171e-05
21.661734,21.76174,0.100005999993,core 0 cpu_idle,0.0014539872339
21.76174,21.761801,6.09999988228e-05,core 0 cpu_frequency,4.39131793526e-05
21.761801,21.811758,0.0499570000102,core 0 cpu_idle,0.000726324823148
21.811758,21.811789,3.10000032187e-05,core 0 cpu_frequency,2.23165365171e-05
21.811789,21.866812,0.0550229999935,core 0 cpu_idle,0.000799979396906
21.866812,21.867758,0.000945999985561,core 0 cpu_frequency,0.000941945240423
21.867758,22.361807,0.494049000001,core 0 cpu_idle,0.00718297841101
22.361807,22.362265,0.000458000024082,core 0 cpu_frequency,0.000329708812936
22.362265,22.51171,0.149444999988,core 0 cpu_idle,0.00217278085483
22.51171,22.514731,0.00302100001136,core 0 cpu_frequency,0.00217478226038
22.514731,22.611716,0.0969849999819,core 0 cpu_idle,0.00141006491474
22.611716,22.611746,2.99999956042e-05,core 0 cpu_frequency,2.15966428355e-05
22.611746,22.661703,0.0499570000102,core 0 cpu_idle,0.000726324823148
22.661703,22.661734,3.10000032187e-05,core 0 cpu_frequency,2.23165365171e-05
22.661734,22.711722,0.0499880000134,core 0 cpu_idle,0.000726775532195
22.711722,22.711752,2.99999956042e-05,core 0 cpu_frequency,2.15966428355e-05
22.711752,22.76171,0.0499579999887,core 0 cpu_idle,0.000726339361836
22.76171,22.761771,6.09999988228e-05,core 0 cpu_frequency,4.39131793526e-05
22.761771,22.811789,0.050018000009,core 0 cpu_idle,0.000727211702131
22.811789,22.81185,6.09999988228e-05,core 0 cpu_frequency,2.34642839472e-05
22.81185,22.862906,0.0510559999966,core 0 cpu_idle,0.000742303183951
22.862906,22.862967,6.09999988228e-05,core 0 cpu_frequency,3.37267407491e-05
22.862967,22.964926,0.101958999992,core 0 cpu_idle,0.00148238190089
22.964926,22.965536,0.000610000017332,core 0 cpu_frequency,0.000607385435258
22.965536,23.164755,0.199219000002,core 0 cpu_idle,0.00289644504103
23.164755,23.164847,9.20000020415e-05,core 0 cpu_frequency,5.08665619287e-05
23.164847,23.211844,0.0469969999976,core 0 cpu_idle,0.000683289382966
23.211844,23.211905,6.09999988228e-05,core 0 cpu_frequency,4.39131793526e-05
23.211905,23.26174,0.0498349999834,core 0 cpu_idle,0.000724551064759
23.26174,23.261801,6.09999988228e-05,core 0 cpu_frequency,4.39131793526e-05
23.261801,23.311758,0.0499570000102,core 0 cpu_idle,0.000726324823148
23.311758,23.311819,6.09999988228e-05,core 0 cpu_frequency,4.39131793526e-05
23.311819,23.361777,0.0499579999887,core 0 cpu_idle,0.000726339361836
23.361777,23.361838,6.09999988228e-05,core 0 cpu_frequency,4.39131793526e-05
23.361838,23.511862,0.150024000002,core 0 cpu_idle,0.00218119893603
23.511862,23.511893,3.10000032187e-05,core 0 cpu_frequency,2.23165365171e-05
23.511893,23.56481,0.0529169999936,core 0 cpu_idle,0.000769360262907
23.56481,23.564841,3.10000032187e-05,core 0 cpu_frequency,2.23165365171e-05
23.564841,23.611777,0.0469359999988,core 0 cpu_idle,0.000682402503983
23.611777,23.611899,0.000121999997646,core 0 cpu_frequency,4.69285678944e-05
23.611899,23.663046,0.0511470000201,core 0 cpu_idle,0.000743626233293
23.663046,23.663138,9.20000020415e-05,core 0 cpu_frequency,6.62297158696e-05
23.663138,23.81188,0.14874199999,core 0 cpu_idle,0.00216255993786
23.81188,23.81243,0.00054999999702,core 0 cpu_frequency,0.000211563218854
23.81243,23.864035,0.0516050000151,core 0 cpu_idle,0.00075028509522
23.864035,23.86431,0.00027499999851,core 0 cpu_frequency,0.000152046784176
23.86431,23.911887,0.0475769999903,core 0 cpu_idle,0.000691722002859
23.911887,23.918021,0.00613399999565,core 0 cpu_frequency,0.00441579421567
23.918021,24.111838,0.193816999992,core 0 cpu_idle,0.00281790536289
24.111838,24.111899,6.09999988228e-05,core 0 cpu_frequency,3.01032066191e-05
24.111899,24.165182,0.0532830000157,core 0 cpu_idle,0.000774681537228
24.165182,24.179129,0.0139469999995,core 0 cpu_frequency,0.0138872203681
