App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 11:30:47 PM","17 sec","Trepn_2018.10.21_233045.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
14,3,12,255,14,2069436,932558,15,320000,16,0,5,1512000,7,1512000,9,1026000,13,0,6,100,8,83,11,80,14,0,
113,3,112,255,113,2277229,1140351,114,320000,115,0,105,1512000,107,1512000,109,1512000,112,0,107,75,108,81,111,100,113,0,
214,3,212,255,213,2407195,1270317,214,320000,215,0,205,1512000,207,1512000,209,1512000,213,0,207,75,209,100,212,100,213,0,
314,3,312,255,314,2407195,1270317,315,320000,316,0,306,1512000,308,1512000,310,1512000,313,0,307,100,309,75,312,100,314,0,
416,3,413,255,416,2260182,1123304,416,320000,417,0,406,1512000,409,1512000,411,1512000,413,1026000,408,71,410,58,413,100,415,46,
515,3,513,255,515,2076391,939513,516,320000,517,0,506,1512000,508,1512000,511,1512000,513,1026000,508,50,510,50,512,100,515,50,
615,3,613,255,615,2427487,1290609,616,320000,616,0,608,1512000,610,1512000,611,1512000,614,1026000,609,66,611,80,613,100,615,60,
732,3,725,255,732,1580751,443873,733,320000,743,0,708,1512000,711,1512000,720,1512000,726,1026000,710,33,719,12,725,90,732,36,
819,3,815,255,819,2961258,1824380,820,400000,821,0,808,1512000,811,1512000,813,1512000,815,1512000,810,100,812,81,814,87,818,88,
918,3,915,255,918,2680806,1543928,919,400000,919,0,909,1512000,912,1512000,913,1512000,916,1512000,911,63,913,77,915,88,918,87,
