App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 11:07:26 PM","17 sec","Trepn_2018.10.21_230725.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
89,3,87,255,89,2181465,826665,90,320000,90,0,45,1512000,80,1512000,83,1512000,88,0,80,92,82,100,85,50,88,0,
153,3,151,255,153,2872334,1517534,153,320000,154,0,145,1512000,147,1512000,149,1512000,151,1512000,147,100,148,100,150,100,153,43,
254,3,252,255,254,2721848,1367048,255,320000,255,0,246,1512000,248,1512000,250,1512000,253,1512000,247,71,249,100,252,100,254,50,
354,3,352,255,354,2092541,737741,355,320000,355,0,346,1512000,348,1512000,350,1512000,352,1512000,347,63,349,12,351,100,354,54,
456,3,453,255,456,2017298,662498,457,320000,457,0,446,1512000,448,1512000,451,1512000,454,1512000,448,66,450,22,453,100,456,30,
555,3,553,255,555,2585042,1230242,555,320000,556,0,547,1512000,549,1512000,551,1512000,553,1512000,548,66,550,75,552,100,555,60,
658,3,656,255,658,2024139,669339,659,320000,660,0,647,1512000,653,1512000,655,1512000,657,1512000,649,44,654,45,656,100,658,30,
758,3,754,255,758,1884711,529911,759,320000,760,0,748,1512000,750,1512000,752,1512000,756,1134000,749,50,751,33,754,100,758,25,
864,3,861,255,864,2275360,920560,865,320000,866,0,848,1512000,851,1512000,858,1512000,862,1134000,850,72,857,70,860,70,864,70,
958,3,955,255,957,2564521,1209721,958,400000,959,0,949,1512000,951,1512000,952,1512000,955,1512000,950,77,952,60,954,81,957,80,
1057,3,1055,255,1057,1699783,344983,1058,400000,1059,0,1049,1512000,1051,1512000,1053,1026000,1056,1512000,1051,22,1053,75,1055,33,1057,57,
1156,3,1154,255,1156,1710717,355917,1156,400000,1157,0,1149,1512000,1151,1512000,1153,1026000,1154,1512000,1151,50,1152,50,1154,36,1156,54,
1261,3,1258,255,1260,562559,0,1261,400000,1262,0,1250,1026000,1253,1026000,1255,1026000,1258,1026000,1252,0,1255,0,1257,10,1260,0,
1360,3,1358,255,1360,693756,0,1361,400000,1361,0,1351,1026000,1354,1026000,1356,1026000,1359,0,1353,12,1356,22,1358,12,1360,0,
1491,3,1486,255,1491,576628,0,1492,400000,1493,32,1453,384000,1459,384000,1476,0,1487,0,1458,22,1467,36,1484,0,1490,0,
1557,3,1556,255,1557,2413126,1058326,1558,400000,1558,32,1552,1512000,1554,1512000,1556,0,1557,0,1554,55,1555,55,1556,0,1557,0,
1670,3,1668,255,1670,1660695,305895,1672,320000,1675,32,1653,1026000,1657,1026000,1660,0,1669,0,1655,0,1659,0,1667,0,1669,0,
1762,3,1761,255,1762,1710728,355928,1763,320000,1764,32,1753,1026000,1757,1026000,1759,0,1761,0,1756,55,1758,55,1760,0,1762,0,
1866,3,1865,255,1866,1703440,348640,1867,200000,1868,32,1854,1026000,1861,1026000,1863,0,1865,0,1860,54,1863,54,1864,0,1866,0,
1963,3,1962,255,1963,2650880,1296080,1964,128000,1973,32,1955,1512000,1957,1512000,1960,1512000,1962,0,1957,90,1959,100,1961,66,1963,0,
2064,3,2063,255,2064,2588036,1233236,2064,128000,2065,32,2056,1512000,2058,1512000,2059,1512000,2063,0,2057,100,2059,83,2061,90,2064,0,
2164,3,2161,255,2163,2005601,650801,2164,128000,2165,32,2156,1512000,2158,1512000,2160,1512000,2162,1026000,2158,77,2159,60,2161,37,2163,26,
2266,3,2263,255,2266,1701497,346697,2266,128000,2267,32,2257,1512000,2259,1026000,2261,1134000,2264,1026000,2259,100,2261,36,2263,20,2265,22,
2366,3,2364,255,2366,1555764,200964,2367,128000,2367,32,2357,1512000,2360,1026000,2362,1026000,2364,1026000,2359,80,2361,50,2363,11,2366,18,
2466,3,2465,255,2466,1503064,148264,2471,128000,2474,18,2458,1026000,2460,1512000,2462,1026000,2465,0,2459,9,2462,100,2464,18,2466,0,
2566,3,2565,255,2566,1614755,259955,2566,128000,2567,18,2558,1026000,2560,1512000,2562,1026000,2565,0,2560,44,2562,100,2564,37,2565,0,
2671,3,2666,255,2668,1490847,136047,2674,128000,2675,18,2659,1026000,2661,1512000,2664,1026000,2667,0,2661,36,2663,100,2666,11,2668,0,
2766,3,2765,255,2766,1662131,307331,2766,128000,2767,18,2759,1026000,2761,1512000,2763,1026000,2765,0,2761,50,2763,100,2764,44,2766,0,
2879,3,2878,255,2879,1549156,194356,2880,128000,2881,18,2860,1026000,2863,1512000,2866,1026000,2879,0,2863,33,2865,100,2878,30,2879,0,
2967,3,2966,255,2967,1767818,413018,2968,128000,2968,18,2960,1026000,2962,1512000,2964,1026000,2966,0,2962,63,2964,100,2966,60,2967,0,
3073,3,3071,255,3073,1793328,438528,3074,128000,3074,18,3063,1026000,3065,1512000,3067,1026000,3071,0,3065,70,3067,100,3069,60,3073,0,
3169,3,3168,255,3169,2058313,703513,3170,128000,3171,18,3163,1512000,3165,1512000,3166,1512000,3168,0,3165,50,3166,100,3168,58,3169,0,
3288,3,3286,255,3288,1632977,278177,3289,128000,3289,18,3264,1026000,3268,1512000,3277,1026000,3286,0,3266,36,3274,100,3283,50,3288,0,
3371,3,3370,255,3371,1841552,486752,3372,128000,3372,18,3365,1512000,3367,1512000,3368,1026000,3371,0,3366,55,3368,100,3370,40,3371,0,
3473,3,3472,255,3473,1776376,421576,3473,128000,3474,18,3466,1134000,3468,1512000,3470,1026000,3472,0,3467,60,3469,100,3471,55,3473,0,
3582,3,3580,255,3582,1825010,470210,3584,200000,3590,14,3567,1134000,3573,1512000,3578,1026000,3581,0,3569,62,3577,100,3580,66,3582,0,
3675,3,3674,255,3675,1783982,429182,3675,320000,3676,14,3667,1134000,3669,1512000,3672,1026000,3674,0,3669,58,3671,87,3673,69,3674,0,
3781,3,3779,255,3781,1769724,414924,3782,320000,3783,14,3768,1026000,3771,1512000,3773,1026000,3780,0,3770,42,3773,80,3779,55,3781,0,
3873,3,3873,255,3873,2036218,681418,3874,320000,3874,14,3868,1026000,3870,1512000,3871,1512000,3873,0,3870,50,3871,44,3872,100,3873,0,
3975,3,3974,255,3975,1818845,464045,3976,320000,3976,14,3968,1026000,3970,1512000,3972,1512000,3975,0,3970,11,3972,33,3974,100,3975,0,
4077,3,4076,255,4077,1819065,464265,4077,320000,4078,14,4069,1026000,4071,1026000,4074,1512000,4076,0,4071,33,4073,40,4075,100,4077,0,
4182,3,4179,255,4181,1717023,362223,4184,320000,4186,14,4170,1026000,4174,1026000,4177,1512000,4180,0,4172,27,4176,18,4178,100,4180,0,
4279,3,4278,255,4279,1899241,544441,4279,320000,4280,14,4270,1026000,4273,1026000,4276,1512000,4278,0,4272,45,4275,50,4277,100,4278,0,
4378,3,4377,255,4378,1567320,212520,4379,320000,4381,14,4370,1026000,4372,1026000,4375,1512000,4378,0,4372,25,4375,54,4377,60,4378,0,
4479,3,4478,255,4479,2216535,861735,4480,200000,4481,14,4471,1512000,4473,1512000,4476,1512000,4479,0,4472,70,4474,50,4478,77,4479,0,
4579,3,4576,255,4579,1831916,477116,4583,128000,4583,12,4571,1512000,4573,1512000,4575,1512000,4578,0,4573,44,4574,33,4576,90,4578,0,
4680,3,4679,255,4680,1618149,263349,4680,128000,4681,12,4672,1512000,4674,1026000,4676,1512000,4679,0,4674,33,4676,30,4678,100,4680,0,
4780,3,4779,255,4780,1478596,123796,4781,128000,4781,12,4772,1512000,4774,1026000,4776,1512000,4779,0,4774,11,4776,33,4779,100,4780,0,
4909,3,4901,255,4906,748479,0,4912,128000,4919,12,4875,1026000,4883,1026000,4894,0,4903,0,4878,11,4890,30,4899,0,4906,0,
4982,3,4981,255,4982,2418577,1063777,4982,128000,4983,12,4976,1512000,4978,1512000,4979,1512000,4981,0,4977,100,4979,66,4981,100,4982,0,
5086,3,5083,255,5084,2240730,885930,5087,128000,5087,12,5075,1512000,5077,1512000,5079,1512000,5084,0,5077,88,5079,80,5081,72,5084,0,
5187,3,5186,255,5187,2035521,680721,5187,128000,5188,12,5176,1512000,5178,1512000,5184,1512000,5186,0,5178,60,5183,50,5185,100,5187,0,
5282,3,5281,255,5282,1946597,591797,5283,320000,5285,12,5276,1512000,5278,1512000,5280,1512000,5282,0,5278,58,5279,70,5281,69,5282,0,
5382,3,5382,255,5382,1551926,197126,5383,320000,5383,12,5377,1512000,5379,1512000,5380,1512000,5382,0,5378,33,5380,37,5381,37,5382,0,
5488,3,5484,255,5488,1626493,271693,5489,200000,5490,12,5477,1512000,5480,1512000,5482,1026000,5484,0,5479,37,5481,50,5483,58,5485,0,
5583,3,5582,255,5583,1473388,118588,5584,200000,5584,28,5578,1512000,5579,1512000,5581,1512000,5583,0,5579,46,5581,36,5582,36,5583,0,
5684,3,5683,255,5684,1882607,527807,5685,200000,5685,28,5678,1512000,5680,1134000,5682,1026000,5684,0,5679,80,5681,60,5683,62,5684,0,
5785,3,5784,255,5785,2079599,724799,5785,200000,5786,28,5778,1512000,5780,1512000,5782,1026000,5784,0,5780,88,5782,70,5783,40,5785,0,
5887,3,5886,255,5887,1270203,0,5887,200000,5888,28,5879,1512000,5882,1026000,5884,1026000,5886,0,5881,45,5883,20,5885,10,5887,0,
6001,3,5994,255,6000,1208918,0,6002,320000,6003,0,5980,1512000,5983,1026000,5988,1026000,5997,0,5982,11,5986,44,5994,33,5998,0,
6087,3,6086,255,6087,2053400,698600,6088,320000,6088,0,6080,1026000,6082,1512000,6084,1512000,6087,0,6082,100,6084,70,6086,100,6087,0,
6188,3,6187,255,6188,2003618,648818,6189,320000,6189,0,6181,1512000,6183,1512000,6185,1512000,6187,0,6182,50,6185,66,6187,100,6188,0,
6288,3,6287,255,6288,1736846,382046,6288,320000,6289,0,6281,1512000,6283,1512000,6285,1512000,6287,0,6283,100,6284,40,6287,37,6288,0,
6388,3,6387,255,6388,963894,0,6388,320000,6389,0,6381,1512000,6383,1512000,6385,1512000,6387,0,6383,41,6385,11,6386,12,6387,0,
6490,3,6488,255,6489,674246,0,6490,320000,6491,0,6482,1134000,6484,1512000,6486,1026000,6489,0,6484,0,6486,11,6488,20,6489,0,
6588,3,6587,255,6588,591714,0,6588,320000,6589,0,6582,1026000,6585,1512000,6586,0,6587,0,6584,18,6586,0,6587,0,6588,0,
6703,3,6699,255,6702,628157,0,6707,320000,6710,0,6683,1026000,6688,1026000,6693,0,6700,0,6687,10,6692,18,6697,0,6702,0,
6798,3,6795,255,6797,999236,0,6798,320000,6800,0,6784,1026000,6788,918000,6792,0,6795,0,6787,71,6791,70,6793,0,6797,0,
