App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 11:38:15 PM","17 sec","Trepn_2018.10.21_233814.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
33,3,32,255,33,2092541,848915,33,320000,34,0,99,1512000,29,1512000,30,1512000,32,0,28,92,30,54,31,83,33,0,
107,3,105,255,107,2906536,1662910,107,320000,108,0,199,1512000,101,1512000,103,1512000,105,1512000,100,100,103,100,104,100,106,48,
208,3,205,255,208,2995459,1751833,209,320000,210,0,300,1512000,201,1512000,203,1512000,206,1512000,201,80,203,81,205,100,208,100,
308,3,306,255,308,1928375,684749,308,320000,309,0,400,1512000,302,1512000,304,1512000,306,1512000,301,44,303,0,305,61,308,100,
422,3,416,255,422,2400354,1156728,424,320000,425,0,501,1512000,405,1512000,409,1512000,419,1512000,404,54,407,45,411,75,421,100,
509,3,506,255,509,2195146,951520,509,320000,510,0,601,1512000,503,1512000,504,1512000,507,1512000,502,50,504,44,506,50,509,100,
610,3,606,255,609,2400354,1156728,611,320000,611,0,702,1512000,603,1512000,605,1512000,607,1512000,603,70,604,54,606,50,609,100,
711,3,707,255,710,2646605,1402979,712,400000,713,0,802,1512000,704,1512000,705,1512000,708,1512000,703,83,705,60,707,77,709,90,
812,3,808,255,811,2667126,1423500,812,400000,814,0,902,1512000,804,1512000,806,1512000,809,1512000,804,83,806,87,808,77,810,66,
910,3,908,255,910,2263549,1019923,910,400000,911,0,1003,1512000,905,1512000,906,1512000,908,1512000,904,62,906,60,907,44,910,88,
1012,3,1010,255,1012,1777888,534262,1013,400000,1013,0,1104,1512000,1005,1512000,1008,1512000,1011,1512000,1004,63,1008,50,1010,40,1012,30,
1112,3,1110,255,1112,2660285,1416659,1112,400000,1113,0,1204,1512000,1106,1512000,1108,1512000,1110,1512000,1105,81,1107,75,1109,66,1111,90,
1212,3,1210,255,1212,2223187,979561,1213,400000,1214,0,1305,1512000,1206,1512000,1208,1134000,1211,1512000,1206,90,1208,60,1210,77,1212,50,
1312,3,1310,255,1312,2256708,1013082,1313,400000,1313,0,1405,1512000,1307,1512000,1308,1512000,1311,1512000,1306,50,1308,37,1310,66,1312,100,
1412,3,1410,255,1411,1330408,86782,1412,320000,1412,30,1505,1512000,1407,1026000,1408,1512000,1410,1512000,1406,20,1408,33,1409,44,1411,36,
1512,3,1510,255,1511,1525225,281599,1512,320000,1512,30,1607,1026000,1507,1026000,1509,1512000,1511,0,1507,10,1509,35,1510,10,1511,0,
1619,3,1615,255,1618,1563348,319722,1620,200000,1622,30,1706,1026000,1611,1026000,1614,0,1616,0,1610,50,1613,33,1615,0,1618,0,
1713,3,1711,255,1713,1779102,535476,1714,200000,1715,30,1807,1512000,1709,1512000,1711,0,1712,0,1708,60,1710,100,1711,0,1712,0,
1813,3,1811,255,1812,1902456,658830,1813,128000,1814,30,1908,1512000,1809,1512000,1810,0,1812,0,1808,50,1810,100,1811,0,1812,0,
1916,3,1914,255,1915,1700321,456695,1916,128000,1917,30,2008,1512000,1911,1512000,1913,0,1914,0,1910,100,1912,45,1913,0,1915,0,
2030,3,2029,255,2030,1515633,272007,2031,128000,2031,30,2108,1512000,2010,1512000,2014,0,2030,0,2009,30,2011,88,2028,0,2030,0,
2117,3,2114,255,2116,1871328,627702,2117,128000,2118,30,2209,1512000,2110,1512000,2113,0,2114,0,2110,100,2112,70,2113,0,2115,0,
2221,3,2219,255,2221,2067828,824202,2222,128000,2223,30,2309,1512000,2211,1512000,2217,1134000,2220,0,2211,55,2216,100,2219,70,2220,0,
2316,3,2315,255,2316,2076537,832911,2316,128000,2317,30,2411,1026000,2311,1512000,2313,1512000,2315,0,2311,40,2312,60,2314,100,2316,0,
2423,3,2421,255,2422,1884781,641155,2423,128000,2424,17,2510,1512000,2414,1512000,2419,1512000,2422,0,2413,60,2418,40,2421,100,2422,0,
2517,3,2515,255,2517,2202722,959096,2518,128000,2518,17,2611,1026000,2512,1512000,2514,1512000,2516,0,2512,60,2513,70,2515,100,2517,0,
2628,3,2617,255,2627,2054698,811072,2628,128000,2630,17,2711,1512000,2613,1512000,2615,1512000,2618,0,2613,72,2615,70,2616,100,2622,0,
2719,3,2717,255,2718,2364533,1120907,2719,320000,2720,17,2812,1026000,2713,1512000,2715,1512000,2717,1026000,2713,77,2714,66,2716,100,2718,20,
2820,3,2817,255,2819,1781474,537848,2820,320000,2821,17,2912,1026000,2814,1512000,2815,1512000,2818,1026000,2813,20,2815,12,2817,100,2819,0,
2920,3,2918,255,2920,1971543,727917,2920,320000,2921,17,3013,594000,2914,1512000,2916,1512000,2918,1026000,2914,22,2916,27,2917,100,2919,22,
3033,3,3031,255,3033,1198346,0,3034,320000,3035,17,3113,1512000,3016,1026000,3029,0,3032,0,3016,37,3019,54,3030,0,3032,0,
3118,3,3117,255,3118,2173726,930100,3118,320000,3119,17,3215,1512000,3115,1512000,3117,0,3117,0,3115,80,3116,100,3117,0,3118,0,
3227,3,3222,255,3227,1900115,656489,3228,320000,3228,17,3316,1512000,3219,1512000,3221,0,3222,0,3217,80,3220,60,3221,0,3227,0,
3320,3,3319,255,3320,1934316,690690,3321,200000,3321,17,3416,1512000,3317,1512000,3319,0,3320,0,3317,100,3318,45,3319,0,3320,0,
3435,3,3430,255,3435,1524931,281305,3437,200000,3438,12,3518,1512000,3418,1512000,3427,0,3432,0,3418,45,3427,72,3428,0,3433,0,
3525,3,3523,255,3524,1842764,599138,3525,128000,3527,12,3618,1512000,3519,1512000,3521,0,3523,0,3519,72,3521,100,3522,0,3524,0,
3625,3,3624,255,3625,1549861,306235,3626,128000,3629,12,3719,1512000,3620,1512000,3622,0,3624,0,3620,77,3622,62,3623,0,3625,0,
3724,3,3722,255,3724,1714027,470401,3725,128000,3725,12,3822,1512000,3720,1512000,3722,0,3723,0,3720,100,3722,63,3722,0,3724,0,
3833,3,3832,255,3833,1433576,189950,3834,128000,3835,12,3921,1512000,3826,1512000,3828,0,3832,0,3825,100,3827,22,3831,0,3833,0,
3926,3,3925,255,3926,1625104,381478,3927,128000,3928,12,4021,1512000,3922,1512000,3924,0,3925,0,3922,100,3923,50,3924,0,3926,0,
4035,3,4033,255,4035,1462054,218428,4038,128000,4040,12,4122,1512000,4023,1026000,4025,0,4034,0,4023,91,4025,66,4030,0,4034,0,
4127,3,4125,255,4127,1631944,388318,4127,128000,4128,12,4222,1512000,4123,1512000,4125,0,4126,0,4123,81,4125,70,4125,0,4126,0,
4226,3,4226,255,4226,1584062,340436,4227,128000,4227,12,4323,1512000,4224,1512000,4225,0,4226,0,4223,54,4225,90,4225,0,4226,0,
4328,3,4327,255,4327,1809791,566165,4328,128000,4328,12,4423,1512000,4325,1512000,4326,0,4327,0,4324,100,4326,77,4326,0,4327,0,
4433,3,4429,255,4432,2322813,1079187,4434,128000,4438,17,4523,1512000,4425,1512000,4427,1512000,4429,0,4425,90,4426,72,4428,90,4432,0,
4531,3,4530,255,4531,1915430,671804,4532,128000,4533,17,4624,1512000,4526,1512000,4528,1512000,4530,0,4525,37,4527,70,4529,81,4531,0,
4629,3,4629,255,4629,2182201,938575,4630,128000,4630,17,4724,1512000,4626,1512000,4627,1512000,4629,0,4625,57,4627,70,4628,100,4629,0,
4734,3,4733,255,4734,1621297,377671,4734,128000,4735,17,4825,1026000,4728,1512000,4731,1512000,4733,0,4727,18,4730,27,4732,100,4733,0,
4832,3,4831,255,4832,1656053,412427,4832,128000,4833,17,4925,1026000,4827,1026000,4829,1512000,4831,0,4826,44,4828,50,4830,100,4831,0,
4935,3,4933,255,4935,1485609,241983,4936,128000,4937,17,5026,1026000,4928,1026000,4931,1512000,4934,0,4927,33,4930,33,4933,90,4935,0,
5055,3,5053,255,5055,1670631,427005,5056,128000,5057,17,5128,1512000,5032,1026000,5039,1512000,5053,0,5030,44,5034,54,5052,100,5054,0,
5151,3,5138,255,5150,2873070,1629444,5151,128000,5154,17,5228,1512000,5134,1512000,5136,1512000,5148,1512000,5133,100,5135,100,5137,100,5150,28,
5237,3,5235,255,5236,3146681,1903055,5237,128000,5238,17,5329,1512000,5231,1512000,5233,1512000,5235,1512000,5230,90,5233,88,5234,100,5236,90,
5341,3,5336,255,5339,2339528,1095902,5342,128000,5342,17,5429,1512000,5331,1512000,5333,1512000,5337,1512000,5331,45,5333,55,5335,100,5338,50,
5437,3,5435,255,5437,2360048,1116422,5438,128000,5438,17,5530,1512000,5431,1512000,5433,1512000,5435,1512000,5431,50,5432,50,5434,87,5437,66,
5546,3,5543,255,5546,2845709,1602083,5547,400000,5549,21,5631,1512000,5533,1512000,5540,1512000,5544,1512000,5532,77,5534,66,5542,100,5545,81,
5639,3,5637,255,5639,2871310,1627684,5640,400000,5640,21,5732,1512000,5633,1512000,5635,1512000,5637,1512000,5633,66,5635,33,5637,90,5638,45,
5743,3,5739,255,5743,2679782,1436156,5743,400000,5744,21,5831,1512000,5735,1512000,5737,1512000,5740,1512000,5734,33,5736,33,5738,77,5742,63,
5843,3,5841,255,5843,3302248,2058622,5844,400000,5844,21,5931,1512000,5836,1512000,5838,1512000,5841,1512000,5835,70,5837,72,5840,55,5843,100,
5941,3,5938,255,5940,3411693,2168067,5941,400000,5942,21,6032,1512000,5935,1512000,5937,1512000,5939,1512000,5933,72,5936,75,5938,100,5940,66,
6045,3,6041,255,6045,3117560,1873934,6046,400000,6047,21,6132,1512000,6034,1512000,6039,1512000,6042,1512000,6033,77,6038,45,6041,60,6045,88,
6141,3,6139,255,6141,3480096,2236470,6141,400000,6142,21,6233,1512000,6135,1512000,6137,1512000,6139,1512000,6134,83,6136,80,6138,80,6140,80,
6242,3,6240,255,6242,2878150,1634524,6242,400000,6243,21,6333,1512000,6235,1512000,6238,1512000,6240,1512000,6235,55,6238,66,6239,61,6242,53,
6344,3,6340,255,6344,2677312,1433686,6344,400000,6345,21,6434,1512000,6336,1512000,6338,1026000,6341,1512000,6336,58,6337,60,6340,50,6343,61,
6442,3,6440,255,6442,2002479,758853,6443,400000,6444,21,6534,1512000,6436,1512000,6438,1026000,6440,1512000,6435,30,6437,33,6439,30,6442,28,
6542,3,6540,255,6541,2677198,1433572,6542,400000,6543,37,6636,1512000,6536,1512000,6538,1026000,6540,0,6536,100,6537,63,6539,80,6541,0,
6655,3,6654,255,6655,3069224,1825598,6656,400000,6657,37,6738,1512000,6648,1512000,6650,1512000,6655,0,6638,50,6650,30,6654,100,6655,0,
6744,3,6743,255,6744,3493322,2249696,6745,400000,6745,37,6838,1512000,6740,1512000,6742,1512000,6743,0,6740,80,6741,72,6743,90,6744,0,
6845,3,6844,255,6845,2022660,779034,6845,320000,6846,0,6939,1512000,6840,1512000,6842,1512000,6844,0,6840,16,6842,0,6843,11,6844,0,
6946,3,6945,255,6946,813408,0,6947,320000,6947,0,7040,1026000,6941,1512000,6943,1512000,6946,0,6940,22,6943,10,6945,10,6946,0,
7051,3,7049,255,7051,691887,0,7052,320000,7053,0,7140,1026000,7045,918000,7048,0,7050,0,7044,27,7047,22,7049,0,7050,0,
7149,3,7148,255,7149,797450,0,7150,320000,7151,0,7241,1026000,7144,918000,7147,0,7148,0,7143,40,7146,41,7147,0,7149,0,
7254,3,7251,255,7253,690876,0,7255,320000,7264,0,7341,1512000,7246,918000,7249,0,7252,0,7245,20,7248,30,7250,0,7253,0,
7346,3,7345,255,7346,1299068,55442,7347,320000,7347,0,7442,1026000,7343,1512000,7345,0,7346,0,7343,50,7344,63,7345,0,7346,0,
7447,3,7446,255,7447,666957,0,7447,320000,7448,0,7543,1026000,7444,1512000,7446,0,7447,0,7444,18,7445,11,7446,0,7447,0,
7553,3,7552,255,7553,1163322,0,7554,400000,7556,0,7643,1512000,7545,1512000,7550,0,7552,0,7545,81,7549,50,7551,0,7553,0,
7654,3,7652,255,7653,1312749,69123,7654,400000,7655,0,7743,1512000,7645,1512000,7646,0,7653,0,7644,60,7646,55,7647,0,7653,0,
7751,3,7747,255,7751,1435874,192248,7751,400000,7753,0,7844,1512000,7745,1512000,7747,0,7747,0,7745,70,7746,63,7747,0,7748,0,
7849,3,7848,255,7849,881810,0,7850,400000,7850,0,7944,1512000,7846,1512000,7848,0,7849,0,7846,30,7847,22,7848,0,7849,0,
7949,3,7949,255,7949,599003,0,7950,320000,7950,0,8045,1512000,7946,1026000,7948,0,7949,0,7946,0,7948,20,7948,0,7949,0,
8050,3,8049,255,8050,699365,0,8050,320000,8051,0,8146,486000,8047,1026000,8048,0,8049,0,8046,20,8048,10,8049,0,8050,0,
8155,3,8153,255,8155,547741,0,8156,320000,8157,0,8246,918000,8149,1026000,8152,0,8154,0,8149,18,8151,0,8153,0,8154,0,
8255,3,8253,255,8254,821644,0,8255,320000,8256,0,8349,1026000,8250,1026000,8252,0,8254,0,8249,37,8251,50,8253,0,8254,0,
8366,3,8362,255,8366,543534,0,8367,320000,8368,0,8448,1026000,8354,384000,8359,0,8364,0,8353,0,8358,20,8360,0,8365,0,
