App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:44:49 PM","17 sec","Trepn_2018.10.21_224448.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
68,3,65,255,68,2578202,1372572,70,320000,72,0,56,1512000,58,1512000,60,1512000,65,0,58,100,59,100,61,100,66,0,
127,3,117,255,127,2906536,1700906,128,320000,129,0,109,1512000,112,1512000,114,1512000,119,1512000,111,100,113,100,116,80,124,68,
217,3,215,255,217,3125425,1919795,218,320000,218,0,210,1512000,212,1512000,213,1512000,215,1512000,211,100,213,80,215,100,217,100,
317,3,315,255,317,2872334,1666704,318,320000,318,0,310,1512000,312,1512000,314,1512000,316,1512000,312,100,313,66,315,100,317,77,
418,3,416,255,418,2154104,948474,419,320000,419,0,410,1512000,412,1512000,414,1512000,416,1512000,412,100,414,40,416,58,418,40,
518,3,516,255,518,2537160,1331530,518,320000,519,0,511,1512000,512,1512000,514,1512000,516,1512000,512,83,514,70,515,66,517,75,
620,3,616,255,619,2058340,852710,620,320000,621,0,611,1512000,613,1512000,615,1512000,617,1512000,613,44,614,25,616,55,619,100,
720,3,717,255,720,2044659,839029,720,320000,721,0,712,1512000,714,1512000,715,1512000,717,1512000,713,44,715,33,717,45,720,100,
826,3,823,255,826,979412,0,827,320000,828,0,812,1026000,817,1026000,819,1134000,825,0,817,33,819,14,822,66,826,0,
939,3,936,255,939,1477939,272309,940,200000,941,0,913,1026000,916,1026000,920,1134000,937,0,915,81,919,77,935,88,938,0,
