App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:48:36 PM","17 sec","Trepn_2018.10.21_224835.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
70,3,63,255,70,2920216,1053259,72,320000,76,0,55,1512000,57,1512000,59,1512000,64,1512000,56,100,58,100,62,100,69,50,
166,3,162,255,166,3159626,1292669,167,320000,169,0,155,1512000,157,1512000,159,1512000,163,1512000,156,85,159,100,162,100,165,100,
269,3,265,255,268,3070703,1203746,271,320000,272,0,256,1512000,258,1512000,261,1512000,266,1512000,257,88,260,84,263,100,268,100,
363,3,361,255,363,3091224,1224267,364,320000,364,0,356,1512000,358,1512000,359,1512000,362,1512000,357,100,359,75,361,100,363,100,
464,3,462,255,463,2078861,211904,464,320000,464,0,456,1512000,458,1512000,460,1512000,462,1512000,458,36,459,28,461,63,463,100,
570,3,568,255,570,2680806,813849,571,320000,571,0,558,1512000,560,1512000,565,1512000,568,1512000,559,83,565,66,567,66,570,100,
667,3,665,255,667,2886015,1019058,667,320000,668,0,658,1512000,661,1512000,663,1512000,665,1512000,660,75,662,87,664,83,667,100,
770,3,768,255,770,2243028,376071,771,320000,772,0,758,1512000,762,1512000,766,1512000,768,1512000,761,69,765,66,767,50,769,66,
873,3,870,255,873,2817612,950655,874,400000,875,0,859,1512000,862,1512000,867,1512000,871,1512000,862,80,867,77,870,90,873,88,
969,3,966,255,969,2687647,820690,970,400000,970,0,960,1512000,962,1512000,964,1512000,967,1512000,961,88,964,66,966,62,969,100,
1070,3,1067,255,1069,1545318,0,1070,400000,1071,0,1060,1512000,1062,1512000,1065,1512000,1067,1512000,1062,60,1064,20,1066,14,1069,55,
1169,3,1166,255,1169,2470771,603814,1169,400000,1170,0,1161,1512000,1163,1026000,1164,1512000,1167,1512000,1162,70,1164,70,1166,77,1168,100,
1269,3,1266,255,1268,2537160,670203,1269,400000,1270,0,1261,1512000,1263,1512000,1265,1512000,1267,1512000,1262,40,1264,100,1266,54,1268,100,
1371,3,1368,255,1370,2465201,598244,1371,400000,1372,0,1362,1134000,1364,1512000,1366,1512000,1368,1512000,1363,60,1365,66,1367,90,1370,90,
1470,3,1467,255,1470,2284070,417113,1471,320000,1471,0,1462,1512000,1464,1512000,1465,1512000,1468,1512000,1463,100,1465,50,1467,41,1470,66,
1572,3,1569,255,1572,1613798,0,1573,320000,1573,34,1563,1512000,1565,1134000,1567,1026000,1570,1026000,1564,100,1566,45,1568,22,1572,36,
1675,3,1672,255,1675,3177256,1310299,1676,320000,1677,34,1663,1512000,1666,1134000,1669,1512000,1673,1026000,1665,100,1668,60,1671,90,1675,72,
1777,3,1771,255,1777,3287685,1420728,1778,400000,1779,34,1764,1512000,1767,1134000,1769,1512000,1772,1026000,1766,100,1769,77,1771,87,1777,88,
1871,3,1869,255,1871,3660567,1793610,1872,400000,1873,34,1864,1512000,1866,1512000,1868,1512000,1870,1512000,1866,66,1867,75,1869,81,1871,60,
1973,3,1971,255,1973,3557962,1691005,1974,400000,1974,34,1965,1512000,1967,1512000,1969,1512000,1972,1512000,1967,55,1968,66,1970,66,1973,80,
2076,3,2073,255,2075,3776852,1909895,2077,400000,2078,34,2065,1512000,2067,1512000,2071,1512000,2073,1512000,2067,90,2070,66,2072,71,2075,72,
2174,3,2172,255,2174,2798690,931733,2174,400000,2175,34,2166,1512000,2168,1512000,2170,1512000,2172,1512000,2167,40,2169,44,2171,60,2173,12,
2276,3,2273,255,2276,2730288,863331,2276,400000,2277,34,2266,1512000,2268,1512000,2271,1512000,2274,1512000,2268,12,2270,72,2272,37,2276,25,
2373,3,2371,255,2373,3117381,1250424,2373,400000,2374,34,2367,1134000,2368,1512000,2370,1512000,2372,1134000,2368,55,2369,83,2371,54,2373,50,
2476,3,2473,255,2476,1868411,1454,2476,400000,2477,34,2467,1026000,2469,1512000,2471,1512000,2474,1026000,2469,0,2470,10,2473,10,2475,0,
2577,3,2575,255,2577,1906534,39577,2577,400000,2578,27,2568,1026000,2571,1026000,2573,1026000,2576,0,2570,12,2572,25,2574,11,2576,0,
2689,3,2688,255,2689,1650720,0,2690,400000,2691,27,2669,486000,2680,918000,2686,0,2688,0,2673,22,2684,46,2687,0,2689,0,
2728,3,2727,255,2728,1838660,0,2730,400000,2731,27,2719,918000,2723,918000,2726,0,2727,0,2722,83,2725,33,2726,0,2728,0,
2828,3,2826,255,2828,1820226,0,2829,400000,2830,27,2820,918000,2823,1026000,2825,0,2827,0,2822,60,2825,42,2826,0,2827,0,
2930,3,2928,255,2930,1563592,0,2931,400000,2932,27,2921,1026000,2924,1026000,2926,0,2928,0,2923,22,2926,0,2927,0,2929,0,
3033,3,3031,255,3033,2059224,192267,3033,400000,3035,27,3021,1026000,3025,1026000,3029,0,3032,0,3024,77,3028,81,3029,0,3032,0,
3128,3,3127,255,3128,2783071,916114,3129,320000,3129,27,3122,1512000,3124,1512000,3125,1512000,3127,0,3123,50,3125,63,3127,77,3128,0,
3232,3,3231,255,3232,2215620,348663,3233,200000,3233,27,3225,1512000,3227,1026000,3229,1512000,3231,0,3227,37,3229,25,3231,100,3232,0,
3334,3,3333,255,3334,1949396,82439,3335,200000,3336,27,3326,1512000,3328,1026000,3330,1512000,3333,0,3327,46,3329,30,3332,100,3334,0,
3435,3,3434,255,3435,1926291,59334,3436,128000,3437,27,3427,1026000,3429,1026000,3432,1512000,3434,0,3428,60,3431,50,3433,100,3435,0,
3535,3,3534,255,3535,1721326,0,3536,128000,3537,27,3527,1026000,3530,1026000,3532,1512000,3535,0,3529,60,3532,54,3534,90,3535,0,
3634,3,3633,255,3634,2372954,505997,3635,128000,3635,11,3628,1512000,3630,1512000,3632,1512000,3633,0,3629,100,3631,80,3633,66,3634,0,
3737,3,3734,255,3737,2207739,340782,3738,128000,3739,11,3728,1512000,3730,1512000,3732,1512000,3735,1026000,3730,55,3732,80,3734,100,3736,2,
3836,3,3834,255,3836,2686111,819154,3836,128000,3837,11,3829,1512000,3831,1512000,3832,1512000,3834,1512000,3830,85,3832,75,3833,66,3835,80,
3939,3,3937,255,3939,1844664,0,3939,128000,3940,11,3929,1512000,3931,1512000,3934,1512000,3937,1134000,3931,36,3933,81,3936,41,3938,40,
4038,3,4036,255,4037,2143088,276131,4038,128000,4039,11,4030,1512000,4032,1512000,4034,1512000,4036,1134000,4032,66,4034,50,4035,90,4037,33,
4141,3,4140,255,4141,1947360,80403,4142,128000,4142,11,4130,1512000,4132,1512000,4137,1512000,4141,0,4132,66,4136,66,4139,66,4141,0,
4238,3,4237,255,4238,2214131,347174,4239,128000,4239,11,4231,1512000,4234,1512000,4236,1512000,4238,0,4233,90,4235,72,4237,75,4238,0,
4339,3,4337,255,4339,1885797,18840,4339,128000,4340,11,4331,1512000,4333,1512000,4335,1512000,4338,0,4333,55,4335,72,4337,62,4338,0,
4438,3,4437,255,4438,2022603,155646,4438,128000,4439,11,4432,1512000,4434,1512000,4435,1512000,4437,0,4433,77,4435,66,4437,66,4438,0,
4539,3,4538,255,4539,2049964,183007,4539,128000,4540,11,4532,1512000,4534,1512000,4536,1512000,4538,0,4534,62,4536,81,4538,70,4539,0,
4638,3,4638,255,4638,2029443,162486,4639,128000,4639,17,4632,1512000,4634,1512000,4636,1512000,4638,0,4634,70,4636,83,4637,57,4638,0,
4740,3,4739,255,4740,2024874,157917,4740,128000,4741,17,4733,1512000,4735,1512000,4737,1512000,4739,0,4734,66,4737,62,4738,76,4740,0,
4841,3,4839,255,4841,2052235,185278,4841,128000,4842,17,4833,1512000,4835,1512000,4837,1512000,4840,0,4835,72,4837,66,4839,70,4840,0,
4941,3,4939,255,4941,2202722,335765,4941,128000,4942,17,4934,1512000,4936,1512000,4938,1512000,4940,0,4935,81,4937,77,4939,72,4940,0,
