App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:59:56 PM","17 sec","Trepn_2018.10.21_225954.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
66,3,63,255,65,2988619,876612,66,320000,67,0,44,1512000,60,1512000,61,1512000,63,1512000,59,60,61,100,62,100,65,100,
153,3,150,255,152,3091224,979217,153,320000,154,0,144,1512000,146,1512000,148,1512000,151,1512000,146,75,148,100,150,100,152,100,
258,3,253,255,258,2817612,705605,259,320000,259,0,245,1512000,247,1512000,249,1512000,254,1512000,246,100,248,70,253,75,258,90,
353,3,350,255,352,2940737,828730,353,320000,355,0,345,1512000,347,1512000,349,1512000,350,1512000,347,77,348,88,350,100,352,88,
459,3,457,255,459,2680806,568799,459,320000,460,0,446,1512000,449,1512000,453,1512000,457,1512000,448,55,450,100,454,60,459,100,
556,3,554,255,556,2304590,192583,557,320000,557,0,546,1512000,548,1512000,551,1512000,554,1512000,548,45,551,45,554,70,556,100,
656,3,653,255,655,1948895,0,656,320000,657,0,647,1512000,649,1512000,651,1512000,653,1512000,648,44,650,87,652,33,655,44,
765,3,761,255,765,2578202,466195,766,400000,767,0,749,1512000,754,1512000,759,1512000,762,1512000,750,83,758,66,761,81,764,70,
859,3,855,255,858,2865494,753487,860,400000,860,0,849,1512000,851,1512000,853,1512000,856,1512000,850,75,852,100,855,87,858,80,
957,3,955,255,957,1928375,0,958,400000,958,0,949,1512000,951,1512000,953,1512000,955,1512000,951,44,953,100,954,36,957,25,
1060,3,1057,255,1059,1324464,0,1060,400000,1061,0,1050,1512000,1053,1512000,1055,1512000,1058,1026000,1052,66,1054,11,1057,20,1059,37,
1157,3,1156,255,1157,689737,0,1158,400000,1158,0,1150,1134000,1152,1026000,1154,1026000,1156,0,1152,11,1154,20,1155,12,1157,0,
1262,3,1260,255,1262,688997,0,1263,400000,1264,0,1251,384000,1255,594000,1257,1026000,1260,0,1253,30,1257,40,1259,20,1261,0,
1371,3,1370,255,1371,613207,0,1371,400000,1372,0,1354,384000,1362,384000,1368,0,1370,0,1360,63,1367,37,1369,0,1371,0,
1482,3,1476,255,1482,1086078,0,1482,400000,1483,33,1453,1512000,1456,918000,1465,0,1478,0,1456,55,1463,60,1467,0,1481,0,
1567,3,1560,255,1564,3446864,1334857,1567,320000,1568,33,1554,1512000,1556,1512000,1558,1026000,1560,1026000,1555,100,1557,100,1559,45,1564,60,
1661,3,1659,255,1661,3242782,1130775,1661,320000,1662,33,1654,1512000,1656,1512000,1657,1512000,1659,1512000,1656,63,1657,66,1659,100,1661,50,
1761,3,1759,255,1761,2284978,172971,1762,320000,1762,33,1754,1512000,1756,1512000,1758,1512000,1760,1134000,1756,22,1757,12,1759,60,1761,72,
1863,3,1860,255,1863,2476670,364663,1863,320000,1864,33,1855,1512000,1857,1512000,1859,1512000,1861,1512000,1857,30,1858,27,1860,10,1862,100,
1970,3,1967,255,1970,1895572,0,1971,320000,1972,33,1957,1026000,1961,1026000,1964,0,1969,0,1960,66,1963,88,1965,0,1970,0,
2079,3,2074,255,2079,2162016,50009,2082,320000,2084,33,2056,1512000,2058,1512000,2073,0,2076,0,2057,80,2071,41,2073,0,2079,0,
2161,3,2160,255,2161,2510871,398864,2161,320000,2162,33,2156,1512000,2158,1512000,2159,0,2160,0,2158,85,2159,87,2160,0,2161,0,
2276,3,2273,255,2276,2114134,2127,2279,320000,2280,33,2257,1512000,2259,1512000,2268,0,2273,0,2258,54,2265,60,2268,0,2276,0,
2368,3,2366,255,2368,2462989,350982,2368,200000,2370,33,2357,1512000,2359,1512000,2365,0,2367,0,2359,75,2360,90,2366,0,2367,0,
2469,3,2467,255,2469,1869083,0,2473,200000,2474,11,2458,1512000,2464,1512000,2466,0,2467,0,2459,40,2465,100,2466,0,2468,0,
2562,3,2561,255,2562,1714802,0,2563,128000,2563,11,2558,1512000,2559,1512000,2561,0,2562,0,2559,80,2561,75,2561,0,2562,0,
2665,3,2664,255,2665,1509581,0,2666,128000,2666,11,2659,1512000,2661,1512000,2663,0,2664,0,2660,90,2662,44,2663,0,2665,0,
2764,3,2764,255,2764,1600519,0,2765,128000,2765,11,2759,1512000,2761,1512000,2762,1026000,2764,0,2760,40,2762,70,2763,70,2764,0,
2868,3,2867,255,2868,1564303,0,2868,128000,2869,11,2860,1512000,2862,1512000,2864,1512000,2867,0,2862,12,2864,30,2866,100,2867,0,
2969,3,2967,255,2968,1411852,0,2969,128000,2970,11,2960,1026000,2963,1026000,2965,1512000,2967,0,2962,27,2964,10,2966,100,2968,0,
3070,3,3068,255,3069,1550338,0,3070,128000,3071,11,3062,1512000,3064,1026000,3067,0,3069,0,3064,100,3066,75,3068,0,3069,0,
3169,3,3168,255,3169,1434338,0,3170,128000,3171,11,3163,1512000,3165,1512000,3167,0,3168,0,3164,42,3166,81,3167,0,3169,0,
3270,3,3269,255,3270,1564303,0,3271,128000,3271,11,3263,1512000,3265,1512000,3267,0,3269,0,3265,100,3267,42,3268,0,3269,0,
3368,3,3367,255,3368,1516421,0,3369,128000,3369,11,3363,1512000,3365,1512000,3367,0,3368,0,3365,55,3366,80,3367,0,3368,0,
3472,3,3471,255,3472,1619026,0,3473,128000,3474,17,3464,1512000,3467,1512000,3469,0,3471,0,3466,60,3468,90,3470,0,3472,0,
3572,3,3570,255,3571,1587096,0,3572,128000,3573,17,3565,1512000,3567,1512000,3569,0,3571,0,3566,60,3569,80,3570,0,3571,0,
3673,3,3670,255,3672,1614457,0,3673,128000,3674,17,3666,1512000,3668,1512000,3669,0,3672,0,3667,54,3669,90,3670,0,3672,0,
3772,3,3771,255,3772,1614457,0,3773,128000,3773,17,3767,1512000,3769,1512000,3771,0,3772,0,3769,44,3770,100,3771,0,3772,0,
3878,3,3877,255,3878,1566575,0,3879,128000,3879,17,3868,1512000,3873,1512000,3877,0,3878,0,3872,37,3876,100,3877,0,3878,0,
3974,3,3973,255,3974,1847027,0,3975,128000,3976,17,3968,1512000,3970,1512000,3972,0,3973,0,3969,90,3971,88,3972,0,3974,0,
4079,3,4078,255,4079,1624771,0,4079,128000,4080,17,4068,1512000,4072,1512000,4075,1026000,4078,0,4072,81,4074,40,4077,46,4079,0,
4175,3,4174,255,4175,1555022,0,4176,128000,4176,17,4169,1512000,4171,1512000,4173,1026000,4175,0,4171,100,4172,14,4174,40,4175,0,
4278,3,4277,255,4278,1638957,0,4278,128000,4279,17,4269,1512000,4273,1512000,4275,1026000,4277,0,4273,100,4274,30,4277,33,4278,0,
4376,3,4375,255,4376,1705566,0,4376,128000,4377,17,4370,1512000,4371,1512000,4373,1026000,4375,0,4371,100,4373,44,4375,25,4376,0,
4478,3,4477,255,4478,1682746,0,4478,128000,4479,17,4470,1512000,4472,1512000,4475,1026000,4477,0,4471,88,4475,50,4477,30,4478,0,
4586,3,4577,255,4585,1764943,0,4586,128000,4588,17,4570,1512000,4573,1512000,4576,0,4581,0,4572,100,4575,66,4576,0,4581,0,
4678,3,4676,255,4678,2157359,45352,4678,128000,4679,17,4671,1512000,4673,1512000,4674,1512000,4676,1026000,4672,60,4674,100,4676,33,4678,57,
4781,3,4779,255,4781,1651235,0,4782,128000,4782,17,4771,1512000,4774,1512000,4776,1026000,4779,1026000,4773,100,4776,27,4778,20,4781,22,
4891,3,4889,255,4891,1507703,0,4891,320000,4892,0,4872,1512000,4874,1512000,4886,1026000,4890,0,4874,100,4876,22,4888,12,4891,0,
4989,3,4985,255,4988,1422357,0,4990,320000,4992,0,4972,1512000,4975,1026000,4978,1026000,4986,0,4974,90,4977,33,4980,44,4988,0,
5082,3,5081,255,5082,2290910,178903,5083,320000,5084,0,5073,1512000,5075,1512000,5077,1512000,5081,0,5075,77,5077,100,5080,81,5082,0,
5219,3,5212,255,5217,2087324,0,5219,320000,5222,0,5176,1512000,5188,1512000,5203,1026000,5213,0,5185,100,5201,100,5209,53,5217,0,
5283,3,5280,255,5282,2227382,115375,5283,320000,5284,0,5274,1512000,5276,1512000,5278,1512000,5281,1026000,5275,72,5277,100,5280,57,5282,37,
5383,3,5380,255,5383,1359563,0,5384,320000,5384,0,5374,1512000,5376,1512000,5378,1026000,5381,1026000,5376,0,5378,100,5380,11,5383,30,
5484,3,5481,255,5484,1492724,0,5485,320000,5485,0,5474,1512000,5477,1512000,5479,1026000,5481,1026000,5476,20,5478,100,5481,18,5484,22,
5606,3,5603,255,5605,1406939,0,5606,320000,5607,0,5577,1026000,5590,1512000,5598,0,5604,0,5586,54,5593,100,5599,0,5605,0,
5686,3,5682,255,5686,1641082,0,5686,320000,5687,0,5677,1512000,5679,1512000,5681,0,5683,0,5678,63,5680,100,5681,0,5683,0,
