App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 11:13:02 PM","17 sec","Trepn_2018.10.21_231301.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
60,3,59,255,60,2215667,866252,61,320000,62,0,12,1512000,45,1512000,57,1512000,59,0,45,100,47,100,59,47,60,0,
119,3,117,255,119,2760420,1411005,120,320000,122,0,112,1512000,114,1512000,116,1512000,117,1026000,113,100,115,100,117,100,119,50,
220,3,217,255,219,2838133,1488718,220,320000,221,0,212,1512000,214,1512000,216,1512000,218,1512000,214,66,215,100,217,100,219,72,
320,3,318,255,320,2277229,927814,321,320000,321,0,313,1512000,315,1512000,316,1512000,319,1512000,314,44,316,100,318,75,320,37,
420,3,418,255,420,1600041,250626,421,320000,421,0,413,1512000,415,1512000,417,1512000,419,1512000,415,20,416,27,418,90,420,20,
528,3,525,255,527,2318271,968856,529,320000,530,0,515,1512000,517,1512000,521,1512000,526,0,516,100,520,62,524,100,527,0,
625,3,622,255,625,2564521,1215106,625,320000,626,0,614,1512000,618,1512000,621,1512000,623,1512000,617,75,620,81,622,100,624,42,
725,3,722,255,724,1822909,473494,725,320000,726,0,715,1512000,717,1512000,720,1512000,722,1026000,717,100,719,28,721,44,724,33,
829,3,824,255,829,2345632,996217,829,400000,830,0,815,1512000,818,1512000,821,1512000,825,1512000,818,66,820,72,823,62,828,66,
929,3,927,255,929,2482438,1133023,930,400000,930,0,916,1512000,923,1512000,925,1512000,927,1512000,917,87,925,90,927,54,929,55,
1023,3,1021,255,1023,2113062,763647,1024,400000,1024,0,1016,1512000,1018,1512000,1019,1512000,1021,1512000,1017,45,1019,80,1021,63,1023,44,
1125,3,1123,255,1125,1546071,196656,1125,400000,1126,0,1116,1512000,1118,1512000,1121,1512000,1123,1134000,1118,45,1120,22,1122,54,1125,45,
1225,3,1223,255,1225,820525,0,1226,400000,1226,0,1217,1026000,1219,1026000,1221,1512000,1223,1026000,1218,11,1220,25,1222,18,1225,11,
1326,3,1325,255,1326,1061835,0,1326,400000,1329,0,1319,1026000,1321,1026000,1324,0,1325,0,1321,70,1323,77,1324,0,1326,0,
1429,3,1425,255,1429,2304590,955175,1429,400000,1430,0,1419,1512000,1421,1512000,1422,1512000,1426,0,1420,80,1422,100,1425,80,1429,0,
1529,3,1525,255,1529,2181465,832050,1529,400000,1530,33,1519,1512000,1521,1512000,1523,1512000,1526,0,1521,100,1523,72,1524,70,1529,0,
1627,3,1626,255,1627,3679833,2330418,1627,320000,1628,33,1620,1512000,1622,1512000,1624,1512000,1626,0,1622,100,1623,90,1625,100,1626,0,
1728,3,1726,255,1728,3762644,2413229,1729,320000,1733,33,1720,1512000,1722,1512000,1724,1512000,1726,1512000,1722,75,1724,100,1726,100,1728,80,
1828,3,1826,255,1828,3133337,1783922,1828,400000,1829,33,1821,1512000,1823,1512000,1824,1512000,1826,1512000,1822,54,1824,88,1826,77,1828,44,
1929,3,1927,255,1929,2758522,1409107,1929,400000,1930,33,1921,1512000,1923,1512000,1925,1512000,1927,1026000,1923,33,1925,60,1927,41,1929,40,
2028,3,2027,255,2028,2828776,1479361,2029,400000,2029,33,2022,1512000,2024,1512000,2025,1512000,2027,1026000,2023,54,2025,50,2026,44,2028,33,
2132,3,2129,255,2132,2208324,858909,2132,400000,2133,33,2122,1026000,2124,1512000,2127,1026000,2130,1026000,2124,33,2126,20,2129,25,2131,45,
2245,3,2241,255,2244,1925321,575906,2246,400000,2248,33,2223,810000,2229,1026000,2234,0,2242,0,2228,33,2232,40,2235,0,2243,0,
2328,3,2327,255,2328,2804276,1454861,2328,400000,2329,33,2323,1512000,2325,1512000,2326,0,2327,0,2325,85,2326,77,2327,0,2328,0,
2428,3,2427,255,2428,2441741,1092326,2428,400000,2429,33,2423,1512000,2425,1512000,2426,0,2427,0,2425,54,2426,55,2427,0,2428,0,
2533,3,2531,255,2532,2503303,1153888,2533,400000,2534,33,2524,1512000,2526,1512000,2528,0,2532,0,2525,55,2527,63,2528,0,2532,0,
2629,3,2629,255,2629,2558026,1208611,2630,400000,2630,33,2624,1512000,2627,1512000,2628,0,2629,0,2626,63,2628,63,2628,0,2629,0,
2731,3,2730,255,2731,2448581,1099166,2731,400000,2732,33,2725,1512000,2727,1512000,2729,0,2730,0,2727,60,2728,50,2730,0,2731,0,
2832,3,2830,255,2831,2380178,1030763,2832,400000,2833,33,2826,1512000,2827,1512000,2829,0,2831,0,2827,50,2829,50,2830,0,2831,0,
