App,Package,Start Time,Duration,Filename
"System",,"Oct 21, 2018 @ 10:54:20 PM","17 sec","Trepn_2018.10.21_225419.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
41,3,39,255,41,3009140,1483472,42,320000,42,0,31,1512000,34,1512000,37,1512000,39,1512000,34,88,36,100,39,100,41,75,
140,3,138,255,139,3029661,1503993,140,320000,141,0,131,1512000,133,1512000,136,1512000,138,1512000,133,100,135,66,137,100,139,100,
264,3,262,255,264,3029661,1503993,264,320000,265,0,232,1512000,235,1512000,237,1512000,262,1512000,234,100,236,100,261,100,263,66,
340,3,338,255,340,2441396,915728,341,320000,342,0,332,1512000,334,1512000,336,1512000,338,1512000,334,55,336,63,337,100,340,62,
445,3,443,255,445,2502959,977291,445,320000,446,0,433,1512000,436,1512000,440,1512000,443,1512000,435,60,437,63,442,100,445,66,
545,3,542,255,545,2708167,1182499,545,320000,546,0,536,1512000,538,1512000,540,1512000,543,1512000,538,70,539,72,542,100,544,77,
648,3,645,255,647,1647923,122255,648,320000,649,0,637,1512000,639,1512000,640,1512000,645,1512000,638,30,640,76,644,22,647,36,
754,3,745,255,754,2851813,1326145,755,400000,756,0,737,1512000,740,1512000,742,1512000,750,1512000,739,88,741,87,744,75,754,90,
850,3,843,255,849,2803931,1278263,850,400000,851,0,838,1512000,840,1512000,842,1512000,844,1512000,839,90,841,75,843,81,849,87,
945,3,943,255,944,1777888,252220,945,400000,946,0,938,1512000,940,1512000,941,1512000,943,1512000,939,60,941,30,942,27,944,66,
1045,3,1043,255,1045,1894173,368505,1045,400000,1046,0,1038,1512000,1040,1512000,1042,1512000,1044,1512000,1040,50,1041,66,1043,44,1045,40,
1148,3,1147,255,1148,690111,0,1149,400000,1150,0,1139,1026000,1142,1026000,1144,1026000,1147,0,1141,27,1144,0,1146,18,1148,0,
1248,3,1246,255,1248,905128,0,1249,400000,1250,0,1239,1026000,1242,1026000,1244,1026000,1247,0,1241,30,1244,30,1246,44,1248,0,
1355,3,1351,255,1355,806731,0,1356,400000,1357,0,1340,1026000,1345,1026000,1349,0,1352,0,1343,37,1348,40,1350,0,1355,0,
1448,3,1447,255,1448,846818,0,1449,400000,1449,34,1440,1026000,1443,1026000,1445,0,1447,0,1442,44,1445,44,1446,0,1448,0,
1551,3,1549,255,1550,1822232,296564,1551,400000,1552,34,1541,384000,1544,1026000,1547,0,1549,0,1544,12,1546,22,1548,0,1550,0,
1650,3,1649,255,1650,2048571,522903,1651,400000,1652,34,1642,918000,1645,1026000,1647,0,1649,0,1644,44,1647,50,1648,0,1650,0,
1760,3,1756,255,1760,1921729,396061,1761,320000,1764,34,1743,1026000,1748,384000,1754,0,1757,0,1746,45,1753,30,1755,0,1759,0,
