App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 04:04:16 AM","17 sec","Trepn_2018.10.22_040415.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
36,3,33,255,36,2452215,1189341,37,320000,38,0,94,1512000,24,1512000,31,1512000,34,1026000,23,72,25,100,33,92,36,33,
105,3,102,255,105,2927057,1664183,105,320000,106,0,194,1512000,96,1512000,99,1512000,102,1512000,96,100,98,100,101,66,104,85,
216,3,212,255,216,2838133,1575259,217,320000,218,0,294,1512000,197,1512000,204,1512000,213,1512000,196,72,199,100,210,100,215,66,
302,3,300,255,302,2578202,1315328,302,320000,303,0,395,1512000,296,1512000,298,1512000,300,1512000,296,75,297,100,299,75,302,50,
404,3,401,255,404,2256708,993834,405,320000,406,0,495,1512000,397,1512000,399,1512000,402,1512000,397,45,399,100,401,54,404,54,
504,3,501,255,503,2379834,1116960,504,320000,505,0,596,1512000,497,1512000,500,1512000,502,1512000,497,63,499,100,501,66,503,42,
603,3,601,255,603,2051500,788626,604,320000,604,0,696,1512000,598,1512000,599,1512000,601,1512000,597,63,599,90,600,40,603,30,
709,3,704,255,708,2578202,1315328,709,200000,710,0,799,1512000,698,1512000,702,1512000,705,1512000,698,66,700,80,704,66,708,88,
808,3,806,255,808,3125425,1862551,811,400000,812,0,899,1512000,801,1512000,803,1512000,806,1512000,800,90,803,100,805,100,808,90,
907,3,905,255,907,2776570,1513696,908,400000,909,0,1000,1512000,901,1512000,903,1512000,905,1512000,901,63,902,66,904,100,907,100,
1022,3,1018,255,1021,2400354,1137480,1025,400000,1025,0,1100,1512000,1012,1512000,1015,1512000,1019,1512000,1010,100,1014,75,1017,38,1021,61,
1106,3,1105,255,1106,1846291,583417,1107,400000,1107,0,1200,1512000,1102,1512000,1103,1512000,1105,1512000,1101,100,1103,28,1104,37,1106,28,
1209,3,1206,255,1209,1278547,15673,1210,400000,1211,0,1301,1512000,1202,1512000,1204,1512000,1207,1512000,1202,100,1204,0,1206,0,1208,10,
1308,3,1307,255,1308,1450672,187798,1309,400000,1309,0,1401,1512000,1303,1026000,1305,1026000,1307,0,1303,100,1304,33,1306,33,1308,0,
