App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 04:15:41 AM","17 sec","Trepn_2018.10.22_041540.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
72,3,70,255,71,2037819,709780,72,320000,73,0,41,1512000,63,1512000,68,1512000,70,0,63,58,67,100,69,63,71,0,
150,3,148,255,150,2879175,1551136,150,320000,151,0,141,1512000,144,1512000,146,1512000,148,1512000,143,100,145,100,147,100,150,44,
249,3,247,255,249,2646605,1318566,250,320000,251,0,242,1512000,244,1512000,245,1512000,248,1512000,243,100,245,44,247,66,249,100,
351,3,348,255,350,2270389,942350,351,320000,352,0,342,1512000,344,1512000,347,1512000,349,1512000,344,100,346,45,348,44,350,66,
451,3,449,255,451,2154104,826065,451,320000,452,0,443,1512000,445,1512000,447,1512000,449,1512000,444,100,447,40,448,44,451,54,
551,3,549,255,551,2366153,1038114,552,320000,552,0,543,1512000,545,1512000,547,1512000,550,1512000,545,90,547,45,549,90,551,44,
652,3,650,255,652,1805249,477210,652,320000,653,0,643,1512000,645,1512000,648,1512000,650,1512000,645,25,647,40,649,100,652,22,
753,3,751,255,753,2455077,1127038,753,320000,754,0,744,1512000,746,1512000,748,1512000,751,1512000,745,63,748,72,750,66,753,81,
862,3,853,255,861,2530320,1202281,866,200000,867,0,844,1512000,847,1512000,849,1512000,854,1512000,847,66,849,70,852,80,858,77,
960,3,955,255,959,2496118,1168079,961,400000,962,0,947,1512000,949,1512000,952,1512000,956,1512000,948,81,952,80,954,55,958,72,
1055,3,1053,255,1055,2078861,750822,1055,400000,1056,0,1047,1512000,1049,1512000,1051,1512000,1053,1512000,1049,87,1050,40,1052,50,1054,50,
1156,3,1154,255,1156,2113062,785023,1157,400000,1158,0,1147,1512000,1150,1512000,1152,1512000,1155,1512000,1149,83,1151,55,1153,50,1156,44,
1254,3,1253,255,1254,984415,0,1255,400000,1256,0,1248,1512000,1250,1512000,1252,1512000,1254,0,1250,36,1251,11,1253,20,1254,0,
1358,3,1357,255,1358,777576,0,1359,400000,1360,0,1348,1026000,1352,1026000,1354,1026000,1357,0,1351,27,1354,20,1356,22,1358,0,
1459,3,1458,255,1459,682436,0,1460,400000,1461,0,1449,384000,1453,702000,1456,0,1458,0,1452,25,1455,66,1457,0,1459,0,
1564,3,1563,255,1564,847673,0,1567,320000,1568,26,1550,918000,1554,918000,1560,0,1563,0,1553,60,1559,45,1561,0,1564,0,
1658,3,1657,255,1658,1523750,195711,1659,200000,1660,26,1650,918000,1654,1026000,1656,0,1658,0,1653,50,1655,57,1657,0,1658,0,
1774,3,1771,255,1773,932871,0,1775,128000,1783,26,1751,486000,1761,594000,1769,0,1771,0,1759,46,1767,30,1770,0,1773,0,
1856,3,1855,255,1856,1847013,518974,1856,128000,1857,26,1851,1512000,1853,1512000,1854,0,1855,0,1853,100,1854,70,1855,0,1856,0,
1960,3,1957,255,1960,1053540,0,1961,128000,1961,26,1952,1512000,1954,1512000,1956,0,1958,0,1954,10,1955,44,1957,0,1959,0,
2056,3,2056,255,2056,991977,0,2057,128000,2057,26,2052,1512000,2054,1512000,2055,0,2056,0,2053,45,2055,0,2055,0,2056,0,
2177,3,2173,255,2176,857777,0,2177,128000,2180,26,2153,594000,2164,1026000,2170,0,2175,0,2163,22,2169,38,2172,0,2176,0,
2261,3,2259,255,2260,1059592,0,2261,128000,2262,26,2253,918000,2256,1026000,2258,0,2260,0,2256,50,2258,61,2259,0,2260,0,
2376,3,2372,255,2376,768923,0,2377,128000,2378,26,2364,1026000,2367,384000,2370,0,2374,0,2366,18,2369,22,2371,0,2376,0,
