App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 03:47:11 AM","17 sec","Trepn_2018.10.22_034710.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
68,3,65,255,68,2920216,1011196,69,320000,70,0,40,1512000,61,1512000,63,1512000,66,1512000,61,90,63,69,65,100,68,91,
157,3,154,255,157,3002300,1093280,158,320000,159,0,141,1512000,147,1512000,151,1512000,154,1512000,145,62,149,100,153,100,156,100,
248,3,246,255,248,2851813,942793,249,320000,249,0,241,1512000,243,1512000,245,1512000,247,1512000,242,100,244,100,246,57,248,83,
349,3,347,255,348,2263549,354529,349,320000,350,0,341,1512000,343,1512000,345,1512000,347,1512000,343,60,345,100,346,44,348,50,
449,3,447,255,449,1853131,0,449,320000,450,0,442,1512000,444,1512000,445,1512000,447,1512000,443,50,445,100,446,30,449,14,
553,3,550,255,553,2530320,621300,554,320000,554,0,542,1512000,544,1512000,547,1512000,550,1512000,544,75,545,100,549,63,552,55,
650,3,648,255,649,2598723,689703,650,320000,650,0,643,1512000,644,1512000,646,1512000,648,1512000,644,70,646,66,647,90,649,77,
752,3,749,255,752,1408513,0,755,320000,756,0,743,1512000,745,1512000,748,1512000,750,1512000,745,12,747,27,749,50,751,40,
853,3,850,255,852,2578202,669182,853,320000,854,0,844,1512000,846,1512000,848,1512000,851,1512000,845,72,848,88,850,70,852,70,
952,3,950,255,952,2297750,388730,953,400000,953,0,944,1512000,946,1512000,948,1512000,951,1512000,946,44,948,72,950,55,952,88,
1054,3,1051,255,1053,2160944,251924,1054,400000,1055,0,1045,1512000,1047,1512000,1049,1512000,1051,1512000,1046,80,1048,50,1050,55,1053,54,
1152,3,1150,255,1152,1340110,0,1152,400000,1153,0,1145,1512000,1147,1512000,1148,1512000,1150,1512000,1147,36,1148,36,1150,25,1151,22,
1252,3,1250,255,1252,799727,0,1252,400000,1253,0,1245,1512000,1247,1512000,1249,1512000,1251,0,1247,30,1248,0,1250,10,1251,0,
1354,3,1353,255,1354,671890,0,1355,400000,1355,0,1346,1026000,1349,1026000,1352,0,1353,0,1348,20,1351,20,1352,0,1354,0,
1457,3,1456,255,1457,781220,0,1457,400000,1458,0,1446,1026000,1450,1026000,1454,0,1456,0,1449,37,1452,33,1455,0,1457,0,
1554,3,1553,255,1554,683502,0,1555,400000,1556,26,1547,1026000,1550,486000,1552,0,1553,0,1549,30,1552,40,1553,0,1554,0,
1660,3,1658,255,1659,1757730,0,1660,320000,1661,26,1648,1026000,1651,1026000,1657,0,1659,0,1650,44,1656,41,1658,0,1659,0,
1780,3,1766,255,1779,1410581,0,1790,320000,1793,26,1749,594000,1753,1026000,1760,0,1775,0,1752,41,1758,50,1763,0,1778,0,
1855,3,1854,255,1855,2188943,279923,1856,200000,1856,26,1849,1512000,1851,1512000,1854,0,1855,0,1851,88,1853,62,1854,0,1855,0,
1964,3,1961,255,1963,942681,0,1964,200000,1965,26,1949,1026000,1954,1026000,1958,0,1961,0,1953,11,1957,20,1960,0,1963,0,
2061,3,2059,255,2060,1150409,0,2061,128000,2062,26,2052,1026000,2056,1026000,2058,0,2059,0,2055,55,2057,33,2059,0,2060,0,
2174,3,2170,255,2173,729452,0,2175,128000,2178,26,2153,384000,2160,384000,2166,0,2171,0,2158,30,2165,22,2168,0,2173,0,
2260,3,2259,255,2260,1297320,0,2261,128000,2261,26,2253,1026000,2257,1512000,2259,0,2259,0,2257,50,2258,63,2259,0,2260,0,
2373,3,2371,255,2373,888248,0,2374,128000,2378,26,2354,1026000,2364,1026000,2369,0,2371,0,2363,20,2368,36,2370,0,2372,0,
2465,3,2463,255,2465,2277952,368932,2466,128000,2466,26,2455,1512000,2459,1512000,2461,1512000,2463,1512000,2459,90,2461,88,2462,25,2465,30,
2563,3,2560,255,2563,2477880,568860,2563,128000,2564,15,2555,1512000,2557,1512000,2558,1134000,2561,1512000,2556,70,2558,63,2560,66,2562,88,
2664,3,2662,255,2664,1777171,0,2665,128000,2665,15,2655,1512000,2658,1512000,2660,1026000,2662,1026000,2657,100,2659,36,2661,33,2664,30,
2765,3,2762,255,2765,1912069,3049,2765,128000,2766,15,2756,1512000,2758,1512000,2760,1026000,2763,1026000,2757,44,2760,100,2762,40,2765,45,
2865,3,2863,255,2865,1518699,0,2866,128000,2867,15,2856,1512000,2859,1512000,2861,1026000,2863,1026000,2858,11,2860,100,2862,9,2865,30,
2967,3,2965,255,2967,1341414,0,2968,128000,2969,15,2957,1026000,2960,1512000,2963,1026000,2966,0,2959,0,2962,100,2965,11,2966,0,
3065,3,3064,255,3065,1454389,0,3065,128000,3066,15,3057,1026000,3060,1512000,3062,1026000,3064,0,3059,28,3061,100,3063,14,3065,0,
3186,3,3182,255,3185,1447100,0,3188,128000,3189,15,3158,1026000,3165,1512000,3172,0,3182,0,3160,40,3171,100,3175,0,3185,0,
3266,3,3265,255,3266,1793827,0,3267,128000,3268,15,3259,1512000,3260,1512000,3262,0,3265,0,3260,72,3262,100,3263,0,3266,0,
3383,3,3375,255,3380,1408149,0,3386,128000,3387,15,3359,1134000,3367,1512000,3374,0,3379,0,3362,25,3373,100,3375,0,3380,0,
3466,3,3464,255,3466,1807337,0,3466,128000,3467,15,3459,1512000,3461,1512000,3463,1026000,3465,0,3460,88,3462,62,3464,45,3466,0,
3568,3,3566,255,3568,1682475,0,3569,128000,3569,18,3560,1026000,3562,1512000,3564,1512000,3567,0,3561,22,3563,44,3565,100,3568,0,
3668,3,3666,255,3668,1833701,0,3668,128000,3669,18,3660,1026000,3662,1512000,3664,1512000,3666,0,3662,66,3664,40,3666,100,3667,0,
3771,3,3770,255,3771,1690918,0,3772,128000,3773,18,3761,1026000,3763,1134000,3765,1512000,3771,0,3763,55,3765,40,3767,100,3771,0,
3871,3,3866,255,3871,1907827,0,3872,128000,3872,18,3861,1512000,3863,1512000,3865,1512000,3867,0,3863,53,3864,100,3866,33,3871,0,
3975,3,3971,255,3975,1887306,0,3976,200000,3977,18,3962,1512000,3964,1512000,3968,1512000,3974,0,3964,50,3967,100,3971,33,3975,0,
4068,3,4067,255,4067,1789698,0,4068,400000,4069,18,4062,1512000,4064,1512000,4065,1512000,4067,0,4063,55,4065,54,4066,45,4067,0,
4169,3,4167,255,4169,2301483,392463,4169,400000,4170,18,4162,1512000,4164,1512000,4166,1512000,4167,1026000,4164,50,4165,46,4167,50,4168,38,
4270,3,4268,255,4269,1905757,0,4270,320000,4271,18,4263,1512000,4264,1512000,4266,1512000,4268,1026000,4264,33,4266,33,4267,36,4269,12,
4371,3,4369,255,4371,1645770,0,4371,400000,4372,18,4363,1026000,4365,1512000,4367,1134000,4369,1026000,4365,30,4367,36,4368,33,4371,50,
4472,3,4471,255,4472,1712656,0,4472,400000,4473,18,4464,1026000,4467,1512000,4469,1026000,4471,0,4466,36,4469,45,4470,30,4471,0,
4571,3,4570,255,4570,1794234,0,4571,320000,4571,32,4565,1026000,4567,1512000,4568,1026000,4570,0,4566,54,4568,50,4569,25,4570,0,
4687,3,4677,255,4686,1920706,11686,4688,128000,4688,32,4666,1026000,4668,1512000,4670,0,4678,0,4668,55,4670,60,4671,0,4684,0,
4773,3,4772,255,4773,1409371,0,4773,128000,4774,32,4767,1026000,4769,1512000,4771,1026000,4772,0,4769,72,4770,57,4772,10,4773,0,
4890,3,4885,255,4890,1832743,0,4891,128000,4892,32,4867,1512000,4870,1512000,4878,1026000,4889,0,4869,90,4877,55,4885,33,4889,0,
4975,3,4974,255,4975,2001785,92765,4975,200000,4976,32,4968,1512000,4969,1512000,4971,1026000,4974,0,4969,87,4971,63,4973,70,4975,0,
5079,3,5078,255,5079,1950701,41681,5080,320000,5080,32,5072,1512000,5075,1512000,5076,1026000,5079,0,5074,77,5076,50,5077,50,5079,0,
5176,3,5175,255,5176,2303762,394742,5176,320000,5177,32,5169,1512000,5172,1512000,5173,1026000,5175,0,5171,50,5173,66,5174,55,5175,0,
5279,3,5278,255,5278,2040692,131672,5279,320000,5280,32,5271,1512000,5274,1512000,5275,1026000,5278,0,5273,45,5275,40,5277,41,5278,0,
5379,3,5378,255,5379,2422346,513326,5380,320000,5380,32,5372,1512000,5374,1512000,5376,1026000,5378,0,5374,55,5375,81,5377,50,5379,0,
5479,3,5478,255,5479,2353943,444923,5480,320000,5480,32,5473,1512000,5475,1512000,5477,1026000,5479,0,5475,36,5476,90,5478,50,5479,0,
5581,3,5580,255,5581,2058118,149098,5582,320000,5583,32,5574,1134000,5576,1512000,5578,1026000,5581,0,5576,66,5578,33,5580,66,5581,0,
5694,3,5693,255,5694,2190673,281653,5694,320000,5695,37,5674,1026000,5686,1512000,5689,1512000,5693,0,5678,54,5688,50,5692,50,5693,0,
5782,3,5781,255,5782,2433396,524376,5783,320000,5783,37,5775,1026000,5777,1026000,5779,1512000,5782,0,5777,50,5779,37,5781,100,5782,0,
5886,3,5884,255,5885,2349576,440556,5886,320000,5887,37,5875,1026000,5880,1026000,5882,1512000,5885,0,5879,20,5882,44,5884,100,5885,0,
5986,3,5984,255,5986,2447605,538585,5987,320000,5988,37,5977,1026000,5979,1134000,5982,1512000,5985,0,5979,44,5981,40,5984,100,5986,0,
6086,3,6085,255,6086,2622902,713882,6087,320000,6087,37,6078,1026000,6080,1026000,6083,1512000,6086,0,6080,81,6082,58,6085,100,6086,0,
6189,3,6185,255,6189,3915333,2006313,6189,200000,6190,37,6179,1512000,6181,1512000,6183,1512000,6187,1512000,6181,100,6183,100,6185,100,6188,63,
6287,3,6285,255,6287,3235965,1326945,6288,128000,6288,37,6279,1512000,6281,1512000,6283,1512000,6285,1512000,6281,62,6283,81,6284,100,6287,90,
6387,3,6385,255,6387,1920721,11701,6387,128000,6388,37,6380,1512000,6382,1512000,6383,1512000,6385,1512000,6381,20,6383,100,6385,40,6386,11,
6487,3,6485,255,6487,1722352,0,6487,128000,6488,37,6480,1512000,6482,1512000,6484,1512000,6485,1512000,6482,20,6483,100,6485,11,6487,11,
6659,3,6647,255,6659,1475148,0,6660,128000,6662,11,6586,1026000,6639,1512000,6644,0,6648,0,6631,11,6641,100,6646,0,6658,0,
6710,3,6706,255,6710,1961040,52020,6715,128000,6717,11,6685,1512000,6689,1512000,6705,0,6708,0,6687,100,6702,100,6705,0,6710,0,
6789,3,6788,255,6789,1988401,79381,6790,128000,6790,11,6782,1512000,6784,1512000,6786,1512000,6788,1512000,6784,88,6785,62,6787,28,6789,26,
6890,3,6888,255,6890,859754,0,6890,128000,6891,11,6883,1512000,6885,1512000,6886,1512000,6888,1512000,6884,9,6886,20,6888,0,6890,10,
6992,3,6990,255,6992,940712,0,6993,128000,6993,11,6983,1026000,6986,1512000,6988,1512000,6990,1026000,6985,36,6987,11,6989,10,6992,20,
7094,3,7092,255,7094,947610,0,7094,128000,7095,11,7084,1026000,7088,1512000,7091,0,7093,0,7087,41,7090,30,7091,0,7093,0,
7189,3,7188,255,7189,930342,0,7190,128000,7190,11,7184,1026000,7186,1512000,7188,0,7189,0,7186,25,7187,36,7188,0,7189,0,
7300,3,7298,255,7300,970430,0,7301,128000,7302,11,7285,1026000,7287,1512000,7297,0,7299,0,7286,36,7296,36,7298,0,7300,0,
7395,3,7393,255,7395,939196,0,7396,128000,7397,11,7385,1026000,7389,1026000,7392,0,7394,0,7388,50,7392,45,7393,0,7394,0,
7495,3,7493,255,7495,1557626,0,7496,128000,7497,11,7486,1026000,7489,1512000,7492,0,7494,0,7488,77,7491,100,7492,0,7494,0,
7595,3,7594,255,7595,1550623,0,7596,128000,7596,11,7586,1512000,7588,1512000,7593,0,7594,0,7588,80,7591,60,7594,0,7595,0,
7697,3,7695,255,7697,1769512,0,7697,128000,7698,16,7687,1512000,7690,1512000,7694,0,7696,0,7689,72,7694,100,7695,0,7696,0,
7794,3,7793,255,7794,1560496,0,7796,128000,7797,16,7787,1512000,7790,1512000,7792,0,7793,0,7789,75,7791,62,7792,0,7793,0,
7896,3,7894,255,7896,1752024,0,7897,128000,7897,16,7889,1512000,7891,1512000,7893,0,7895,0,7891,75,7893,90,7894,0,7895,0,
7995,3,7994,255,7995,1403169,0,7995,128000,7996,16,7989,1512000,7991,1512000,7993,0,7994,0,7990,60,7992,54,7993,0,7995,0,
8098,3,8097,255,8097,910669,0,8098,128000,8099,16,8089,1512000,8091,1512000,8094,0,8097,0,8091,12,8093,30,8096,0,8097,0,
8208,3,8198,255,8207,1526295,0,8209,128000,8210,16,8193,1512000,8195,1512000,8197,0,8199,0,8194,66,8196,66,8198,0,8206,0,
8301,3,8300,255,8301,1713616,0,8302,128000,8302,16,8293,1512000,8296,1512000,8298,1026000,8300,0,8295,45,8297,100,8300,27,8301,0,
8402,3,8400,255,8401,1626201,0,8402,128000,8403,16,8394,1026000,8396,1512000,8398,1026000,8401,0,8396,50,8398,88,8400,60,8401,0,
8501,3,8500,255,8500,855775,0,8501,128000,8501,16,8494,1026000,8496,1512000,8498,1026000,8500,0,8496,18,8497,10,8499,27,8500,0,
8605,3,8604,255,8605,885770,0,8606,320000,8607,0,8595,1026000,8599,1026000,8601,1026000,8604,0,8598,22,8601,30,8603,20,8605,0,
8829,3,8808,255,8828,909172,0,8830,320000,8830,0,8765,1512000,8786,0,8791,0,8816,0,8774,56,8787,0,8800,0,8824,0,
8847,3,8844,255,8846,1344985,0,8847,320000,8848,0,8831,1512000,8833,1026000,8841,1026000,8844,1026000,8833,100,8841,12,8843,0,8846,25,
8872,3,8869,255,8872,1934930,25910,8872,320000,8873,0,8862,1512000,8864,1512000,8867,1026000,8870,1026000,8864,100,8866,66,8869,75,8871,0,
8973,3,8970,255,8973,1562138,0,8974,320000,8974,0,8963,1512000,8965,1512000,8968,1512000,8971,1026000,8965,11,8967,33,8970,100,8973,14,
9071,3,9069,255,9071,1834739,0,9072,320000,9073,0,9063,1512000,9066,1512000,9067,1512000,9070,1026000,9065,70,9067,37,9069,63,9071,40,
9172,3,9170,255,9171,526116,0,9172,320000,9173,0,9163,1134000,9166,1026000,9168,1026000,9171,0,9165,0,9168,0,9170,0,9171,0,
9271,3,9270,255,9271,789271,0,9272,320000,9272,0,9264,1134000,9266,1026000,9268,1026000,9270,0,9266,36,9268,30,9270,0,9271,0,
9454,3,9447,255,9454,565307,0,9468,320000,9469,0,9366,384000,9438,0,9443,0,9451,0,9374,45,9442,0,9446,0,9453,0,
9496,3,9488,255,9494,1210144,0,9496,320000,9500,0,9470,1512000,9478,0,9483,0,9491,0,9473,100,9480,0,9485,0,9491,0,
9571,3,9570,255,9571,1210144,0,9571,320000,9572,0,9567,1512000,9569,0,9570,0,9570,0,9569,100,9569,0,9570,0,9571,0,
9674,3,9673,255,9674,895491,0,9675,320000,9675,0,9667,1512000,9669,1512000,9672,0,9674,0,9669,33,9672,21,9673,0,9674,0,
9774,3,9773,255,9774,842000,0,9775,320000,9776,0,9768,1512000,9771,1026000,9773,0,9774,0,9770,27,9772,36,9773,0,9774,0,
9876,3,9874,255,9876,692467,0,9877,320000,9878,0,9868,1512000,9871,1026000,9873,0,9875,0,9870,11,9873,25,9874,0,9876,0,
9982,3,9981,255,9982,872329,0,9983,320000,9984,0,9969,1026000,9977,1026000,9980,0,9981,0,9975,50,9979,45,9980,0,9982,0,
10094,3,10093,255,10094,580983,0,10095,320000,10096,0,10070,384000,10078,384000,10085,0,10093,0,10075,33,10083,30,10088,0,10094,0,
10178,3,10177,255,10178,1894173,0,10179,320000,10180,0,10170,1512000,10174,1512000,10176,0,10177,0,10173,100,10175,100,10176,0,10178,0,
10277,3,10276,255,10277,909172,0,10278,320000,10278,0,10271,1512000,10273,1512000,10275,1512000,10277,0,10273,22,10274,16,10276,18,10277,0,
10378,3,10377,255,10377,699756,0,10378,320000,10379,0,10371,1026000,10373,1512000,10375,1026000,10377,0,10373,27,10374,11,10376,0,10377,0,
10478,3,10477,255,10478,674246,0,10478,320000,10479,0,10471,1026000,10473,1512000,10475,1026000,10477,0,10473,10,10475,11,10476,10,10478,0,
10594,3,10589,255,10593,526116,0,10596,320000,10598,0,10572,1026000,10577,1026000,10585,0,10591,0,10575,0,10583,0,10588,0,10592,0,
10708,3,10707,255,10708,595788,0,10711,320000,10712,0,10674,384000,10689,0,10691,0,10707,0,10682,80,10690,0,10706,0,10708,0,
10781,3,10780,255,10781,1073339,0,10781,320000,10782,0,10774,1512000,10778,0,10779,0,10780,0,10776,80,10778,0,10779,0,10780,0,
10881,3,10879,255,10880,751845,0,10881,320000,10882,0,10875,1512000,10878,0,10879,0,10880,0,10877,33,10878,0,10879,0,10880,0,
10981,3,10980,255,10981,902331,0,10982,320000,10982,0,10975,1512000,10977,0,10978,0,10980,0,10977,55,10977,0,10978,0,10981,0,
11079,3,11079,255,11079,731324,0,11080,320000,11081,0,11075,1512000,11077,0,11078,0,11079,0,11077,30,11078,0,11078,0,11079,0,
11183,3,11182,255,11183,654303,0,11184,320000,11185,0,11176,1134000,11179,0,11180,0,11182,0,11178,30,11179,0,11181,0,11183,0,
11295,3,11292,255,11295,562694,0,11298,320000,11300,0,11278,384000,11290,0,11291,0,11293,0,11284,42,11291,0,11292,0,11295,0,
11381,3,11380,255,11381,957054,0,11383,320000,11383,0,11377,1512000,11379,0,11380,0,11380,0,11379,63,11379,0,11380,0,11381,0,
11481,3,11481,255,11481,710803,0,11482,320000,11482,0,11477,1512000,11479,0,11480,0,11481,0,11479,27,11480,0,11480,0,11481,0,
11582,3,11581,255,11582,799727,0,11582,320000,11584,0,11578,1512000,11580,0,11581,0,11581,0,11580,40,11580,0,11581,0,11582,0,
11682,3,11681,255,11682,799727,0,11683,320000,11683,0,11678,1512000,11680,0,11681,0,11682,0,11680,40,11681,0,11681,0,11682,0,
11833,3,11818,255,11831,526116,0,11839,320000,11840,0,11780,594000,11797,0,11810,0,11824,0,11789,0,11802,0,11813,0,11827,0,
11883,3,11883,255,11883,1128061,0,11884,320000,11884,0,11879,1512000,11881,0,11882,0,11883,0,11881,88,11882,0,11882,0,11883,0,
11984,3,11983,255,11984,772366,0,11984,320000,11984,0,11980,1512000,11982,0,11982,0,11983,0,11981,36,11982,0,11983,0,11983,0,
12085,3,12084,255,12085,667122,0,12085,320000,12086,0,12080,1134000,12082,0,12083,0,12084,0,12082,33,12083,0,12083,0,12084,0,
12242,3,12235,255,12240,559210,0,12244,320000,12245,0,12182,384000,12215,0,12227,0,12240,0,12212,38,12222,0,12230,0,12240,0,
12286,3,12285,255,12286,1093859,0,12287,320000,12288,0,12282,1512000,12284,0,12284,0,12285,0,12283,83,12284,0,12285,0,12286,0,
12386,3,12385,255,12386,868130,0,12386,320000,12387,0,12382,1512000,12384,0,12385,0,12386,0,12384,50,12384,0,12385,0,12386,0,
12488,3,12487,255,12488,724041,0,12489,320000,12489,0,12482,1242000,12485,0,12485,0,12487,0,12484,40,12485,0,12486,0,12488,0,
12642,3,12629,255,12642,541792,0,12642,320000,12645,0,12584,384000,12610,0,12620,0,12634,0,12606,18,12618,0,12626,0,12640,0,
12688,3,12687,255,12688,1052818,0,12689,320000,12689,0,12684,1512000,12686,0,12687,0,12688,0,12686,77,12686,0,12687,0,12688,0,
12788,3,12787,255,12788,868130,0,12788,320000,12789,0,12784,1512000,12786,0,12787,0,12788,0,12786,50,12786,0,12787,0,12788,0,
12889,3,12888,255,12889,718397,0,12890,320000,12891,0,12885,1134000,12887,0,12888,0,12889,0,12886,45,12887,0,12888,0,12889,0,
13040,3,13026,255,13040,549630,0,13041,320000,13042,0,12987,384000,13008,0,13013,0,13029,0,12998,27,13010,0,13021,0,13034,0,
13090,3,13089,255,13090,1080179,0,13102,320000,13103,0,13086,1512000,13088,0,13089,0,13089,0,13088,81,13088,0,13089,0,13090,0,
13191,3,13191,255,13191,994842,0,13192,320000,13192,0,13186,1512000,13189,1026000,13190,0,13191,0,13188,60,13190,16,13190,0,13191,0,
13293,3,13291,255,13293,837793,0,13293,320000,13294,0,13287,1512000,13289,1026000,13291,0,13292,0,13289,12,13290,63,13291,0,13292,0,
13392,3,13392,255,13392,601359,0,13393,320000,13393,0,13387,1512000,13389,1026000,13391,0,13392,0,13389,11,13390,0,13391,0,13392,0,
