App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 04:28:10 AM","17 sec","Trepn_2018.10.22_042809.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
70,3,69,255,70,2078861,800900,71,320000,71,0,41,1512000,64,1512000,66,1512000,69,0,64,66,66,69,68,92,69,0,
150,3,147,255,149,2818729,1540768,150,320000,151,0,142,1512000,144,1512000,145,1512000,148,1026000,143,100,145,100,147,100,149,66,
250,3,247,255,249,2612403,1334442,250,320000,251,0,242,1512000,244,1512000,246,1512000,248,1512000,244,100,246,55,247,100,249,50,
350,3,348,255,350,2660285,1382324,351,320000,351,0,343,1512000,344,1512000,346,1512000,348,1512000,344,100,346,50,348,100,350,62,
450,3,448,255,450,2044659,766698,451,320000,452,0,443,1512000,445,1512000,447,1512000,449,1512000,444,80,446,12,448,100,450,30,
551,3,549,255,551,2311431,1033470,552,320000,552,0,544,1512000,546,1512000,548,1512000,550,1512000,546,70,547,54,549,100,551,37,
651,3,649,255,651,1928375,650414,652,320000,652,0,644,1512000,646,1512000,648,1512000,650,1512000,646,28,648,37,649,100,651,40,
780,3,755,255,780,2372993,1095032,780,320000,782,0,749,1512000,751,1512000,752,1512000,764,1512000,750,60,752,70,754,80,769,60,
856,3,854,255,856,2886015,1608054,857,400000,857,0,849,1512000,851,1512000,852,1512000,855,1512000,850,90,852,80,854,88,856,87,
956,3,954,255,956,2468757,1190796,957,400000,957,0,949,1512000,951,1512000,953,1512000,955,1512000,951,90,953,77,954,62,956,55,
1059,3,1057,255,1059,2359313,1081352,1059,400000,1060,0,1050,1512000,1052,1512000,1054,1512000,1057,1512000,1052,54,1053,54,1055,70,1059,90,
1169,3,1166,255,1168,2646605,1368644,1169,400000,1170,0,1156,1512000,1161,1512000,1163,1512000,1166,1512000,1159,72,1163,72,1165,100,1168,66,
1260,3,1258,255,1260,1996777,718816,1261,400000,1261,0,1253,1512000,1255,1512000,1257,1512000,1259,1512000,1255,44,1256,100,1258,46,1260,25,
1362,3,1360,255,1362,1201225,0,1363,400000,1363,0,1354,1026000,1356,1512000,1358,1026000,1360,1026000,1356,40,1358,63,1360,0,1362,27,
1460,3,1459,255,1460,768607,0,1461,400000,1461,0,1454,1026000,1456,1512000,1458,1026000,1460,0,1456,11,1457,20,1459,18,1460,0,
1560,3,1559,255,1560,817386,0,1560,320000,1561,29,1554,1026000,1557,1512000,1558,0,1559,0,1556,33,1558,25,1559,0,1560,0,
1660,3,1659,255,1660,1570481,292520,1660,320000,1661,29,1655,1026000,1657,1512000,1658,0,1659,0,1656,41,1658,27,1659,0,1660,0,
1766,3,1763,255,1765,1753872,475911,1775,200000,1776,29,1756,1026000,1759,1026000,1762,0,1764,0,1758,72,1761,70,1763,0,1765,0,
1872,3,1870,255,1871,1302059,24098,1872,128000,1873,29,1856,1026000,1860,1026000,1863,0,1871,0,1859,50,1862,70,1868,0,1871,0,
1966,3,1964,255,1966,826308,0,1967,128000,1970,29,1957,1026000,1960,1026000,1962,0,1965,0,1959,12,1962,22,1963,0,1965,0,
2064,3,2062,255,2064,1612159,334198,2065,128000,2066,29,2057,1512000,2059,1512000,2061,0,2062,0,2059,70,2060,63,2061,0,2063,0,
2173,3,2170,255,2173,763516,0,2175,128000,2178,29,2159,486000,2163,594000,2168,0,2171,0,2162,11,2166,30,2169,0,2172,0,
2280,3,2278,255,2279,1128790,0,2281,128000,2282,29,2259,1026000,2268,1026000,2277,0,2279,0,2261,62,2276,55,2278,0,2279,0,
2366,3,2365,255,2366,939283,0,2367,128000,2368,29,2359,1026000,2362,1026000,2364,0,2365,0,2361,28,2363,37,2364,0,2366,0,
2484,3,2481,255,2483,842335,0,2485,128000,2486,29,2469,702000,2476,384000,2480,0,2481,0,2474,46,2479,53,2480,0,2482,0,
2571,3,2570,255,2571,1074184,0,2572,128000,2573,19,2564,1026000,2566,918000,2569,0,2570,0,2566,60,2568,50,2569,0,2571,0,
2679,3,2677,255,2679,786024,0,2680,128000,2681,19,2668,1026000,2672,486000,2674,0,2677,0,2671,36,2673,11,2676,0,2678,0,
2774,3,2773,255,2774,1114151,0,2777,128000,2778,19,2765,1026000,2769,918000,2772,0,2773,0,2768,70,2771,71,2772,0,2774,0,
2874,3,2872,255,2874,2130602,852641,2875,128000,2876,19,2865,1512000,2868,1512000,2870,1026000,2872,1026000,2867,66,2869,100,2871,57,2874,40,
2974,3,2972,255,2974,1540381,262420,2974,128000,2975,19,2966,1512000,2968,1512000,2970,1026000,2972,1026000,2967,25,2969,100,2971,12,2973,0,
3074,3,3072,255,3074,1297604,19643,3075,128000,3076,19,3066,1512000,3069,1512000,3071,1026000,3073,1026000,3068,25,3070,40,3072,25,3074,33,
