App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 03:28:57 AM","17 sec","Trepn_2018.10.22_032856.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
80,3,78,255,80,1983097,755851,81,320000,81,0,42,1512000,73,1512000,75,1512000,78,1512000,72,69,75,33,77,100,80,11,
152,3,149,255,152,2831293,1604047,153,320000,155,0,142,1512000,144,1512000,147,1512000,150,1512000,144,87,146,50,149,100,151,100,
251,3,248,255,251,2892855,1665609,252,320000,253,0,242,1512000,244,1512000,246,1512000,249,1512000,244,77,246,69,248,100,250,100,
351,3,348,255,350,2338792,1111546,351,320000,352,0,343,1512000,345,1512000,347,1512000,349,1512000,344,60,346,45,348,100,350,60,
450,3,448,255,450,2297750,1070504,451,320000,451,0,443,1512000,445,1512000,447,1512000,449,1512000,445,54,446,50,448,100,450,55,
551,3,549,255,551,2646605,1419359,551,320000,552,0,543,1512000,545,1512000,547,1512000,549,1512000,545,72,547,63,548,100,550,75,
652,3,650,255,652,2516639,1289393,652,320000,653,0,644,1512000,646,1512000,648,1512000,650,1512000,646,55,648,81,649,100,652,55,
752,3,750,255,752,2099382,872136,752,320000,753,0,745,1512000,747,1512000,748,1512000,750,1512000,746,88,748,70,749,28,752,44,
857,3,853,255,856,2372993,1145747,857,320000,858,0,845,1512000,848,1512000,851,1512000,854,1512000,847,72,850,72,852,66,856,60,
954,3,951,255,953,2578202,1350956,954,400000,955,0,946,1512000,948,1512000,950,1512000,952,1512000,947,83,949,77,951,70,953,70,
1055,3,1053,255,1055,1839451,612205,1055,400000,1056,0,1046,1512000,1049,1512000,1051,1512000,1053,1512000,1049,30,1050,30,1052,60,1055,72,
1156,3,1153,255,1155,2461917,1234671,1156,400000,1157,0,1147,1512000,1149,1512000,1151,1512000,1153,1512000,1149,66,1151,81,1153,70,1155,66,
1254,3,1253,255,1254,2051500,824254,1255,400000,1255,0,1248,1512000,1250,1512000,1251,1512000,1253,1512000,1249,100,1251,53,1252,30,1254,40,
1360,3,1356,255,1359,2017298,790052,1360,400000,1361,0,1350,1512000,1352,1512000,1354,1512000,1357,1512000,1352,66,1353,14,1356,66,1359,72,
1459,3,1457,255,1459,2708167,1480921,1460,400000,1461,0,1451,1512000,1453,1512000,1455,1512000,1458,1512000,1452,80,1455,71,1457,88,1459,80,
1559,3,1557,255,1559,1483756,256510,1559,400000,1560,28,1551,1512000,1553,1512000,1555,1512000,1557,1512000,1553,22,1554,27,1557,41,1559,50,
1658,3,1656,255,1658,2067603,840357,1659,400000,1659,28,1652,1026000,1654,1026000,1655,1026000,1657,1512000,1653,36,1655,25,1656,22,1658,36,
1767,3,1765,255,1767,1638622,411376,1768,400000,1769,28,1753,594000,1757,384000,1761,594000,1766,0,1756,33,1760,22,1764,30,1767,0,
1874,3,1872,255,1874,1956194,728948,1874,400000,1875,28,1861,1026000,1869,1026000,1871,0,1873,0,1868,54,1871,66,1872,0,1873,0,
1964,3,1962,255,1964,3557277,2330031,1964,400000,1965,28,1954,1512000,1958,1512000,1960,1512000,1962,1512000,1958,100,1960,88,1962,50,1964,60,
2062,3,2060,255,2062,3482034,2254788,2063,400000,2063,28,2055,1512000,2057,1512000,2059,1512000,2061,1512000,2056,75,2058,72,2060,70,2062,70,
2165,3,2162,255,2164,1754466,527220,2165,320000,2166,28,2155,1512000,2158,1512000,2160,1026000,2163,1026000,2157,11,2159,0,2162,11,2164,33,
