Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.449,20.449,screen bright,18.4893068932
0,20.449,20.449,wifi running,0.27611630332
0,20.449,20.449,phone_scanning,10.7196038264
0.0,31.599916,31.599916,core 0 cpu_idle start,0.472592543738
31.599916,31.961732,0.36181599999,core 0 cpu_idle,0.00541113918784
31.961732,31.961793,6.10000279266e-05,core 0 cpu_frequency,5.46068284997e-05
31.961793,32.011751,0.0499579999887,core 0 cpu_idle,0.000747146868831
32.011751,32.011964,0.000212999992073,core 0 cpu_frequency,0.00015772881583
32.011964,32.061647,0.0496830000193,core 0 cpu_idle,0.000743034106788
32.061647,32.061677,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
32.061677,32.111665,0.0499879999843,core 0 cpu_idle,0.000747595533765
32.111665,32.111696,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
32.111696,32.163148,0.0514520000143,core 0 cpu_idle,0.000769490386213
32.163148,32.163209,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
32.163209,32.211641,0.0484319999814,core 0 cpu_idle,0.000724324775722
32.211641,32.211702,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
32.211702,32.261751,0.0500490000122,core 0 cpu_idle,0.000748507819683
32.261751,32.261842,9.0999994427e-05,core 0 cpu_frequency,4.22283472138e-05
32.261842,32.31186,0.050018000009,core 0 cpu_idle,0.000748044199135
32.31186,32.312013,0.000153000000864,core 0 cpu_frequency,8.70166543915e-05
32.312013,32.361879,0.0498659999867,core 0 cpu_idle,0.0007457709628
32.361879,32.36197,9.0999994427e-05,core 0 cpu_frequency,6.73864877731e-05
32.36197,32.411653,0.0496830000193,core 0 cpu_idle,0.000743034106788
32.411653,32.411714,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
32.411714,32.461702,0.0499879999843,core 0 cpu_idle,0.000747595533765
32.461702,32.463014,0.0013120000076,core 0 cpu_frequency,0.000519131900608
32.463014,32.517701,0.0546869999962,core 0 cpu_idle,0.000817871428443
32.517701,32.517732,3.10000032187e-05,core 0 cpu_frequency,1.76308271306e-05
32.517732,32.561799,0.0440670000098,core 0 cpu_idle,0.000659044018647
32.561799,32.561952,0.000153000000864,core 0 cpu_frequency,0.00011329816834
32.561952,32.611635,0.0496829999902,core 0 cpu_idle,0.000743034106353
32.611635,32.611696,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
32.611696,32.661897,0.0502010000055,core 0 cpu_idle,0.000750781055582
32.661897,32.661958,6.09999988228e-05,core 0 cpu_frequency,2.83069152537e-05
32.661958,32.723665,0.0617069999862,core 0 cpu_idle,0.000922859038294
32.723665,32.877534,0.153869000002,core 0 cpu_frequency,0.157598492211
32.877534,32.965761,0.0882270000002,core 0 cpu_idle,0.0013194788985
32.965761,32.965852,9.10000235308e-05,core 0 cpu_frequency,3.60068711107e-05
32.965852,33.014924,0.0490719999943,core 0 cpu_idle,0.000733896295915
33.014924,33.015016,9.20000020415e-05,core 0 cpu_frequency,9.42299072909e-05
33.015016,33.164705,0.149688999983,core 0 cpu_idle,0.00223867383925
33.164705,33.164766,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
33.164766,33.312013,0.147247000015,core 0 cpu_idle,0.00220215250873
33.312013,33.312532,0.000518999993801,core 0 cpu_frequency,0.00038432515251
33.312532,33.361726,0.049193999992,core 0 cpu_idle,0.00073572086688
33.361726,33.361848,0.000121999997646,core 0 cpu_frequency,4.82729346684e-05
33.361848,33.411866,0.050018000009,core 0 cpu_idle,0.000748044199135
33.411866,33.411958,9.20000020415e-05,core 0 cpu_frequency,5.23237407611e-05
33.411958,33.561799,0.149841000006,core 0 cpu_idle,0.00224094707559
33.561799,33.56186,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
33.56186,33.611757,0.0498969999899,core 0 cpu_idle,0.000746234583348
33.611757,33.611818,6.09999988228e-05,core 0 cpu_frequency,3.16432735893e-05
33.611818,33.661836,0.050018000009,core 0 cpu_idle,0.000748044199135
33.661836,33.662416,0.000579999992624,core 0 cpu_frequency,0.000229494281081
33.662416,33.717775,0.0553589999909,core 0 cpu_idle,0.000827921524363
33.717775,33.717805,3.0000024708e-05,core 0 cpu_frequency,3.07271683069e-05
33.717805,34.361818,0.644012999983,core 0 cpu_idle,0.00963153642124
34.361818,34.361879,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
34.361879,34.411653,0.0497740000137,core 0 cpu_idle,0.000744395057205
34.411653,34.411683,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
34.411683,34.461793,0.050110000011,core 0 cpu_idle,0.000749420105165
34.461793,34.461885,9.19999729376e-05,core 0 cpu_frequency,6.812698276e-05
34.461885,34.511628,0.0497430000105,core 0 cpu_idle,0.000743931436657
34.511628,34.511659,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
34.511659,34.561677,0.050018000009,core 0 cpu_idle,0.000748044199135
34.561677,34.561708,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
34.561708,34.911714,0.350005999993,core 0 cpu_idle,0.0052345147329
34.911714,34.911775,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
34.911775,34.962098,0.0503230000031,core 0 cpu_idle,0.000752605626547
34.962098,34.962221,0.00012300000526,core 0 cpu_frequency,4.86686174813e-05
34.962221,35.011873,0.049651999987,core 0 cpu_idle,0.000742570485805
35.011873,35.013002,0.00112900001113,core 0 cpu_frequency,0.000642103289032
35.013002,35.164003,0.151000999991,core 0 cpu_idle,0.00225829545537
35.164003,35.164033,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
35.164033,35.211824,0.04779099999,core 0 cpu_idle,0.00071473830035
35.211824,35.211946,0.000121999997646,core 0 cpu_frequency,6.19311516048e-05
35.211946,35.262178,0.0502320000087,core 0 cpu_idle,0.00075124467613
35.262178,35.26233,0.00015199999325,core 0 cpu_frequency,8.64479137609e-05
35.26233,35.411805,0.149475000013,core 0 cpu_idle,0.00223547336269
35.411805,35.411866,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
35.411866,35.461732,0.0498659999867,core 0 cpu_idle,0.0007457709628
