App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 03:43:46 AM","17 sec","Trepn_2018.10.22_034345.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
57,3,55,255,57,1926972,684506,58,320000,58,0,12,1512000,45,1512000,48,1026000,56,0,43,100,47,100,49,9,56,0,
121,3,120,255,121,2578202,1335736,121,320000,136,0,113,1512000,115,1512000,118,1512000,120,0,115,100,118,100,119,100,121,0,
221,3,218,255,220,2482438,1239972,221,320000,222,0,213,1512000,215,1512000,217,1512000,219,1512000,215,81,216,100,218,100,220,5,
321,3,319,255,321,2407195,1164729,321,320000,322,0,314,1512000,315,1512000,317,1512000,319,1512000,315,50,317,100,319,45,321,80,
421,3,419,255,421,2147264,904798,422,320000,422,0,414,1512000,416,1512000,418,1512000,420,1512000,416,54,417,100,419,50,421,33,
525,3,523,255,524,2441396,1198930,525,320000,525,0,517,1512000,519,1512000,521,1512000,523,1512000,519,76,521,100,522,50,524,54,
625,3,623,255,625,1866812,624346,625,320000,626,0,617,1512000,620,1512000,621,1512000,623,1512000,619,33,621,100,623,38,624,25,
725,3,723,255,725,2379834,1137368,726,320000,726,0,718,1512000,720,1512000,722,1512000,724,1512000,720,42,721,72,723,80,725,77,
829,3,827,255,829,2277229,1034763,829,320000,830,0,818,1512000,822,1512000,824,1512000,827,1512000,821,66,824,55,826,66,829,69,
930,3,926,255,929,2762890,1520424,930,400000,931,0,919,1512000,921,1512000,923,1512000,926,1512000,920,90,923,72,925,88,929,77,
1026,3,1024,255,1026,2147264,904798,1027,400000,1027,0,1019,1512000,1021,1512000,1023,1512000,1025,1512000,1021,75,1022,54,1024,45,1026,63,
1128,3,1126,255,1128,1606881,364415,1128,400000,1129,0,1120,1512000,1122,1512000,1124,1512000,1126,1512000,1121,28,1123,58,1125,22,1128,50,
1227,3,1225,255,1227,895491,0,1228,400000,1229,0,1220,1512000,1222,1512000,1224,1512000,1226,1512000,1222,11,1223,22,1225,11,1227,10,
1334,3,1332,255,1334,810375,0,1337,400000,1339,0,1321,1026000,1325,1026000,1328,1026000,1333,0,1324,27,1327,33,1329,18,1334,0,
1432,3,1430,255,1432,850463,0,1432,400000,1433,0,1422,1026000,1425,1026000,1428,1026000,1431,0,1424,12,1427,44,1430,33,1431,0,
1534,3,1532,255,1533,865040,0,1535,320000,1536,25,1523,1026000,1526,1026000,1529,1026000,1533,0,1525,44,1528,27,1531,22,1533,0,
1643,3,1640,255,1642,1238454,0,1644,200000,1646,25,1624,384000,1631,1026000,1635,1026000,1641,0,1629,27,1634,11,1639,10,1642,0,
1740,3,1738,255,1739,1095000,0,1740,200000,1741,25,1724,1026000,1732,1026000,1737,0,1739,0,1731,40,1736,36,1738,0,1739,0,
1838,3,1836,255,1838,1688760,446294,1838,128000,1840,25,1826,1026000,1832,1512000,1835,0,1837,0,1832,70,1835,90,1836,0,1838,0,
1934,3,1933,255,1933,1013260,0,1934,128000,1934,25,1924,1512000,1930,1512000,1932,0,1933,0,1926,22,1931,27,1932,0,1933,0,
2030,3,2029,255,2030,1054301,0,2030,128000,2031,25,2025,1512000,2027,1512000,2028,0,2029,0,2026,22,2028,33,2028,0,2029,0,
2144,3,2142,255,2144,774487,0,2145,128000,2146,25,2132,1026000,2137,384000,2140,0,2143,0,2136,20,2140,27,2142,0,2144,0,
2236,3,2235,255,2236,1028738,0,2237,128000,2238,25,2227,1026000,2230,918000,2232,0,2235,0,2229,50,2232,55,2234,0,2236,0,
2337,3,2335,255,2337,976922,0,2338,128000,2339,25,2328,1026000,2331,1026000,2334,0,2336,0,2330,22,2333,60,2335,0,2337,0,
2444,3,2441,255,2443,740465,0,2445,128000,2448,25,2428,486000,2433,384000,2436,0,2442,0,2432,28,2435,33,2439,0,2443,0,
2540,3,2539,255,2540,972081,0,2541,128000,2542,17,2529,918000,2533,918000,2538,0,2539,0,2532,54,2537,42,2538,0,2540,0,
2650,3,2649,255,2650,690606,0,2651,128000,2652,17,2630,1026000,2633,384000,2648,0,2649,0,2632,12,2647,20,2648,0,2650,0,
2740,3,2738,255,2740,1085000,0,2741,128000,2742,17,2730,1026000,2733,1026000,2735,0,2739,0,2732,63,2735,62,2737,0,2740,0,
2840,3,2837,255,2839,717444,0,2840,128000,2841,17,2831,594000,2833,1026000,2836,0,2838,0,2833,30,2835,11,2836,0,2839,0,
2973,3,2970,255,2973,1167745,0,2974,128000,2974,17,2932,918000,2939,1026000,2957,0,2972,0,2935,77,2951,83,2970,0,2973,0,
3045,3,3038,255,3045,1751263,508797,3046,128000,3047,17,3032,1512000,3035,1512000,3036,1512000,3039,0,3034,63,3036,60,3038,41,3045,0,
3139,3,3137,255,3138,1970152,727686,3139,128000,3141,17,3133,1512000,3135,1512000,3136,1512000,3138,0,3134,70,3136,60,3137,66,3138,0,
3239,3,3238,255,3239,1306644,64178,3239,128000,3240,17,3233,1512000,3235,1512000,3236,1512000,3238,0,3235,30,3236,36,3237,33,3238,0,
3344,3,3342,255,3344,895493,0,3345,128000,3346,17,3334,1026000,3337,1026000,3339,1026000,3343,0,3336,33,3339,30,3342,10,3344,0,
3442,3,3441,255,3442,888204,0,3442,128000,3443,17,3434,1026000,3437,1026000,3439,0,3441,0,3437,30,3439,41,3440,0,3441,0,
3558,3,3554,255,3557,720030,0,3560,128000,3570,18,3536,384000,3542,384000,3550,0,3555,0,3541,60,3548,44,3552,0,3557,0,
3643,3,3642,255,3643,1032768,0,3644,128000,3645,18,3636,1026000,3639,1026000,3641,0,3642,0,3638,55,3640,54,3641,0,3643,0,
3765,3,3756,255,3765,696497,0,3767,128000,3768,18,3738,384000,3745,384000,3752,0,3758,0,3742,20,3750,50,3754,0,3765,0,
3847,3,3845,255,3847,1058278,0,3852,128000,3853,18,3838,1026000,3840,1026000,3843,0,3846,0,3840,66,3842,50,3844,0,3846,0,
3947,3,3946,255,3947,941659,0,3948,128000,3948,18,3938,1026000,3942,1026000,3944,0,3946,0,3941,44,3944,40,3945,0,3947,0,
4047,3,4046,255,4047,938015,0,4048,128000,4049,18,4039,1026000,4041,1026000,4044,0,4046,0,4041,33,4043,50,4045,0,4047,0,
4148,3,4146,255,4148,999969,0,4149,128000,4150,18,4140,1026000,4143,1026000,4145,0,4147,0,4142,50,4145,50,4146,0,4148,0,
4251,3,4249,255,4251,956236,0,4252,128000,4255,18,4240,1026000,4244,1026000,4247,0,4250,0,4243,44,4245,44,4248,0,4250,0,
4353,3,4351,255,4353,930726,0,4353,128000,4354,18,4345,1026000,4348,1026000,4350,0,4352,0,4347,37,4350,44,4351,0,4352,0,
4457,3,4454,255,4457,978103,0,4458,128000,4459,18,4446,1026000,4449,1026000,4452,0,4455,0,4448,54,4452,40,4454,0,4456,0,
4561,3,4553,255,4561,978103,0,4563,128000,4564,19,4546,1026000,4550,1026000,4552,0,4559,0,4549,50,4552,44,4553,0,4560,0,
4662,3,4661,255,4662,780777,0,4663,128000,4664,19,4648,486000,4654,1026000,4659,0,4661,0,4652,40,4658,25,4660,0,4661,0,
4759,3,4756,255,4758,1100801,0,4759,128000,4761,19,4748,1026000,4751,1026000,4753,0,4757,0,4750,66,4752,60,4754,0,4758,0,
4861,3,4857,255,4861,809253,0,4862,128000,4863,19,4849,1026000,4853,1026000,4855,0,4858,0,4852,36,4855,10,4857,0,4858,0,
4963,3,4962,255,4963,1075290,0,4964,128000,4965,19,4949,1026000,4953,1026000,4958,0,4962,0,4952,62,4956,57,4961,0,4963,0,
5059,3,5057,255,5058,940449,0,5059,128000,5060,19,5050,1026000,5053,1026000,5056,0,5057,0,5053,54,5055,28,5056,0,5058,0,
5167,3,5166,255,5167,842052,0,5168,128000,5170,19,5151,1026000,5162,1026000,5165,0,5166,0,5153,22,5164,33,5165,0,5167,0,
5259,3,5257,255,5259,878495,0,5259,128000,5261,19,5251,1026000,5254,1026000,5256,0,5258,0,5253,28,5256,37,5257,0,5258,0,
5384,3,5380,255,5383,771363,0,5385,128000,5387,19,5367,1026000,5372,384000,5376,0,5382,0,5371,27,5375,36,5378,0,5383,0,
5457,3,5456,255,5457,1152669,0,5458,128000,5458,19,5452,1512000,5454,1026000,5456,0,5457,0,5454,55,5455,37,5456,0,5457,0,
5570,3,5569,255,5570,965740,0,5570,128000,5571,16,5554,1512000,5563,1026000,5568,0,5569,0,5560,33,5568,27,5568,0,5570,0,
5661,3,5660,255,5661,994880,0,5662,128000,5663,16,5654,1512000,5655,1026000,5659,0,5660,0,5655,33,5658,40,5659,0,5661,0,
5815,3,5810,255,5814,702629,0,5824,128000,5834,16,5755,384000,5782,384000,5802,0,5811,0,5780,38,5793,53,5806,0,5813,0,
5866,3,5864,255,5866,2099311,856845,5866,128000,5867,16,5859,918000,5861,1512000,5862,1512000,5864,1512000,5860,100,5862,80,5864,41,5866,50,
5966,3,5964,255,5966,889194,0,5966,128000,5967,16,5959,1026000,5961,1512000,5963,1512000,5964,1512000,5961,11,5962,11,5964,11,5965,11,
6072,3,6068,255,6072,1075276,0,6073,128000,6074,16,6060,1026000,6063,1026000,6066,1026000,6069,1026000,6062,25,6065,33,6068,33,6071,33,
6173,3,6169,255,6173,1454289,211823,6174,128000,6175,16,6161,1026000,6164,1026000,6167,1026000,6170,1026000,6163,37,6166,77,6169,44,6172,70,
6272,3,6269,255,6272,831356,0,6273,128000,6274,16,6261,1026000,6264,702000,6266,1026000,6270,1026000,6263,36,6266,18,6268,11,6272,0,
6391,3,6382,255,6388,641666,0,6393,128000,6395,16,6363,384000,6369,384000,6374,384000,6384,0,6368,11,6373,0,6378,10,6386,0,
6474,3,6473,255,6474,1023028,0,6476,128000,6477,16,6463,918000,6467,1026000,6470,0,6473,0,6466,71,6469,50,6472,0,6474,0,
6574,3,6570,255,6574,987812,0,6575,128000,6576,16,6563,1026000,6566,1026000,6569,0,6570,0,6566,50,6568,50,6569,0,6573,0,
6676,3,6673,255,6676,970966,0,6678,128000,6679,16,6664,918000,6668,1026000,6671,0,6674,0,6667,54,6670,50,6672,0,6676,0,
