Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.228,20.228,screen bright,18.2894860304
0,20.228,20.228,wifi running,0.27313221104
0,20.228,20.228,phone_scanning,10.6037530539
0.0,31.500984,31.500984,core 0 cpu_idle start,0.471112966212
31.500984,32.109413,0.608429000014,core 0 cpu_idle,0.00909935990972
32.109413,32.109474,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
32.109474,32.207894,0.0984199999948,core 0 cpu_idle,0.00147192030992
32.207894,32.207955,6.09999988228e-05,core 0 cpu_frequency,3.09655758024e-05
32.207955,32.257851,0.0498960000114,core 0 cpu_idle,0.00074621962817
32.257851,32.257942,9.0999994427e-05,core 0 cpu_frequency,3.60068595949e-05
32.257942,32.310311,0.0523690000118,core 0 cpu_idle,0.000783204579677
32.310311,32.310372,6.09999988228e-05,core 0 cpu_frequency,3.46929136305e-05
32.310372,32.407967,0.0975949999993,core 0 cpu_idle,0.00145958202249
32.407967,32.407997,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
32.407997,32.457802,0.0498049999878,core 0 cpu_idle,0.000744858677318
32.457802,32.510933,0.0531309999933,core 0 cpu_frequency,0.0393440846229
32.510933,32.520455,0.00952200000756,core 0 cpu_frequency,0.00975279519595
32.520455,32.707985,0.187529999996,core 0 cpu_idle,0.00280460491493
32.707985,32.708016,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
32.708016,32.857765,0.149749000004,core 0 cpu_idle,0.00223957116956
32.857765,32.857796,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
32.857796,32.957955,0.100158999994,core 0 cpu_idle,0.00149792792441
32.957955,32.962014,0.00405899999896,core 0 cpu_frequency,0.00415738244684
32.962014,33.107888,0.145874000009,core 0 cpu_idle,0.00218161860713
33.107888,33.107918,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
33.107918,33.207772,0.0998540000001,core 0 cpu_idle,0.001493366497
33.207772,33.207833,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
33.207833,33.25782,0.0499870000058,core 0 cpu_idle,0.000747580578587
33.25782,33.257881,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
33.257881,33.307869,0.0499879999843,core 0 cpu_idle,0.000747595533765
33.307869,33.3079,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
33.3079,33.357765,0.0498650000081,core 0 cpu_idle,0.000745756007622
33.357765,33.357796,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
33.357796,33.408058,0.0502620000043,core 0 cpu_idle,0.000751693341064
33.408058,33.408119,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
33.408119,33.457863,0.049743999989,core 0 cpu_idle,0.000743946391836
33.457863,33.457894,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
33.457894,33.507881,0.0499870000058,core 0 cpu_idle,0.000747580578587
33.507881,33.507912,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
33.507912,33.557747,0.0498349999834,core 0 cpu_idle,0.000745307342252
33.557747,33.557808,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
33.557808,33.659432,0.101624000003,core 0 cpu_idle,0.00151983773204
33.659432,33.662728,0.00329600000987,core 0 cpu_frequency,0.00337588878771
33.662728,33.707863,0.045134999993,core 0 cpu_idle,0.000675016492396
33.707863,33.707894,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
33.707894,33.75779,0.0498960000114,core 0 cpu_idle,0.00074621962817
33.75779,33.75782,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
33.75782,33.857949,0.100128999999,core 0 cpu_idle,0.00149747925948
33.857949,33.858834,0.000884999986738,core 0 cpu_frequency,0.000906450704917
33.858834,33.907906,0.0490720000234,core 0 cpu_idle,0.000733896296351
33.907906,33.907936,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
33.907936,33.957833,0.0498969999899,core 0 cpu_idle,0.000746234583348
33.957833,33.957863,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
33.957863,34.057961,0.100097999995,core 0 cpu_idle,0.00149701563893
34.057961,34.058022,6.09999988228e-05,core 0 cpu_frequency,6.24785228943e-05
34.058022,34.107857,0.0498350000125,core 0 cpu_idle,0.000745307342687
34.107857,34.107888,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
34.107888,34.157784,0.0498960000114,core 0 cpu_idle,0.00074621962817
34.157784,34.157814,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
34.157814,34.207985,0.0501709999808,core 0 cpu_idle,0.000750332390212
34.207985,34.209511,0.00152600000729,core 0 cpu_frequency,0.00156298734807
34.209511,34.307869,0.0983579999884,core 0 cpu_idle,0.00147099306883
34.307869,34.3079,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
34.3079,34.357765,0.0498650000081,core 0 cpu_idle,0.000745756007622
34.357765,34.358223,0.000457999994978,core 0 cpu_frequency,0.000339153988481
34.358223,34.407784,0.0495610000216,core 0 cpu_idle,0.000741209535824
34.407784,34.407814,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
34.407814,34.457833,0.0500189999875,core 0 cpu_idle,0.000748059154313
34.457833,34.457863,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
34.457863,34.558022,0.100158999994,core 0 cpu_idle,0.00149792792441
34.558022,34.559639,0.00161700000172,core 0 cpu_frequency,0.00165619300946
34.559639,34.707863,0.148224000004,core 0 cpu_idle,0.00221676403206
34.707863,34.746987,0.0391240000026,core 0 cpu_frequency,0.0289717484535
34.746987,34.758034,0.0110470000072,core 0 cpu_idle,0.000165213408608
34.758034,34.758095,6.09999988228e-05,core 0 cpu_frequency,6.24785228943e-05
34.758095,34.907875,0.149780000007,core 0 cpu_idle,0.0022400347901
34.907875,34.907967,9.20000020415e-05,core 0 cpu_frequency,6.81270043117e-05
34.907967,35.00779,0.0998229999968,core 0 cpu_idle,0.00149290287645
