App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 04:19:06 AM","17 sec","Trepn_2018.10.22_041905.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
53,3,49,255,52,1915363,707902,55,320000,57,0,8,1512000,38,1512000,42,1026000,50,0,37,69,41,100,47,64,51,0,
119,3,114,255,118,2475598,1268137,119,320000,123,0,108,1512000,110,1512000,112,1512000,114,0,110,100,111,85,113,100,118,0,
219,3,215,255,218,2270389,1062928,219,320000,220,0,208,1512000,211,1512000,213,1512000,216,1512000,210,75,212,55,214,100,218,25,
322,3,318,255,321,2694487,1487026,322,320000,323,0,309,1512000,312,1512000,315,1512000,319,1512000,311,57,314,60,317,100,321,100,
417,3,415,255,417,2195146,987685,418,320000,419,0,409,1512000,411,1512000,413,1512000,415,1512000,411,60,413,44,414,100,417,40,
518,3,515,255,518,2222507,1015046,519,320000,519,0,510,1512000,512,1512000,514,1512000,516,1512000,511,60,513,55,515,100,518,33,
618,3,616,255,618,2325111,1117650,618,320000,619,0,610,1512000,612,1512000,614,1512000,616,1512000,612,58,613,55,615,100,617,50,
723,3,721,255,723,1593086,385625,724,320000,727,0,711,1512000,713,1512000,718,1512000,721,1026000,712,20,717,20,720,100,723,30,
825,3,822,255,824,2831293,1623832,825,320000,826,0,811,1512000,814,1512000,819,1512000,823,1512000,813,100,815,77,821,77,824,83,
923,3,920,255,923,2565220,1357759,924,400000,925,0,912,1512000,914,1134000,916,1512000,920,1512000,913,90,915,69,919,85,922,80,
1021,3,1017,255,1020,2564521,1357060,1021,400000,1022,0,1012,1512000,1014,1512000,1016,1512000,1017,1512000,1014,100,1015,66,1017,66,1020,66,
1121,3,1118,255,1121,1543411,335950,1122,400000,1123,0,1113,1512000,1115,1026000,1116,1512000,1119,1512000,1114,54,1116,22,1118,33,1121,50,
1223,3,1221,255,1223,939052,0,1223,400000,1224,0,1213,1512000,1216,1026000,1218,1026000,1222,0,1215,30,1218,30,1220,27,1222,0,
1327,3,1325,255,1326,782996,0,1328,400000,1329,0,1314,1026000,1317,1026000,1321,918000,1325,0,1316,11,1320,41,1324,22,1326,0,
1427,3,1422,255,1426,876033,0,1428,400000,1429,0,1414,918000,1418,1026000,1421,0,1422,0,1417,50,1420,54,1421,0,1426,0,
1528,3,1526,255,1528,628226,0,1528,400000,1530,0,1516,384000,1520,702000,1524,0,1526,0,1519,40,1523,33,1525,0,1527,0,
1629,3,1626,255,1629,817048,0,1630,400000,1630,27,1617,918000,1620,918000,1623,0,1628,0,1619,50,1622,45,1625,0,1629,0,
1728,3,1727,255,1728,1683856,476395,1729,320000,1730,27,1718,1026000,1721,1026000,1725,0,1727,0,1721,30,1724,25,1726,0,1728,0,
1827,3,1826,255,1827,2192914,985453,1827,320000,1828,27,1818,1512000,1822,1512000,1824,594000,1826,0,1822,66,1823,81,1826,0,1827,0,
1924,3,1923,255,1924,1759620,552159,1924,200000,1925,27,1918,1512000,1920,1512000,1921,1026000,1923,0,1920,33,1921,40,1923,20,1923,0,
2025,3,2024,255,2025,1146221,0,2025,128000,2026,27,2019,1026000,2021,1512000,2022,1026000,2024,0,2020,36,2022,11,2023,27,2025,0,
2183,3,2168,255,2178,1089557,0,2187,128000,2188,27,2120,1026000,2130,1512000,2133,0,2171,0,2130,42,2132,36,2157,0,2178,0,
2228,3,2226,255,2227,1976218,768757,2229,128000,2229,27,2221,1512000,2223,1512000,2225,1026000,2227,0,2223,88,2225,100,2226,0,2227,0,
2353,3,2351,255,2353,2061660,854199,2354,128000,2355,27,2321,1512000,2324,1512000,2326,1026000,2352,0,2323,60,2326,100,2351,76,2353,0,
2438,3,2436,255,2438,1978794,771333,2439,128000,2439,27,2422,1512000,2424,1512000,2425,1026000,2437,0,2423,66,2425,100,2436,42,2438,0,
2528,3,2527,255,2528,1412452,204991,2528,128000,2529,27,2522,1512000,2524,1512000,2525,1026000,2527,0,2524,58,2525,30,2526,33,2527,0,
2633,3,2631,255,2632,806863,0,2633,128000,2634,21,2623,1026000,2626,1026000,2629,1026000,2632,0,2626,11,2628,10,2630,11,2632,0,
2735,3,2733,255,2734,800478,0,2735,320000,2736,0,2724,1026000,2728,810000,2732,0,2734,0,2728,25,2730,22,2733,0,2734,0,
2875,3,2862,255,2874,558553,0,2875,320000,2878,0,2830,486000,2848,0,2858,0,2872,0,2842,27,2851,0,2860,0,2874,0,
2930,3,2929,255,2930,1011776,0,2931,320000,2931,0,2926,1512000,2928,0,2929,0,2930,0,2928,71,2929,0,2929,0,2930,0,
3030,3,3030,255,3030,601359,0,3031,320000,3031,0,3026,1512000,3028,0,3029,0,3030,0,3028,11,3029,0,3029,0,3030,0,
3131,3,3130,255,3131,868130,0,3131,320000,3132,0,3127,1512000,3129,0,3130,0,3130,0,3129,50,3129,0,3130,0,3131,0,
3233,3,3232,255,3233,649241,0,3234,320000,3234,0,3228,1512000,3230,0,3231,0,3232,0,3230,18,3231,0,3231,0,3233,0,
3332,3,3331,255,3332,943373,0,3332,320000,3333,0,3328,1512000,3330,0,3330,0,3331,0,3329,61,3330,0,3331,0,3332,0,
3456,3,3453,255,3456,587079,0,3458,320000,3460,0,3440,384000,3445,0,3447,0,3454,0,3444,70,3446,0,3453,0,3456,0,
3547,3,3545,255,3547,1579520,372059,3548,320000,3548,0,3540,1512000,3542,1512000,3544,1512000,3546,1512000,3542,60,3544,60,3545,23,3547,11,
3649,3,3646,255,3648,703963,0,3649,320000,3650,0,3641,1512000,3643,1512000,3645,1512000,3647,1512000,3642,16,3644,0,3646,10,3648,0,
3753,3,3750,255,3752,697400,0,3753,320000,3754,0,3742,1026000,3745,1026000,3748,1026000,3750,1026000,3744,20,3747,0,3749,18,3752,9,
3860,3,3857,255,3860,666799,0,3861,320000,3864,0,3843,1026000,3848,384000,3853,0,3859,0,3846,30,3852,36,3855,0,3860,0,
3952,3,3951,255,3952,781220,0,3953,320000,3954,0,3943,1026000,3947,1026000,3950,0,3951,0,3946,45,3949,25,3950,0,3952,0,
4071,3,4066,255,4071,571403,0,4072,320000,4073,0,4045,384000,4054,384000,4062,0,4070,0,4051,30,4060,22,4064,0,4071,0,
4154,3,4152,255,4154,839530,0,4154,320000,4155,0,4145,1026000,4148,1026000,4151,0,4153,0,4148,44,4150,42,4152,0,4153,0,
4255,3,4254,255,4255,675534,0,4256,320000,4257,0,4246,1026000,4249,1026000,4252,0,4254,0,4248,11,4252,30,4253,0,4255,0,
4355,3,4354,255,4355,854107,0,4356,320000,4357,0,4346,1026000,4350,1026000,4353,0,4354,0,4349,45,4352,45,4353,0,4355,0,
4465,3,4461,255,4464,585363,0,4467,320000,4471,0,4448,1026000,4453,384000,4458,0,4463,0,4452,11,4456,22,4459,0,4464,0,
4554,3,4553,255,4553,937764,0,4554,320000,4555,0,4547,1026000,4550,1512000,4552,0,4553,0,4549,36,4551,41,4552,0,4553,0,
4658,3,4656,255,4657,640739,0,4659,320000,4660,0,4649,1026000,4652,384000,4655,0,4656,0,4651,25,4654,27,4655,0,4657,0,
4757,3,4756,255,4757,761006,0,4758,320000,4758,0,4749,1026000,4752,918000,4755,0,4756,0,4751,30,4754,41,4755,0,4757,0,
4871,3,4869,255,4871,546146,0,4872,320000,4873,0,4850,384000,4856,384000,4863,0,4869,0,4855,12,4862,11,4867,0,4870,0,
4960,3,4958,255,4959,824001,0,4960,320000,4961,0,4950,918000,4954,1026000,4956,0,4959,0,4953,58,4956,33,4957,0,4959,0,
5061,3,5059,255,5060,562559,0,5061,320000,5062,0,5051,1026000,5054,1026000,5057,0,5059,0,5053,10,5056,0,5058,0,5060,0,
5163,3,5161,255,5162,792060,0,5163,320000,5164,0,5151,918000,5155,1026000,5160,0,5162,0,5154,44,5159,36,5160,0,5162,0,
5264,3,5263,255,5264,1000786,0,5265,320000,5266,0,5258,1512000,5261,1026000,5263,0,5264,0,5260,63,5262,12,5263,0,5264,0,
5365,3,5364,255,5365,731324,0,5366,320000,5366,0,5359,1512000,5361,1026000,5363,0,5364,0,5361,30,5363,0,5364,0,5365,0,
5468,3,5466,255,5468,642986,0,5469,320000,5470,0,5460,702000,5463,1026000,5465,0,5467,0,5462,18,5465,22,5466,0,5468,0,
5583,3,5578,255,5582,547888,0,5585,320000,5587,0,5562,384000,5568,384000,5575,0,5579,0,5566,0,5572,25,5576,0,5581,0,
5670,3,5669,255,5670,839589,0,5671,320000,5672,0,5661,1026000,5665,918000,5667,0,5669,0,5664,44,5666,50,5668,0,5670,0,
5770,3,5769,255,5770,766643,0,5771,320000,5772,0,5762,1026000,5765,1026000,5768,0,5769,0,5765,33,5767,33,5768,0,5770,0,
5871,3,5870,255,5871,664601,0,5872,320000,5873,0,5863,1026000,5866,1026000,5868,0,5870,0,5865,27,5868,11,5869,0,5871,0,
5970,3,5969,255,5970,1056796,0,5971,320000,5971,0,5964,1026000,5966,1512000,5968,0,5969,0,5966,33,5968,60,5969,0,5970,0,
6074,3,6073,255,6074,853384,0,6074,320000,6075,0,6065,1026000,6068,486000,6072,0,6073,0,6067,72,6072,54,6073,0,6074,0,
6170,3,6169,255,6170,1497436,289975,6170,320000,6171,0,6165,1512000,6167,1512000,6168,0,6169,0,6167,80,6168,62,6169,0,6170,0,
6274,3,6272,255,6274,690111,0,6274,320000,6276,0,6266,1026000,6269,1026000,6271,0,6273,0,6268,27,6271,18,6272,0,6273,0,
6386,3,6383,255,6385,541792,0,6387,320000,6388,0,6367,384000,6374,1026000,6380,0,6383,0,6372,18,6378,0,6382,0,6385,0,
6475,3,6474,255,6475,840324,0,6476,320000,6477,0,6467,918000,6471,1026000,6473,0,6475,0,6470,55,6472,40,6474,0,6475,0,
6580,3,6577,255,6579,609132,0,6581,320000,6583,0,6568,384000,6572,1026000,6576,0,6578,0,6571,20,6575,18,6577,0,6579,0,
6677,3,6675,255,6676,798767,0,6677,320000,6678,0,6669,918000,6672,1026000,6674,0,6676,0,6671,45,6674,37,6675,0,6676,0,
6779,3,6777,255,6779,562559,0,6780,320000,6782,0,6770,1026000,6773,1026000,6776,0,6778,0,6773,0,6775,10,6776,0,6779,0,
6875,3,6874,255,6875,1116451,0,6875,320000,6876,0,6870,1026000,6872,1512000,6873,0,6874,0,6871,55,6873,57,6874,0,6874,0,
6975,3,6974,255,6975,558915,0,6976,320000,6976,0,6970,1026000,6972,1512000,6974,0,6975,0,6972,9,6973,0,6974,0,6975,0,
7079,3,7078,255,7079,730199,0,7080,320000,7081,0,7071,1026000,7074,1026000,7076,0,7078,0,7073,36,7076,20,7077,0,7079,0,
7193,3,7186,255,7192,561823,0,7194,320000,7196,0,7172,384000,7178,384000,7184,0,7190,0,7177,11,7182,30,7185,0,7192,0,
7281,3,7280,255,7281,856800,0,7282,320000,7282,0,7273,918000,7276,1026000,7278,0,7280,0,7275,58,7278,42,7279,0,7281,0,
7392,3,7388,255,7391,541792,0,7393,320000,7395,0,7375,1026000,7380,384000,7386,0,7389,0,7379,0,7385,18,7387,0,7391,0,
7483,3,7481,255,7483,781127,0,7483,320000,7485,0,7474,1026000,7478,918000,7480,0,7482,0,7477,33,7480,44,7481,0,7482,0,
7597,3,7591,255,7597,566177,0,7599,320000,7603,0,7576,384000,7582,384000,7587,0,7594,0,7580,36,7586,10,7589,0,7597,0,
7681,3,7680,255,7681,939558,0,7682,320000,7682,0,7675,1026000,7677,1512000,7679,0,7681,0,7677,44,7679,37,7680,0,7681,0,
7782,3,7781,255,7782,562559,0,7783,320000,7784,0,7775,1026000,7778,1512000,7780,0,7782,0,7777,10,7780,0,7781,0,7782,0,
7884,3,7883,255,7884,752065,0,7885,320000,7886,0,7876,1026000,7880,1026000,7882,0,7883,0,7879,50,7881,12,7882,0,7884,0,
7999,3,7993,255,7998,567048,0,8001,320000,8003,0,7978,384000,7984,384000,7991,0,7995,0,7982,27,7989,20,7992,0,7997,0,
8038,3,8036,255,8038,1109212,0,8039,320000,8040,0,8028,1026000,8031,1026000,8035,0,8037,0,8030,100,8034,60,8036,0,8038,0,
8136,3,8135,255,8136,715622,0,8137,320000,8138,0,8128,1026000,8131,1026000,8134,0,8135,0,8131,30,8133,22,8134,0,8136,0,
8240,3,8238,255,8239,535696,0,8240,320000,8242,0,8230,384000,8233,1026000,8235,0,8239,0,8232,11,8235,0,8237,0,8239,0,
8342,3,8340,255,8342,839589,0,8343,320000,8345,0,8330,918000,8333,1026000,8338,0,8340,0,8333,50,8337,44,8339,0,8341,0,
