App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 03:51:44 AM","17 sec","Trepn_2018.10.22_035143.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
20,3,16,255,20,1894173,609265,20,320000,21,0,10,1512000,12,1512000,15,0,17,0,11,100,14,100,16,0,17,0,
118,3,116,255,118,2338792,1053884,118,320000,119,0,110,1512000,112,1512000,114,1512000,116,1512000,112,90,114,100,115,58,118,17,
219,3,217,255,219,2523480,1238572,220,320000,220,0,211,1512000,213,1512000,215,1512000,217,1512000,213,100,214,42,216,50,219,100,
320,3,317,255,320,2742369,1457461,320,320000,321,0,312,1512000,314,1512000,315,1512000,317,1512000,313,100,315,58,317,66,319,100,
423,3,419,255,422,2687647,1402739,423,320000,424,0,412,1512000,414,1512000,417,1512000,419,1512000,414,80,416,70,418,66,422,100,
520,3,518,255,520,2516639,1231731,520,320000,521,0,512,1512000,514,1512000,516,1512000,518,1512000,514,55,516,66,518,70,520,100,
620,3,618,255,620,2468757,1183849,621,320000,621,0,613,1512000,615,1512000,616,1512000,619,1512000,614,63,616,77,618,44,620,100,
721,3,719,255,721,2277229,992321,721,320000,722,0,713,1512000,715,1512000,717,1512000,719,1512000,715,63,717,50,718,63,720,80,
822,3,820,255,821,2694487,1409579,822,128000,823,0,814,1512000,816,1512000,818,1512000,820,1512000,816,88,817,83,819,80,821,66,
921,3,919,255,921,2372993,1088085,922,400000,922,0,914,1512000,916,1512000,918,1512000,919,1512000,916,60,917,60,919,100,920,50,
1028,3,1025,255,1028,1788707,503799,1029,400000,1029,0,1015,1512000,1020,1512000,1023,1026000,1025,1512000,1020,40,1022,55,1025,33,1027,72,
1123,3,1121,255,1123,1172127,0,1123,400000,1124,0,1115,1512000,1117,1512000,1119,1026000,1121,1512000,1117,33,1119,27,1120,44,1123,11,
1228,3,1227,255,1228,679178,0,1229,400000,1230,0,1219,1026000,1223,1026000,1225,0,1227,0,1222,22,1225,20,1226,0,1228,0,
