Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.713,20.713,screen bright,18.7280069284
0,20.713,20.713,wifi running,0.27968101084
0,20.713,20.713,phone_scanning,10.8579956993
0.0,31.45061,31.45061,core 0 cpu_idle start,0.470359597855
31.45061,31.563403,0.112793000008,core 0 cpu_idle,0.00168687571161
31.563403,31.563464,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
31.563464,31.663439,0.0999749999901,core 0 cpu_idle,0.00149517611235
31.663439,31.689257,0.0258179999946,core 0 cpu_frequency,0.0264437792603
31.689257,31.963305,0.274047999992,core 0 cpu_idle,0.00409852486388
31.963305,31.963366,6.10000279266e-05,core 0 cpu_frequency,4.517118558e-05
31.963366,32.06322,0.0998540000001,core 0 cpu_idle,0.001493366497
32.06322,32.06325,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
32.06325,32.113269,0.0500189999875,core 0 cpu_idle,0.000748059154313
32.113269,32.11333,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
32.11333,32.263537,0.150206999999,core 0 cpu_idle,0.00224642078848
32.263537,32.264666,0.00112900001113,core 0 cpu_frequency,0.000446722498605
32.264666,32.316699,0.0520329999854,core 0 cpu_idle,0.000778179531281
32.316699,32.317523,0.000824000017019,core 0 cpu_frequency,0.000610180994203
32.317523,32.363421,0.0458979999821,core 0 cpu_idle,0.000686427538733
32.363421,32.40227,0.0388490000041,core 0 cpu_frequency,0.0397906259511
32.40227,32.563311,0.161041000014,core 0 cpu_idle,0.00240844867571
32.563311,32.563372,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
32.563372,32.61336,0.0499879999843,core 0 cpu_idle,0.000747595533765
32.61336,32.613452,9.20000020415e-05,core 0 cpu_frequency,4.26923985473e-05
32.613452,32.66347,0.050018000009,core 0 cpu_idle,0.000748044199135
32.66347,32.665393,0.00192300000344,core 0 cpu_frequency,0.00109367990686
32.665393,32.716449,0.0510559999966,core 0 cpu_idle,0.000763568007949
32.716449,32.716601,0.00015199999325,core 0 cpu_frequency,0.000155684184286
32.716601,32.764514,0.0479130000167,core 0 cpu_idle,0.00071656287175
32.764514,32.764575,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
32.764575,32.86333,0.0987549999845,core 0 cpu_idle,0.00147693040227
32.86333,32.863482,0.00015199999325,core 0 cpu_frequency,7.05352624676e-05
32.863482,32.913378,0.0498960000114,core 0 cpu_idle,0.00074621962817
32.913378,32.913989,0.000610999995843,core 0 cpu_frequency,0.000347497876936
32.913989,32.963427,0.0494380000164,core 0 cpu_idle,0.000739370009245
32.963427,32.963488,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
32.963488,33.263385,0.29989699999,core 0 cpu_idle,0.00448510958335
33.263385,33.279162,0.0157769999932,core 0 cpu_frequency,0.0161594044968
33.279162,33.566333,0.287171000004,core 0 cpu_idle,0.00429478589055
33.566333,33.566363,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
33.566363,33.816058,0.249695000006,core 0 cpu_idle,0.00373431357259
33.816058,33.822131,0.00607299999683,core 0 cpu_frequency,0.00622019797805
33.822131,34.166064,0.343932999996,core 0 cpu_idle,0.00514368998145
34.166064,34.166125,6.09999988228e-05,core 0 cpu_frequency,3.09655758024e-05
34.166125,34.216998,0.0508730000001,core 0 cpu_idle,0.000760831151502
34.216998,34.272265,0.0552670000179,core 0 cpu_frequency,0.0566065670911
34.272265,35.163317,0.891051999992,core 0 cpu_idle,0.0133261281859
35.163317,35.163348,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
35.163348,35.31322,0.149872000009,core 0 cpu_idle,0.00224141069614
35.31322,35.31325,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
35.31325,35.366656,0.0534059999918,core 0 cpu_idle,0.000798713432878
35.366656,35.366687,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
35.366687,35.463641,0.0969540000078,core 0 cpu_idle,0.00144999554712
35.463641,35.465502,0.00186099999701,core 0 cpu_frequency,0.00190610710103
35.465502,35.763415,0.297912999988,core 0 cpu_idle,0.00445543787131
35.763415,35.763446,3.10000032187e-05,core 0 cpu_frequency,2.29558402834e-05
35.763446,35.815844,0.0523979999998,core 0 cpu_idle,0.000783638288997
35.815844,35.819567,0.00372300000163,core 0 cpu_frequency,0.00275692208191
35.819567,35.963214,0.14364699999,core 0 cpu_idle,0.00214831270835
35.963214,35.963275,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
35.963275,36.013232,0.0499570000102,core 0 cpu_idle,0.000747131913652
36.013232,36.013476,0.000243999995291,core 0 cpu_frequency,0.000180684656113
36.013476,36.116412,0.10293600001,core 0 cpu_idle,0.00153945934815
36.116412,36.116687,0.00027499999851,core 0 cpu_frequency,0.000281665475974
36.116687,36.366412,0.249725000001,core 0 cpu_idle,0.00373476223752
36.366412,36.366442,2.99999956042e-05,core 0 cpu_frequency,2.22153237448e-05
36.366442,36.414263,0.0478209999856,core 0 cpu_idle,0.000715186965284
36.414263,36.43999,0.0257270000002,core 0 cpu_frequency,0.0190511239244
36.43999,36.468676,0.0286860000051,core 0 cpu_idle,0.000429013473076
36.468676,36.472583,0.00390700000571,core 0 cpu_frequency,0.00400169826255
36.472583,37.163317,0.690734000003,core 0 cpu_idle,0.0103302723371
37.163317,37.163836,0.000518999993801,core 0 cpu_frequency,0.00038432515251
37.163836,37.213214,0.0493779999961,core 0 cpu_idle,0.000738472678941
37.213214,37.220599,0.00738500000443,core 0 cpu_frequency,0.00546867299978
37.220599,37.263201,0.0426020000014,core 0 cpu_idle,0.00063713421102
37.263201,37.263262,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
37.263262,37.366595,0.103333000006,core 0 cpu_idle,0.0015453966816
37.366595,37.366656,6.09999988228e-05,core 0 cpu_frequency,4.51711640283e-05
37.366656,37.414019,0.0473629999906,core 0 cpu_idle,0.000708337346359
37.414019,37.416247,0.00222799999756,core 0 cpu_frequency,0.00103389849727
