Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.547,20.547,screen bright,18.564872004
0,20.547,20.547,wifi running,0.2772447804
0,20.547,20.547,phone_scanning,10.7634144492
0.0,19.402174,19.402174,core 0 cpu_idle start,0.28996549043
19.402174,20.071607,0.669432999974,core 0 cpu_idle,0.0100046761846
20.071607,20.071638,3.10000032187e-05,core 0 cpu_frequency,2.29397233818e-05
20.071638,20.171705,0.100067000021,core 0 cpu_idle,0.00149550131532
20.171705,20.204908,0.033202999999,core 0 cpu_frequency,0.033983901356
20.204908,20.671735,0.466826999997,core 0 cpu_idle,0.00697672951495
20.671735,20.671766,3.10000032187e-05,core 0 cpu_frequency,2.29397233818e-05
20.671766,20.721632,0.0498659999867,core 0 cpu_idle,0.0007452473698
20.721632,20.721662,2.99999956042e-05,core 0 cpu_frequency,2.21997267471e-05
20.721662,20.82176,0.100097999995,core 0 cpu_idle,0.00149596460993
20.82176,20.82179,3.0000024708e-05,core 0 cpu_frequency,3.07055952891e-05
20.82179,20.871595,0.0498049999878,core 0 cpu_idle,0.000744335724818
20.871595,20.871656,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
20.871656,20.921613,0.0499570000102,core 0 cpu_idle,0.000746607365152
20.921613,20.921674,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
20.921674,20.97151,0.049835999991,core 0 cpu_idle,0.000744799019866
20.97151,20.97154,2.99999956042e-05,core 0 cpu_frequency,2.21997267471e-05
20.97154,21.072096,0.100556000019,core 0 cpu_idle,0.00150280942029
21.072096,21.072218,0.000121999997646,core 0 cpu_frequency,4.82390430691e-05
21.072218,21.172071,0.0998529999924,core 0 cpu_idle,0.00149230308489
21.172071,21.172224,0.000153000000864,core 0 cpu_frequency,8.69555614912e-05
21.172224,21.225202,0.0529779999924,core 0 cpu_idle,0.000791756209887
21.225202,21.227979,0.00277700001607,core 0 cpu_frequency,0.00205495501889
21.227979,21.371503,0.143523999985,core 0 cpu_idle,0.00214496617977
21.371503,21.371564,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
21.371564,21.521864,0.150300000008,core 0 cpu_idle,0.00224623350013
21.521864,21.521955,9.0999994427e-05,core 0 cpu_frequency,4.21986994157e-05
21.521955,21.57176,0.0498049999878,core 0 cpu_idle,0.000744335724818
21.57176,21.571851,9.10000235308e-05,core 0 cpu_frequency,5.17186803734e-05
21.571851,21.625684,0.0538329999836,core 0 cpu_idle,0.000804534184754
21.625684,21.625715,3.10000032187e-05,core 0 cpu_frequency,3.17290922944e-05
21.625715,21.874555,0.248840000015,core 0 cpu_idle,0.00371891380022
21.874555,21.874616,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
21.874616,22.071546,0.196929999976,core 0 cpu_idle,0.00294311884965
22.071546,22.071607,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
22.071607,22.121687,0.0500800000154,core 0 cpu_idle,0.000748445600231
22.121687,22.121778,9.0999994427e-05,core 0 cpu_frequency,4.21986994157e-05
22.121778,22.171766,0.0499880000134,core 0 cpu_idle,0.0007470706602
22.171766,22.171888,0.000121999997646,core 0 cpu_frequency,6.93371126619e-05
22.171888,22.272779,0.10089099998,core 0 cpu_idle,0.0015078159947
22.272779,22.27284,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
22.27284,22.321668,0.0488280000282,core 0 cpu_idle,0.000729734460421
22.321668,22.321729,6.09999988228e-05,core 0 cpu_frequency,2.82870414541e-05
22.321729,22.371717,0.0499879999843,core 0 cpu_idle,0.000747070659765
22.371717,22.372175,0.000457999994978,core 0 cpu_frequency,0.000260298343146
22.372175,22.521772,0.149597000011,core 0 cpu_idle,0.00223572716516
22.521772,22.521833,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
22.521833,22.571668,0.0498350000125,core 0 cpu_idle,0.000744784075187
22.571668,22.571729,6.09999988228e-05,core 0 cpu_frequency,3.09438354028e-05
22.571729,22.624738,0.0530089999957,core 0 cpu_idle,0.000792219504935
22.624738,22.62486,0.000121999997646,core 0 cpu_frequency,0.00012486931559
22.62486,22.874189,0.249328999984,core 0 cpu_idle,0.00372622190476
22.874189,22.87422,3.10000032187e-05,core 0 cpu_frequency,2.29397233818e-05
22.87422,22.921522,0.0473020000209,core 0 cpu_idle,0.000706928390312
22.921522,22.921583,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
22.921583,22.971693,0.0501099999819,core 0 cpu_idle,0.00074889394973
22.971693,22.972517,0.000824000017019,core 0 cpu_frequency,0.000609752596594
22.972517,23.024458,0.0519409999833,core 0 cpu_idle,0.000776258244751
23.024458,23.036115,0.0116569999955,core 0 cpu_frequency,0.0119311609784
23.036115,23.474256,0.438141000021,core 0 cpu_idle,0.00654801724531
23.474256,23.474317,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
23.474317,23.671674,0.197356999997,core 0 cpu_idle,0.00294950036496
23.671674,23.671705,3.10000032187e-05,core 0 cpu_frequency,2.29397233818e-05
23.671705,23.721693,0.0499879999843,core 0 cpu_idle,0.000747070659765
23.721693,23.721723,2.99999956042e-05,core 0 cpu_frequency,1.63071276105e-05
23.721723,23.77168,0.0499570000102,core 0 cpu_idle,0.000746607365152
23.77168,23.771741,6.09999988228e-05,core 0 cpu_frequency,3.4668556331e-05
23.771741,23.823499,0.0517579999869,core 0 cpu_idle,0.000773523309804
23.823499,23.82356,6.09999988228e-05,core 0 cpu_frequency,4.51394501289e-05
23.82356,23.872968,0.0494080000208,core 0 cpu_idle,0.00073840256031
23.872968,23.873029,6.09999988228e-05,core 0 cpu_frequency,3.09438354028e-05
23.873029,23.921674,0.0486450000026,core 0 cpu_idle,0.000726999525039
