App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 02:56:05 AM","17 sec","Trepn_2018.10.22_025603.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
14,3,12,255,14,3002300,1405070,15,320000,16,0,7,1512000,8,1512000,10,1512000,12,1512000,8,100,10,100,11,100,14,62,
115,3,112,255,115,2715008,1117778,115,320000,116,0,107,1512000,109,1512000,110,1512000,113,1512000,109,100,110,100,112,50,115,70,
215,3,213,255,215,2509799,912569,215,320000,216,0,207,1512000,209,1512000,211,1512000,213,1512000,209,100,211,80,212,50,214,60,
316,3,313,255,315,2571362,974132,316,320000,317,0,308,1512000,310,1512000,312,1512000,314,1512000,309,87,311,80,313,55,315,77,
415,3,413,255,415,2694487,1097257,416,320000,416,0,408,1512000,410,1512000,412,1512000,413,1512000,410,70,411,72,413,75,415,100,
526,3,519,255,526,1962576,365346,527,320000,528,0,509,1512000,512,1512000,513,1512000,520,1512000,511,50,513,30,516,30,525,100,
621,3,619,255,621,2407195,809965,621,320000,622,0,610,1512000,613,1512000,615,1512000,619,1512000,612,60,614,88,617,55,621,72,
722,3,718,255,722,2092541,495311,723,200000,723,0,710,1512000,713,1512000,715,1512000,719,1512000,713,60,715,66,718,37,722,66,
820,3,817,255,820,2721848,1124618,821,400000,822,0,811,1512000,813,1512000,815,1512000,817,1512000,812,80,814,70,817,90,820,81,
920,3,918,255,920,2078861,481631,921,400000,921,0,911,1512000,915,1512000,917,1512000,919,1512000,913,77,916,40,918,33,920,77,
1020,3,1018,255,1020,2201986,604756,1021,400000,1021,0,1012,1512000,1014,1512000,1016,1512000,1018,1512000,1013,72,1016,69,1017,44,1020,60,
1120,3,1118,255,1120,1843430,246200,1121,400000,1121,0,1112,1512000,1114,1512000,1116,1512000,1119,1026000,1114,66,1116,81,1118,28,1120,33,
1220,3,1218,255,1220,1365115,0,1221,400000,1221,0,1212,1512000,1214,1512000,1216,1512000,1219,1026000,1214,12,1216,100,1218,0,1220,20,
1404,3,1400,255,1404,1362253,0,1405,200000,1406,28,1342,1026000,1376,1512000,1399,0,1403,0,1362,53,1394,94,1399,0,1403,0,
1437,3,1433,255,1436,2221117,623887,1437,200000,1439,28,1415,1512000,1424,1512000,1427,0,1434,0,1419,100,1426,100,1433,0,1436,0,
1527,3,1525,255,1527,2864104,1266874,1528,200000,1528,28,1514,1512000,1516,1512000,1521,1512000,1525,1512000,1515,100,1517,88,1524,60,1527,46,
1644,3,1621,255,1639,3520772,1923542,1645,200000,1646,28,1614,1512000,1617,1512000,1619,1512000,1622,1512000,1616,100,1618,100,1621,90,1638,100,
1724,3,1722,255,1724,3452369,1855139,1725,200000,1726,28,1715,1512000,1717,1512000,1719,1512000,1722,1512000,1716,90,1719,90,1721,100,1724,100,
1823,3,1820,255,1822,2241638,644408,1823,200000,1824,28,1815,1512000,1817,1512000,1819,1512000,1821,1512000,1817,50,1818,33,1820,70,1822,50,
1928,3,1924,255,1927,2289349,692119,1928,200000,1929,28,1916,1512000,1918,1512000,1921,1026000,1925,1512000,1918,60,1920,36,1923,45,1927,90,
2025,3,2023,255,2025,2330497,733267,2026,200000,2027,28,2016,1512000,2018,1026000,2021,1026000,2023,1512000,2018,66,2020,77,2022,60,2025,77,
2124,3,2122,255,2124,1488921,0,2124,200000,2125,28,2117,1512000,2119,1026000,2120,1026000,2122,1512000,2118,41,2120,20,2122,55,2123,12,
