App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 02:50:29 AM","17 sec","Trepn_2018.10.22_025028.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
104,3,74,255,104,2105040,906017,105,320000,106,0,13,1026000,52,1512000,58,1512000,79,0,51,71,57,100,59,93,96,0,
129,3,120,255,129,2886015,1686992,130,320000,131,0,114,1512000,116,1512000,117,1512000,121,1512000,115,100,117,100,119,100,122,45,
222,3,220,255,221,2988619,1789596,222,320000,223,0,214,1512000,216,1512000,218,1512000,220,1512000,216,90,218,70,219,100,221,100,
323,3,320,255,322,2263549,1064526,323,320000,324,0,315,1512000,317,1512000,318,1512000,321,1512000,316,42,318,55,320,57,322,100,
424,3,421,255,424,1818930,619907,425,320000,425,0,415,1512000,417,1512000,419,1512000,422,1512000,417,18,419,11,421,60,424,100,
523,3,521,255,523,2441396,1242373,524,320000,525,0,516,1512000,518,1512000,520,1512000,522,1512000,517,70,519,60,521,50,523,100,
625,3,622,255,624,2078861,879838,625,320000,626,0,616,1512000,618,1512000,620,1512000,622,1512000,618,45,620,45,622,37,624,100,
725,3,722,255,725,2338792,1139769,725,320000,726,0,716,1512000,719,1512000,721,1512000,723,1512000,718,66,720,62,722,61,724,76,
826,3,824,255,826,2735529,1536506,827,400000,827,0,817,1512000,820,1512000,822,1512000,825,1512000,819,75,822,83,824,90,826,75,
929,3,926,255,929,2345632,1146609,930,400000,931,0,919,1512000,922,1512000,924,1512000,927,1512000,921,60,923,90,926,66,929,50,
1027,3,1025,255,1027,2215667,1016644,1028,400000,1028,0,1020,1512000,1022,1512000,1023,1512000,1025,1512000,1021,60,1023,100,1025,50,1027,37,
1129,3,1127,255,1129,1240219,41196,1130,400000,1130,0,1120,1134000,1123,1512000,1125,1026000,1127,1026000,1122,50,1124,38,1127,33,1129,33,
1230,3,1228,255,1229,671050,0,1230,400000,1231,0,1221,1026000,1225,1512000,1227,1026000,1229,0,1225,10,1226,10,1228,11,1229,0,
1330,3,1329,255,1330,762998,0,1331,400000,1332,0,1321,1026000,1325,1026000,1327,1026000,1330,0,1324,27,1326,11,1329,27,1330,0,
