App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 02:59:50 AM","17 sec","Trepn_2018.10.22_025949.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
47,3,44,255,47,2007091,689423,48,320000,50,0,7,1512000,40,1512000,42,1026000,45,0,39,100,41,92,44,46,46,0,
121,3,113,255,121,2578202,1260534,122,320000,123,0,107,1512000,109,1512000,111,1512000,114,0,109,100,110,100,112,100,120,0,
215,3,213,255,215,2810772,1493104,216,320000,216,0,208,1512000,210,1512000,211,1512000,214,1512000,209,88,211,100,213,100,215,46,
315,3,313,255,315,2578202,1260534,315,320000,316,0,308,1512000,310,1512000,311,1512000,314,1512000,309,100,311,50,313,100,315,50,
416,3,414,255,416,2099382,781714,416,320000,417,0,408,1512000,410,1512000,412,1512000,414,1512000,410,45,412,60,414,100,416,25,
521,3,518,255,520,2420875,1103207,521,320000,522,0,509,1512000,511,1512000,516,1512000,519,1512000,510,77,515,63,518,100,520,37,
617,3,615,255,617,1798409,480741,617,320000,618,0,609,1512000,611,1512000,613,1512000,615,1512000,611,33,613,33,615,80,616,40,
720,3,718,255,720,1935215,617547,721,320000,723,0,710,1512000,712,1512000,714,1512000,718,1512000,711,54,714,55,717,37,720,60,
821,3,818,255,821,2673966,1356298,821,400000,822,0,810,1512000,812,1512000,816,1512000,819,1512000,812,87,816,57,818,90,821,80,
921,3,919,255,921,2523480,1205812,921,400000,922,0,910,1512000,915,1512000,917,1512000,919,1512000,914,69,917,90,919,70,921,63,
1024,3,1019,255,1024,1784728,467060,1025,400000,1026,0,1011,1512000,1014,1512000,1017,1512000,1020,1512000,1014,36,1016,60,1019,66,1024,22,
1118,3,1116,255,1118,1873652,555984,1118,400000,1119,0,1111,1512000,1113,1512000,1115,1512000,1117,1512000,1113,42,1114,45,1116,60,1118,50,
1221,3,1219,255,1221,752065,0,1222,400000,1222,0,1212,1026000,1214,1026000,1216,1134000,1219,1026000,1214,18,1216,11,1218,0,1221,33,
1326,3,1321,255,1326,643284,0,1328,400000,1338,0,1312,1026000,1316,1026000,1319,384000,1322,1026000,1315,0,1318,0,1321,9,1325,30,
1426,3,1421,255,1425,1013813,0,1426,400000,1428,0,1413,918000,1416,1026000,1420,0,1422,0,1415,70,1419,75,1421,0,1422,0,
1521,3,1520,255,1521,810375,0,1522,400000,1523,28,1514,1026000,1517,1026000,1519,0,1520,0,1516,45,1518,33,1520,0,1521,0,
1626,3,1624,255,1626,1660426,342758,1627,320000,1628,28,1615,384000,1619,1026000,1622,0,1625,0,1618,37,1621,30,1624,0,1626,0,
1725,3,1724,255,1725,1660138,342470,1726,200000,1727,28,1716,1026000,1719,1026000,1722,0,1724,0,1719,63,1721,60,1723,0,1725,0,
1833,3,1830,255,1833,992483,0,1834,128000,1835,28,1818,1026000,1825,384000,1829,0,1832,0,1824,33,1828,22,1830,0,1833,0,
1936,3,1929,255,1936,1027959,0,1938,128000,1939,28,1917,1026000,1921,1026000,1927,0,1929,0,1920,54,1926,37,1928,0,1930,0,
2026,3,2025,255,2026,1017025,0,2027,128000,2028,28,2018,1026000,2021,1026000,2024,0,2025,0,2021,58,2024,30,2025,0,2026,0,
2139,3,2131,255,2137,741913,0,2140,128000,2141,28,2119,594000,2124,486000,2128,0,2135,0,2124,12,2127,22,2129,0,2137,0,
2228,3,2226,255,2227,1092911,0,2228,128000,2229,28,2219,918000,2223,1026000,2225,0,2226,0,2222,70,2225,50,2226,0,2227,0,
2336,3,2328,255,2335,743217,0,2338,128000,2342,28,2320,1026000,2324,384000,2327,0,2329,0,2324,10,2326,12,2328,0,2333,0,
2432,3,2431,255,2432,1088316,0,2433,128000,2434,28,2421,918000,2427,918000,2429,0,2431,0,2425,62,2429,66,2430,0,2432,0,
2531,3,2529,255,2531,944381,0,2533,128000,2534,15,2521,918000,2525,918000,2528,0,2529,0,2524,36,2527,45,2528,0,2530,0,
2637,3,2635,255,2637,794424,0,2638,128000,2639,15,2624,1026000,2629,384000,2633,0,2635,0,2628,40,2632,36,2634,0,2636,0,
2732,3,2730,255,2731,890684,0,2732,128000,2734,15,2723,1026000,2727,918000,2729,0,2731,0,2726,33,2729,50,2730,0,2731,0,
