App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 02:39:14 AM","17 sec","Trepn_2018.10.22_023913.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
22,3,21,255,21,1894173,698861,22,320000,16,0,17,1512000,18,1512000,20,0,21,0,18,100,20,100,20,0,21,0,
119,3,116,255,119,2318271,1122959,119,320000,28,0,108,1512000,109,1512000,111,1512000,116,1512000,109,80,111,100,115,71,118,11,
215,3,213,255,215,2653445,1458133,216,320000,120,0,208,1512000,210,1512000,212,1512000,214,1512000,209,71,211,100,213,100,215,40,
316,3,314,255,316,2516639,1321327,317,320000,216,0,308,1512000,310,1512000,312,1512000,314,1512000,310,66,312,100,313,81,316,44,
417,3,414,255,417,2475598,1280286,417,320000,317,0,409,1512000,411,1512000,412,1512000,415,1512000,410,58,412,100,414,77,416,50,
518,3,515,255,517,2304590,1109278,519,320000,418,0,510,1512000,512,1512000,513,1512000,516,1512000,511,54,513,100,514,44,517,62,
619,3,616,255,619,1989937,794625,619,320000,519,0,610,1512000,612,1512000,614,1512000,617,1512000,612,33,613,100,616,44,618,37,
718,3,715,255,718,1429034,233722,719,320000,620,0,710,1512000,712,1512000,714,1512000,716,1512000,712,30,714,90,715,12,717,0,
832,3,829,255,832,2109951,914639,832,400000,720,0,811,1134000,815,1512000,826,1134000,830,1134000,814,80,825,81,828,81,831,80,
921,3,916,255,920,1992400,797088,921,400000,833,0,911,1026000,913,1512000,915,1512000,917,1512000,913,72,914,66,916,55,918,55,
1018,3,1017,255,1018,1914694,719382,1019,400000,926,0,1012,1512000,1014,1512000,1015,1512000,1017,1512000,1013,66,1015,75,1016,25,1018,37,
1120,3,1118,255,1120,1682124,486812,1121,400000,1019,0,1112,1512000,1114,1512000,1116,1512000,1118,1512000,1114,40,1116,66,1118,33,1120,30,
1223,3,1221,255,1222,664601,0,1223,400000,1121,0,1213,1026000,1216,1026000,1218,1026000,1222,0,1215,27,1218,11,1220,0,1222,0,
1331,3,1328,255,1331,604788,0,1332,400000,1224,0,1314,594000,1319,384000,1324,384000,1329,0,1318,22,1322,20,1327,30,1330,0,
1423,3,1422,255,1423,941572,0,1424,400000,1334,0,1415,1026000,1418,1026000,1421,0,1422,0,1418,54,1420,60,1421,0,1423,0,
1528,3,1526,255,1527,1478582,283270,1529,400000,1425,25,1516,486000,1520,486000,1524,0,1526,0,1519,33,1523,22,1525,0,1527,0,
1624,3,1623,255,1624,1824317,629005,1625,400000,1536,25,1616,1026000,1619,1026000,1622,0,1623,0,1619,58,1621,55,1622,0,1624,0,
1727,3,1725,255,1727,1561120,365808,1728,320000,1626,25,1717,384000,1721,1026000,1723,0,1726,0,1720,20,1722,36,1723,0,1726,0,
1823,3,1822,255,1823,1639820,444508,1823,200000,1729,25,1817,1026000,1820,1512000,1821,0,1822,0,1819,55,1821,44,1822,0,1822,0,
1925,3,1923,255,1924,893273,0,1925,200000,1824,25,1918,1026000,1920,1512000,1922,0,1924,0,1920,0,1922,11,1923,0,1924,0,
2026,3,2025,255,2026,1029402,0,2026,128000,1926,25,2019,1026000,2021,1026000,2023,0,2025,0,2021,28,2023,30,2024,0,2025,0,
2134,3,2129,255,2133,890223,0,2135,128000,2027,25,2119,918000,2122,1026000,2125,0,2132,0,2122,30,2124,33,2126,0,2133,0,
2227,3,2226,255,2227,977717,0,2228,128000,2136,25,2220,918000,2223,1026000,2225,0,2227,0,2222,55,2225,36,2226,0,2227,0,
2336,3,2333,255,2336,873149,0,2337,128000,2229,25,2321,594000,2326,1026000,2332,0,2334,0,2324,40,2331,36,2333,0,2336,0,
2429,3,2427,255,2429,1011956,0,2429,128000,2338,25,2421,918000,2424,1026000,2426,0,2428,0,2424,40,2426,58,2427,0,2428,0,
2556,3,2552,255,2556,674795,0,2557,128000,2430,14,2527,384000,2537,384000,2549,0,2553,0,2534,40,2548,33,2550,0,2554,0,
2634,3,2633,255,2633,1438893,243581,2634,128000,2564,14,2628,1512000,2630,1512000,2632,0,2633,0,2630,55,2631,66,2632,0,2633,0,
