App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 02:14:54 AM","17 sec","Trepn_2018.10.22_021453.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
30,3,16,255,29,1784728,590170,30,320000,31,0,86,1512000,12,1512000,14,0,17,0,12,84,13,100,14,0,29,0,
99,3,91,255,99,2359313,1164755,99,320000,100,0,186,1512000,88,1512000,89,1512000,92,0,87,85,89,100,91,83,99,35,
194,3,192,255,193,2646605,1452047,195,320000,198,0,287,1512000,188,1512000,190,1512000,192,1512000,188,62,190,90,191,100,193,58,
305,3,297,255,305,2824452,1629894,307,320000,309,0,387,1512000,289,1512000,295,1512000,297,1512000,288,70,294,66,296,100,305,100,
404,3,400,255,404,2988619,1794061,405,320000,411,0,487,1512000,394,1512000,397,1512000,401,1512000,393,88,396,72,400,100,404,100,
499,3,497,255,499,2331952,1137394,500,320000,501,0,588,1512000,489,1512000,495,1512000,498,1512000,489,77,494,37,497,100,499,50,
599,3,596,255,599,2537160,1342602,599,320000,600,0,688,1512000,590,1512000,594,1512000,597,1512000,590,66,593,66,596,100,599,62,
697,3,695,255,697,1948895,754337,697,200000,698,0,789,1134000,691,1512000,692,1512000,695,1512000,690,37,692,100,694,25,696,46,
801,3,798,255,801,1699878,505320,801,128000,802,0,889,1134000,792,1512000,794,1134000,799,1512000,791,45,793,80,798,44,801,36,
900,3,897,255,900,2289041,1094483,901,320000,902,0,990,1026000,892,1512000,893,1512000,898,1512000,891,70,893,72,896,72,900,70,
1001,3,998,255,1000,2260573,1066015,1001,320000,1002,0,1090,1026000,992,1512000,995,1512000,998,1512000,992,63,995,80,997,77,1000,63,
1102,3,1098,255,1102,1692103,497545,1103,200000,1104,0,1191,1026000,1095,1512000,1097,1512000,1099,1512000,1094,14,1096,70,1098,33,1102,60,
1199,3,1196,255,1198,2026601,832043,1199,128000,1200,0,1291,1026000,1193,1512000,1194,1512000,1197,1512000,1192,72,1194,60,1196,88,1198,33,
1299,3,1296,255,1299,1599927,405369,1299,128000,1300,0,1392,1026000,1293,1512000,1295,1512000,1297,1512000,1293,30,1294,11,1296,100,1298,30,
1398,3,1397,255,1398,1622233,427675,1399,128000,1399,37,1493,1026000,1394,1026000,1395,1512000,1397,1026000,1394,44,1395,72,1396,75,1398,44,
1502,3,1500,255,1502,1193123,0,1503,128000,1504,37,1594,1026000,1496,1026000,1498,1512000,1501,1026000,1495,11,1498,18,1500,30,1502,36,
1604,3,1601,255,1603,1286751,92193,1604,128000,1605,37,1695,1026000,1596,1026000,1599,1026000,1602,1026000,1596,40,1598,40,1601,27,1603,40,
1705,3,1702,255,1705,1126400,0,1706,400000,1706,37,1796,1026000,1698,1026000,1700,1026000,1703,1026000,1697,36,1700,22,1702,25,1705,20,
1805,3,1803,255,1805,2472090,1277532,1806,400000,1807,37,1848,1026000,1798,1026000,1801,1026000,1803,1026000,1798,54,1800,50,1802,45,1805,25,
1857,3,1855,255,1857,2348182,1153624,1857,400000,1858,37,1948,1026000,1851,1026000,1853,1026000,1856,0,1850,33,1852,57,1855,50,1856,0,
1957,3,1956,255,1957,2333604,1139046,1958,320000,1959,37,2048,1026000,1951,1026000,1954,1026000,1956,0,1950,55,1953,44,1955,37,1957,0,
2057,3,2056,255,2057,2084648,890090,2058,320000,2059,37,2149,1026000,2051,1026000,2053,1026000,2056,0,2050,58,2052,55,2055,66,2057,0,
2158,3,2156,255,2157,1957095,762537,2158,320000,2160,37,2251,1026000,2152,1026000,2154,1026000,2157,0,2151,57,2154,33,2156,54,2157,0,
2262,3,2260,255,2262,1975317,780759,2262,320000,2263,37,2351,1512000,2255,1026000,2257,1026000,2261,0,2254,45,2257,54,2260,50,2261,0,
2358,3,2357,255,2358,2085944,891386,2359,320000,2359,49,2452,1512000,2354,1026000,2355,1026000,2358,0,2353,54,2355,28,2357,50,2358,0,
2460,3,2459,255,2460,2285204,1090646,2461,320000,2461,49,2553,1512000,2455,1026000,2457,1512000,2460,0,2454,40,2457,22,2459,30,2460,0,
2561,3,2560,255,2561,2286998,1092440,2562,200000,2562,49,2655,1512000,2556,1026000,2558,1512000,2561,0,2556,36,2558,30,2560,30,2561,0,
2661,3,2660,255,2661,1638480,443922,2661,200000,2662,49,2753,1512000,2657,1026000,2659,1512000,2660,0,2656,25,2658,45,2660,30,2661,0,
2764,3,2763,255,2764,1635790,441232,2764,200000,2765,49,2854,1026000,2757,1026000,2762,1512000,2763,0,2755,25,2761,33,2763,36,2764,0,
2867,3,2866,255,2867,1619411,424853,2867,200000,2868,49,2955,486000,2858,1026000,2863,1026000,2866,0,2857,54,2862,45,2865,44,2867,0,
2973,3,2970,255,2973,1425537,230979,2974,200000,2978,49,3056,918000,2958,1026000,2968,1026000,2971,0,2957,54,2964,28,2970,44,2972,0,
3069,3,3067,255,3069,1693827,499269,3069,200000,3070,49,3157,1026000,3061,1026000,3065,1026000,3068,0,3058,60,3064,50,3067,63,3068,0,
3175,3,3172,255,3174,1495503,300945,3177,200000,3192,49,3257,1026000,3160,1026000,3163,1026000,3172,0,3159,45,3162,50,3171,14,3174,0,
3271,3,3269,255,3271,1914603,720045,3271,200000,3272,49,3357,1026000,3260,1026000,3266,1026000,3270,0,3259,77,3265,72,3269,75,3270,0,
3372,3,3366,255,3372,1644921,450363,3373,200000,3374,49,3458,1026000,3360,1026000,3363,1026000,3367,0,3360,55,3362,55,3365,40,3372,0,
3472,3,3471,255,3472,1608478,413920,3473,200000,3474,49,3558,1026000,3461,1026000,3464,1026000,3472,0,3460,50,3463,40,3470,50,3472,0,
3570,3,3566,255,3569,1655854,461296,3571,200000,3575,49,3659,1026000,3561,1026000,3563,1026000,3567,0,3561,60,3563,60,3565,33,3568,0,
