App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 02:35:30 AM","17 sec","Trepn_2018.10.22_023529.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
36,3,25,255,36,2318271,1011496,37,320000,38,0,86,1512000,20,1512000,23,1512000,25,0,20,86,22,76,24,100,26,0,
104,3,94,255,102,2620475,1313700,106,320000,106,0,187,1512000,88,1512000,91,1512000,99,1026000,88,100,90,87,94,100,102,36,
198,3,194,255,197,2954418,1647643,198,320000,199,0,287,1512000,189,1512000,192,1512000,195,1512000,189,80,191,75,193,100,197,100,
296,3,293,255,296,2496118,1189343,296,320000,297,0,388,1512000,290,1512000,292,1512000,294,1512000,289,63,291,45,293,100,295,80,
401,3,398,255,400,2119903,813128,403,320000,404,0,488,1512000,390,1512000,393,1512000,399,1512000,389,63,392,40,398,100,400,30,
499,3,496,255,498,2345632,1038857,499,320000,500,0,589,1512000,490,1512000,493,1512000,496,1512000,490,72,492,44,495,100,498,50,
599,3,595,255,599,2160944,854169,599,320000,600,0,689,1512000,591,1512000,592,1512000,596,1512000,590,45,592,61,594,100,598,33,
699,3,695,255,698,2229347,922572,699,320000,700,0,790,1512000,691,1512000,693,1512000,695,1512000,691,90,693,50,695,55,698,54,
811,3,809,255,811,2605563,1298788,812,400000,812,0,890,1512000,792,1512000,807,1512000,810,1512000,791,90,798,70,809,72,811,72,
902,3,895,255,902,2208826,902051,902,400000,903,0,990,1512000,892,1512000,894,1512000,896,1512000,892,63,893,100,895,33,901,50,
998,3,996,255,998,1901013,594238,998,400000,999,0,1091,1512000,992,1512000,994,1512000,996,1512000,992,80,994,58,995,30,998,33,
1100,3,1098,255,1100,922738,0,1100,400000,1101,0,1191,1512000,1094,1512000,1095,1026000,1099,0,1093,12,1095,30,1097,30,1100,0,
1199,3,1198,255,1199,821928,0,1199,400000,1200,0,1292,1026000,1194,1512000,1196,1026000,1198,0,1193,12,1195,11,1197,38,1199,0,
1325,3,1316,255,1325,558915,0,1326,400000,1328,0,1392,1512000,1295,1026000,1298,1026000,1323,0,1294,9,1297,0,1312,0,1324,0,
1399,3,1398,255,1399,1159792,0,1399,400000,1400,28,1493,1026000,1394,1026000,1396,0,1398,0,1394,66,1396,50,1397,0,1399,0,
1512,3,1510,255,1512,1631846,325071,1513,400000,1514,28,1594,918000,1498,1026000,1508,0,1511,0,1496,11,1507,20,1509,0,1512,0,
1608,3,1606,255,1608,1899413,592638,1609,320000,1610,28,1694,918000,1598,1026000,1603,0,1607,0,1597,60,1602,54,1605,0,1607,0,
1712,3,1708,255,1712,1485269,178494,1713,200000,1714,28,1797,1026000,1702,1026000,1705,0,1709,0,1700,50,1704,33,1706,0,1710,0,
