App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 02:47:41 AM","17 sec","Trepn_2018.10.22_024740.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
4,3,2,255,4,2119903,428606,5,320000,6,0,61,1026000,63,1512000,64,1512000,2,1512000,62,100,64,100,1,84,4,28,
68,3,66,255,68,2771630,1080333,69,320000,70,0,166,1512000,168,1512000,170,1512000,66,1512000,168,66,170,100,66,75,68,100,
174,3,172,255,174,2756049,1064752,175,320000,175,0,266,1512000,268,1512000,270,1512000,172,1512000,268,77,269,100,172,60,174,100,
273,3,271,255,273,2797091,1105794,273,320000,274,0,366,1512000,368,1512000,370,1512000,272,1512000,368,50,369,100,271,55,273,100,
373,3,371,255,373,1983097,291800,374,320000,374,0,467,1512000,470,1512000,471,1512000,372,1512000,469,42,471,100,371,30,373,33,
475,3,473,255,475,2140423,449126,476,320000,477,0,567,1512000,569,1512000,571,1512000,474,1512000,569,90,571,44,473,28,475,66,
574,3,573,255,574,2037819,346522,575,320000,575,0,668,1512000,670,1512000,672,1512000,573,1512000,670,63,672,0,572,33,574,54,
678,3,676,255,678,1572680,0,679,320000,679,0,768,1512000,770,1512000,774,1512000,676,1512000,770,40,773,40,676,60,678,30,
777,3,775,255,777,1627402,0,777,320000,778,0,869,1026000,871,1026000,873,1512000,776,1512000,870,40,872,30,775,36,777,45,
876,3,874,255,876,1041037,0,876,200000,877,0,969,1026000,971,1026000,973,1512000,875,1026000,971,50,973,50,874,22,876,30,
977,3,975,255,977,1420278,0,978,200000,978,0,1070,1512000,1072,1512000,1074,1512000,976,1026000,1071,88,1073,83,975,54,977,44,
1077,3,1075,255,1077,2523643,832346,1078,200000,1078,0,1170,1512000,1172,1512000,1174,1512000,1076,1026000,1172,62,1174,36,1075,80,1077,77,
1181,3,1178,255,1181,1758599,67302,1182,200000,1182,0,1271,1512000,1273,1026000,1275,1512000,1179,1026000,1272,60,1274,58,1178,63,1181,36,
1279,3,1276,255,1279,1515707,0,1280,200000,1280,0,1371,1512000,1373,1026000,1375,1512000,1277,1026000,1373,33,1374,30,1276,25,1279,54,
1378,3,1377,255,1378,936419,0,1379,200000,1379,0,1472,1026000,1475,1026000,1478,384000,1377,0,1475,30,1477,18,1376,11,1378,0,
1482,3,1480,255,1482,716721,0,1483,200000,1484,0,1573,918000,1576,384000,1579,918000,1481,0,1576,54,1578,36,1480,18,1482,0,
1583,3,1581,255,1582,848401,0,1583,200000,1584,29,1674,384000,1681,384000,1686,384000,1582,0,1679,11,1685,36,1581,41,1582,0,
1701,3,1695,255,1700,905669,0,1703,200000,1705,29,1774,918000,1777,1026000,1780,1026000,1697,0,1777,70,1779,55,1691,0,1699,0,
1784,3,1782,255,1784,1414388,0,1784,200000,1785,29,1875,1026000,1878,1026000,1881,1026000,1783,0,1878,30,1880,20,1782,37,1783,0,
1885,3,1883,255,1885,1156285,0,1886,200000,1887,29,1976,810000,1980,594000,1995,0,1884,0,1979,40,1994,36,1883,30,1885,0,
2002,3,1997,255,2001,1023305,0,2007,128000,2010,29,2076,1512000,2078,1512000,2079,0,2000,0,2077,55,2079,50,1996,0,2001,0,
2081,3,2080,255,2081,1420631,0,2081,128000,2082,29,2177,1512000,2180,1512000,2183,0,2080,0,2179,30,2182,30,2080,0,2081,0,
2193,3,2185,255,2187,1112818,0,2193,128000,2194,29,2277,1026000,2281,1026000,2289,0,2185,0,2280,70,2288,62,2184,0,2187,0,
2291,3,2290,255,2291,1183455,0,2292,128000,2293,29,2379,384000,2385,1026000,2390,0,2290,0,2384,36,2389,40,2289,0,2291,0,
2397,3,2392,255,2397,879527,0,2399,128000,2401,29,2478,1512000,2480,1512000,2482,0,2395,0,2480,77,2482,77,2391,0,2396,0,
2493,3,2484,255,2492,1755805,64508,2493,128000,2494,29,2583,1512000,2585,1512000,2624,0,2484,0,2585,90,2619,90,2483,0,2492,0,
2648,3,2633,255,2648,1933652,242355,2649,128000,2650,18,2684,1512000,2686,1512000,2688,1512000,2637,0,2685,88,2687,80,2631,0,2642,0,
2692,3,2690,255,2692,2345606,654309,2693,128000,2693,18,2784,1512000,2786,1512000,2787,1512000,2690,1512000,2786,85,2787,37,2689,37,2692,45,
