App,Package,Start Time,Duration,Filename
"System",,"Oct 22, 2018 @ 02:28:02 AM","17 sec","Trepn_2018.10.22_022801.db"

Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",
66,3,46,255,66,2728688,1592128,67,320000,67,0,40,1512000,42,1512000,44,1512000,47,1512000,41,87,43,50,45,100,65,85,
155,3,153,255,155,2776570,1640010,155,320000,156,0,140,1512000,142,1512000,144,1512000,153,1512000,142,100,143,63,152,100,154,66,
248,3,246,255,248,2762890,1626330,248,320000,249,0,240,1512000,242,1512000,244,1512000,246,1512000,242,100,244,72,246,100,248,55,
349,3,347,255,349,2537160,1400600,349,320000,350,0,341,1512000,343,1512000,345,1512000,347,1512000,342,90,344,60,346,100,348,44,
450,3,448,255,450,2229347,1092787,450,320000,451,0,441,1512000,444,1512000,446,1512000,448,1512000,443,54,445,14,447,100,449,81,
559,3,552,255,559,2113062,976502,559,320000,560,0,542,1512000,545,1512000,550,1512000,556,1512000,545,37,550,14,552,100,558,81,
654,3,650,255,653,2174625,1038065,654,320000,656,0,642,1512000,645,1512000,647,1512000,650,1512000,644,28,647,63,649,100,653,50,
754,3,751,255,753,2229347,1092787,754,320000,756,0,743,1512000,745,1512000,748,1512000,751,1512000,745,63,748,60,750,72,753,54,
858,3,854,255,858,2461917,1325357,861,400000,862,0,844,1512000,846,1512000,848,1512000,855,1512000,845,66,848,50,853,77,857,90,
952,3,950,255,952,2160944,1024384,952,400000,953,0,944,1512000,947,1512000,948,1512000,950,1512000,946,55,948,50,950,90,952,44,
1055,3,1053,255,1054,2140423,1003863,1055,400000,1056,0,1045,1512000,1047,1512000,1049,1512000,1053,1512000,1047,60,1049,54,1052,45,1054,77,
1154,3,1153,255,1154,916012,0,1155,320000,1155,0,1148,1512000,1150,1512000,1151,1512000,1154,0,1149,36,1151,10,1153,11,1154,0,
1254,3,1253,255,1254,674694,0,1255,320000,1255,0,1246,1026000,1249,1026000,1251,1512000,1253,0,1248,11,1250,11,1252,10,1254,0,
1370,3,1367,255,1369,621892,0,1371,200000,1373,0,1348,486000,1359,384000,1365,0,1368,0,1358,50,1363,41,1366,0,1369,0,
1459,3,1457,255,1458,956149,0,1459,200000,1460,25,1448,1026000,1451,1026000,1454,0,1458,0,1451,55,1453,63,1456,0,1458,0,
1559,3,1558,255,1559,1164243,27683,1560,128000,1561,25,1548,1026000,1553,1026000,1557,0,1558,0,1551,50,1555,45,1557,0,1559,0,
1661,3,1659,255,1661,894755,0,1661,128000,1666,25,1649,1026000,1655,918000,1658,0,1660,0,1654,25,1657,41,1658,0,1660,0,
1757,3,1756,255,1757,1078964,0,1758,128000,1759,25,1750,1026000,1753,1026000,1755,0,1756,0,1752,50,1754,60,1755,0,1757,0,
1810,3,1809,255,1810,842081,0,1811,128000,1811,25,1801,1026000,1805,1026000,1808,0,1809,0,1804,20,1807,25,1808,0,1810,0,
1910,3,1909,255,1910,1042521,0,1911,128000,1912,25,1901,1026000,1905,1026000,1907,0,1909,0,1904,50,1906,50,1908,0,1910,0,
2010,3,2008,255,2010,1137274,714,2010,128000,2012,25,2001,1026000,2004,1026000,2007,0,2009,0,2004,63,2006,63,2008,0,2009,0,
2113,3,2111,255,2112,853014,0,2113,128000,2114,25,2102,1026000,2107,1026000,2110,0,2111,0,2106,36,2109,12,2110,0,2112,0,
2212,3,2209,255,2212,951412,0,2213,128000,2214,25,2203,1026000,2206,1026000,2208,0,2210,0,2205,25,2207,50,2209,0,2211,0,
2322,3,2317,255,2321,1291241,154681,2326,128000,2330,25,2304,1026000,2310,1512000,2316,0,2319,0,2307,50,2315,63,2316,0,2321,0,
2413,3,2411,255,2413,2132205,995645,2413,128000,2414,19,2403,1512000,2405,1512000,2407,1512000,2411,1026000,2405,66,2406,66,2410,63,2413,33,
2516,3,2513,255,2516,1559442,422882,2517,128000,2518,19,2504,1512000,2506,1512000,2510,1026000,2514,1512000,2506,22,2507,10,2512,36,2515,83,
2611,3,2609,255,2611,1348396,211836,2612,128000,2612,19,2604,1026000,2606,1026000,2608,1026000,2609,1512000,2606,36,2607,66,2609,30,2611,33,
2715,3,2713,255,2715,721788,0,2716,200000,2717,19,2705,1026000,2708,1026000,2711,1026000,2714,0,2707,12,2710,0,2712,10,2715,0,
2821,3,2817,255,2820,1469552,332992,2822,200000,2824,19,2806,1026000,2809,1026000,2813,1026000,2818,0,2808,55,2811,77,2816,66,2820,0,
2915,3,2914,255,2915,1290979,154419,2916,320000,2917,19,2906,1026000,2909,1026000,2911,1026000,2914,0,2908,55,2911,50,2913,44,2915,0,
3030,3,3027,255,3029,1227537,90977,3031,320000,3032,19,3007,384000,3013,1026000,3021,1026000,3028,0,3011,20,3019,27,3026,33,3029,0,
3116,3,3115,255,3116,1388692,252132,3117,320000,3118,19,3107,1026000,3110,1026000,3112,1026000,3115,0,3109,37,3112,36,3114,36,3116,0,
3232,3,3229,255,3232,1104966,0,3234,320000,3236,19,3209,594000,3216,384000,3223,384000,3230,0,3214,40,3221,30,3227,27,3231,0,
3317,3,3316,255,3317,2277090,1140530,3318,320000,3319,0,3308,1512000,3311,1512000,3313,1026000,3316,0,3310,70,3313,70,3315,90,3317,0,
3415,3,3414,255,3415,742649,0,3415,320000,3416,0,3409,1512000,3411,1512000,3412,1026000,3414,0,3410,11,3412,10,3414,20,3415,0,
3515,3,3514,255,3515,853495,0,3515,320000,3516,0,3509,1512000,3511,1512000,3512,1026000,3514,0,3510,30,3512,12,3514,11,3515,0,
3623,3,3618,255,3623,691228,0,3624,320000,3626,0,3610,702000,3613,1026000,3617,0,3619,0,3612,22,3616,33,3618,0,3623,0,
3718,3,3717,255,3718,883262,0,3719,320000,3720,0,3711,1026000,3714,1026000,3716,0,3717,0,3713,45,3715,53,3716,0,3718,0,
3826,3,3824,255,3825,1072768,0,3826,128000,3827,0,3812,1026000,3816,1026000,3819,0,3825,0,3815,62,3818,88,3820,0,3825,0,
3918,3,3917,255,3918,828319,0,3919,128000,3919,0,3912,1512000,3915,1026000,3916,0,3918,0,3914,25,3916,36,3917,0,3918,0,
4025,3,4023,255,4024,843174,0,4025,128000,4026,0,4014,1026000,4018,1026000,4021,0,4024,0,4017,42,4020,45,4022,0,4024,0,
4122,3,4120,255,4122,828597,0,4123,128000,4124,0,4113,1026000,4117,1026000,4119,0,4121,0,4116,33,4119,50,4120,0,4121,0,
4229,3,4222,255,4228,672506,0,4232,128000,4234,0,4214,384000,4217,1026000,4219,0,4224,0,4216,30,4219,33,4221,0,4228,0,
4324,3,4322,255,4324,876033,0,4325,128000,4326,16,4314,918000,4318,1026000,4321,0,4323,0,4317,50,4320,54,4322,0,4323,0,
4428,3,4426,255,4428,809238,0,4429,128000,4430,16,4415,1026000,4418,1026000,4425,0,4427,0,4417,40,4424,11,4426,0,4427,0,
4529,3,4526,255,4529,1129941,0,4530,128000,4531,16,4518,1026000,4521,1026000,4525,0,4527,0,4520,62,4524,77,4526,0,4528,0,
4624,3,4622,255,4624,1840948,704388,4625,128000,4625,16,4618,1512000,4620,1512000,4621,1512000,4623,1512000,4619,72,4621,50,4622,40,4624,16,
4726,3,4724,255,4725,958551,0,4726,128000,4727,16,4718,1512000,4720,1512000,4722,1512000,4724,1026000,4720,10,4721,9,4723,30,4725,0,
4830,3,4827,255,4830,969590,0,4831,128000,4831,16,4819,1026000,4823,1026000,4825,1026000,4828,1026000,4822,30,4825,11,4827,27,4830,27,
4935,3,4930,255,4935,914309,0,4936,128000,4939,16,4920,918000,4925,918000,4929,0,4933,0,4924,55,4927,40,4929,0,4934,0,
5043,3,5041,255,5043,1137230,670,5044,128000,5045,16,5021,1026000,5029,1026000,5037,1026000,5042,0,5027,66,5036,75,5040,0,5042,0,
5136,3,5134,255,5135,1111720,0,5137,128000,5138,16,5121,1026000,5125,1026000,5128,1026000,5135,0,5124,50,5127,40,5130,44,5135,0,
5232,3,5231,255,5232,955013,0,5234,128000,5234,16,5222,1026000,5225,1026000,5228,1026000,5231,0,5225,22,5227,36,5230,33,5232,0,
5340,3,5339,255,5340,887418,0,5341,128000,5342,22,5323,1026000,5328,384000,5335,1026000,5339,0,5327,33,5333,27,5338,33,5340,0,
5432,3,5431,255,5432,900377,0,5433,128000,5434,22,5423,1026000,5427,1026000,5430,0,5431,0,5426,50,5429,16,5430,0,5432,0,
5546,3,5539,255,5545,1060728,0,5549,128000,5550,22,5524,1026000,5532,1026000,5537,0,5540,0,5531,50,5535,60,5538,0,5541,0,
5629,3,5628,255,5629,1412281,275721,5630,320000,5630,22,5625,1512000,5626,1512000,5628,0,5629,0,5626,60,5627,50,5628,0,5629,0,
5735,3,5734,255,5734,1140176,3616,5735,320000,5736,22,5725,1512000,5728,1512000,5733,0,5734,0,5727,0,5732,11,5733,0,5734,0,
5833,3,5832,255,5833,1451234,314674,5834,320000,5834,22,5826,1026000,5829,1026000,5831,0,5832,0,5828,66,5830,40,5831,0,5833,0,
5939,3,5938,255,5939,1333785,197225,5941,320000,5951,22,5926,594000,5930,1026000,5937,0,5938,0,5929,36,5933,58,5937,0,5939,0,
